,https://roic.ai/company/TIMB,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.3259,0.0239,0.0126,0.0748,0.0956,0.1500,0.1732,0.1888,-0.0131,0.0195,0.0089,0.0168,0.0660,0.1070,0.1148,0.1072,0.1125,0.1739,0.0649,0.0884,0.1107,0.2610,0.1154,0.1718
22,Income Tax expense (Gain),45428320,-4583597,-6319593,-671145,19472550,42250429,108037000,130338000,168416320,166823854,-64254000,5516000,-1257038000,547356000,704592000,630539000,646498000,908694000,262889000,201009000,-664911000,913940000,164150000,146051000
23,Net Income,119732620,21480665,15367083,59887472,65773395,120314474,265935000,399200000,-300953328,76088813,180152000,214893000,2211715000,1281228000,1448888000,1505614000,1546419000,2071145000,750427000,1234507000,2545101000,3622127000,1828254000,2957174000
24,Net Income ratio,0.2362,0.0303,0.0214,0.0757,0.0738,0.1110,0.1037,0.1368,-0.0298,0.0061,0.0138,0.0164,0.1530,0.0750,0.0772,0.0756,0.0793,0.1208,0.0481,0.0760,0.1499,0.2084,0.1059,0.1638
25,EPS,1.81,0.30,0.25,0.90,0.96,1.70,2.00,2.00,-0.65,0.00,1.13,1.27,13.14,2.83,3.00,3.12,3.20,4.28,1.55,2.55,5.25,7.50,0.40,0.67
26,EPS Diluted,1.81,0.30,0.25,0.90,0.96,1.70,2.00,2.00,-0.65,0.00,1.13,1.27,13.14,2.83,3.00,3.11,3.20,4.28,1.55,2.55,5.25,7.50,0.40,0.67
27,Weighted Average Shares Outstanding,66066667,66879800,66879800,67443720,68594000,71295600,131982400,162195800,464881000,466073200,468765400,168656295,495147000,452732400,483526529,483367400,483570000,484047400,484047400,484003200,484034400,484096200,4405164800,4405164800
28,Weighted Average Shares Outstanding Diluted,66066667,66879800,66879800,67443720,68594000,71296000,140502000,175915298,464881000,466073200,468765400,168656295,495147000,452962000,483526529,483501800,483775400,484065000,484048200,484003200,484215000,484203600,4405217000,4405217000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,152354020,2083126,96999228,139855873,11146893,20597229,89873000,30124000,439800403,1117317078,1531543000,2413032000,2376232000,3262855000,4429780000,5287642000,5232992000,6100403000,5128186000,2960718000,1075530000,2284810000,2575291000,5228615000
32,Short-Term Investments,- -,- -,- -,- -,421688137,396431014,766459000,1251644000,750791408,55250075,23048000,146145000,18177000,1872000,810000,- -,- -,599414000,479953000,765614000,784841000,654479000,2070438000,4568020000
33,Cash and Short-Term Investments,152354020,2083126,96999228,139855873,432835030,417028242,856332000,1281768000,1190591810,1172567153,1554591000,2559177000,2394409000,3264727000,4430590000,5287642000,5232992000,6699817000,5608139000,3726332000,1860371000,2939289000,4645729000,9796635000
34,Net Receivables,79378740,190908263,138284249,148859430,165801629,229890346,687089000,837400000,2791613100,3525571180,2635355000,2480143000,3604376000,4510042000,4888197000,4796870000,5181567000,4107431000,3973762000,3338241000,3530670000,5038278000,4896224000,4763508000
35,Inventory,- -,44994087,12364252,21855165,15571668,16174263,47200000,81880000,163712025,278103854,548514000,406434000,228654000,273171000,269145000,296829000,264033000,141720000,143934000,123785000,183059000,203278000,246602000,202553000
36,Other Current Assets,38179120,54067738,46446380,65618909,91582223,86506052,125726000,112391000,286367028,293472957,1096393000,1320767000,198481000,239186000,379785000,359463000,495823000,1084305000,381564000,419030000,424026000,273284000,623001000,635352000
37,Total Current Assets,269911880,292053214,294094109,376189377,705790551,749598903,1716347000,2313439000,4432283963,5269715144,5834853000,6766521000,6425920000,8287126000,9967717000,10740804000,11174415000,12033273000,10107399000,7607388000,5998126000,8454129000,10411556000,15398048000
38,PP&E,683841200,998447065,871928412,775562275,655949885,674151707,1597172000,1804637000,7168498978,7021240978,4799092000,5323174000,5863723000,6624081000,7566510000,8207242000,8914929000,10667348000,11084530000,10838488000,11203622000,17612164000,18100698000,18308400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16918000,367571000,1660241000,1527219000,1527219000,1527219000,1527219000,1527219000,1527219000,1527219000,1527219000,1527220000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,40580000,29961000,2156714538,1899246918,4817312000,4588403000,4168277000,4114035000,4461970000,4908962000,7795415000,8431974000,9105356000,9785308000,9154785000,8141107000,7499855000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,40580000,29961000,2156714538,1899246918,4966341000,4605321000,4535848000,5774276000,5989189000,6436181000,9322634000,9959193000,10632575000,11312527000,10682004000,9668326000,9027075000,10585079000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9911000,16567000,13692000,25873000,21834000,28681000,41149000,- -,- -,2997000,5229000,3849000,7061000,1613211000
43,Tax Assets,- -,- -,73327563,241249813,184672409,138889199,163114000,117478000,29358128,- -,110763000,196886000,- -,- -,1252018000,1064721000,889064000,14526000,41690000,- -,801971000,- -,550646000,536888000
44,Other Non-Current Assets,13290200,50477134,222061273,109150422,101472480,67461045,78943000,119548000,378934588,354922664,518508000,541265000,2531669000,2726865000,1311709000,1660538000,2352920000,2729312000,2789486000,2838965000,3266937000,4610456000,3557381000,3377560000
45,Total Non-Current Assets,697131400,1048924199,1167317248,1125962510,942094774,880501951,1879809000,2071624000,9733506230,9275410560,10404615000,10683213000,12944932000,15151095000,16141260000,17397363000,21520696000,23370379000,24548281000,24992977000,25959763000,31894795000,31242861000,34421138000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,967043280,1340977413,1461411357,1502151887,1647885325,1630100854,3596156000,4385063000,14165790193,14545125704,16239468000,17449734000,19370852000,23438221000,26108977000,28138167000,32695111000,35403652000,34655680000,32600365000,31957889000,40348924000,41654417000,49819186000
48,Accounts Payable,88198600,167995673,103449464,63387179,123677771,196436799,702383000,1068424000,2636471593,3143072442,3522079000,3324635000,- -,- -,4293121000,5255337000,5402204000,3784945000,3461081000,3986557000,4323374000,3923035000,3128732000,3267404000
49,Short-Term Debt,50381940,214991936,39017299,30847111,248166161,42579339,62206000,23945000,293325375,774679726,1431219000,1347463000,957549000,1090174000,951013000,976215000,1285196000,2364778000,1241829000,1528785000,903776000,2257248000,2744094000,1808328000
50,Tax Payable,- -,- -,- -,- -,- -,- -,161648000,157666000,- -,- -,601778000,724105000,809703000,1159793000,839978000,695728000,808207000,715648000,816869000,566052000,783502000,759911000,1232077000,1663795000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,484392000,812340000,480431000,406867000,281930000,266436000,197179000
52,Other Current Liabilities,78291360,66168939,56652104,77244343,112226453,177642802,322016000,387708000,1195332358,1120559332,926342000,1064791000,4733540000,5705456000,2131088000,1816551000,2435856000,2024291000,1766318000,1228664000,1441362000,1655266000,2162694000,5338571000
53,Total Current Liabilities,216871900,449156548,199118867,171478632,484070385,416658940,1086605000,1480077000,4125129325,5038311500,5879640000,5736889000,5691089000,6795630000,7375222000,8048103000,9123256000,8658406000,7281568000,7224437000,7075379000,8117479000,8301956000,10611482000
54,Long-Term Debt,10148880,7206393,313733401,303533899,72920292,39272934,41220000,105076000,1875137105,1341746582,2066514000,2742595000,2277121000,2570409000,3439082000,4093111000,5798892000,7180164000,7280191000,5049331000,2699315000,7552710000,7979773000,11100676000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83708000,- -,- -,- -,- -,1098689000,1061304000,990932000,906600000,827182000,755488000,689161000
56,Deferred Tax Liabilities,16552340,54145091,32364274,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196806000,337770000,481173000,120730000,108358000,98919000,- -,47734000,- -,- -
57,Other Non-Current Liabilities,1691480,15639637,3763288,69134871,85975148,74131558,54219000,53967000,298202403,415220399,502858000,647535000,1018125000,1115445000,1264997000,1064543000,1969756000,1412619000,1736746000,1085562000,1481758000,1372001000,1434455000,2310761000
58,Total Non-Current Liabilities,28392700,76991121,349860963,372668770,158895440,113404492,95439000,159043000,2173339508,1756966981,2569372000,3390130000,3378954000,3685854000,4900885000,5495424000,8249821000,9812202000,10186599000,7224744000,5087673000,9799627000,10169716000,14100598000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322670000,329669000,1618506000,1802238000,1887172000,1940074000,7780870000,8378835000,9063539000
61,Total Liabilities,245264600,526147669,548979830,544147402,642965825,530063432,1182044000,1639120000,6298468833,6795278481,8449012000,9127019000,9070043000,10481484000,12276107000,13543527000,17373077000,18470608000,17468167000,14449181000,12163052000,17917106000,18471672000,24712080000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,176759660,211225039,175755285,245028195,324665211,367671639,884504000,1472075000,- -,- -,- -,- -,8149096000,9839770000,9839770000,9839770000,9866298000,9866298000,9866298000,9866298000,9866298000,9866298000,13477891000,13477891000
64,Retained Earnings,237169660,267120460,276938977,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9285552000,- -
65,Other Comprehensive Income/Loss,-167577340,-258174530,-335431777,-487211573,520665044,555568335,1136003000,1273868000,237861183,102537843,-7623763000,-9736346000,- -,-11455270000,3996469000,4756226000,5456802000,7070115000,7324584000,8301373000,9937062000,12568724000,9714539000,11638357000
66,Other Total Stockholders Equity,325972360,433221891,652745176,1050497050,-0,2885,- -,- -,- -,- -,- -,- -,2151713000,14572237000,-3369000,-1356000,-1066000,-3369000,-3369000,-16487000,-8523000,-3204000,-9295237000,-9142000
67,Total Stockholders Equity,572324340,653392860,770007661,808313672,845330255,923242859,2020507000,2745943000,7867321360,7749847223,7790456000,8322715000,10300809000,12956737000,13832870000,14594640000,15322034000,16933044000,17187513000,18151184000,19794837000,22431818000,23182745000,25107106000
68,Total Liabilities And Stockholders Equity,817588940,1179540529,1318987491,1352461074,1488296080,1453306292,3202551000,4385063000,14165790193,14545125704,16239468000,17449734000,19370852000,23438221000,26108977000,28138167000,32695111000,35403652000,34655680000,32600365000,31957889000,40348924000,41654417000,49819186000
69,Minority Interest,149454340,161436884,142423865,149690813,159589245,176794562,393605000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,967043280,1340977413,1461411357,1502151887,1647885325,1630100854,3596156000,4385063000,14165790193,14545125704,16239468000,17449734000,19370852000,23438221000,26108977000,28138167000,32695111000,35403652000,34655680000,32600365000,31957889000,40348924000,41654417000,49819186000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,119732620,21480665,15367083,59887472,65773395,120314474,265935000,399200000,-300953328,76088813,180152000,214893000,2211715000,1281228000,1448888000,1505614000,1546419000,2071145000,750427000,1234507000,2545101000,3622127000,1828254000,2957174000
74,Depreciation and Amortization,98468300,120251068,156073095,174729852,201762660,210943434,447461000,532357000,2279367408,2323481888,2408545000,2582807000,2993461000,2569767000,2688588000,2767870000,3052579000,3361971000,3785172000,4013671000,3954321000,5128981000,5527012000,5691696000
75,Deferred Income Tax,-16552340,-29816768,-25159431,-15749839,29065462,- -,- -,- -,86696788,62055069,-130785000,-69381000,- -,- -,-1417000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2511000,4244000,- -,4504000,3802000,10923000,-1424000,3443000,2588000,15672000
77,Change in Working Capital,33225500,-133588113,40142385,4398436,84824707,9050778,143847000,-173600000,-672082965,-243263421,-343939000,-938453000,-1382467000,-930932000,-548829000,-750491000,145336000,-1941908000,-902554000,-1215488000,-776217000,-3120183000,-369556000,3210191000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-157133000,-115213000,- -,- -,-354258000,-146849000,-611028000,-782853000,-541421000,-3909000,-204173000,535736000,-291825000,99674000,-1028791000,-1027131000,-390087000,-583346000
79,Inventory,- -,-40529217,32625559,-9491240,6283181,-666474,-18579000,-34680000,51009400,-114009476,-270388000,142080000,177780000,-39379000,4026000,-27684000,32796000,122313000,-2214000,20149000,-59274000,-20219000,-43325000,44050000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,280614000,17339000,- -,- -,275071000,-564055000,- -,- -,550594000,895908000,12623000,-1804175000,-296014000,523419000,331736000,-401200000,-818989000,153357000
81,Other Working Capital,- -,- -,- -,-346023,- -,- -,48627000,31392000,4702163,- -,-100610000,-393033000,-1243512000,-367316000,-222000000,-323451000,-232952000,-70491000,-337806000,-415651000,-193599000,-204355000,-87188000,80115000
82,Other Non-Cash Items,71525440,84830727,9297076,26353460,49865444,10533756,34973000,68720000,374707973,309564936,1066373000,711666000,-930256000,1209380000,1375428000,1742265000,1696730000,782494000,1355401000,1360499000,407606000,1430358000,1685573000,885823000
83,Cash Provided by Operating Activities,306399520,63157580,195720209,249619382,431291669,350842442,892216000,826677000,1767735875,2527927284,3180346000,2501532000,2892453000,4129443000,4965169000,5269502000,6441064000,4278206000,4992248000,5404112000,6129387000,7064726000,8673871000,12760556000
84,CAPEX,-193070360,-316243022,-204289975,-147296522,-67737996,- -,-674493000,-336114000,-2238608935,-1799495526,-3444045000,-1953546000,-1744565000,-3002377000,-3764726000,-3557767000,-6829436000,-4764239000,-4502397000,-4147907000,-3831906000,-3853484000,-3891306000,-7966176000
85,Acquisitions Net,- -,- -,- -,- -,- -,-116589720,- -,- -,- -,- -,- -,- -,- -,-1510615000,- -,- -,- -,- -,- -,- -,- -,- -,21959000,1096294000
86,Purchases of Investments,- -,- -,- -,-11100594,-287288251,- -,-47299000,- -,- -,- -,- -,-59426000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,31226195,- -,- -,499478415,541623796,122624000,- -,276379000,211151000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-8819860,-4146465,- -,- -,-927433,19420079,- -,-485185000,2133,-421974,-1319134000,-683077000,- -,7325000,192400000,-9176000,-33921000,1940157000,253169000,-252668000,1486000,140842000,-1585438000,-2501983000
89,Cash Used for Investing Activites,-201890220,-320389487,-204289975,-158397116,-355953680,-65943446,-721792000,-821299000,-1739128388,-1258293704,-3315883000,-2011008000,-1468186000,-4294516000,-3572326000,-3566943000,-6863357000,-2824082000,-4249228000,-4400575000,-3830420000,-3712642000,-5454785000,-9371865000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-77417000,-65968000,- -,- -,-557946000,-1290770000,-1712721000,-939119000,-1304564000,-1262827000,-1001928000,-1793589000,-2864756000,-3489759000,-3804817000,-1524121000,-2734825000,-1789887000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1722222000,- -,- -,26199000,- -,- -,- -,5317000,435000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3369000,- -,- -,- -,- -,- -,-13118000,- -,- -,- -,- -
93,Dividends Paid,- -,-43288730,-13725276,-10171674,-22088477,-29544141,-65346000,-92885000,-114611213,-440253948,-207645000,-168072000,-201181000,-486354000,-523283000,-734908000,-835898000,-360447000,-460309000,-332658000,-588247000,-770139000,-1153054000,-1042976000
94,Other Financing Activites,17277260,120655821,117209838,-38201835,-47564561,-245856876,24539000,93726000,7760168,-304576031,1315261000,1849807000,452843000,758316000,1601929000,1153038000,2179270000,1567323000,1609828000,664530000,203592000,151021000,960036000,2097497000
95,Cash Used/Provided by Financing Activities,17277260,77367091,103484562,-48373509,-69653038,-275401017,-118224000,-65127000,-106851045,-744829979,549670000,390965000,-1461059000,1051696000,-225918000,-844697000,367643000,-586713000,-1715237000,-3171005000,-4184155000,-2142804000,-2927843000,-735366000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,121786560,-179864815,94914796,42848757,5684951,9495094,52200000,-59749000,-78245690,524800041,414133000,881489000,-36792000,886623000,1166925000,857862000,-54650000,867411000,-972217000,-2167468000,-1885188000,1209280000,291243000,2653325000
98,Cash at the End of Period,152354020,2083126,96999228,139855873,11146893,20597229,89873000,30124000,439800403,1117317078,1531543000,2413032000,2376232000,3262855000,4429780000,5287642000,5232992000,6100403000,5128186000,2960718000,1075530000,2284810000,2575291000,5228615000
99,Cash at the Beginning of Period,30567460,181947942,2084432,97007116,5461942,11102134,37673000,89873000,518046093,592517037,1117410000,1531543000,2413024000,2376232000,3262855000,4429780000,5287642000,5232992000,6100403000,5128186000,2960718000,1075530000,2284048000,2575290000
100,Free Cash Flow,113329160,-253085442,-8569767,102322860,363553673,350842442,217723000,490563000,-470873060,728431758,-263699000,547986000,1147888000,1127066000,1200443000,1711735000,-388372000,-486033000,489851000,1256205000,2297481000,3211242000,4782565000,4794380000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.8276,0.5539,0.5128,0.4327,0.2825,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
