,https://roic.ai/company/XM,2016,2017,2018,2019,2020,2021
48,Accounts Payable,9511000,11375000,23441000,31707000,30452000,84053000
49,Short-Term Debt,- -,- -,- -,7893000,7125000,18898000
50,Tax Payable,3114000,3760000,4071000,13189000,6167000,- -
51,Deferred Revenue,131943000,180414000,279978000,382602000,495638000,748145000
52,Other Current Liabilities,16647000,22670000,37137000,367020000,434332000,171921000
53,Total Current Liabilities,158101000,214459000,340556000,789222000,967547000,1023017000
54,Long-Term Debt,- -,- -,- -,- -,235620000,263307000
55,Deferred Revenue,1448000,4731000,4244000,4182000,5477000,6698000
56,Deferred Tax Liabilities,- -,- -,2062000,- -,5970000,23653000
57,Other Non-Current Liabilities,103859000,133744000,9385000,350400000,93343000,78848000
58,Total Non-Current Liabilities,105307000,138475000,15691000,354582000,340410000,372506000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,190167000,242745000,282205000
61,Total Liabilities,263408000,352934000,356247000,1143804000,1307957000,1395523000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,42000,43000,57000
64,Retained Earnings,-83880000,-81324000,-118632000,-1126265000,-1398767000,-2457913000
65,Other Comprehensive Income/Loss,-56000,552000,-919000,-928000,3191000,-1244000
66,Other Total Stockholders Equity,1227000,8174000,141816000,586631000,1126631000,4645800000
67,Total Stockholders Equity,-82708000,-72597000,22266000,-540520000,-268902000,2186700000
68,Total Liabilities And Stockholders Equity,180700000,280337000,378513000,603284000,1039055000,3582223000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,180700000,280337000,378513000,603284000,1039055000,3582223000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1747748/000162828021004280/0001628280-21-004280-index.htm,https://www.sec.gov/Archives/edgar/data/1747748/000162828022004535/0001628280-22-004535-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-12034000,2556000,-37308000,-1007633000,-272502000,-1059146000
74,Depreciation and Amortization,8972000,10787000,14787000,19715000,26457000,46009000
75,Deferred Income Tax,29000,611000,143000,-5321000,13200000,-25154000
76,Stock Based Compensation,702000,6947000,4600000,876226000,224013000,1057140000
77,Change in Working Capital,13597000,26261000,-59610000,-442460000,117856000,-11265000
78,Accounts Receivable,-24927000,-21176000,-57799000,-54320000,-103692000,-146966000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1001000,1484000,12350000,7219000,-282000,24333000
81,Other Working Capital,-17996000,8265000,-51345000,-493805000,-375949000,115575000
82,Other Non-Cash Items,6540000,-7544000,113792000,188569000,-519746000,-4783000
83,Cash Provided by Operating Activities,17806000,39618000,36404000,-370904000,-410722000,2801000
84,CAPEX,-14372000,-18272000,-22821000,-33181000,-89518000,-103823000
85,Acquisitions Net,-966000,- -,-9865000,- -,- -,-141792000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-15338000,-18272000,-32686000,-33181000,-89518000,-245615000
90,Debt Repayment,- -,- -,- -,- -,- -,-2392280000
91,Common Stock Issued,- -,- -,- -,- -,120000000,3359822000
92,Common Stock Repurchased,- -,-124997000,-531000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-130000,154844000,- -,329793000,540000000,86101000
95,Cash Used/Provided by Financing Activities,-130000,29847000,-531000,329793000,660000000,1053643000
96,Effect of Forex Changes on Cash,-82000,382000,-1179000,1316000,1664000,-209000
97,Net Change In Cash,2256000,51575000,2008000,-72976000,161424000,810620000
98,Cash at the End of Period,61860000,113435000,115443000,42467000,203891000,1014511000
99,Cash at the Beginning of Period,59604000,61860000,113435000,115443000,42467000,203891000
100,Free Cash Flow,3434000,21346000,13583000,-404085000,-500240000,-101022000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1747748/000162828021004280/0001628280-21-004280-index.htm,https://www.sec.gov/Archives/edgar/data/1747748/000162828022004535/0001628280-22-004535-index.htm
102,false,,,,,,
