,https://roic.ai/company/OVTZ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.40,-0.21,-0.29,-0.41,-0.90,-0.60,-0.30,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.07,-0.01,-0.01,-0.03,-0.01,-0.02,-0.02,-0.01,-0.01,-0.00,-0.00,-0.04,-0.02
27,Weighted Average Shares Outstanding,1640000,2666680,3111127,4000020,5113407,5663108,6458289,7334712,8182511,9132389,10038182,10912674,11556629,12016886,12615723,12772568,13504808,13572568,13572568,20304808,45572568,45572568,45572568,57032157,75356815,86522569
28,Weighted Average Shares Outstanding Diluted,1640000,2666680,3111127,4000020,5113407,5663108,6458289,7334712,8182511,9132389,10038182,10912674,11556629,12016886,12615723,12772568,13504808,13572568,13572568,20304808,45572568,45572568,45572568,57032157,75356815,86522569
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1107280/000089155401501698/0000891554-01-501698-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000116323802000014/0001163238-02-000014-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000116323803000077/0001163238-03-000077-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351104000015/0001273511-04-000015-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351105000038/0001273511-05-000038-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1107280/000127351109000064/0001273511-09-000064-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351110000058/0001273511-10-000058-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351111000117/0001273511-11-000117-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351112000029/0001273511-12-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000127351113000018/0001273511-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000127351114000040/0001273511-14-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000127351115000039/0001273511-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000157587216000314/0001575872-16-000314-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774917005714/0001437749-17-005714-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774918005840/0001437749-18-005840-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774919006007/0001437749-19-006007-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774920004714/0001437749-20-004714-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774921006065/0001437749-21-006065-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000143774922006790/0001437749-22-006790-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10000,- -,- -,414270,154162,104238,48708,52566,9341,2253,14364,36700,65,765,5254,99833,7415,6888,1888,187097,6425,- -,5572,382452,490190,2208451
32,Short-Term Investments,170000,139762,129980,- -,135244,42616,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,180000,139762,129980,414270,289406,146854,48708,52566,9341,2253,14364,36700,65,765,5254,99833,7415,6888,1888,187097,6425,- -,5572,382452,490190,2208451
34,Net Receivables,220000,- -,- -,- -,81892,30900,1400,1400,4754,- -,- -,- -,- -,50803,12070,3000,4023,30722,11000,6338,- -,2271,1192,1267,5052,- -
35,Inventory,- -,- -,- -,- -,97293,12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,69881,64990,69045,66259,21613,10573,16745,13782,32825,9256,8670,2990,1100,2755,4585,- -,- -,5877,- -,62151,26600,- -,- -,1030,- -
37,Total Current Assets,400000,209644,194970,483315,534850,211367,60681,70711,27877,35078,23620,45370,3055,52668,20079,107418,11438,37610,18765,193435,68576,28871,6764,383719,496272,2208451
38,PP&E,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,20000,- -,- -,69045,- -,- -,- -,41827,38504,35181,31858,28535,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,20000,- -,- -,69045,- -,- -,- -,41827,38504,35181,31858,28535,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,279525,259960,414270,628097,1170811,256463,- -,23120,19340,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,70000,279525,259960,483315,628097,1170811,256463,41827,61624,54521,31858,28535,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37832
47,Total Assets,470000,489168,454929,966631,1162947,1382178,317144,112538,89501,89599,55478,73905,3055,52668,20079,107418,11438,37610,18765,193435,68576,28871,6764,383719,496272,2246283
48,Accounts Payable,220000,489168,519919,483315,754059,948417,1082499,166860,187301,314729,325740,143482,224537,389339,- -,- -,34229,16271,66584,4539,51943,17698,714166,135033,152408,- -
49,Short-Term Debt,110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471232,58399,579346,579346,- -,- -,- -,- -,- -,579346,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,23500,18800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,740000,139762,194970,207135,50608,91480,53180,459280,350773,160,160,134195,199596,355886,467665,127436,749279,366070,557226,57212,338189,563428,28132,383,-563687,122623
53,Total Current Liabilities,1070000,628931,714889,690450,804667,1039897,1135679,649640,556874,314889,325900,277677,424133,745225,467665,598668,841907,961687,1203156,61751,390132,581126,742298,135416,168067,122623
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-64990,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,-64990,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,-129980,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1070000,628931,649899,690450,804667,1039897,1135679,649640,556874,314889,325900,277677,424133,745225,467665,598668,841907,961687,1203156,61751,390132,581126,742298,135416,168067,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,15840000,- -,- -,- -,- -,- -,30357906,31336751,32810318,34010651,- -,- -,37764019,- -,- -,- -,- -,- -,- -,- -,- -,- -,40458297,41634999,44073257,46850710
64,Retained Earnings,-16550000,-16422082,-19042048,-20575421,-16871695,-29063303,-31176441,-31873853,-33277691,-34235941,-35484986,-37269179,-38185097,-38996101,-39085276,-39246888,-39586107,-39679715,-39940029,-40326613,-40779853,-41010552,-41193831,-41386696,-44159180,-46145845
65,Other Comprehensive Income/Loss,- -,- -,- -,-207135,-129940,-573015,- -,-16069,-16069,- -,- -,-16069,-16069,-16069,-3535,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6190
66,Other Total Stockholders Equity,100000,16282320,18847079,21058737,17359915,29978599,- -,16069,16069,- -,35214564,37081476,16069,38319613,38641225,38755638,38755638,38755638,38755638,40458297,40458297,40458297,- -,- -,414128,- -
67,Total Stockholders Equity,-610000,-139762,-194970,276180,358280,342281,-818535,-537102,-467373,-225290,-270422,-203772,-421078,-692557,-447586,-491250,-830469,-924077,-1184391,131684,-321556,-552255,-735534,248303,328205,- -
68,Total Liabilities And Stockholders Equity,460000,489168,454929,966631,1162947,1382178,317144,112538,89501,89599,55478,73905,3055,52668,20079,107418,11438,37610,18765,193435,68576,28871,6764,383719,496272,2246283
69,Minority Interest,10000,- -,- -,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,470000,489168,454929,966631,1162947,1382178,317144,112538,89501,89599,55478,73905,3055,52668,20079,107418,11438,37610,18765,193435,68576,28871,6764,383719,496272,2246283
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1107280/000089155401501698/0000891554-01-501698-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000116323802000014/0001163238-02-000014-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000116323803000077/0001163238-03-000077-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351104000015/0001273511-04-000015-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351105000038/0001273511-05-000038-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1107280/000127351109000064/0001273511-09-000064-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351110000058/0001273511-10-000058-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351111000117/0001273511-11-000117-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351112000029/0001273511-12-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000127351113000018/0001273511-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000127351114000040/0001273511-14-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000127351115000039/0001273511-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000157587216000314/0001575872-16-000314-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774917005714/0001437749-17-005714-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774918005840/0001437749-18-005840-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774919006007/0001437749-19-006007-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774920004714/0001437749-20-004714-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774921006065/0001437749-21-006065-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000143774922006790/0001437749-22-006790-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-660000,-559050,-909859,-1657081,-3108390,-3760821,-2113138,-697412,-1403838,-958250,-1249045,-1784193,-915918,-811004,-89175,-161612,-339219,-93608,-260314,-386584,-453240,-230699,-183279,-192865,-2772484,-1986665
74,Depreciation and Amortization,10000,- -,- -,69045,149751,407880,439516,19391,3323,3323,3323,3323,3323,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284793,713684
77,Change in Working Capital,-110000,250713,-100632,312784,-62682,-558713,-246468,496069,49932,249186,-22469,69973,-188771,-271479,244971,-43664,-339219,-93608,-260314,1316075,-453240,-230699,-183279,983837,79902,1757623
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48000,35930,9070,-529,-21460,13989,11000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-97293,-12000,12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161172,- -,- -,63869
81,Other Working Capital,-670000,-419287,-519919,-207135,-269817,-828530,-1074998,-578929,-528997,-279811,-302280,-232307,-421078,-692557,-447586,-491250,-830469,-924077,-1184391,131684,-321556,-552255,-735534,248303,328205,2085828
82,Other Non-Cash Items,-360000,-250713,295602,-36604,1115196,1203996,1001095,-898231,-7749,-262120,521177,624308,566894,808183,-289457,-279492,586020,186689,515628,-1867595,725808,454973,372130,-1590794,1628320,-1834817
83,Cash Provided by Operating Activities,-1120000,-559050,-714889,-1311856,-1906125,-2707658,-918995,-1080183,-1358332,-967861,-747014,-1086589,-534472,-274300,-133661,-484768,-92418,-527,-5000,-938104,-180672,-6425,5572,-799822,-779469,-1350175
84,CAPEX,-50000,-139762,-194970,-276180,-460085,-559604,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-139762,-129980,-69045,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,139762,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,260000,-139762,- -,-138090,- -,- -,35784,119626,500,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114169,- -
89,Cash Used for Investing Activites,210000,-279525,-324950,-483315,-460085,-559604,35784,119626,500,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114169,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,978337,974849,2209441,2241872,3140303,827681,964415,1314607,983773,726125,1108925,497837,275000,138150,- -,- -,- -,- -,1728000,- -,- -,- -,1176702,773038,3098616
92,Common Stock Repurchased,1730000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-810000,-139762,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,579347,- -,- -,- -,-604687,- -,- -,- -,- -,- -,-36370
95,Cash Used/Provided by Financing Activities,920000,838574,974849,2209441,2241872,3140303,827681,964415,1314607,983773,726126,1108925,497837,275000,138150,579347,- -,- -,- -,1123313,- -,- -,- -,1176702,773038,3062246
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10000,838574,974849,2209441,-124338,-126959,-55530,3858,-43225,15912,-10889,22336,-36635,700,4489,94579,-92418,-527,-5000,185209,-180672,- -,- -,376880,107738,1718261
98,Cash at the End of Period,10000,- -,- -,414270,154162,104238,48708,52566,9341,25253,14364,36700,65,765,5254,99833,7415,6888,1888,187097,6425,- -,5572,382452,490190,2208451
99,Cash at the Beginning of Period,- -,- -,- -,- -,278500,231197,104238,48708,52566,9341,25253,14364,36700,65,765,5254,99833,7415,6888,1888,187097,6425,- -,5572,382452,490190
100,Free Cash Flow,-1170000,-698812,-909859,-1588036,-2366210,-3267262,-918995,-1080183,-1358332,-967861,-747014,-1086589,-534472,-274300,-133661,-484768,-92418,-527,-5000,-938104,-180672,-6425,5572,-799822,-779469,-1350175
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1107280/000089155401501698/0000891554-01-501698-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000116323802000014/0001163238-02-000014-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000116323803000077/0001163238-03-000077-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351104000015/0001273511-04-000015-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351105000038/0001273511-05-000038-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1107280/000127351109000064/0001273511-09-000064-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351110000058/0001273511-10-000058-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351111000117/0001273511-11-000117-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000127351112000029/0001273511-12-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000127351113000018/0001273511-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000127351114000040/0001273511-14-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000127351115000039/0001273511-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000157587216000314/0001575872-16-000314-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774917005714/0001437749-17-005714-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774918005840/0001437749-18-005840-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774919006007/0001437749-19-006007-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774920004714/0001437749-20-004714-index.html,https://www.sec.gov/Archives/edgar/data/1107280/000143774921006065/0001437749-21-006065-index.htm,https://www.sec.gov/Archives/edgar/data/1107280/000143774922006790/0001437749-22-006790-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
