,https://roic.ai/company/CPSH,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),50696,-276301,-215512,-216411,-3285,- -,86125,-7345,7495,-38507,-27986,-24871,-30219,-60307,-44379,-39098,-33586,-32671,-30860,-29489,5087,5693,51318,11480,-20987,-35551,-14719,-4068
20,Income Before Tax,- -,-1110000,-410000,1380000,1800000,- -,-200000,-480000,-740000,-20000,1040000,297100,1490000,890000,1340000,110000,1020000,-368501,-2830000,1430000,1220920,624850,-1129761,-1939730,-921550,-632750,899517,508899
21,Income Before Tax Ratio,- -,-0.7986,-0.2040,0.3007,0.3255,- -,-0.0396,-0.1076,-0.1648,-0.0050,0.1520,0.0415,0.1251,0.0715,0.0905,0.0085,0.0477,-0.0186,-0.2014,0.0668,0.0528,0.0287,-0.0736,-0.1331,-0.0427,-0.0295,0.0431,0.0227
22,Income Tax expense (Gain),- -,- -,- -,- -,130000,- -,- -,- -,- -,- -,- -,10000,-288000000,-58400000,-130000,-450000,310973000,-322766,-1305700000,462707,218148,174232,-676144,-222032,2784419,5460,456,-2706978
23,Net Income,-1916743,-1110000,-410000,1380000,1670000,- -,-200000,-480000,-740000,-20000,1040000,287100,1780000,950000,1480000,560000,710000,-45735,-1520000,970000,1002770,450620,-453617,-1717700,-3705970,-638200,899061,3215877
24,Net Income ratio,-1.6086,-0.7986,-0.2040,0.3007,0.3020,- -,-0.0396,-0.1076,-0.1648,-0.0050,0.1520,0.0401,0.1495,0.0763,0.0999,0.0431,0.0332,-0.0023,-0.1082,0.0453,0.0433,0.0207,-0.0295,-0.1178,-0.1717,-0.0297,0.0431,0.1433
25,EPS,-0.25,-0.14,-0.05,0.18,0.16,- -,-0.02,-0.04,-0.06,-0.00,0.08,0.02,0.14,0.08,0.12,0.04,0.06,-0.00,-0.12,0.07,0.08,0.03,-0.03,-0.13,-0.28,-0.05,0.07,0.22
26,EPS Diluted,-0.25,-0.14,-0.05,0.13,0.14,- -,-0.02,-0.04,-0.06,-0.00,0.08,0.02,0.14,0.07,0.11,0.04,0.06,-0.00,-0.12,0.07,0.08,0.03,-0.03,-0.13,-0.28,-0.05,0.07,0.22
27,Weighted Average Shares Outstanding,7581000,7674534,7780766,7799279,10565961,- -,12287469,12291528,12292716,12293209,12293209,12308193,12472778,12542962,12612990,12624959,12642517,12765774,12869618,13066641,13144489,13197918,13203436,13203436,13205936,13207436,13348582,14324136
28,Weighted Average Shares Outstanding Diluted,7581000,7674534,7780766,12279643,12547427,- -,12287469,12291528,12292716,12293209,12761159,12832323,13066641,13298687,13242707,12930575,12881542,12765774,12869618,13265486,13703005,13639074,13203436,13203436,13205936,13207436,13348582,14811259
29,SEC Link,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/814676/000081467602000001/0000814676-02-000001-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467603000002/0000814676-03-000002-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467604000002/0000814676-04-000002-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467605000005/0000814676-05-000005-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467606000001/0000814676-06-000001-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467607000004/0000814676-07-000004-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467608000002/0000814676-08-000002-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467609000004/0000814676-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467610000003/0000814676-10-000003-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467611000003/0000814676-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467612000010/0000814676-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467613000011/0000814676-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467614000022/0000814676-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467615000019/0000814676-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467616000065/0000814676-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467617000013/0000814676-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467618000010/0000814676-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467619000013/0000814676-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467620000013/0000814676-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467621000015/0000814676-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000143774922005852/0001437749-22-005852-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,252503,30000,110000,560000,1500000,- -,670000,300000,150000,190000,460000,747542,520000,470000,1160000,1070000,1800000,1142429,310000,1570000,2305580,3412650,3407760,1339570,628800,133970,195203,5050
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,252503,30000,110000,560000,1500000,- -,670000,300000,150000,190000,460000,747542,520000,470000,1160000,1070000,1800000,1142429,310000,1570000,2305580,3412650,3407760,1339570,628800,133970,195203,5050
34,Net Receivables,243128,210000,140000,630000,550000,- -,800000,790000,390000,660000,1310000,1233088,2920000,2390000,2140000,2590000,3920000,3112960,2880000,2900000,3589190,3572480,1959606,2943370,3053090,4086950,2914801,4870
35,Inventory,56126,30000,160000,120000,200000,- -,570000,630000,350000,350000,620000,746743,860000,1420000,1690000,2070000,1520000,3138617,2460000,2180000,2528950,2632440,1970961,2109510,3192930,3099820,3709471,3912
36,Other Current Assets,52662,10000,- -,20000,- -,- -,- -,10000,10000,40000,30000,51706,430000,600000,910000,700000,440000,439500,490000,830000,849760,104760,88443,101090,156350,147780,71506,226
37,Total Current Assets,604419,280000,410000,1330000,2250000,- -,2040000,1730000,900000,1240000,2420000,2779079,4730000,4880000,5900000,6430000,7680000,7833506,6140000,7480000,9273480,9722330,7426770,6493540,7031170,7468520,6890981,14058
38,PP&E,324833,240000,380000,570000,720000,- -,1040000,1010000,1060000,680000,830000,891176,1660000,2130000,2470000,2110000,2180000,2307045,1780000,1830000,1757540,1688550,1783627,1490500,1273190,1407880,1312946,1919
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1193761,- -,- -,- -,- -,2827349,- -,- -,- -,107996,2824
44,Other Non-Current Assets,2623,10000,- -,- -,10000,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,690000,750000,- -,2430000,1830000,1617500,2150760,- -,3038670,186740,147870,- -,- -
45,Total Non-Current Assets,327456,250000,380000,570000,730000,- -,1040000,1020000,1060000,680000,830000,891176,1660000,2130000,2470000,2800000,2930000,3500806,4210000,3660000,3375040,3839310,4610976,4529170,1459930,1555750,1420942,4743
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,931875,530000,790000,1900000,2980000,- -,3080000,2750000,1960000,1920000,3250000,3670255,6390000,7010000,8370000,9230000,10610000,11334312,10350000,11140000,12648520,13561640,12037746,11022710,8491100,9024270,8311923,18801
48,Accounts Payable,168623,180000,130000,160000,100000,- -,300000,410000,140000,170000,500000,312829,980000,510000,290000,500000,810000,1463997,1180000,1090000,1352420,1622560,662482,946390,1680260,1436420,909290,2100
49,Short-Term Debt,250000,500000,450000,210000,- -,- -,52061000,- -,70135,96649,86532,214054,265502,331233,264489,269422,253167,208504,623366,76372,- -,- -,- -,- -,- -,1397588,83134,211
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,456,33501,15334,2149,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,9884000,133884000,133884000,133884000,133884000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,21110000,12177,1707
52,Other Current Liabilities,351014,2340000,3030000,2740000,240000,- -,-61745000,-133724000,-133774135,-133760649,-133710532,280357,514498,488767,675511,640578,886833,660031,936634,1113628,1049610,931920,623959,655480,975320,-20273728,804091,1086
53,Total Current Liabilities,769637,3020000,3610000,3110000,340000,- -,500000,570000,320000,390000,760000,807240,1760000,1330000,1230000,1410000,1950000,2332532,2740000,2280000,2402030,2554480,1286441,1701870,2655580,3670280,1808692,5105
54,Long-Term Debt,- -,- -,90000,310000,130000,- -,20000,90000,280000,200000,110000,- -,250000,270000,150000,260000,180000,- -,80000,- -,- -,- -,- -,- -,- -,- -,154570,431
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,688000000,745505000,- -,2432148000,649420,1617497000,467374,- -,3038666,186747,- -,- -,- -
57,Other Non-Current Liabilities,1620000,- -,- -,- -,130000,- -,130000,130000,140000,130000,130000,311882,- -,- -,10000,-687990000,-745505000,199738,-2432148000,1825832580,- -,1682907626,- -,- -,- -,23000,- -,99
58,Total Non-Current Liabilities,1620000,- -,90000,310000,260000,- -,150000,220000,420000,330000,240000,311882,250000,270000,160000,270000,180000,199738,80000,1826482000,1617497000,1683375000,- -,- -,- -,23000,154570,530
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,283676,195794,109332,311882,245839,273638,416682,532181,428728,408242,199738,76372,- -,- -,- -,- -,- -,171000,25000,- -
61,Total Liabilities,2389637,3020000,3700000,3420000,600000,- -,650000,790000,740000,720000,1000000,1119122,2010000,1600000,1390000,1680000,2130000,2532270,2820000,2280000,2402030,2554480,1286441,1701870,2655580,3693280,1963262,5634
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,76108,80000,80000,80000,120000,- -,120000,120000,120000,120000,120000,123491,130000,130000,130000,130000,130000,129220,130000,130000,132930,134120,134235,134240,134260,134280,- -,144
64,Retained Earnings,-31860201,-32970000,-33380000,-32000000,-30330000,- -,-30290000,-30770000,-31500000,-31520000,-30480000,-30190617,-28410000,-27460000,-25990000,-25430000,-24720000,-24762759,-26280000,-25320000,-24315560,-23864950,-24318562,-26036260,-29742230,-30380430,- -,-26256
65,Other Comprehensive Income/Loss,-825677,-770000,-830000,-970000,-1000000,- -,-1030000,-1380000,-1740000,-2140000,-2430000,-2579575,-2980000,-3460000,-4050000,-4780000,-5400000,-6154193,-6880000,-7470000,-8047560,-8593240,-8720219,-9287010,-9722770,-10110660,- -,- -
66,Other Total Stockholders Equity,31152008,31170000,31220000,31370000,33600000,- -,33630000,33980000,34340790,34741761,35032193,35197834,35641174,36196014,36890686,37633421,38475550,39589774,40562140,41524531,42476672,43331225,43655851,44509864,45166261,45687800,6348661,39279
67,Total Stockholders Equity,-1457762,-2490000,-2910000,-1520000,2390000,- -,2430000,1950000,1220790,1201761,2242193,2551133,4381174,5406014,6980686,7553421,8485550,8802042,7532140,8864531,10246482,11007155,10751305,9320834,5835521,5330990,6357664,13166
68,Total Liabilities And Stockholders Equity,931875,530000,790000,1900000,2990000,- -,3080000,2740000,1960790,1921761,3242193,3670255,6391174,7006014,8370686,9233421,10615550,11334312,10352140,11144531,12648512,13561635,12037746,11022704,8491101,9024270,8320926,18801
69,Minority Interest,- -,- -,- -,- -,-10000,- -,- -,10000,-790,-1761,7807,- -,-1174,3986,-686,-3421,-5550,- -,-2140,-4531,8,5,- -,6,-1,- -,-9003,- -
70,Total Liabilities & Equity,931875,530000,790000,1900000,2980000,- -,3080000,2750000,1960000,1920000,3250000,3670255,6390000,7010000,8370000,9230000,10610000,11334312,10350000,11140000,12648520,13561640,12037746,11022710,8491100,9024270,8311923,18801
71,SEC Link,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/814676/000081467602000001/0000814676-02-000001-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467603000002/0000814676-03-000002-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467604000002/0000814676-04-000002-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467605000005/0000814676-05-000005-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467606000001/0000814676-06-000001-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467607000004/0000814676-07-000004-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467608000002/0000814676-08-000002-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467609000004/0000814676-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467610000003/0000814676-10-000003-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467611000003/0000814676-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467612000010/0000814676-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467613000011/0000814676-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467614000022/0000814676-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467615000019/0000814676-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467616000065/0000814676-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467617000013/0000814676-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467618000010/0000814676-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467619000013/0000814676-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467620000013/0000814676-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467621000015/0000814676-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000143774922005852/0001437749-22-005852-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1916743,-1110000,-410000,1380000,1670000,- -,-200000,-480000,-740000,-20000,1040000,287100,1780000,950000,1480000,560000,710000,-45735,-1520000,970000,1002770,450620,-453617,-1717700,-3705970,-638200,899061,3215877
74,Depreciation and Amortization,149037,116048,113360,152494,182834,- -,314709,351715,371097,400579,296186,304824,395028,488949,599206,724308,748859,751411,723092,615348,576745,545673,550761,566787,568164,525783,530420,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144000,-299155,-479541,222417,-380538,-1306156,311071,175437,-26347,- -,-211317,2851919,38874,30873,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26696,10320,163431,210125,242793,248535,348649,283507,193117,287231,220654,133671,117842,- -
77,Change in Working Capital,150236,-2574782,-460000,1420000,3690000,- -,-280000,-380000,-580000,270000,810000,311839,998161,580000,1120000,350000,710000,-229026,-2100974,1800000,1671450,296400,-1027521,-1348659,-416080,-577350,1284049,-5073336
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249984,-472228,-1353032,791991,236811,-24308,-688731,16712,1612873,-983767,-109718,-1033854,1172145,- -
79,Inventory,27406,27100,-127419,33120,-80875,- -,-259784,-60737,-47797,-10948,-265400,-123648,-115284,-554237,-273436,-382510,548452,-1614859,681302,273616,-345255,-103490,661483,-138552,-1083420,93109,-609647,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-219195,211442,312188,651433,-284684,-87404,260509,270146,-960082,283903,733878,-243846,-527126,2100251000
81,Other Working Capital,-165218,-2740000,-3200000,-1780000,1910000,- -,1540000,1160000,580000,850000,1660000,1971839,2970000,3550000,4670000,5020000,5730000,5500974,3400000,5200000,6871450,7167850,6140329,4791670,4375590,3798240,5082289,8953
82,Other Non-Cash Items,-50696,3003400,959496,-2168327,-3939743,- -,-220078,392755,993684,-532922,-1334581,-597827,-2263548,-1071717,-1219031,-1002821,-954815,-224491,3034828,-1507874,-2493186,7352,1333556,629128,107752,-744676,-1194402,1857459
83,Cash Provided by Operating Activities,-1668166,-565334,202856,784167,1603091,- -,-385369,-115530,44781,117657,811605,305936,909641,803232,1707716,162266,1599892,81746,-926417,2437080,1281865,1557205,596296,-1794530,-373561,-1261898,1667843,- -
84,CAPEX,-100995,-41327,-147768,-212827,-332954,- -,-357815,-201263,-136792,-9427,-449112,-373253,-954369,-537076,-741677,-293521,-640056,-635255,-209987,-666915,-501501,-476683,-645835,-273658,-350852,-489475,-322991,- -
85,Acquisitions Net,- -,-65893,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,80667,9710,26116,-2735,50100,- -,134115,8934,- -,- -,2500,5000,- -,- -,- -,100,- -,- -,- -,- -,- -,- -,40000,- -,13645,6946,11000,- -
89,Cash Used for Investing Activites,-20328,-97510,-121652,-215562,-282854,- -,76300,-192329,-136792,-9427,-446612,-368253,-954369,-537076,-741677,-293421,-640056,-635255,-209987,-666915,-501501,-476683,-605835,-273658,-337207,-482529,-311991,- -
90,Debt Repayment,-28691,-7532,- -,-128657,-387034,- -,- -,- -,- -,- -,- -,- -,- -,- -,-353319,-348447,-288723,-259386,-208504,-123366,-76372,- -,- -,- -,-900000,- -,-1295382,- -
91,Common Stock Issued,10355,- -,- -,7887,4405,- -,270,876,157,- -,- -,21840,35235,20550,73640,- -,35360,99533,9333,93360,111726,172670,11835,- -,- -,- -,- -,143508000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73480,- -,-93360,-106908,-172470,-10000,- -,- -,- -,- -,-2515000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1870000,450000,- -,- -,- -,- -,-52332,-65662,-57120,-69469,-96579,330072,-220509,-332187,- -,394783,23149,126049,500000,-382599,25716,26347,2815,- -,- -,1249588,768,- -
95,Cash Used/Provided by Financing Activities,1851664,442468,- -,-120770,-382629,- -,-52062,-64786,-56963,-69469,-96579,351912,-185274,-311637,-279679,46336,-230214,-107284,300829,-505965,-45838,26547,4650,- -,- -,1249588,-1294614,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,163170,-220376,81204,447835,937608,- -,-361131,-372645,-148974,38761,268414,289595,-230002,-45481,686360,-84819,729622,-660793,-835575,1264200,734526,1107069,-4889,-2068188,-710768,-494839,61238,- -
98,Cash at the End of Period,252503,32127,113331,561166,1498774,- -,672391,299746,150772,189533,457947,747542,517540,472059,1158419,1073600,1803222,1142429,306854,1571054,2305580,3412649,3407760,1339572,628804,133965,195203,- -
99,Cash at the Beginning of Period,89333,252503,32127,113331,561166,- -,1033522,672391,299746,150772,189533,457947,747542,517540,472059,1158419,1073600,1803222,1142429,306854,1571054,2305580,3412649,3407760,1339572,628804,133965,195203
100,Free Cash Flow,-1769161,-606661,55088,571340,1270137,- -,-743184,-316793,-92011,108230,362493,-67317,-44728,266156,966039,-131255,959836,-553509,-1136404,1770165,780364,1080522,-49539,-2068188,-724413,-1751373,1344852,- -
101,SEC Link,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/814676/000081467602000001/0000814676-02-000001-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467603000002/0000814676-03-000002-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467604000002/0000814676-04-000002-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467605000005/0000814676-05-000005-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467606000001/0000814676-06-000001-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467607000004/0000814676-07-000004-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467608000002/0000814676-08-000002-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467609000004/0000814676-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467610000003/0000814676-10-000003-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467611000003/0000814676-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467612000010/0000814676-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467613000011/0000814676-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467614000022/0000814676-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467615000019/0000814676-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467616000065/0000814676-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467617000013/0000814676-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467618000010/0000814676-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467619000013/0000814676-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467620000013/0000814676-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000081467621000015/0000814676-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/814676/000143774922005852/0001437749-22-005852-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
