,https://roic.ai/company/CLW,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1441236/000119312509056925/0001193125-09-056925-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000119312510043151/0001193125-10-043151-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000119312511063935/d10k.htm,https://www.sec.gov/Archives/edgar/data/1441236/000119312512078152/0001193125-12-078152-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000144530513000301/0001445305-13-000301-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000144530514000491/clw201310-k.htm,https://www.sec.gov/Archives/edgar/data/1441236/000162828015001105/clw201410-k.htm,https://www.sec.gov/Archives/edgar/data/1441236/000162828016011455/0001628280-16-011455-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000144123617000002/0001441236-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000162828018001924/0001628280-18-001924-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000162828019003083/0001628280-19-003083-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000162828020003186/0001628280-20-003186-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000150433721000009/0001504337-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1441236/000150433722000007/0001504337-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,170000,9000,3218000,2824000,18928000,8439000,12579000,23675000,27331000,5610000,23001000,15738000,22484000,20000000,35900000,25200000
32,Short-Term Investments,- -,- -,10800000,187926000,126095000,55001000,20000000,70000000,50000000,250000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,170000,9000,14018000,190750000,145023000,63440000,32579000,93675000,77331000,5860000,23001000,15738000,22484000,20000000,35900000,25200000
34,Net Receivables,113973000,95193000,104030000,195801000,163689000,186189000,174971000,169377000,135169000,153903000,156783000,162347000,151820000,159400000,160600000,167400000
35,Inventory,135302000,140526000,154351000,169761000,228321000,244071000,231466000,267788000,286626000,255573000,258029000,266043000,266244000,281400000,263300000,277700000
36,Other Current Assets,9973000,10046000,17180000,15979000,52426000,51631000,29450000,44561000,27451000,11601000,8682000,8661000,3399000,5000000,15100000,16900000
37,Total Current Assets,259418000,245774000,289579000,572291000,589459000,545331000,468466000,575401000,526577000,426937000,446495000,452789000,443947000,465800000,474900000,487200000
38,PP&E,441763000,413170000,389867000,364024000,654456000,735566000,877377000,884698000,810987000,866538000,945328000,1050982000,1269271000,1330800000,1255000000,1081800000
39,Goodwill,- -,- -,- -,- -,229533000,229533000,229533000,229533000,209087000,209087000,244283000,244161000,35074000,35100000,35100000,- -
40,Intangible Assets,- -,- -,- -,- -,56400000,49748000,47753000,40778000,24956000,19990000,40485000,32542000,24080000,16900000,13700000,- -
41,Intangible Assets,- -,- -,- -,- -,285933000,279281000,277286000,270311000,234043000,229077000,284768000,276703000,59154000,52000000,48800000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,40237000,37150000,3820000,11148000,15488000,11140000,10327000,14415000,14321000,4817000,7751000,21778000,15746000,29100000,21700000,121100000
45,Total Non-Current Assets,482000000,450320000,393687000,375172000,955877000,1025987000,1164990000,1169424000,1059351000,1100432000,1237847000,1349463000,1344171000,1411900000,1325500000,1202900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,741418000,696094000,683266000,947463000,1545336000,1571318000,1633456000,1744825000,1585928000,1527369000,1684342000,1802252000,1788118000,1877700000,1800400000,1690100000
48,Accounts Payable,- -,- -,- -,40715000,91688000,65040000,75949000,108192000,122856000,128045000,128106000,169293000,228059000,149600000,143400000,168300000
49,Short-Term Debt,- -,- -,159086000,9933000,760000,- -,- -,- -,- -,- -,135000000,155000000,120833000,31800000,17000000,17700000
50,Tax Payable,- -,- -,- -,10980000,10249000,11257000,16421000,6322000,5622000,5112000,6946000,6907000,6243000,7100000,10500000,10900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,92265000,117068000,116471000,69060000,102665000,89452000,98784000,91234000,100885000,99882000,103414000,94959000,100403000,99000000,84400000,68100000
53,Total Current Liabilities,92265000,117068000,275557000,119708000,195113000,154492000,174733000,199426000,223741000,227927000,366520000,419252000,449295000,280400000,244800000,254100000
54,Long-Term Debt,101043000,102093000,- -,148285000,538314000,523694000,523933000,650000000,575000000,568987000,569755000,570524000,671292000,863900000,770700000,637600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,11668000,11205000,12360000,9386000,9013000,5576000,4511000,- -,- -,- -
56,Deferred Tax Liabilities,83333000,74820000,1837000,- -,61064000,69358000,60124000,124898000,111634000,118118000,152172000,118528000,121182000,121300000,158100000,213100000
57,Other Non-Current Liabilities,130850000,129293000,224883000,315734000,282496000,338870000,322104000,154202000,165656000,128085000,117009000,112938000,115442000,180100000,105700000,73600000
58,Total Non-Current Liabilities,315226000,306206000,226720000,464019000,881874000,931922000,917829000,940305000,864650000,824576000,847949000,807566000,912427000,1165300000,1034500000,924300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,3234000,5825000,23369000,- -,25240000,24815000,24805000,24054000,23152000,26460000,27419000,101500000,69600000,16100000
61,Total Liabilities,407491000,423274000,502277000,583727000,1076987000,1086414000,1092562000,1139731000,1088391000,1052503000,1214469000,1226818000,1361722000,1445700000,1279300000,1178400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,381381000,321648000,1000,1000,1000,1000,2000,2000,2000,2000,2000,2000,2000,- -,- -,- -
64,Retained Earnings,- -,- -,-385000,182079000,255879000,295553000,359684000,466639000,464324000,520307000,569861000,618254000,487339000,481700000,558800000,530700000
65,Other Comprehensive Income/Loss,-47454000,-48828000,-126149000,-126962000,-98352000,-115265000,-115693000,-58093000,-70863000,-55548000,-51753000,-43983000,-67348000,-59500000,-54300000,-42600000
66,Other Total Stockholders Equity,- -,- -,307522000,308618000,310821000,304615000,296901000,196546000,104074000,10105000,-48237000,1161000,6403000,10300000,- -,- -
67,Total Stockholders Equity,333927000,272820000,180989000,363736000,468349000,484904000,540894000,605094000,497537000,474866000,469873000,575434000,426396000,432000000,521100000,511700000
68,Total Liabilities And Stockholders Equity,741418000,696094000,683266000,947463000,1545336000,1571318000,1633456000,1744825000,1585928000,1527369000,1684342000,1802252000,1788118000,1877700000,1800400000,1690100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,741418000,696094000,683266000,947463000,1545336000,1571318000,1633456000,1744825000,1585928000,1527369000,1684342000,1802252000,1788118000,1877700000,1800400000,1690100000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1441236/000119312509056925/0001193125-09-056925-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000119312510043151/0001193125-10-043151-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000119312511063935/d10k.htm,https://www.sec.gov/Archives/edgar/data/1441236/000119312512078152/0001193125-12-078152-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000144530513000301/0001445305-13-000301-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000144530514000491/clw201310-k.htm,https://www.sec.gov/Archives/edgar/data/1441236/000162828015001105/clw201410-k.htm,https://www.sec.gov/Archives/edgar/data/1441236/000162828016011455/0001628280-16-011455-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000144123617000002/0001441236-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000162828018001924/0001628280-18-001924-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000162828019003083/0001628280-19-003083-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000162828020003186/0001628280-20-003186-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000150433721000009/0001504337-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1441236/000150433722000007/0001504337-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,21125000,25566000,9743000,182464000,73800000,39674000,64131000,106955000,-2315000,55983000,49554000,97339000,-143767000,-5600000,77100000,-28100000
74,Depreciation and Amortization,54290000,51325000,46954000,47418000,47728000,76933000,79333000,90272000,90145000,84732000,91090000,104990000,101953000,115600000,111000000,105000000
75,Deferred Income Tax,8342000,-8125000,4934000,-4597000,-14991000,14777000,12870000,-69679000,13851000,15061000,19085000,-40589000,7084000,-300000,33500000,-9700000
76,Stock Based Compensation,1350000,3299000,2322000,3012000,8518000,8134000,9703000,10960000,12790000,4557000,12385000,3620000,3314000,4100000,10500000,9100000
77,Change in Working Capital,13891000,-38447000,-114684000,438561000,-58237000,-3507000,-97106000,82242000,-73139000,-103826000,-119035000,-46438000,-38885000,190748000,44700000,-25300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13600000,6100000,-5300000
79,Inventory,32086000,-6591000,-13960000,-16783000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21200000,18100000,-20200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16500000,- -
81,Other Working Capital,167153000,128706000,14022000,452583000,394346000,390839000,293733000,375975000,302836000,199010000,79975000,33537000,-5348000,185400000,230100000,- -
82,Other Non-Cash Items,-2827000,75050000,92789000,-442094000,128773000,-67616000,129762000,-84393000,97768000,103168000,119672000,58748000,239200000,-248948000,-29800000,45400000
83,Cash Provided by Operating Activities,96171000,108668000,42058000,224764000,185591000,68395000,198693000,136357000,139100000,159675000,172751000,177670000,168899000,55600000,247000000,96400000
84,CAPEX,-27505000,-20531000,-21306000,-19328000,-46086000,-134069000,-203776000,-90593000,-93028000,-128902000,-155349000,-199748000,-295708000,-140100000,-39600000,-38400000
85,Acquisitions Net,- -,- -,- -,- -,-243778000,- -,-9264000,- -,- -,- -,-67443000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-10800000,-177126000,- -,- -,- -,-50000000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,61926000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-27447000,-20499000,575000,67000,- -,83920000,36036000,- -,128715000,50354000,286000,951000,71737000,- -,- -,13300000
89,Cash Used for Investing Activites,-27447000,-20499000,-31531000,-196387000,-227938000,-50149000,-177004000,-140593000,35687000,-78548000,-222506000,-198797000,-223971000,-140100000,-39600000,-25100000
90,Debt Repayment,- -,- -,-79882000,-50000000,-304667000,-15595000,- -,-150000000,-375000000,- -,-1138959000,-278308000,-565015000,-760700000,-571400000,-81000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-11350000,-18650000,-100000000,-100000000,-99990000,-65327000,-4875000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-68687000,-88330000,72564000,21229000,363118000,-2151000,1101000,265332000,303869000,-2858000,1271432000,297047000,628296000,842700000,378500000,-1000000
95,Cash Used/Provided by Financing Activities,-68687000,-88330000,-7318000,-28771000,58451000,-29096000,-17549000,15332000,-171131000,-102848000,67146000,13864000,63281000,82000000,-192900000,-82000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,37000,-161000,3209000,-394000,16104000,-10489000,4140000,11096000,3656000,-21721000,17391000,-7263000,8209000,-2500000,14500000,-10700000
98,Cash at the End of Period,170000,9000,3218000,2824000,18928000,8439000,12579000,23675000,27331000,5610000,23001000,15738000,24947000,22400000,36900000,26200000
99,Cash at the Beginning of Period,133000,170000,9000,3218000,2824000,18928000,8439000,12579000,23675000,27331000,5610000,23001000,16738000,24900000,22400000,36900000
100,Free Cash Flow,68666000,88137000,20752000,205436000,139505000,-65674000,-5083000,45764000,46072000,30773000,17402000,-22078000,-126809000,-84500000,207400000,58000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1441236/000119312509056925/0001193125-09-056925-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000119312510043151/0001193125-10-043151-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000119312511063935/d10k.htm,https://www.sec.gov/Archives/edgar/data/1441236/000119312512078152/0001193125-12-078152-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000144530513000301/0001445305-13-000301-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000144530514000491/clw201310-k.htm,https://www.sec.gov/Archives/edgar/data/1441236/000162828015001105/clw201410-k.htm,https://www.sec.gov/Archives/edgar/data/1441236/000162828016011455/0001628280-16-011455-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000144123617000002/0001441236-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000162828018001924/0001628280-18-001924-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000162828019003083/0001628280-19-003083-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000162828020003186/0001628280-20-003186-index.html,https://www.sec.gov/Archives/edgar/data/1441236/000150433721000009/0001504337-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1441236/000150433722000007/0001504337-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,
