,https://roic.ai/company/API,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,316563575,371129518,692903737,944999000
69,Minority Interest,-189255444,-239970397,- -,- -
70,Total Liabilities & Equity,127308131,131159121,692903737,944999000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1802883/000180288321000011/0001802883-21-000011-index.htm,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,376116,-6177438,-3114860,-72356000
74,Depreciation and Amortization,922351,1867734,4461528,13938000
75,Deferred Income Tax,- -,- -,- -,238000
76,Stock Based Compensation,2850352,3405084,11975159,31481000
77,Change in Working Capital,-3612718,1611043,-6757543,5304000
78,Accounts Receivable,- -,- -,-9788503,-3685000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,806508,1121563,1753706,-734000
81,Other Working Capital,-403894,-168928,712586,776000
82,Other Non-Cash Items,- -,- -,- -,1395000
83,Cash Provided by Operating Activities,536101,706423,6564284,-20000000
84,CAPEX,-2260791,-4802253,-12879553,-12474000
85,Acquisitions Net,- -,- -,556361,-50428000
86,Purchases of Investments,-1511800,-97558282,-522729746,-553406000
87,Sales/Maturities of Investments,- -,99007872,- -,558618000
88,Other Investing Activites,- -,- -,- -,-263000
89,Cash Used for Investing Activites,-3772591,-3352663,-535052938,-57690000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,483628037,249950000
92,Common Stock Repurchased,-784799,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,66556608,- -,50010002,1987000
95,Cash Used/Provided by Financing Activities,65771809,- -,533638039,251937000
96,Effect of Forex Changes on Cash,-555985,-268646,465068,279000
97,Net Change In Cash,61979334,-2914886,5614453,174526000
98,Cash at the End of Period,108598039,105683153,111297606,285824000
99,Cash at the Beginning of Period,46618705,108598039,105683153,111298000
100,Free Cash Flow,-1724690,-4095830,-6315269,-32474000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1802883/000180288321000011/0001802883-21-000011-index.htm,- -
102,false,,,,
