,https://roic.ai/company/APRN,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-30803000,-46965000,-54886000,-210143000,-122149000,-61081000,-46154000,-88381000
24,Net Income ratio,-0.3959,-0.1378,-0.0690,-0.2385,-0.1830,-0.1343,-0.1002,-0.1879
25,EPS,-3.07,-4.63,-5.40,-24.60,-9.45,-4.67,-3.06,-5.85
26,EPS Diluted,-3.07,-4.63,-5.40,-24.60,-9.45,-4.67,-3.06,-5.85
27,Weighted Average Shares Outstanding,10041127,10152087,10041127,8537198,12845325,13089908,15098783,15098783
28,Weighted Average Shares Outstanding Diluted,10041127,10152087,10041127,8537198,12845325,13089908,15098783,15098783
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1701114/000155837018000955/0001558370-18-000955-index.html,https://www.sec.gov/Archives/edgar/data/1701114/000155837019001009/0001558370-19-001009-index.html,https://www.sec.gov/Archives/edgar/data/1701114/000155837020000920/0001558370-20-000920-index.html,https://www.sec.gov/Archives/edgar/data/1701114/000155837021001484/0001558370-21-001484-index.htm,https://www.sec.gov/Archives/edgar/data/1701114/000155837022002191/0001558370-22-002191-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,126860000,81468000,228514000,95615000,43531000,44122000,82160000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,126860000,81468000,228514000,95615000,43531000,44122000,82160000
34,Net Receivables,- -,1303000,5476000,4484000,1637000,248000,11366000,234000
35,Inventory,- -,17476000,42887000,41927000,33634000,25106000,18185000,24989000
36,Other Current Assets,- -,4029000,8267000,7824000,11116000,8864000,12401000,12249000
37,Total Current Assets,- -,149668000,138098000,282749000,142002000,77749000,86074000,119632000
38,PP&E,- -,14633000,130961000,230828000,209515000,181806000,125208000,108355000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,672000,4348000,4132000,3382000,6510000,4053000,3719000
45,Total Non-Current Assets,- -,15305000,135309000,234960000,212897000,188316000,129261000,112074000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,164973000,273407000,517709000,354899000,266065000,215335000,231706000
48,Accounts Payable,- -,29915000,49549000,30448000,22573000,23972000,23691000,27962000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3500000,3500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,6252000,24278000,27646000,12372000,6120000,6269000,7958000
52,Other Current Liabilities,- -,14222000,40911000,32615000,32594000,30366000,41632000,39952000
53,Total Current Liabilities,- -,50389000,114738000,90709000,67539000,60458000,75092000,79372000
54,Long-Term Debt,- -,- -,44533000,124687000,82603000,53464000,28747000,61772000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,196518000,247536000,78463000,85455000,84144000,47521000,10509000
58,Total Non-Current Liabilities,- -,196518000,292069000,203150000,168058000,137608000,76268000,72281000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,49809000,70347000,71696000,71689000,35957000,35886000
61,Total Liabilities,- -,246907000,406807000,293859000,235597000,198066000,151360000,151653000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,7000,7000,19000,19000,2000,2000,- -
64,Retained Earnings,- -,-83668000,-138554000,-348697000,-471238000,-531979000,-578133000,- -
65,Other Comprehensive Income/Loss,- -,-3552000,-11723000,-33494000,-67188000,-97992000,- -,- -
66,Other Total Stockholders Equity,- -,5279000,16870000,606022000,657709000,697968000,642106000,- -
67,Total Stockholders Equity,- -,-81934000,-133400000,223850000,119302000,67999000,63975000,80053000
68,Total Liabilities And Stockholders Equity,- -,164973000,273407000,517709000,354899000,266065000,215335000,231706000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,164973000,273407000,517709000,354899000,266065000,215335000,231706000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1701114/000155837018000955/0001558370-18-000955-index.html,https://www.sec.gov/Archives/edgar/data/1701114/000155837019001009/0001558370-19-001009-index.html,https://www.sec.gov/Archives/edgar/data/1701114/000155837020000920/0001558370-20-000920-index.html,https://www.sec.gov/Archives/edgar/data/1701114/000155837021001484/0001558370-21-001484-index.htm,https://www.sec.gov/Archives/edgar/data/1701114/000155837022002191/0001558370-22-002191-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-30803000,-46965000,-54886000,-210143000,-122149000,-61081000,-46154000,-88381000
74,Depreciation and Amortization,611000,2917000,8217000,26838000,34517000,31200000,24503000,22203000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,3665000,1105000,2965000,11270000,16320000,8970000,8457000,9699000
77,Change in Working Capital,9223000,97498000,-75919000,168680000,-117577000,-57172000,-6309000,-1717000
78,Accounts Receivable,-169000,- -,-130000,- -,- -,324000,132000,- -
79,Inventory,-1264000,-16224000,-25686000,451000,9786000,8618000,8066000,- -
80,Accounts Payable,9113000,18946000,3713000,-4770000,-6605000,1661000,-473000,- -
81,Other Working Capital,1781000,99279000,23360000,192040000,74463000,17291000,10982000,- -
82,Other Non-Cash Items,445000,-80951000,96078000,-149087000,111989000,61617000,14131000,9234000
83,Cash Provided by Operating Activities,-16859000,-26396000,-23545000,-152442000,-76900000,-16466000,-5372000,-48962000
84,CAPEX,-4237000,-11941000,-62827000,-124242000,-15022000,-5220000,-5997000,-5077000
85,Acquisitions Net,- -,- -,- -,-1177000,-250000,- -,- -,- -
86,Purchases of Investments,-6088000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,6000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-535000,5000,-6785000,1732000,1662000,739000,220000,1411000
89,Cash Used for Investing Activites,-10325000,-5936000,-66456000,-123687000,-13610000,-4481000,-5777000,-3666000
90,Debt Repayment,-40000,-140000,-264000,-194000,-41696000,-29156000,-55758000,-3635000
91,Common Stock Issued,- -,- -,402000,283500000,- -,- -,32867000,94232000
92,Common Stock Repurchased,-5000000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,49824000,137186000,44471000,139869000,-693000,-761000,33439000,-214000
95,Cash Used/Provided by Financing Activities,44784000,137046000,44609000,423175000,-42389000,-29917000,10548000,90383000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,17600000,104714000,-45392000,147046000,-132899000,-50864000,-601000,37755000
98,Cash at the End of Period,22146000,126860000,81468000,228514000,95615000,46443000,45842000,83597000
99,Cash at the Beginning of Period,4546000,22146000,126860000,81468000,228514000,97307000,46443000,45842000
100,Free Cash Flow,-21096000,-38337000,-86372000,-276684000,-91922000,-21686000,-11369000,-54039000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1701114/000155837018000955/0001558370-18-000955-index.html,https://www.sec.gov/Archives/edgar/data/1701114/000155837019001009/0001558370-19-001009-index.html,https://www.sec.gov/Archives/edgar/data/1701114/000155837020000920/0001558370-20-000920-index.html,https://www.sec.gov/Archives/edgar/data/1701114/000155837021001484/0001558370-21-001484-index.htm,https://www.sec.gov/Archives/edgar/data/1701114/000155837022002191/0001558370-22-002191-index.htm
102,false,,,,,,,,
