,https://roic.ai/company/GEG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,13300000,31300000,319491000,990404000,1503627000,291132000,227799000,246981000,277118000,247363000,167993000,181246000,113248000,114248000,21354000,21560000,32983000,42098000,9835000,4753000,7823000,13187000,10702000,8350000
11,COGS and Expenses,13700000,33800000,329370000,1078174000,1575269000,367091000,308865000,366978000,407015000,373529000,257396000,256146000,185552000,177611000,21354000,37841000,32983000,42098000,9835000,9532000,16404000,55484000,63431000,64590000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3642000,805000,565000,327000,189000,121000,72000,6000,1306000,2579000,2565000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1175000,590000,466000,434000,34000,3697000,4332000,4947000,6321000,1071000,6250000,7195000,5620000
14,Depreciation and Amortization,700000,2000000,225348000,663727000,568315000,38762000,23973000,20741000,24374000,30810000,20515000,10484000,7352000,6896000,4011000,282000,97000,107000,63000,340000,1124000,9233000,12504000,8669000
15,EBITDA,-9900000,-16700000,-38199000,-13279000,-674564000,-154121000,3461000,-32580000,33255000,-159283000,1990000,-71188000,5049000,-25961000,17723000,-47255000,4227000,-37156000,-9533000,-9756000,-9201000,10393000,6768000,8018000
16,EBITDA ratio,-4.5000,-1.2463,-0.5558,-0.0285,-1.8490,-0.5752,0.0119,-0.0849,0.0807,-0.5487,0.0099,-0.3714,0.0275,-0.1669,1.1776,-390.5372,0.1161,-8.2477,-Infinity,-1.9801,-1.5503,0.2031,0.1056,0.1318
17,Operating Income,-11500000,-20400000,-260643000,-701766000,-1248739000,-193039000,-20500000,-53903000,372000,-113876000,-65160000,-74113000,-7381000,-26317000,-8970000,-39491000,3404000,-37595000,-9835000,-4605000,-10469000,-4304000,667000,-3737000
18,Operating Income ratio,-5.2273,-1.5224,-3.7924,-1.5083,-3.4228,-0.7204,-0.0705,-0.1405,0.0009,-0.3923,-0.3244,-0.3866,-0.0403,-0.1692,-0.5960,-326.3719,0.0935,-8.3452,-Infinity,-0.9346,-1.7639,-0.0841,0.0104,-0.0614
19,Total Other Income Expenses (Gains),1000000,1700000,-2904000,24760000,5860000,1613000,-12000,582000,8509000,18173000,3641000,-10363000,-28000,-653000,-469000,-146000,-2951000,-3992000,-4708000,-14045000,-1201000,-4746000,-13750000,-3778000
20,Income Before Tax,- -,-18700000,-263547000,-677006000,-1242879000,-191426000,-20512000,-53321000,8881000,-95703000,-61519000,-84476000,-7409000,-26970000,-9439000,-39637000,453000,-41587000,-14543000,-18650000,-11670000,-9050000,-13083000,-7515000
21,Income Before Tax Ratio,- -,-1.3955,-3.8347,-1.4551,-3.4067,-0.7144,-0.0705,-0.1390,0.0216,-0.3297,-0.3063,-0.4407,-0.0404,-0.1734,-0.6272,-327.5785,0.0124,-9.2313,-Infinity,-3.7853,-1.9663,-0.1768,-0.2041,-0.1235
22,Income Tax expense (Gain),- -,2100000,1597000,12988000,17879000,10985000,9339000,8808000,3645000,6544000,3337000,3029000,2964000,1925000,-1289000,42000,- -,164000,-5103000,-1210000,-329000,-2182000,44000,1813000
23,Net Income,-10600000,-20800000,-265144000,-689994000,-1260758000,-203868000,-29851000,-62129000,5236000,-196637000,-21862000,-85876000,-5857000,-35248000,14567000,-47613000,433000,-41759000,9422000,-15207000,-11067000,-2908000,-12975000,-8084000
24,Net Income ratio,-4.8182,-1.5522,-3.8579,-1.4830,-3.4557,-0.7608,-0.1027,-0.1619,0.0127,-0.6774,-0.1088,-0.4480,-0.0320,-0.2266,0.9679,-393.4959,0.0119,-9.2695,Infinity,-3.0865,-1.8647,-0.0568,-0.2024,-0.1328
25,EPS,-33.00,-48.21,-123.27,-134.92,-235.54,-39.47,-5.18,-10.03,0.65,-23.51,-2.91,-11.21,-0.75,-2.91,1.83,-5.72,0.04,-3.99,0.90,-0.93,-0.46,-0.11,-0.51,-0.31
26,EPS Diluted,-33.00,-48.21,-123.27,-134.92,-235.54,-39.47,-5.18,-10.03,0.65,-23.51,-2.91,-11.21,-0.75,-2.96,1.82,-5.72,0.04,-3.99,0.90,-0.93,-0.46,-0.11,-0.51,-0.31
27,Weighted Average Shares Outstanding,321234,430611,2152750,5113006,5353069,5499883,5778232,6180696,7625579,8368839,7647278,7692810,7743258,7843132,8007919,8424201,10018199,10385517,10473748,16433000,24277000,25210000,25418000,25722000
28,Weighted Average Shares Outstanding Diluted,321234,430611,2152750,5113006,5353069,5499883,5778232,6470488,7911662,8368839,7647278,7692810,7743258,7843132,8007919,8424201,10080423,10385517,10473748,16433000,24277000,25210000,25418000,25722000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1831096/000156459021048342/0001564590-21-048342-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,139339000,231509000,126462000,175431000,80581000,196150000,91545000,60935000,47266000,39709000,47613000,93877000,73755000,80711000,45894000,42962000,12122000,40519000,24382000
32,Short-Term Investments,- -,- -,- -,- -,- -,33345000,38262000,110093000,256420000,160063000,28659000,17537000,45211000,33947000,43860000,10793000,40068000,11713000,- -,20886000,18172000,17110000,8705000,50534000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,172684000,269771000,236555000,431851000,240644000,224809000,109082000,106146000,81213000,83569000,58406000,133945000,85468000,80711000,66780000,61134000,29232000,49224000,74916000
34,Net Receivables,- -,- -,- -,- -,- -,62125000,78421000,144853000,152547000,72894000,93550000,31107000,31160000,22293000,- -,88000,- -,- -,- -,1060000,1338000,10253000,9050000,8183000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1336000,1470000,1066000
36,Other Current Assets,- -,- -,- -,- -,- -,13218000,15694000,21961000,18564000,51582000,45740000,26801000,18018000,15808000,3960000,17671000,1044000,659000,110000,174000,1122000,1579000,1584000,4369000
37,Total Current Assets,- -,- -,- -,- -,- -,248027000,363886000,403369000,602962000,365120000,364099000,166990000,155324000,119314000,87529000,76165000,134989000,86127000,80821000,68014000,63594000,42400000,61328000,88534000
38,PP&E,- -,- -,- -,- -,- -,44582000,30552000,16765000,20784000,19834000,13941000,11566000,8365000,6680000,452000,212000,187000,110000,- -,1729000,1562000,16746000,14285000,13613000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,148807000,65560000,59281000,- -,267000,267000,- -,- -,- -,- -,- -,- -,- -,50397000,50010000,50536000
40,Intangible Assets,- -,- -,- -,- -,- -,6283000,2951000,75047000,55727000,20602000,7242000,3880000,2200000,553000,- -,- -,2061000,1595000,- -,4102000,9400000,17576000,15129000,8928000
41,Intangible Assets,- -,- -,- -,- -,- -,6283000,2951000,75047000,204534000,86162000,66523000,3880000,2467000,820000,- -,- -,2061000,1595000,- -,4102000,9400000,67973000,65139000,59464000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17618000,22453000,21003000,9423000,- -,11745000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,67777000,79119000,54112000,90309000,77171000,60181000,8313000,- -,- -,89000,1861000,1459000,1052000,930000,2849000,59031000,55607000,54693000,258000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,118642000,112622000,145924000,315627000,183167000,140645000,41377000,33285000,28503000,9964000,2073000,15452000,2757000,930000,8680000,69993000,140326000,134117000,73335000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,366669000,476508000,549293000,918589000,548287000,504744000,208367000,188609000,147817000,97493000,78238000,150441000,88884000,81751000,76694000,133587000,182726000,195445000,161869000
48,Accounts Payable,- -,- -,- -,- -,- -,3844000,4697000,10861000,14951000,10288000,4918000,5348000,4658000,7014000,6088000,2317000,1181000,678000,521000,52000,32000,5158000,5007000,5521000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149842000,- -,- -,- -,- -,- -,- -,- -,34640000,671000,2335000,7019000,11290000,3894000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1241000,256000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,73790000,60662000,72994000,58964000,46342000,48239000,38349000,35132000,29088000,- -,- -,5005000,5005000,- -,- -,- -,- -,5652000,4438000
52,Other Current Liabilities,- -,- -,- -,- -,- -,54735000,47108000,74665000,77619000,101299000,80174000,38406000,35712000,45470000,20990000,8154000,19340000,5055000,9753000,5005000,6143000,5891000,3565000,19152000
53,Total Current Liabilities,- -,- -,- -,- -,- -,132369000,112467000,158520000,151534000,157929000,283173000,82103000,75502000,81572000,27078000,10471000,25526000,10738000,44914000,5728000,8510000,18068000,25514000,33005000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,146542000,147367000,148494000,149017000,- -,- -,- -,- -,- -,22096000,25693000,29874000,- -,4564000,60160000,95151000,100966000,25717000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11901000,11800000,9370000,- -,- -,28566000,24562000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,5025000,11417000,1349000,98000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,52022000,44467000,81977000,68791000,69740000,67458000,41667000,28548000,13930000,1786000,1744000,7585000,206000,16000,186000,331000,4425000,4285000,39238000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,52022000,191009000,234369000,228702000,220106000,67556000,53568000,40348000,23300000,1786000,23840000,61844000,54642000,16000,4750000,60491000,99576000,105251000,64955000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2061000,1640000,6533000,5677000,5516000
61,Total Liabilities,- -,- -,- -,- -,- -,184391000,303476000,392889000,380236000,378035000,350729000,135671000,115850000,104872000,28864000,34311000,87370000,65380000,44930000,10478000,69001000,117644000,130765000,97960000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,181000,64000,70000,95000,83000,83000,83000,84000,85000,89000,100000,111000,112000,9000,23000,25000,25000,26000,26000
64,Retained Earnings,- -,- -,- -,- -,- -,-2536389000,-2566240000,-2628369000,-2807213000,-3003850000,-3025897000,-3106218000,-3112075000,-3147323000,-3132756000,-3180369000,-3179936000,-3221695000,-3212273000,-3227480000,-3238547000,-3244374000,-3257349000,-3265433000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-2387000,-2931000,-14211000,-1724000,2485000,-1120000,-5432000,-2515000,-1592000,-784000,2000,24000,234000,- -,- -,-31000,-4550000,-7313000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,2720873000,2742139000,2798914000,3347195000,3171534000,3180949000,3184263000,3187265000,3191775000,3202080000,3224194000,3242872000,3244853000,3249085000,3293683000,3302917000,3309965000,3325430000,3319767000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,182278000,173032000,156404000,538353000,170252000,154015000,72696000,72759000,42945000,68629000,43927000,63071000,23504000,36821000,66226000,64364000,61066000,60794000,54360000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,366669000,476508000,549293000,918589000,548287000,504744000,208367000,188609000,147817000,97493000,78238000,150441000,88884000,81751000,76704000,133365000,178710000,191559000,152320000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,222000,4016000,3886000,9549000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,366669000,476508000,549293000,918589000,548287000,504744000,208367000,188609000,147817000,97493000,78238000,150441000,88884000,81751000,76694000,133587000,182726000,195445000,161869000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1831096/000156459021048342/0001564590-21-048342-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10600000,-20800000,-265144000,-689994000,-1260758000,-203868000,-29851000,-62129000,5236000,-196637000,-21862000,-85876000,-5857000,-35248000,14567000,-47613000,433000,-41759000,9422000,-15207000,-11067000,-2908000,-12975000,-8084000
74,Depreciation and Amortization,700000,2000000,225348000,663727000,568315000,38762000,23973000,20741000,24374000,30810000,20515000,10484000,7352000,6896000,4011000,282000,97000,107000,63000,340000,1124000,9233000,12504000,8669000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1775000,-3150000,-6271000,-7785000,-1273000,-98000,- -,- -,- -,- -,- -,- -,- -,- -,148000,-2266000,36000,684000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3156000,2014000,2483000,8405000,7775000,4352000,2100000,2029000,1963000,4425000,978000,548000,1755000
77,Change in Working Capital,4800000,17800000,14853000,-64372000,20476000,74366000,-43129000,14263000,-33875000,53946000,-65062000,9146000,-13763000,7005000,-21479000,-32865000,66039000,-24518000,2312000,-5758000,-1050000,-2978000,3921000,41000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48354000,16000,9369000,-4308000,-88000,88000,- -,- -,-3306000,-367000,-2811000,841000,2099000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,-134000,617000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2750000,104000,-2995000,-1136000,-502000,-157000,-468000,-42000,350000,1027000,3931000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-26459000,-10293000,-35531000,-15645000,-3318000,-8474000,-7205000,-17759000,48027000,-2935000,3000,- -,-254000,-1075000,3311000,-2777000
82,Other Non-Cash Items,- -,100000,23540000,13331000,639935000,32692000,2980000,22657000,29820000,116812000,13648000,63203000,1030000,-2621000,-49132000,2477000,3355000,4097000,-48403000,8171000,2575000,632000,9357000,-22041000
83,Cash Provided by Operating Activities,-5100000,-900000,-1403000,-77308000,-32032000,-58048000,-47802000,-7618000,19284000,-2854000,-54034000,15000,-9224000,-21485000,-43628000,-69944000,74276000,-59973000,-34577000,-10491000,-3845000,2691000,13391000,-18976000
84,CAPEX,-400000,-2700000,-20098000,-87488000,-20687000,-8423000,-7004000,-12416000,-12962000,-12450000,-5726000,-3433000,-3159000,-4045000,-523000,-269000,-72000,-30000,-35000,-35000,-13000,-7657000,-8847000,-6973000
85,Acquisitions Net,- -,- -,-31640000,-25211000,-23000,-18973000,- -,-52755000,-113916000,-12090000,- -,- -,- -,- -,51399000,- -,- -,- -,- -,-30100000,- -,-48124000,- -,-748000
86,Purchases of Investments,-32300000,-54100000,-523852000,-444132000,-187483000,-69752000,-72807000,-129251000,-511778000,-278368000,-77608000,-7651000,-63780000,-64296000,-44388000,-10962000,-78337000,- -,- -,- -,- -,- -,- -,-4675000
87,Sales/Maturities of Investments,15500000,41600000,200060000,633014000,239519000,150091000,61635000,153874000,330737000,417169000,201055000,56550000,39831000,71893000,39679000,52389000,37107000,40000000,11710000,- -,- -,- -,355000,35000
88,Other Investing Activites,-800000,- -,-20700000,- -,-1649000,793000,-5070000,2569000,15443000,1046000,46073000,- -,4934000,2236000,-12000000,-1293000,- -,- -,30000000,- -,-2355000,878000,1860000,-3121000
89,Cash Used for Investing Activites,-18000000,-15200000,-396230000,76183000,29677000,53736000,-23246000,-37979000,-292476000,115307000,163794000,45466000,-22174000,5788000,34167000,39865000,-41302000,39970000,41675000,-30135000,-2368000,-54903000,-6632000,-15482000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150245000,-200000,- -,- -,- -,- -,- -,- -,-36838000,-713000,-3004000,-13618000,-33383000
91,Common Stock Issued,30800000,83600000,397597000,46427000,21271000,2800000,18193000,22981000,322503000,1692000,908000,159000,988000,1628000,1904000,16486000,12500000,- -,- -,45000000,4572000,1551000,- -,2700000
92,Common Stock Repurchased,- -,- -,- -,- -,-38089000,- -,- -,- -,- -,-100988000,- -,- -,- -,- -,- -,-575000,-309000,-210000,-142000,- -,- -,-5052000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99394000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,900000,-400000,-722000,-3749000,-2252000,152000,145025000,-3805000,-249000,-305000,-617000,- -,- -,400000,- -,22072000,1099000,91000,- -,-2353000,- -,28007000,35394000,49023000
95,Cash Used/Provided by Financing Activities,31700000,83200000,396875000,42678000,-19070000,2952000,163218000,19176000,322254000,-198995000,291000,-150086000,788000,2028000,1904000,37983000,13290000,-119000,-142000,5809000,3859000,21502000,21776000,18340000
96,Effect of Forex Changes on Cash,- -,- -,-172000,-151000,137000,- -,- -,-586000,-93000,95000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,31700000,67100000,-930000,41402000,-21288000,-1360000,92170000,-27007000,48969000,-86447000,110051000,-104605000,-30610000,-13669000,-7557000,7904000,46264000,-20122000,6956000,-34817000,-2354000,-30710000,28535000,-16118000
98,Cash at the End of Period,- -,79800000,78873000,161987000,140699000,139339000,231509000,126462000,175431000,86099000,196150000,91545000,60935000,47266000,39709000,47613000,93877000,73755000,80711000,45894000,43540000,12830000,41365000,24382000
99,Cash at the Beginning of Period,4100000,12700000,79803000,120585000,161987000,140699000,139339000,153469000,126462000,172546000,86099000,196150000,91545000,60935000,47266000,39709000,47613000,93877000,73755000,80711000,45894000,43540000,12830000,40500000
100,Free Cash Flow,-5500000,-3600000,-21501000,-164796000,-52719000,-66471000,-54806000,-20034000,6322000,-15304000,-59760000,-3418000,-12383000,-25530000,-44151000,-70213000,74204000,-60003000,-34612000,-10526000,-3858000,-4966000,4544000,-25949000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1831096/000156459021048342/0001564590-21-048342-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
