,https://roic.ai/company/CSIQ,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,1087,11201,21721,362528,562006,3530957,5084227,6935560,8446647,13359962,11972758,14361107,16831000,10236000,10477000,11207000,12039000,9306000,11051000
13,Interest Expense (Gain),- -,- -,- -,239225,2193551,2367131,11265576,9458983,22164363,43843586,53304640,46244456,48905848,54148000,69723000,117971000,106032000,81326000,71874000,58153000
14,Depreciation and Amortization,- -,37754,42137,216545,914858,1698195,9282276,20508383,31266181,56117280,81398470,80821241,82627454,94217000,95849000,99273000,129256000,159723000,209118000,- -
15,EBITDA,706000,832559,1861685,4865125,-5889461,3670672,21075712,51311185,120753380,25696606,-66198991,166363759,448465532,369738000,248797000,357767000,534327000,454700000,425712000,189245000
16,EBITDA ratio,0.1747,0.2024,0.1922,0.2655,-0.0863,0.0121,0.0299,0.0813,0.0807,0.0135,-0.0511,0.1006,0.1515,0.1066,0.0872,0.1055,0.1427,0.1421,0.1225,0.0359
17,Operating Income,921000,643267,1840542,5231104,1109840,-1957047,24065158,6512018,120299489,6833052,-142515761,130816256,366313755,247371000,93164000,269345000,364657000,258879000,220430000,190381000
18,Operating Income ratio,0.2279,0.1564,0.1900,0.2855,0.0163,-0.0065,0.0341,0.0103,0.0804,0.0036,-0.1101,0.0791,0.1237,0.0713,0.0327,0.0794,0.0974,0.0809,0.0634,0.0361
19,Total Other Income Expenses (Gains),-215000,-199063,-20994,-821749,-10107710,1562393,-23537298,14964116,-52717176,-81196486,-56103440,-74548528,-45484104,-23900000,-5509000,-134822000,-66165000,-79206000,-85946000,-51917000
20,Income Before Tax,706000,444204,1819548,4409355,-8997870,-394654,527860,21476134,67582313,-74363434,-198619201,56267728,320829651,223471000,87655000,134523000,298492000,179673000,134484000,138464000
21,Income Before Tax Ratio,0.1747,0.1080,0.1879,0.2406,-0.1319,-0.0013,0.0007,0.0340,0.0452,-0.0392,-0.1534,0.0340,0.1084,0.0644,0.0307,0.0397,0.0797,0.0561,0.0387,0.0262
22,Income Tax expense (Gain),81000,33560,362882,605402,431994,-184978,9916106,-1302065,16753917,16539940,-5433410,7638786,77430913,49512000,17976000,40951000,61969000,42066000,-1983000,35844000
23,Net Income,625000,761245,1456666,3803953,-9429864,-209676,-9388246,22645884,50568919,-90804200,-195468691,31659276,239501317,171861000,65249000,99572000,237070000,171585000,146703000,95248000
24,Net Income ratio,0.1546,0.1851,0.1504,0.2076,-0.1382,-0.0007,-0.0133,0.0359,0.0338,-0.0478,-0.1510,0.0191,0.0809,0.0496,0.0229,0.0294,0.0633,0.0536,0.0422,0.0180
25,EPS,0.04,0.05,0.09,0.25,-0.50,-0.01,-0.30,1.43,1.18,-2.11,-4.53,0.68,4.40,3.08,1.13,1.71,4.02,2.88,2.46,1.55
26,EPS Diluted,0.04,0.05,0.09,0.25,-0.50,-0.01,-0.30,1.41,1.16,-2.11,-4.53,0.63,4.11,2.93,1.12,1.69,3.88,2.83,2.38,1.46
27,Weighted Average Shares Outstanding,15427995,15427995,15427995,15427995,18986498,27283305,31566503,37102723,42839356,43076489,43190778,46306739,54408037,55728903,57524349,58167004,58914540,59633855,59575898,61614391
28,Weighted Average Shares Outstanding Diluted,15427995,15427995,15427995,15427995,18986498,27283305,31566503,37743464,43678208,43076489,43190778,50388284,59354615,60426056,58059063,61548158,62291670,60777696,62306819,68872102
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375877/000114554908000995/0001145549-08-000995-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000095012309011999/0000950123-09-011999-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000095012310079171/0000950123-10-079171-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000095012311051124/0000950123-11-051124-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746912004936/0001047469-12-004936-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746913004974/0001047469-13-004974-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746914004268/0001047469-14-004268-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746915003842/a2222695z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746916012359/a2228185z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746917002970/a2230964z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746918003229/a2235454z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746919002579/a2238593z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000110465920052010/csiq-20191231x20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,596000,1879083,2058679,6279795,40910759,37667120,115660921,160110887,288651701,343994679,141968182,228249512,549543359,553079000,511039000,561679000,444298000,668770000,1178752000,869831000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2182677,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,596000,1879083,2058679,6279795,40910759,37667120,115660921,160110887,290834378,343994679,141968182,228249512,549543359,553079000,511039000,561679000,444298000,668770000,1178752000,869831000
34,Net Receivables,1047000,257114,657281,2881970,19625430,70884293,67511015,191044160,211954472,417490721,284596922,315034799,418552383,584203000,478438000,479949000,622231000,592223000,545713000,887540000
35,Inventory,312000,312960,2397477,12162588,39700051,70920927,92682547,164313448,272096575,296568127,274455798,231157811,432325119,334489000,295371000,346092000,262022000,554070000,695981000,1192374000
36,Other Current Assets,- -,345411,547317,5108487,16707233,40428002,63168786,238519300,259779495,237524015,741183225,944913484,915465960,792322000,2505915000,2697583000,1745770000,1437873000,1765376000,1822082000
37,Total Current Assets,1955000,2794568,5660754,26432840,116943473,219900342,339023269,753987795,1034664920,1295577542,1442204127,1719355606,2315886821,2264093000,3790763000,4085303000,3074321000,3252936000,4185822000,4771827000
38,PP&E,291000,243560,453044,931958,7909606,51486258,165541885,217135540,330459978,510069436,469642822,407604979,469349209,1531493000,574407000,811199000,939884000,1136725000,1342786000,1545426000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,2264847,- -,- -,- -,7609000,7617000,6248000,1005000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,38949,- -,- -,12535450,13377894,8516234,22956314,24433043,19892221,108030000,57073000,89635000,80621000,83627000,84843000,90003000
41,Intangible Assets,- -,- -,- -,- -,38949,- -,- -,12535450,13377894,10781081,22956314,24433043,19892221,115639000,64690000,95883000,81626000,83627000,84843000,90003000
42,Investments,- -,- -,- -,- -,- -,- -,46087142,7100628,5671159,11007725,26727589,34070488,38822784,187131000,368459000,414215000,126095000,152828000,78291000,98819000
43,Tax Assets,- -,15349,31194,65219,3638606,3965886,6997918,10909778,16725349,23226772,39082498,62950243,66855860,97134000,229980000,131796000,121087000,153963000,170656000,236503000
44,Other Non-Current Assets,- -,- -,- -,- -,1103123,9150043,13081185,37033812,22467665,29146181,258699731,205320997,161616755,221764000,378307000,351231000,549645000,687128000,674456000,645764000
45,Total Non-Current Assets,- -,258909,484238,997177,12690284,64602187,231708130,284715208,388702045,584231195,817108954,734379750,756536829,2153161000,1615843000,1804324000,1818337000,2214271000,2351032000,2616515000
46,Other Assets,521000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2476000,3053477,6144992,27430017,129633757,284502529,570731399,1038703003,1423366965,1879808737,2259313081,2453735356,3072423650,4417254000,5406606000,5889627000,4892658000,5467207000,6536854000,7388342000
48,Accounts Payable,- -,426461,823645,4305911,6873502,8250826,29957188,92271107,113404167,174429071,230495398,280806420,412937350,512510000,440116000,402964000,379462000,585601000,514742000,502995000
49,Short-Term Debt,- -,- -,- -,4979000,3311238,40373932,110664813,356919886,550489292,875255602,1090062660,1137082767,1113565162,1629823000,2028128000,2530386000,1790847000,1783051000,2126919000,2486239000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158496000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,3643807,8971102,65216074,18659296,75327543,111974333,76207000,90101000,51739000,39024000,134806000,189470000,135512000
52,Other Current Liabilities,- -,774708,1932393,6082252,5670489,10588458,32040062,62106161,102468696,121546661,201032376,285142134,310788435,437784000,1162721000,1122923000,739024000,588539000,757224000,913402000
53,Total Current Liabilities,- -,1201169,2756038,15367163,15855229,59213216,172662063,514940961,775333257,1236447408,1540249730,1778358864,1949265280,2656324000,3721066000,4108012000,2948357000,3091997000,3588355000,4038148000
54,Long-Term Debt,- -,- -,- -,4493755,- -,92866203,46357340,30156200,70363995,89199328,214562973,151391572,284299521,756577000,619024000,530817000,393614000,619477000,669304000,771524000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,8703830,10704916,11460330,12301000,56151575,24043648,10345243,19030000,23348000,5562000,35698000,56463000,49080000,48150000
57,Other Non-Current Liabilities,- -,339883,427568,602019,874673,6157237,10846719,16899522,31224906,74883309,146765372,98442951,98939497,152813000,143778000,185461000,242144000,274212000,337330000,404082000
58,Total Non-Current Liabilities,- -,339883,427568,5095774,874673,99023440,65907889,57760638,113049231,176383637,417479920,273878171,393584261,928420000,786150000,721840000,671456000,950152000,1055714000,1223756000
59,Other Liabilities,1697000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83667000,- -,- -,39485000,28436000,35400000
61,Total Liabilities,1697000,1541052,3183606,20462937,16729902,158236656,238569952,572701599,888382488,1412831045,1957729650,2052237035,2342849541,3584744000,4507216000,4829852000,3619813000,4042149000,4644069000,5261904000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,502402939,502561705,561241785,675236489,677103000,701283000,702162000,702931000,703806000,687033000,835543000
64,Retained Earnings,- -,1386548,2843214,6647167,-2782697,-3604572,-12992818,11541848,62110767,-28693433,-224162124,-192502848,46998469,218860000,284109000,383681000,622016000,793601000,940304000,1035552000
65,Other Comprehensive Income/Loss,- -,-84966,-92671,109070,1050264,5980542,14909526,15121299,28461944,45555710,50795529,53911113,20058063,-59856000,-91814000,-54034000,-110149000,-109607000,-28679000,-50584000
66,Other Total Stockholders Equity,779000,184117,217941,501561,116071441,131930652,357043129,486321908,537131699,-53331445,-38296275,-32121269,-25682022,-17139000,-8897000,417000,10675000,5334000,-28236000,-19428000
67,Total Stockholders Equity,779000,1512425,2961386,6967080,112903855,126265873,332161447,465716624,534326419,465933771,290898835,390528781,716610999,818968000,884681000,1032226000,1225473000,1393134000,1570422000,1801083000
68,Total Liabilities And Stockholders Equity,2476000,3053477,6144992,27430017,129633757,284502529,570731399,1038418223,1422708907,1878764816,2248628485,2442765816,3059460540,4403712000,5391897000,5862078000,4845286000,5435283000,6214491000,7062987000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,284780,658058,1043921,10684596,10969540,12963110,13542000,14709000,27549000,47372000,31924000,322363000,325355000
70,Total Liabilities & Equity,2476000,3053477,6144992,27430017,129633757,284502529,570731399,1038703003,1423366965,1879808737,2259313081,2453735356,3072423650,4417254000,5406606000,5889627000,4892658000,5467207000,6536854000,7388342000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375877/000114554908000995/0001145549-08-000995-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000095012309011999/0000950123-09-011999-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000095012310079171/0000950123-10-079171-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000095012311051124/0000950123-11-051124-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746912004936/0001047469-12-004936-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746913004974/0001047469-13-004974-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746914004268/0001047469-14-004268-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746915003842/a2222695z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746916012359/a2228185z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746917002970/a2230964z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746918003229/a2235454z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746919002579/a2238593z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000110465920052010/csiq-20191231x20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,761245,1456666,3803953,-9429864,-209676,-9388246,22645884,50568919,-90804200,-195468691,31659276,239501317,171861000,65249000,99572000,237070000,171585000,146703000,- -
74,Depreciation and Amortization,- -,37754,42137,216545,914858,1698195,9282276,20508383,31266181,56117280,81398470,80821241,82627454,94217000,95849000,99273000,129256000,159723000,209118000,- -
75,Deferred Income Tax,- -,-24367,4244,-67877,294296,-2929089,-621658,-10834919,-5179877,-4632976,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,9102002,5436350,3876671,4060838,5185242,6175006,5087925,5966000,7757000,9314000,10258000,10682000,12350000,- -
77,Change in Working Capital,- -,1025420,-1347487,-9202058,-52735180,-90860697,-51748038,-41058543,-149510983,54257254,-95345274,96113315,-60136663,51326000,-437346000,-38146000,-147959000,188979000,-527371000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,2126297,-116463362,-5704039,-192252453,-6983739,-11813937,-73776603,-63352000,-33060000,46337000,-179607000,51670000,65379000,- -
79,Inventory,- -,-821,-2343372,-9771728,-27812410,-27099561,-39994140,-83970843,-103637355,-28798943,3960749,34666540,-252715653,50821000,-50557000,-49024000,55408000,-312781000,-180974000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,19685549,62855936,18096208,73135388,56238301,44231082,135812141,-23975000,61157000,-27758000,47756000,209175000,-89180000,- -
81,Other Working Capital,- -,39932,87685,174451,-556229,-444855,-10508489,6751157,-3598038,-9257048,100745,71647296,66711243,-142386000,-77841000,38494000,55097000,56648000,63298000,- -
82,Other Non-Cash Items,- -,-47621,283990,579089,14679716,12077279,46566362,54218335,10491970,41125918,56471316,14779786,-1974440,90288000,-9582000,33907000,-12345000,69142000,38659000,- -
83,Cash Provided by Operating Activities,- -,1752431,439550,-4670348,-46276174,-80223988,3192698,50915490,-58487119,60124114,-147758937,229548624,265105593,413658000,-278073000,203920000,216280000,600111000,-120541000,- -
84,CAPEX,- -,-83912,-253570,-560793,-7113912,-42006616,-104817010,-72214660,-134314791,-205419189,-60481021,-23131549,-65140624,-642768000,-1111488000,-310675000,-316282000,-291182000,-334941000,- -
85,Acquisitions Net,- -,-331006,- -,- -,- -,- -,- -,- -,- -,-6104823,-3428751,-4278361,-72034,-275859000,-115396000,-101253000,327553000,-3023000,15279000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-20950833,-162722495,-987019,-5667627,-3428751,-4278361,-72034,-84389000,-124737000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,555475,- -,- -,1698000,7442000,4233000,- -,- -,- -,- -
88,Other Investing Activites,- -,-26581,1321,-85204,-656057,-475884,6322,220027,1312856,23614897,-239708391,-5820555,-50764774,2214000,301622000,66480000,17800000,103000,- -,- -
89,Cash Used for Investing Activites,- -,-441499,-252249,-645997,-7769969,-42482500,-125761521,-234717128,-133988954,-193576742,-306491439,-37508826,-116049466,-999104000,-1042557000,-341215000,29071000,-294102000,-319662000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-170301641,-371676212,-695513690,-1721463494,-693071052,-1073502793,-1045596352,-1309342000,-2286861000,-2237150000,-2433826000,-1819879000,-1583770000,- -
91,Common Stock Issued,- -,- -,- -,- -,83323942,151823,110659864,103349924,- -,- -,- -,50000000,115009200,- -,23864000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11845000,-5963000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9582000,-3013000,-1120000,- -,- -
94,Other Financing Activites,- -,- -,- -,9330315,4982644,124675976,260998166,496648574,1008142695,1899211719,942646796,918602476,1122533914,1928825000,3562820000,2412015000,1973226000,1798230000,2413234000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,9330315,88306586,124827799,201356389,228322286,312629005,177748225,249575744,-104900317,191946762,619483000,1299823000,165283000,-463613000,-34614000,823501000,- -
96,Effect of Forex Changes on Cash,- -,-27696,-7705,207146,370521,-5364950,-793765,-70682,8387882,11047381,2648135,-858151,-19709042,-30501000,-12312000,21444000,-38725000,-6965000,50997000,- -
97,Net Change In Cash,- -,1283236,179596,4221116,34630964,-3243639,77993801,44449966,128540814,55342978,-202026497,86281330,321293847,3536000,-42040000,50640000,-249144000,264430000,434295000,- -
98,Cash at the End of Period,- -,1879083,2058679,6279795,40910759,37667120,115660921,160110887,288651701,343994679,141968182,228249512,549543359,553079000,511039000,561679000,940990000,1205420000,1639715000,- -
99,Cash at the Beginning of Period,- -,595847,1879083,2058679,6279795,40910759,37667120,115660921,160110887,288651701,343994679,141968182,228249512,549543000,553079000,511039000,1190134000,940990000,1205420000,- -
100,Free Cash Flow,- -,1668519,185980,-5231141,-53390086,-122230604,-101624312,-21299170,-192801910,-145295075,-208239958,206417075,199964969,-229110000,-1389561000,-106755000,-100002000,308929000,-455482000,- -
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375877/000114554908000995/0001145549-08-000995-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000095012309011999/0000950123-09-011999-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000095012310079171/0000950123-10-079171-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000095012311051124/0000950123-11-051124-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746912004936/0001047469-12-004936-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746913004974/0001047469-13-004974-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746914004268/0001047469-14-004268-index.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746915003842/a2222695z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746916012359/a2228185z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746917002970/a2230964z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746918003229/a2235454z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000104746919002579/a2238593z20-f.htm,https://www.sec.gov/Archives/edgar/data/1375877/000110465920052010/csiq-20191231x20f.htm,- -,undefined
102,false,,,,,,,,,,,,,,,,,,,,
