,https://roic.ai/company/CDEV,2014,2015,2016,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,197793000,169747000,143692000,12581000,- -,- -
70,Total Liabilities & Equity,- -,476191,2651642000,3616569000,4260021000,4688288000,3827425000,3804594000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1658566/000162828017002841/0001628280-17-002841-index.html,https://www.sec.gov/Archives/edgar/data/1658566/000165856618000008/0001658566-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1658566/000165856619000028/0001658566-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1658566/000165856620000040/0001658566-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/1658566/000165856621000033/0001658566-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1658566/000165856622000022/0001658566-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,17790000,-38325000,-226805000,75568000,199899000,15798000,-682837000,138175000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,358554000,- -
75,Deferred Income Tax,1524000,-572000,-406000,29930000,59440000,5797000,-85124000,569000
76,Stock Based Compensation,12420000,- -,166727000,13759000,20670000,28997000,20966000,58114000
77,Change in Working Capital,12078000,-347691,60212691,-57053000,-120339000,-16810000,68055000,-2552000
78,Accounts Receivable,-6322000,5244000,-14000,-43553000,-33001000,-10098000,44572000,-21475000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,18479000,-8669000,2905000,26772000,66660000,33833000,-56360000,16016000
81,Other Working Capital,- -,-347691,59865000,2812000,-117527000,-134337000,-66282000,- -
82,Other Non-Cash Items,53436000,108126691,61421309,197714000,510341000,530391000,491762000,331313000
83,Cash Provided by Operating Activities,97248000,68882000,61150000,259918000,670011000,564173000,171376000,525619000
84,CAPEX,-298303000,-201326000,-975984000,-1006895000,-1216813000,-967719000,-328012000,-327051000
85,Acquisitions Net,71781000,- -,-1375744000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,63142000,-153315000,500561000,-551838000,-850093000,-820423000,-316776000,-219065000
89,Cash Used for Investing Activites,-163380000,-198635000,-1851167000,-992306000,-1068664000,-932989000,-326323000,-226476000
90,Debt Repayment,-160000000,-83000000,-5000000,-275000000,-175000000,-720000000,-415000000,-1002073000
91,Common Stock Issued,- -,- -,1540556000,340750000,- -,- -,- -,- -
92,Common Stock Repurchased,-119272000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-3051000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,319289000,201504000,386638000,658470000,469160000,1082937000,562743000,704526000
95,Cash Used/Provided by Financing Activities,36966000,118504000,1922194000,724220000,294160000,362937000,147743000,-297547000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-29166000,-11249000,132315000,-8168000,-104493000,-5879000,-7204000,1596000
98,Cash at the End of Period,13017000,1768000,134083000,125915000,21422000,15543000,8339000,9935000
99,Cash at the Beginning of Period,42183000,13017000,1768000,134083000,125915000,21422000,15543000,8339000
100,Free Cash Flow,-201055000,-132444000,-914834000,-746977000,-546802000,-403546000,-156636000,198568000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1658566/000162828017002841/0001628280-17-002841-index.html,https://www.sec.gov/Archives/edgar/data/1658566/000165856618000008/0001658566-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1658566/000165856619000028/0001658566-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1658566/000165856620000040/0001658566-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/1658566/000165856621000033/0001658566-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1658566/000165856622000022/0001658566-22-000022-index.htm
102,false,,,,,,,,
