,https://roic.ai/company/HGSH,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,6000000,6000000,6300000,3253565,10000000,10000000,10025000,19756918,22528763,22525000,22525000,22562237,22562116,22526126,22525000,22525000,22525000,22525000,22525000,23944328
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1158420/000113543204000048/mgab10ksba31dec2003.htm,https://www.sec.gov/Archives/edgar/data/1158420/000113543205000010/mgabbody10ksb31dec04.htm,- -,https://www.sec.gov/Archives/edgar/data/1158420/000101376207000065/form10k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1158420/000140677409000145/0001406774-09-000145-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000101376210003164/0001013762-10-003164-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420411071519/0001144204-11-071519-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420412069419/0001144204-12-069419-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420413067182/0001144204-13-067182-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420414073570/0001144204-14-073570-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420415071601/0001144204-15-071601-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420416140689/0001144204-16-140689-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420418000327/tv481563_10k.htm,https://www.sec.gov/Archives/edgar/data/1158420/000114420419001277/tv509088_10k.htm,https://www.sec.gov/Archives/edgar/data/1158420/000110465920003927/tm1919816d1_10k.htm,https://www.sec.gov/Archives/edgar/data/1158420/000110465921003878/0001104659-21-003878-index.htm,https://www.sec.gov/Archives/edgar/data/1158420/000141057822000022/0001410578-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,100000,100000,99087,800000,12600000,8800000,1100000,5900000,1100000,1333920,6401240,3432000,3267020,263140,457699,170001
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,100000,100000,99087,800000,12600000,8800000,1100000,5900000,1100000,1333920,6401240,3432000,3267020,263140,457699,170001
34,Net Receivables,- -,- -,- -,- -,2000000,700000,- -,1800000,6700000,2600000,- -,2200000,12300000,11825040,11891230,12673350,12582970,12668930,- -,- -
35,Inventory,- -,- -,- -,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,214352,25000000,40000000,42500000,32000000,15000000,149400000,132489150,117401500,169174650,124045110,106788850,- -,3295188
37,Total Current Assets,- -,- -,- -,- -,2500000,800000,313439,27600000,59300000,53900000,33100000,23100000,162800000,145648110,135693970,185280000,139895100,119720920,457699,3465189
38,PP&E,- -,- -,- -,- -,1300000,-200000,4259786,700000,700000,1100000,1000000,1000000,900000,780040,792650,825830,718370,614010,571330,558086
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,3000000,4711160,5107890,5291810,7029040,8006940,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,4000000,4200000,- -,20400000,9200000,53300000,85600000,153000000,134500000,147301130,214794310,188254950,220754170,219551340,- -,380977288
45,Total Non-Current Assets,- -,- -,- -,- -,5300000,4000000,4259786,21100000,9900000,54400000,86600000,154700000,138400000,152792330,220694850,194372590,228501580,228172290,571330,381535374
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,7800000,4800000,4573225,48700000,69200000,108300000,119700000,177800000,301200000,298440440,356388820,379652590,368396680,347893210,1029029,385000563
48,Accounts Payable,- -,- -,- -,- -,2200000,1000000,427335,700000,800000,7400000,3800000,22500000,57300000,41501680,30574500,24047980,20507130,27368510,25415352,18259151
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,672751,- -,- -,- -,4888860,28288950,13776713,8835276,30849865,57752913,79461683,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,1380694,3911251,4023698,4336458,6612707,12579071,15830886,15843815,17259202,15492902,13882875,19881211,22954011
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5109758,2960452,- -,2110808,4247477,20234072,16139572,- -,- -
52,Other Current Liabilities,- -,100000,- -,- -,- -,- -,488515,16927249,18400000,20200000,21600000,19701382,67150598,56026117,42951086,50894708,31117585,26479755,- -,31372570
53,Total Current Liabilities,- -,100000,- -,- -,2200000,1000000,915850,18300000,19200000,27600000,25400000,52200000,155700000,111304510,84471670,110040030,129611700,149449520,25415352,49631721
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,374528,- -,- -,- -,- -,11400000,6500000,15731190,99843230,98797450,66885380,29464870,- -,119636222
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1914677,1043692,- -,21689992
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650067,2992459,- -,5107887,170950,2068257,8006943,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,300000,400000,- -,500000,1800000,11000000,18600000,14449933,4807541,13929590,12017093,8754790,6238826,1228035,- -,3344917
58,Total Non-Current Liabilities,- -,- -,- -,- -,300000,400000,374528,500000,1800000,11000000,18600000,26500000,14300000,29660780,116968210,107723190,77107140,39743540,- -,144671131
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160222980,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,100000,- -,- -,2500000,1400000,1290378,18800000,21000000,38600000,44000000,78700000,170000000,140965290,201439880,217763220,206718840,189193060,185638332,194302852
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,20050,- -,- -,- -,- -,- -,- -,45050,45050,45050,45050,45050,22525,25617
64,Retained Earnings,-100000,-100000,-100000,-100000,1400000,-800000,-1261133,10200000,27500000,46300000,51400000,72200000,104700000,136107530,29156820,35485930,40728850,44431020,34954061,40691955
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,245965,464509,772030,1950767,2891993,5612273,6474874,9109617,8744489,3558247,-4046496,5648114,921929,-5323472,3418905,13444836
66,Other Total Stockholders Equity,- -,- -,- -,103053,3848773,3249349,- -,15662955,14855522,17348898,18313844,17949164,17528793,17764317,129793567,120710272,119982007,119547552,129930330,- -
67,Total Stockholders Equity,- -,-100000,- -,3053,5648773,3449349,3282847,29862955,48155522,69648898,75713844,99149164,131228793,157475144,154948941,161889366,161677836,158700150,168325821,190697711
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,8148773,4849349,4573225,48662955,69155522,108248898,119713844,177849164,301228793,298440434,356388821,379652586,368396676,347893210,353964153,385000563
69,Minority Interest,- -,- -,- -,- -,-348773,-49349,- -,37045,44478,51102,-13844,-49164,-28793,6,-1,4,4,- -,-352935124,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,7800000,4800000,4573225,48700000,69200000,108300000,119700000,177800000,301200000,298440440,356388820,379652590,368396680,347893210,1029029,385000563
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1158420/000113543204000048/mgab10ksba31dec2003.htm,https://www.sec.gov/Archives/edgar/data/1158420/000113543205000010/mgabbody10ksb31dec04.htm,- -,https://www.sec.gov/Archives/edgar/data/1158420/000101376207000065/form10k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1158420/000140677409000145/0001406774-09-000145-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000101376210003164/0001013762-10-003164-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420411071519/0001144204-11-071519-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420412069419/0001144204-12-069419-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420413067182/0001144204-13-067182-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420414073570/0001144204-14-073570-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420415071601/0001144204-15-071601-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420416140689/0001144204-16-140689-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420418000327/tv481563_10k.htm,https://www.sec.gov/Archives/edgar/data/1158420/000114420419001277/tv509088_10k.htm,https://www.sec.gov/Archives/edgar/data/1158420/000110465920003927/tm1919816d1_10k.htm,https://www.sec.gov/Archives/edgar/data/1158420/000110465921003878/0001104659-21-003878-index.htm,https://www.sec.gov/Archives/edgar/data/1158420/000141057822000022/0001410578-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-100000,100000,- -,1900000,-2100000,-487073,11100000,17300000,18700000,5200000,20800000,32400000,31427630,5018940,6329110,5242920,3702170,981438,6375438
74,Depreciation and Amortization,- -,- -,- -,- -,420000,460000,124012,70000,70000,80000,90000,90000,90000,83700,74720,67070,85790,79270,72748,43510
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,640000,2350000,1870180,631100,167010,1999050,1302610,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,38579000,53158,53158,9012,- -,4967000,59600,59600,54633,- -,- -,- -
77,Change in Working Capital,30000,-100000,100000,- -,300000,-500000,-402411,9902411,30800000,-13800000,-18600000,-36800000,36200000,27243600,16878700,24017670,-64956570,-40012000,4770947,-7023115
78,Accounts Receivable,- -,- -,- -,- -,-2013529000,1300000,- -,7304000,- -,- -,- -,- -,-3171932,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-274069000,- -,- -,- -,- -,-7284509,-7284509,7659989,10568278,- -,-41816677,33718033,18789499,-45818735,- -,-10286475
80,Accounts Payable,- -,93105000,- -,- -,- -,- -,- -,-523516,62961,6448357,-3700969,18299774,34926405,-14428567,-9166316,-6451836,-2930405,7967500,-1498176,-1830135
81,Other Working Capital,- -,-100000,- -,- -,300000,-200000,-602411,9300000,40100000,26300000,7700000,-29100000,7100000,34343600,51222300,75239970,10283400,-29728600,-24957653,-489708
82,Other Non-Cash Items,-30000,190000,-240000,-40000,-1830000,2830000,301255,-21792411,-74499000,-10623158,5416842,4100988,-97760000,-55339500,-99467010,-55141280,60956407,43865530,-3607869,- -
83,Cash Provided by Operating Activities,- -,-10000,-40000,-40000,790000,690000,-464217,-720000,12250000,-5590000,-7840000,-11160000,-26720000,10252610,-76803950,-24500820,3382230,8937580,2217264,-604167
84,CAPEX,- -,- -,- -,- -,-317958000,- -,- -,-376898000,-7696000,-490755,-490755,- -,- -,- -,-125023,-97524,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4027725,4744484,- -,- -,- -,-1401187,2662917,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-317958,- -,- -,-376898,-7696,-490755,- -,- -,- -,- -,-125023,-97524,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,14002000,257217000,-4894688,-4894688,780908,-8791208,144742000,-14727674,-14881774,-7720139,347675,782836,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10000,- -,- -,17201,-997083,-653965,459480,-14205063,-257891353,6704688,6704688,15265305,30769778,-154742865,97038810,35101686,6656119,-11685034,-3198760,- -
95,Cash Used/Provided by Financing Activities,10000,- -,50000,17201,-997083,-653965,459480,-203063,-674353,1810000,- -,16046213,21978570,-10000865,82311136,20219912,-1064020,-11337359,-2415924,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,250137,-23100,-10447,2520,230010,483152,105581,745690,-8072,-43370,-170732,-52607,-104366,-173682,-135921,201820
97,Net Change In Cash,10000,-10000,20000,-20000,30000,10000,-15184,-1300000,11800000,-3780000,-7730000,4770000,-4750000,208370,5067320,-4431040,2058970,-2573460,-334581,-222347
98,Cash at the End of Period,10000,-10000,20000,-20000,30000,110000,99087,800000,12600000,8820000,1070000,5870000,1150000,1308370,6401240,1970200,5490970,693560,3867536,3465189
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,100000,114271,2100000,800000,12600000,8800000,1100000,5900000,1100000,1333920,6401240,3432000,3267020,4202117,3687536
100,Free Cash Flow,- -,-10000,-40000,-40000,470000,690000,-464217,-1100000,12240000,-6080000,-7840000,-11160000,-26720000,10252610,-76928970,-24598340,3382230,8937580,2217264,-604167
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1158420/000113543204000048/mgab10ksba31dec2003.htm,https://www.sec.gov/Archives/edgar/data/1158420/000113543205000010/mgabbody10ksb31dec04.htm,- -,https://www.sec.gov/Archives/edgar/data/1158420/000101376207000065/form10k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1158420/000140677409000145/0001406774-09-000145-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000101376210003164/0001013762-10-003164-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420411071519/0001144204-11-071519-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420412069419/0001144204-12-069419-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420413067182/0001144204-13-067182-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420414073570/0001144204-14-073570-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420415071601/0001144204-15-071601-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420416140689/0001144204-16-140689-index.html,https://www.sec.gov/Archives/edgar/data/1158420/000114420418000327/tv481563_10k.htm,https://www.sec.gov/Archives/edgar/data/1158420/000114420419001277/tv509088_10k.htm,https://www.sec.gov/Archives/edgar/data/1158420/000110465920003927/tm1919816d1_10k.htm,https://www.sec.gov/Archives/edgar/data/1158420/000110465921003878/0001104659-21-003878-index.htm,https://www.sec.gov/Archives/edgar/data/1158420/000141057822000022/0001410578-22-000022-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
