,https://roic.ai/company/BMNM,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,-300000,22856910,20062671,-76812358,-90291556,-6492995,47718025,-1892531,-2622193,-2029561,-3831843,27993580,-3218962,4527722,2895530,-5651206,3018365,-6858558,-92431
21,Income Before Tax Ratio,- -,- -,-3.0000,0.8290,0.4859,-3.6583,1.1036,27.6400,4.6843,-0.3192,-0.5250,-0.5015,-0.7135,0.7950,-0.5001,0.4408,0.3114,-7.1514,0.2989,35.1478,-0.0115
22,Income Tax expense (Gain),- -,- -,- -,- -,-4220000,-27217584,- -,- -,145000,-145000,- -,- -,-1287154,-1877797,-62449791,1141718,19378150,21126955,-10281612,-1369416,-367845
23,Net Income,- -,- -,-300000,22856910,24282671,-49545862,-247652817,-56376563,45697048,-1747531,-2622193,-2029561,-2329972,7744844,59230829,3386004,-16482620,-26778161,13299977,-5489142,275414
24,Net Income ratio,- -,- -,-3.0000,0.8290,0.5881,-2.3597,3.0268,239.9891,4.4859,-0.2947,-0.5250,-0.5015,-0.4338,0.2199,9.2024,0.3297,-1.7726,-33.8867,1.3170,28.1300,0.0343
25,EPS,- -,- -,-0.27,19.70,11.20,-20.30,-99.20,-22.00,16.37,-0.18,-0.26,-0.20,-0.21,0.63,4.77,0.27,-1.30,-2.10,1.15,-0.47,0.02
26,EPS Diluted,- -,- -,-0.27,19.70,11.20,-20.30,-99.20,-22.00,11.90,-0.18,-0.26,-0.20,-0.21,0.63,4.77,0.27,-1.30,-2.10,1.15,-0.47,0.02
27,Weighted Average Shares Outstanding,- -,- -,1100000,1145225,2142150,2406601,2497500,2559294,2791160,9644850,9889050,10299823,11095105,12230125,12417365,12540756,12678938,12751505,12186692,11679026,11679026
28,Weighted Average Shares Outstanding Diluted,- -,- -,1100000,1145225,2142150,2406601,2497500,2559294,3839562,9644850,9889050,10299823,11095105,12230125,12417365,12540756,12678938,12751505,12186692,11679026,11679026
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1275477/000127547713000016/0001275477-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547714000024/0001275477-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547715000025/0001275477-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547716000121/0001275477-16-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547717000025/0001275477-17-000025-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1275477/000127547719000037/0001275477-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547720000048/0001275477-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000151862121000043/0001518621-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547722000006/0001275477-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,18404130,128942436,130510948,92506282,27284760,7668581,6400065,2830584,4300785,6592561,11959292,4699059,6310683,4429459,6103250,4947801,8070067,7558342,8421410
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13547764,- -
33,Cash and Short-Term Investments,- -,- -,18404130,128942436,130510948,92506282,27284760,7668581,6400065,2830584,4300785,6592561,11959292,4699059,6310683,4429459,6103250,4947801,8070067,21106106,8421410
34,Net Receivables,- -,- -,1030049,14797006,61749958,32240232,3736391,1075315,1168081,1049577,901385,718895,1720726,460326,351049,512760,746121,3294535,750875,1039663,1451097
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2514000,8061246058,-14587427,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7311456,13680018,5159385,6661732,- -,- -,5728336,8070067000,7558342,- -
38,PP&E,- -,- -,89088,2050923,16067170,15788078,4181813,4062116,3976546,3894717,3884056,3774310,3663437,3584603,3492612,3407000,3359312,3298067,2162975,2093440,2024190
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,225741161,2973232897,3494029359,2808734040,690578934,172108495,119668495,135133340,91142253,168155007,389340958,130641760,97841106,145410229,223798066,10517030,8892211,14351764,73286251
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34668467,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8112178,7843233,7493450,69059975,- -,- -,239856243,-7801633238,-49020231,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180041495,400847628,141719813,170393693,- -,- -,253671340,-7790578052,2093440,- -
46,Other Assets,- -,- -,245285676,3128417731,4805101565,3937633936,836517348,232792128,149341315,156990923,109254296,- -,- -,- -,- -,222870404,284588797,- -,- -,70832556,122084641
47,Total Assets,- -,- -,245285676,3128417731,4805101565,3937633936,836517348,232792128,149341315,156990923,109254296,187352951,414527646,146879198,177055425,222870404,284588797,259399676,279488948,9651782,122084641
48,Accounts Payable,- -,- -,20086,7980829,30232719,17776464,3872101,983069,131595,120410,71829,123446,142055,94397,83957,114199,346444,678262,645302,107417,55610
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,2837519171,4314367281,3502323536,706627899,159616931,127568405,121679590,- -,156876554,385857945,110778593,81626973,123804871,- -,202962358,211385538,- -,- -
53,Total Current Liabilities,- -,- -,- -,2845500000,4344600000,3520100000,710500000,160600000,127700000,121800000,- -,157000000,386000000,110872990,81710930,123919070,- -,203640620,212030840,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,976838429,837975632,103097000,103097000,26804440,26804440,26804440,26804440,26804440,26804440,26804440,26804440,26804440,26804440,27481121,27612781,27439000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,18360679,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-787199108,-612875632,3000,3000,-4440,-4440,- -,-4440,-4440,- -,- -,- -,- -,- -,-1,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,208000000,225100000,103100000,103100000,26800000,26800000,26804440,26800000,26800000,26804440,26804440,26804440,26804440,26804440,27481120,27612781,27439000
59,Other Liabilities,- -,- -,188970485,- -,416013225,- -,206233904,- -,- -,53618597,130692168,53636179,- -,- -,- -,- -,255700989,- -,- -,121825501,116523791
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,188970485,2845455404,4552613225,3744428544,813633904,263687136,154496316,148618597,103887728,183836179,381169230,137677429,108515365,150723506,228896549,230445055,239511957,94212720,89084791
62,Preferred Stock,- -,- -,- -,- -,1223,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4650,21007,24767,25154,25499,26845,2828,9841,10151,10681,11574,12388,12437,12696,12725,12773,11673,11673,10766
64,Retained Earnings,- -,- -,-267167,-1077560,-8037260,-66463175,-315383637,-370046104,-324349056,-326096587,-328718780,-330748341,-333078313,-325333469,-266102640,-262716636,-279199256,-305977417,-292677440,-298166582,-297891168
65,Other Comprehensive Income/Loss,- -,- -,-19409,-1155771,-76494378,-76773610,- -,- -,-604000,-692000,- -,-931000,-1053000,-903397,-995388,-1024000,- -,-1155000,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,56597117,285174651,336993988,335646460,338241582,339124251,319795227,335151072,334075197,335185432,335863312,335426247,335625651,335874838,334878779,336074265,332642758,332642758,330880252
67,Total Stockholders Equity,- -,- -,56315191,282962327,252488340,192434829,22883444,-30895008,-5155001,8372326,5366568,3516772,1743573,9201769,68540060,72146898,55692248,28954621,39976991,34487849,32999850
68,Total Liabilities And Stockholders Equity,- -,- -,245285676,3128417731,4805101565,3936863373,836517348,232792128,149341315,156990923,109254296,187352951,382912803,146879198,177055425,222870404,284588797,259399676,279488948,128700569,122084641
69,Minority Interest,- -,- -,- -,- -,- -,770563,- -,- -,- -,- -,- -,- -,31614843,- -,- -,- -,- -,- -,- -,-119048787,- -
70,Total Liabilities & Equity,- -,- -,245285676,3128417731,4805101565,3937633936,836517348,232792128,149341315,156990923,109254296,187352951,414527646,146879198,177055425,222870404,284588797,259399676,279488948,9651782,122084641
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1275477/000127547713000016/0001275477-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547714000024/0001275477-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547715000025/0001275477-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547716000121/0001275477-16-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547717000025/0001275477-17-000025-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1275477/000127547719000037/0001275477-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547720000048/0001275477-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000151862121000043/0001518621-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547722000006/0001275477-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-300000,22856910,24282671,-49545862,-247652817,-56376563,45697048,-1747531,-2622193,-2029561,-2329972,7744844,59230829,3386004,-16482620,-26778161,13299977,-5489142,275414
74,Depreciation and Amortization,- -,- -,- -,- -,842113,4383776,822350,760891,468540,206929,119189,119670,121822,102800,91991,85572,77107,76637,73057,69536,69250
75,Deferred Income Tax,- -,- -,- -,- -,-4220000,-27217584,- -,- -,- -,- -,- -,- -,- -,-1900064,-62932178,999179,19308479,21321763,-10085715,-1379931,-367845
76,Stock Based Compensation,- -,- -,- -,- -,2487975,3280346,2866026,884814,223941,246294,286108,179765,278535,302260,107462,220834,27970,5960,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,-2845500000,-1499100000,824500000,2809600000,549900000,32900000,5900000,121800000,-155892697,-222631438,266606377,30664407,-48869872,123919070,-197912284,8055948444,-7850477818,812381
78,Accounts Receivable,- -,- -,- -,-11306327,-4362666,1668397,10434776,2749766,- -,- -,- -,182490,-1001831,-4950854,109277,-161711,-233361,297404,-3300,10798,-77998
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,7960743,22251890,-12456255,-13904363,-2889031,179811,-11185,-48581,51617,18609,580093,-10440,30242,232245,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-2845500000,-4344600000,-3520100000,-710500000,-160600000,-127700000,-121800000,- -,-149688544,-372319982,-105713605,-75049198,-123919070,- -,-197912284,7858036160,7558342,- -
82,Other Non-Cash Items,- -,- -,100000,2864123072,1827978020,-693198570,-2233300816,-500603187,-52940821,-5405544,-123165414,154397299,228569126,-262987853,-26566689,47867307,-120518623,209656287,-8059232021,7858576341,4744301
83,Cash Provided by Operating Activities,- -,- -,-200000,41479982,352270779,62202106,332334743,-5434045,26348708,-799852,-3582310,-3225524,4008073,9868364,595822,3689024,6331383,6370202,3742,1298986,5533501
84,CAPEX,- -,- -,-100000,-1988721,-4671698,-3476707,-10558,-13218,-9205,-5624,-108528,-9924,-10949,-36852,- -,- -,-29379,-15392,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,1651892,3605251,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-3409261768,-2307378255,-716951195,-834671775,-189780332,-152804373,-121009069,-77580097,-283121938,-706042461,-2320599132,-28540121,-137952026,-96789425,-3894792,-3075488,-5571592,-26189505
87,Sales/Maturities of Investments,- -,- -,- -,702642410,1670300809,1344987891,3352835172,710255923,210100226,109374957,124345609,203823697,470644158,1058445573,61953809,88608619,15233679,80006894,63649519,188659583,27535224
88,Other Investing Activites,- -,- -,-226700000,- -,- -,- -,1195582,- -,-2530000,-1015885,3128885,4059291,1558211,-99103105,331860,-820178,- -,-85227107,-62390218,-41109510,- -
89,Cash Used for Investing Activites,- -,- -,-226800000,-2708608079,-640097252,628165240,2519348421,520462373,54756648,-12655621,49785869,-75248874,-233851041,-1361293516,33745548,-50163585,-81585125,-9130397,-1816187,141978481,1345719
90,Debt Repayment,- -,- -,- -,- -,-50223536,- -,- -,- -,-32509426,- -,-532217138,- -,- -,-7189419249,- -,- -,- -,- -,-3319,-20505,-21640
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35400000,171371150,- -,- -,- -,199997,- -,- -,- -
92,Common Stock Repurchased,- -,- -,56600000,- -,-5236354,-4500326,- -,- -,- -,-349344,-596,- -,- -,- -,- -,- -,- -,-165423,-2277607,- -,-1763413
93,Dividends Paid,- -,- -,- -,-23667303,-31242371,-10235032,-2534582,- -,-1440570,-3154873,-669077,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,188800000,2801333706,376097246,-713636654,-2904615617,-520682689,-48423876,13320479,488153453,80766174,199809699,8362213018,-32729746,44593337,78355165,213249,10238000,-144730722,-6193114
95,Cash Used/Provided by Financing Activities,- -,- -,245400000,2777666403,289394985,-728372012,-2907150199,-520682689,-82373872,9816262,-44733358,80766174,235209699,1344164919,-32729746,44593337,78355165,247823,7957074,-144751227,-7978167
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,18400000,110538306,1568512,-38004666,-55467035,-19616179,-1268516,-3639211,1470201,2291776,5366731,-7260233,1611624,-1881224,3101423,-2512372,6144629,-1473760,-1098947
98,Cash at the End of Period,- -,- -,18400000,128942436,130510948,92506282,27284760,7668581,6400065,2830584,4300785,6592561,11959292,4699059,6310683,4429459,8752860,6240488,12385117,10911357,9812410
99,Cash at the Beginning of Period,- -,- -,- -,18404130,128942436,130510948,82751795,27284760,7668581,6469795,2830584,4300785,6592561,11959292,4699059,6310683,5651437,8752860,6240488,12385117,10911357
100,Free Cash Flow,- -,- -,-300000,39491261,347599081,58725399,332324185,-5447263,26339503,-805476,-3690838,-3235448,3997124,9831512,595822,3689024,6302004,6354810,3742,1298986,5533501
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1275477/000127547713000016/0001275477-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547714000024/0001275477-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547715000025/0001275477-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547716000121/0001275477-16-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547717000025/0001275477-17-000025-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1275477/000127547719000037/0001275477-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547720000048/0001275477-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000151862121000043/0001518621-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1275477/000127547722000006/0001275477-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
