,https://roic.ai/company/ICL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,1881700000,1935100000,1947900000,1859900000,1936500000,1980200000,2381300000,2775000000,3136100000,3258000000,3840200000,4436700000,4931900000,5207549000,6092000000,5981000000,5989000000,5988000000,6489000000,6823000000,7171000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2940400000,2993400000,2991200000,3062300000,3323900000,3615700000,4633300000,5737700000,5907600000,6388100000,7283100000,7746800000,7973500000,8347588000,9077000000,8552000000,8714000000,8776000000,9173000000,9664000000,11080000000
48,Accounts Payable,176900000,220000000,244100000,267500000,288800000,315900000,428400000,448200000,469800000,521300000,665000000,653800000,669100000,584909000,716000000,644000000,790000000,715000000,712000000,740000000,1064000000
49,Short-Term Debt,271300000,332700000,558900000,340485000,239284000,266973000,622704000,411500000,103951000,53017000,367148000,603805000,718284000,602749000,673000000,588000000,822000000,610000000,420000000,679000000,577000000
50,Tax Payable,- -,- -,- -,32956000,65185000,72552000,101596000,- -,69723000,41427000,44784000,32397000,33717000,36461000,62000000,57000000,48000000,112000000,78000000,87000000,183000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,33000000
52,Other Current Liabilities,490700000,585300000,289300000,319315000,369016000,371427000,487296000,717000000,595849000,891483000,721352000,668495000,572616000,815194000,657000000,791000000,716000000,684000000,629000000,741000000,938000000
53,Total Current Liabilities,938900000,1138000000,1092300000,927300000,897100000,954300000,1538400000,1576700000,1169600000,1465800000,1753500000,1926100000,1960000000,2002852000,2046000000,2023000000,2328000000,2009000000,1761000000,2177000000,2612000000
54,Long-Term Debt,844700000,610500000,546900000,487900000,501100000,483400000,751500000,1022300000,1189900000,1509900000,1557700000,1424100000,1310600000,2303716000,2805000000,2796000000,2388000000,1815000000,2181000000,1792000000,2436000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326000000,384000000
57,Other Non-Current Liabilities,333500000,370400000,403900000,470100000,433000000,444100000,548400000,695800000,774300000,792300000,895100000,1021100000,1049000000,1067306000,1198000000,1159000000,1139000000,1171000000,1306000000,1281000000,912000000
58,Total Non-Current Liabilities,1178200000,980900000,950800000,958000000,934100000,927500000,1299900000,1718100000,1964200000,2302200000,2452800000,2445200000,2359600000,3371022000,4003000000,3955000000,3527000000,2986000000,3487000000,3399000000,3732000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000000,325000000,299000000
61,Total Liabilities,2117100000,2118900000,2043100000,1885300000,1831200000,1881800000,2838300000,3294800000,3133800000,3768000000,4206300000,4371300000,4319600000,5373874000,6049000000,5978000000,5855000000,4995000000,5248000000,5576000000,6344000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,521400000,521400000,522800000,529000000,536100000,540800000,540800000,540800000,541000000,541900000,542400000,542800000,542900000,543107000,544000000,544000000,545000000,546000000,546000000,546000000,548000000
64,Retained Earnings,343800000,379400000,419300000,575200000,900700000,1095200000,1092000000,2074200000,2408800000,2247700000,2699700000,2991300000,3237500000,2557087000,2595000000,2597000000,2721000000,3726000000,3883000000,3752000000,4321000000
65,Other Comprehensive Income/Loss,-49000000,-31400000,22200000,87400000,-12200000,37400000,166000000,-3282800000,33903000,37544000,884000,45638000,84715000,-135277000,-307000000,-402000000,-303000000,-441000000,-439000000,-312000000,-306000000
66,Other Total Stockholders Equity,7100000,5200000,- -,-14578000,68144000,60526000,-3807000,3110800000,-209943000,-207037000,-166182000,-204282000,-211195000,8797000,196000000,-165000000,-104000000,-50000000,-65000000,-56000000,-36000000
67,Total Stockholders Equity,823300000,874600000,948100000,1177022000,1492744000,1733926000,1794993000,2443000000,2773760000,2620107000,3076802000,3375456000,3653920000,2973714000,3028000000,2574000000,2859000000,3781000000,3925000000,3930000000,4527000000
68,Total Liabilities And Stockholders Equity,2940400000,2993500000,2991200000,3062322000,3323944000,3615726000,4633293000,5737800000,5907560000,6388107000,7283102000,7746756000,7973520000,8347588000,9077000000,8552000000,8714000000,8776000000,9173000000,9506000000,10871000000
69,Minority Interest,- -,-100000,- -,-22000,-44000,-26000,7000,-100000,40000,-7000,-2000,44000,-20000,- -,- -,- -,- -,- -,- -,158000000,209000000
70,Total Liabilities & Equity,2940400000,2993400000,2991200000,3062300000,3323900000,3615700000,4633300000,5737700000,5907600000,6388100000,7283100000,7746800000,7973500000,8347588000,9077000000,8552000000,8714000000,8776000000,9173000000,9664000000,11080000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/941221/000095010316011887/0000950103-16-011887-index.html,https://www.sec.gov/Archives/edgar/data/941221/000095010317002509/0000950103-17-002509-index.html,https://www.sec.gov/Archives/edgar/data/941221/000095010318003092/0000950103-18-003092-index.html,https://www.sec.gov/Archives/edgar/data/941221/000117891319000693/0001178913-19-000693-index.html,https://www.sec.gov/Archives/edgar/data/941221/000117891320000718/0001178913-20-000718-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-42400000,92300000,103100000,250500000,422200000,373900000,535600000,2004200000,770400000,1024700000,1511800000,1300500000,818600000,463555000,509000000,-122000000,364000000,1240000000,475000000,11000000,783000000
74,Depreciation and Amortization,173200000,160600000,166417000,166261000,166010000,169226000,195437000,182188000,204618000,217395000,267440000,287063000,347741000,427478000,430000000,406000000,390000000,403000000,443000000,489000000,490000000
75,Deferred Income Tax,-45600000,29500000,-14793000,-49328000,-997000,-21281000,-32981000,- -,- -,- -,- -,221026000,280023000,166152000,162000000,-2000000,-46000000,76000000,67000000,25000000,260000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,7484000,4388000,33159000,12795000,5899000,21776000,12044000,15000000,15000000,16000000,19000000,12000000,- -,- -
77,Change in Working Capital,66900000,74500000,148375000,19626000,-115410000,-153945000,-370009000,-284525000,123685000,234076000,-415200000,5268000,-7446000,62655000,-257000000,228000000,29000000,-321000000,-141000000,221000000,-303000000
78,Accounts Receivable,99100000,13800000,100577000,-133329000,-77519000,42144000,-431489000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199000000,-89000000,-426000000
79,Inventory,500000,-14800000,-28837000,28464000,-89001000,-137573000,-113642000,-344144000,62796000,109192000,-221818000,-64206000,4061000,-33333000,25000000,70000000,57000000,-115000000,-72000000,54000000,-267000000
80,Accounts Payable,31700000,-43100000,13497000,24125000,12120000,8382000,60469000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58000000,84000000,274000000
81,Other Working Capital,- -,- -,3776000,4779000,-5193000,1855000,1851000,47464000,63479000,15705000,-32320000,30222000,53782000,66126000,-90000000,98000000,-4000000,-66000000,-21000000,113000000,- -
82,Other Non-Cash Items,140700000,-2300000,47191000,42860000,19116000,-20464000,26566000,-55261000,96599000,27655000,-107468000,-227049000,-333785000,-237202000,-286000000,441000000,94000000,-797000000,136000000,58000000,-165000000
83,Cash Provided by Operating Activities,292800000,354600000,450290000,429919000,490919000,347436000,354613000,1854086000,1199690000,1536985000,1269367000,1592707000,1126909000,894682000,573000000,966000000,847000000,620000000,992000000,804000000,1065000000
84,CAPEX,-133700000,-182400000,-135488000,-124551000,-155424000,-138338000,-195120000,-326547000,-365999000,-348696000,-514085000,-679242000,-848681000,-834920000,-619000000,-632000000,-457000000,-572000000,-576000000,-626000000,-611000000
85,Acquisitions Net,- -,- -,-1632000,19817000,-273413000,2668000,-354821000,-92436000,-49086000,- -,-437475000,-11875000,-63057000,-142880000,13000000,17000000,174000000,902000000,- -,-1000000,-334000000
86,Purchases of Investments,- -,- -,-6199000,-5099000,-2302000,-1096000,-10146000,-32345000,- -,- -,- -,-18462000,- -,-22861000,- -,-198000000,-65000000,-3000000,-2000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,9780000,106609000,6267000,4732000,5226000,- -,- -,9356000,14421000,3241000,45934000,1913000,34000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,46200000,9800000,-32913000,-83206000,76032000,-61679000,75180000,-35887000,-48466000,-334082000,328059000,-8831000,4379000,-80470000,-92000000,13000000,15000000,4000000,53000000,44000000,366000000
89,Cash Used for Investing Activites,-87500000,-172600000,-166452000,-86430000,-348840000,-193713000,-479681000,-480498000,-443995000,-658478000,-591097000,-703680000,-839332000,-996104000,-547000000,-800000000,-333000000,331000000,-525000000,-583000000,-579000000
90,Debt Repayment,- -,- -,-377805000,-216891000,-450288000,-164205000,-188392000,-616903000,-612430000,-404897000,-888068000,-367219000,-613457000,-1141245000,-846000000,-1365000000,-421000000,-2398000000,-689000000,-1185000000,-1178000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,4600000,-2164000,- -,- -,- -,- -,-251372000,-6544000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-50200000,-54400000,-62273000,-88940000,-95424000,-180446000,-547070000,-966493000,-549037000,-998251000,-1131033000,-1019222000,-634388000,-845325000,-347000000,-162000000,-237000000,-241000000,-273000000,-118000000,-276000000
94,Other Financing Activites,-157800000,-133700000,170097000,-28025000,424592000,183343000,867337000,617523000,454307000,672589000,1276772000,455467000,937855000,2054494000,1208000000,1288000000,147000000,1745000000,472000000,1198000000,1210000000
95,Cash Used/Provided by Financing Activities,-208000000,-183500000,-272145000,-333856000,-121120000,-161308000,131875000,-1217245000,-713704000,-730559000,-742329000,-930974000,-309990000,67924000,15000000,-239000000,-511000000,-894000000,-490000000,-105000000,-244000000
96,Effect of Forex Changes on Cash,-100000,700000,- -,246000,- -,434000,1312000,607000,825000,-5004000,-6734000,335000,4686000,-16409000,-18000000,-1000000,-2000000,-24000000,-3000000,3000000,17000000
97,Net Change In Cash,-2700000,-800000,12509000,9879000,20034000,-7151000,8119000,156950000,42816000,142944000,-70793000,-41612000,-17727000,-57509000,23000000,-74000000,-4000000,38000000,-26000000,119000000,259000000
98,Cash at the End of Period,15500000,14800000,27323000,37202000,57236000,50085000,58204000,215154000,257970000,400914000,330121000,288509000,188340000,130831000,161000000,87000000,83000000,121000000,95000000,214000000,473000000
99,Cash at the Beginning of Period,18200000,15600000,14814000,27323000,37202000,57236000,50085000,58204000,215154000,257970000,400914000,330121000,206067000,188340000,138000000,161000000,87000000,83000000,121000000,95000000,214000000
100,Free Cash Flow,159100000,172200000,314802000,305368000,335495000,209098000,159493000,1527539000,833691000,1188289000,755282000,913465000,278228000,59762000,-46000000,334000000,390000000,48000000,416000000,178000000,454000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/941221/000095010316011887/0000950103-16-011887-index.html,https://www.sec.gov/Archives/edgar/data/941221/000095010317002509/0000950103-17-002509-index.html,https://www.sec.gov/Archives/edgar/data/941221/000095010318003092/0000950103-18-003092-index.html,https://www.sec.gov/Archives/edgar/data/941221/000117891319000693/0001178913-19-000693-index.html,https://www.sec.gov/Archives/edgar/data/941221/000117891320000718/0001178913-20-000718-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,
