,https://roic.ai/company/ARCT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-23000,-78000,-197000,227000,300000,637000,-409000,26000,-478000,-624000,-822000
20,Income Before Tax,-3929000,-1579000,-10487000,-32851000,-19398000,-24530000,-10901000,-21785000,-25991000,-72148000,-203674000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.8387,-1.3829,-1.2502,-7.5635,-16.4798
22,Income Tax expense (Gain),- -,- -,61000,-17000,51000,73000,1000,- -,- -,- -,- -
23,Net Income,-3929000,-1579000,-10548000,-32834000,-19449000,-24603000,-10902000,-21785000,-25991000,-72148000,-203674000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.8387,-1.3829,-1.2502,-7.5635,-16.4798
25,EPS,-2.59,-0.99,-7.28,-16.80,-6.30,-6.23,-3.53,-2.16,-2.15,-3.55,-7.74
26,EPS Diluted,-2.59,-0.99,-7.28,-16.80,-6.30,-6.23,-3.53,-2.16,-2.15,-3.55,-7.74
27,Weighted Average Shares Outstanding,1589553,1589553,1453967,1953543,3091169,3937518,3087000,10069000,12069000,20305000,26317000
28,Weighted Average Shares Outstanding Diluted,1589553,1589553,1453967,1953543,3091169,3937518,3087000,10069000,12069000,20305000,26317000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1566049/000114420416086094/0001144204-16-086094-index.html,https://www.sec.gov/Archives/edgar/data/1595527/000159552717000004/0001595527-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1595527/000159552718000004/0001595527-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1595527/000159552719000005/0001595527-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1768224/000156459020011037/0001564590-20-011037-index.htm,https://www.sec.gov/Archives/edgar/data/1768224/000156459021009872/0001564590-21-009872-index.htm,https://www.sec.gov/Archives/edgar/data/1768224/000156459022007832/0001564590-22-007832-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,55000,97000,22095000,2176000,16658000,2304000,24965000,36709000,71353000,462895000,370492000
32,Short-Term Investments,517000,- -,28008000,19522000,34022000,47938000,23608000,- -,- -,- -,- -
33,Cash and Short-Term Investments,572000,97000,50103000,21698000,50680000,50242000,48573000,36709000,71353000,462895000,370492000
34,Net Receivables,93000,10000,46000,117000,116000,521000,480000,4481000,2179000,2125000,3367000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2000,73000,69000,311000,1550000,536000,1815000,638000,758000,2769000,5102000
37,Total Current Assets,667000,180000,50218000,22126000,52346000,51299000,50868000,41828000,74290000,467789000,378961000
38,PP&E,25000,18000,49000,97000,227000,240000,1049000,1975000,7483000,8560000,11261000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,3000,- -,- -,19000000,- -,- -,288000,263000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,512000,- -,57000,95000,110000,29000,107000,107000,107000,107000,2592000
45,Total Non-Current Assets,537000,21000,106000,192000,19337000,269000,1156000,2370000,7853000,8667000,13853000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1204000,201000,50324000,22318000,71683000,51568000,52024000,44198000,82143000,476456000,392814000
48,Accounts Payable,124000,23000,47000,305000,57000,528000,1790000,2398000,5793000,10774000,10058000
49,Short-Term Debt,- -,662000,- -,- -,- -,- -,- -,- -,827000,2880000,4502000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,6457000,6272000,8397000,18108000,43482000
52,Other Current Liabilities,95000,83000,1589000,2070000,2295000,3812000,2793000,3907000,6307000,17759000,41495000
53,Total Current Liabilities,219000,768000,1636000,2375000,2352000,4340000,11040000,12577000,21324000,49521000,99537000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,9911000,14995000,13845000,45135000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,7190000,7534000,15182000,12512000,19931000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,534000,4850000,4025000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,7190000,17979000,35027000,30382000,65066000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,5677000,5655000,- -
61,Total Liabilities,219000,768000,1636000,2375000,2352000,4340000,18230000,30556000,56351000,79903000,164603000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4000,4000,39000,39000,74000,74000,212000,214000,15000,26000,26000
64,Retained Earnings,-6607000,-8186000,-18734000,-51568000,-71017000,-95620000,-23089000,-44874000,-71668000,-143816000,-347490000
65,Other Comprehensive Income/Loss,-15000,-22000,-30000,-60000,-111000,-6000,-3000,- -,-2181000,- -,- -
66,Other Total Stockholders Equity,7603000,7637000,67413000,71532000,140385000,142780000,56674000,58302000,99626000,540343000,575675000
67,Total Stockholders Equity,985000,-567000,48688000,19943000,69331000,47228000,33794000,13642000,25792000,396553000,228211000
68,Total Liabilities And Stockholders Equity,1204000,201000,50324000,22318000,71683000,51568000,52024000,44198000,82143000,476456000,392814000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1204000,201000,50324000,22318000,71683000,51568000,52024000,44198000,82143000,476456000,392814000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1566049/000114420416086094/0001144204-16-086094-index.html,https://www.sec.gov/Archives/edgar/data/1595527/000159552717000004/0001595527-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1595527/000159552718000004/0001595527-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1595527/000159552719000005/0001595527-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1768224/000156459020011037/0001564590-20-011037-index.htm,https://www.sec.gov/Archives/edgar/data/1768224/000156459021009872/0001564590-21-009872-index.htm,https://www.sec.gov/Archives/edgar/data/1768224/000156459022007832/0001564590-22-007832-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-3929000,-1579000,-10548000,-32834000,-19449000,-24603000,-10902000,-21785000,-25991000,-72148000,-203674000
74,Depreciation and Amortization,6000,7000,8000,31000,51000,61000,410000,582000,684000,882000,1193000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1553000,26000,1540000,4089000,2365000,2500000,2170000,1259000,1982000,6764000,28915000
77,Change in Working Capital,9000,-1036000,49170000,-28831000,30243000,-3035000,-7131000,-10577000,23715000,365302000,-138844000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,3153000,-4001000,2302000,54000,-1242000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,95000,-113000,24000,258000,-248000,471000,-1537000,578000,3155000,4812000,-769000
81,Other Working Capital,448000,-588000,48582000,19751000,49994000,46959000,39828000,29251000,52966000,418268000,279424000
82,Other Non-Cash Items,- -,997000,-47523000,29219000,-31358000,5836000,14993000,9761000,-6835000,-343661000,177367000
83,Cash Provided by Operating Activities,-2361000,-1585000,-7353000,-28326000,-18148000,-19241000,-460000,-20760000,-6445000,-42861000,-135043000
84,CAPEX,-24000,- -,-39000,-79000,-181000,-74000,-251000,-1478000,-818000,-1742000,-3406000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-517000,- -,-28008000,- -,-33500000,-17372000,- -,-6594000,- -,- -,- -
87,Sales/Maturities of Investments,- -,519000,- -,8486000,- -,22327000,10577000,30206000,- -,- -,- -
88,Other Investing Activites,-500000,507000,- -,- -,-161000,- -,29000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1041000,1026000,-28047000,8407000,-33842000,4881000,10355000,22134000,-818000,-1742000,-3406000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,2170000,1000,57254000,- -,66459000,- -,477000,- -,36823000,423819000,515000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,450000,600000,144000,- -,13000,6000,6521000,10204000,5084000,12326000,47501000
95,Cash Used/Provided by Financing Activities,2620000,601000,57398000,- -,66472000,6000,6998000,10204000,41907000,436145000,48016000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-782000,42000,21998000,-19919000,14482000,-14354000,16893000,11578000,34644000,391542000,-90433000
98,Cash at the End of Period,55000,97000,22095000,2176000,16658000,2304000,25238000,36816000,71460000,463002000,372569000
99,Cash at the Beginning of Period,837000,55000,97000,22095000,2176000,16658000,8345000,25238000,36816000,71460000,463002000
100,Free Cash Flow,-2385000,-1585000,-7392000,-28405000,-18329000,-19315000,-711000,-22238000,-7263000,-44603000,-138449000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1566049/000114420416086094/0001144204-16-086094-index.html,https://www.sec.gov/Archives/edgar/data/1595527/000159552717000004/0001595527-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1595527/000159552718000004/0001595527-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1595527/000159552719000005/0001595527-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1768224/000156459020011037/0001564590-20-011037-index.htm,https://www.sec.gov/Archives/edgar/data/1768224/000156459021009872/0001564590-21-009872-index.htm,https://www.sec.gov/Archives/edgar/data/1768224/000156459022007832/0001564590-22-007832-index.htm
102,false,,,,,,,,,,,
