,https://roic.ai/company/BWMX,2017,2018,2019,2020,2021
36,Other Current Assets,- -,51485000,73758000,166220000,201402000
37,Total Current Assets,- -,729850000,880706000,2906570000,3552746000
38,PP&E,- -,42972000,231161000,816009000,1086876000
39,Goodwill,- -,348441000,348441000,348441000,371075000
40,Intangible Assets,- -,312099000,310965000,319361000,369760000
41,Intangible Assets,- -,660540000,659406000,667802000,740835000
42,Investments,- -,- -,- -,- -,497000
43,Tax Assets,- -,- -,5082000,17605000,- -
44,Other Non-Current Assets,- -,24236000,13371000,5774000,4274000
45,Total Non-Current Assets,- -,727748000,909020000,1507190000,1832482000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,1457598000,1789726000,4413760000,5385228000
48,Accounts Payable,- -,445241000,529348000,2078628000,1984932000
49,Short-Term Debt,- -,90691000,162296000,113601000,34226000
50,Tax Payable,- -,46640000,65008000,111924000,101994000
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,198512000,186714000,675168000,443538000
53,Total Current Liabilities,- -,734444000,878358000,2867397000,2462696000
54,Long-Term Debt,- -,562788000,540001000,540654000,1494039000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,70627000,78501000,56959000,98515000
57,Other Non-Current Liabilities,- -,9475000,18384000,26857000,1506000
58,Total Non-Current Liabilities,- -,642890000,636886000,624470000,1594060000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,24584000,24378000,17880000
61,Total Liabilities,- -,1377334000,1515244000,3491867000,4056756000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,55985000,55985000,281722000,- -
64,Retained Earnings,- -,24234000,218376000,-268539000,- -
65,Other Comprehensive Income/Loss,- -,45000,121000,-718000,- -
66,Other Total Stockholders Equity,- -,- -,- -,909428000,- -
67,Total Stockholders Equity,- -,80264000,274482000,921893000,1313817000
68,Total Liabilities And Stockholders Equity,- -,1457598000,1789726000,4413760000,5370573000
69,Minority Interest,- -,- -,- -,- -,14655000
70,Total Liabilities & Equity,- -,1457598000,1789726000,4413760000,5385228000
71,SEC Link,undefined,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,207674000,299267000,472142000,338361000,1826786000
74,Depreciation and Amortization,24209000,25962000,38394000,43688000,81905000
75,Deferred Income Tax,96952000,150179000,232692000,542768000,855377000
76,Stock Based Compensation,- -,- -,- -,32910000,- -
77,Change in Working Capital,10632000,-8162000,-7656000,172806000,-147134000
78,Accounts Receivable,-28626000,-50821000,-48921000,-510109000,-86815000
79,Inventory,-34807000,-160312000,-43348000,-928472000,-63114000
80,Accounts Payable,80112000,238927000,101857000,1604591000,-46064000
81,Other Working Capital,-1192000,-1718000,10344000,105924000,12519000
82,Other Non-Cash Items,33221000,-129032000,-130126000,691723000,-1095125000
83,Cash Provided by Operating Activities,372688000,338214000,605446000,1822256000,1521809000
84,CAPEX,-33668000,-21268000,-182625000,-617686000,-421482000
85,Acquisitions Net,- -,- -,- -,- -,-8811000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,2156000,34817000,7028000,-13715000,54262000
89,Cash Used for Investing Activites,-31512000,13549000,-175597000,-631401000,-376031000
90,Debt Repayment,-743787000,-35085000,-95366000,-1765937000,-653052000
91,Common Stock Issued,- -,- -,- -,250295000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-235124000,-342955000,-830000000,-1400000000
94,Other Financing Activites,427280000,-135026000,44786000,1590910000,1432652000
95,Cash Used/Provided by Financing Activities,-316507000,-405235000,-393535000,-754732000,-620400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,24669000,-53472000,36314000,436123000,525378000
98,Cash at the End of Period,230855000,177383000,213697000,649820000,1175198000
99,Cash at the Beginning of Period,206186000,230855000,177383000,213697000,649820000
100,Free Cash Flow,339020000,316946000,422821000,1204570000,1100327000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.05087,0.05088,0.0528,0.05024,0.04877
