,https://roic.ai/company/DLYT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
26,EPS Diluted,-880.00,-1140.00,-340.00,-100.00,-140.00,1.03,-80.00,-40.00,-20.00,-4.61,-60.00,-40.00,-19.20,-10.02
27,Weighted Average Shares Outstanding,2531,5261,9980,14992,17896,20011,28771,46938,58971,59884,63353,72228,210940,278128
28,Weighted Average Shares Outstanding Diluted,2531,5261,9980,14992,17896,20639,28771,46938,58971,59884,63353,72228,210940,278128
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1125699/000147793212000968/0001477932-12-000968-index.html,https://www.sec.gov/Archives/edgar/data/1125699/000147793213001442/0001477932-13-001442-index.html,- -,https://www.sec.gov/Archives/edgar/data/1125699/000147793215002168/0001477932-15-002168-index.html,https://www.sec.gov/Archives/edgar/data/1125699/000147793216009311/0001477932-16-009311-index.html,https://www.sec.gov/Archives/edgar/data/1125699/000147793217001790/0001477932-17-001790-index.htm,https://www.sec.gov/Archives/edgar/data/1125699/000147793218001631/0001477932-18-001631-index.html,https://www.sec.gov/Archives/edgar/data/1125699/000147793219001612/0001477932-19-001612-index.htm,https://www.sec.gov/Archives/edgar/data/1125699/000147793220004766/0001477932-20-004766-index.htm,https://www.sec.gov/Archives/edgar/data/1125699/000147793221006448/0001477932-21-006448-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,504232,26867,1085628,304656,262740,294150,27125,2343523,698754,21066,122036,29300,4083,36516
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,504232,26867,1085628,304656,262740,294150,27125,2343523,698754,21066,122036,29300,4083,36516
34,Net Receivables,18928,189974,187434,828632,760296,512842,258236,232720,222020,12504,8656,48391,47027,6671
35,Inventory,73629,147128,149986,294069,342908,292443,159870,99521,94911,77599,101607,53184,91281,65656
36,Other Current Assets,1098499,31181,103571,317662,215096,45945,47540,16542,49727,20714,12294,48654,32362,30670
37,Total Current Assets,1695288,395150,1526619,1745019,1581040,1145380,492771,2692306,1065412,131883,244593,179529,174753,139513
38,PP&E,16600,26933,19383,147911,188162,95557,96981,64551,151485,131003,91900,57420,30957,4501
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,51796,44129,72464,74363,89869,107230,113139,113672,108510,118115,117606,150842,146135,153592
41,Intangible Assets,51796,44129,72464,74363,89869,107230,113139,113672,108510,118115,117606,150842,146135,153592
42,Investments,- -,2280,2280,3280,2280,2280,- -,- -,190000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2280,- -,- -,- -,- -,- -,2280,2280,4280,4780,5080,4780,4780,4780
45,Total Non-Current Assets,70676,73342,94127,225554,280311,205067,212400,180503,454275,253898,214586,213042,181872,162873
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1765964,468492,1620746,1970573,1861351,1350447,705171,2872809,1519687,385781,459179,392571,356625,302386
48,Accounts Payable,456341,- -,- -,- -,552660,559946,480700,882434,287522,378123,353193,632574,952415,984485
49,Short-Term Debt,271493,2245488,1575624,1670624,2142069,- -,35000,- -,- -,- -,1335788,2141197,3168813,3605760
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,84145,84145,292457,647804,298459,189094,205201,123011,119678,7741,619235,527472,490398,391765
52,Other Current Liabilities,1217758,1867526,1923908,2288079,1810015,150975,287364,110976,148330,618202,2316414,3892725,5403993,7482353
53,Total Current Liabilities,2029737,4197159,3791989,4606507,4803203,900015,1008265,1116421,555530,1004066,4624630,7193968,10015619,12464363
54,Long-Term Debt,- -,675000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,294750
55,Deferred Revenue,- -,293769,207696,127840,70840,1894627,1773525,1699679,1534170,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,377914,- -,- -,3958318,1888218,1484739,1672893,1192409,1321958,1549399,- -,- -,- -,- -
58,Total Non-Current Liabilities,377914,968769,507696,4086158,1959058,3379366,3446418,2892088,2856128,1549399,- -,- -,10000,294750
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2407651,5165928,4299685,8692665,6762261,4279381,4454683,4008509,3411658,2553465,4624630,7193968,10025619,12759113
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,87428,121624,293530,335635,377749,552749,601163,3213623,1208001,1213001,1406087,1498200,2788,2788
64,Retained Earnings,-22797323,-28776769,-32162151,-35637962,-37973166,-37951827,-40073305,-41845671,-43388479,-43664486,-47112429,-50137190,-54186330,-56974063
65,Other Comprehensive Income/Loss,-55000,-307286,-265920,-276277,-312234,-334551,-322995,-364625,-276523,-330577,-371917,-401797,-428260,- -
66,Other Total Stockholders Equity,22123208,24264995,29455602,28856512,33006741,34804695,36045625,37860973,40565030,40614378,41912808,42239390,44942808,44514548
67,Total Stockholders Equity,-641687,-4697436,-2678939,-6722092,-4900910,-2928934,-3749512,-1135700,-1891971,-2167684,-4165451,-6801397,-9668994,-12456727
68,Total Liabilities And Stockholders Equity,1765964,468492,1620746,1970573,1861351,1350447,705171,2872809,1519687,385781,459179,392571,356625,302386
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1765964,468492,1620746,1970573,1861351,1350447,705171,2872809,1519687,385781,459179,392571,356625,302386
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1125699/000147793212000968/0001477932-12-000968-index.html,https://www.sec.gov/Archives/edgar/data/1125699/000147793213001442/0001477932-13-001442-index.html,- -,https://www.sec.gov/Archives/edgar/data/1125699/000147793215002168/0001477932-15-002168-index.html,https://www.sec.gov/Archives/edgar/data/1125699/000147793216009311/0001477932-16-009311-index.html,https://www.sec.gov/Archives/edgar/data/1125699/000147793217001790/0001477932-17-001790-index.htm,https://www.sec.gov/Archives/edgar/data/1125699/000147793218001631/0001477932-18-001631-index.html,https://www.sec.gov/Archives/edgar/data/1125699/000147793219001612/0001477932-19-001612-index.htm,https://www.sec.gov/Archives/edgar/data/1125699/000147793220004766/0001477932-20-004766-index.htm,https://www.sec.gov/Archives/edgar/data/1125699/000147793221006448/0001477932-21-006448-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-2233985,-5979446,-3385382,-1433593,-2335204,21339,-2121478,-1772366,-1542808,-276007,-3447943,-3024761,-4049140,-2787733
74,Depreciation and Amortization,12788,16187,19826,15276,52658,61151,106725,67059,61845,76108,60789,61088,42717,44093
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,1218678,1614985,651034,916935,296382,816906,674409,56497,163294,793466,300000,- -,- -
77,Change in Working Capital,196683,-3467560,1536639,-596118,-360675,3467528,-760859,2091379,-1066003,-1382065,-3507854,-2634402,-2826427,-2483984
78,Accounts Receivable,- -,-182220,1536,-641198,-289143,196001,365457,-42419,55341,131891,-3558,-32574,21160,12381
79,Inventory,-10951,-73499,-2858,-144083,-48839,50465,132573,60349,4610,17312,-24008,48423,-38097,25625
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-457556,175073,-24930,279381,319841,32070
81,Other Working Capital,-334449,-3802009,-2265370,-2861488,-3222163,245365,-515494,1575885,509882,-872183,-4380037,-7014439,-9840866,-12324850
82,Other Non-Cash Items,1108832,6387631,-604446,182553,396552,-5014050,1308522,-2373881,449277,466213,5231114,4228847,6114760,4671201
83,Cash Provided by Operating Activities,-915682,-1824510,-818378,-1180848,-1329734,-1167650,-650184,-1313400,-2041192,-952457,-870428,-1069228,-718090,-556423
84,CAPEX,-9210,-18855,-40611,-120124,-108415,-48195,-116730,-35162,-143617,-65231,-21177,-59844,-11547,-25094
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-39265,-6819,- -,3000,- -,- -,- -,- -,- -,- -,- -,-25094
89,Cash Used for Investing Activites,-9210,-18855,-40611,-120124,-108415,-45195,-116730,-35162,-143617,-65231,-21177,-59844,-11547,-25094
90,Debt Repayment,- -,-100000,-512900,-100000,-50000,-2565000,- -,- -,- -,- -,-371425,-497796,-33680,-72500
91,Common Stock Issued,53000,- -,642750,- -,- -,1759255,464889,3699960,540040,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1171325,1466000,1787900,620000,1446233,2050000,35000,-35000,- -,340000,1364000,1534132,738100,686450
95,Cash Used/Provided by Financing Activities,1224325,1366000,1917750,520000,1396233,1244255,499889,3664960,540040,340000,992575,1036336,704420,613950
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,299433,-477365,1058761,-780972,-41916,31410,-267025,2316398,-1644769,-677688,100970,-92736,-25217,32433
98,Cash at the End of Period,504232,26867,1085628,304656,262740,294150,27125,2343523,698754,21066,122036,29300,4083,36516
99,Cash at the Beginning of Period,204799,504232,26867,1085628,304656,262740,294150,27125,2343523,698754,21066,122036,29300,4083
100,Free Cash Flow,-924892,-1843365,-858989,-1300972,-1438149,-1215845,-766914,-1348562,-2184809,-1017688,-891605,-1129072,-729637,-581517
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1125699/000147793212000968/0001477932-12-000968-index.html,https://www.sec.gov/Archives/edgar/data/1125699/000147793213001442/0001477932-13-001442-index.html,- -,https://www.sec.gov/Archives/edgar/data/1125699/000147793215002168/0001477932-15-002168-index.html,https://www.sec.gov/Archives/edgar/data/1125699/000147793216009311/0001477932-16-009311-index.html,https://www.sec.gov/Archives/edgar/data/1125699/000147793217001790/0001477932-17-001790-index.htm,https://www.sec.gov/Archives/edgar/data/1125699/000147793218001631/0001477932-18-001631-index.html,https://www.sec.gov/Archives/edgar/data/1125699/000147793219001612/0001477932-19-001612-index.htm,https://www.sec.gov/Archives/edgar/data/1125699/000147793220004766/0001477932-20-004766-index.htm,https://www.sec.gov/Archives/edgar/data/1125699/000147793221006448/0001477932-21-006448-index.htm
102,false,,,,,,,,,,,,,,
