,https://roic.ai/company/MTNB,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,118046,170236,199842,- -,391498,1098131
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,29937,- -,100000,643000,- -
52,Other Current Liabilities,462200,847108,630692,851145,1441676,2344399,2317924,2183182,2312342
53,Total Current Liabilities,858968,1118263,1128534,1444793,2224716,2839893,3097234,3567621,4348743
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4140387
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1205141,1205141,848185,341265,341265,341265,341265
57,Other Non-Current Liabilities,- -,15291,- -,16446,668826,620360,3750074,3327723,2621
58,Total Non-Current Liabilities,- -,15291,1205141,1221587,1517011,961625,4091339,3668988,4484273
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,59653,11261,26382,94658,190901,4228488,3750074,- -
61,Total Liabilities,858968,1133554,2333675,2666380,3741727,3801518,7188573,7236609,8833016
62,Preferred Stock,- -,- -,- -,6086350,5716825,9780233,3985805,3797705,- -
63,Common Stock,3200,3230,5719,5817,9335,11329,16315,20010,21627
64,Retained Earnings,-3830719,-14051764,-23187164,-35179710,-51274542,-65944759,-84377555,-107507193,-131634208
65,Other Comprehensive Income/Loss,-1000,-43000,-87000,-140000,-241000,-439000,-566000,228172,-145499
66,Other Total Stockholders Equity,14303307,16319430,29340848,36377504,56471347,72733921,113993017,167192003,184251138
67,Total Stockholders Equity,10474788,2227896,6072403,7149961,10681965,16141724,33051582,63730697,52493058
68,Total Liabilities And Stockholders Equity,11333756,3361450,8406078,9816341,14423692,19943242,40240155,70967306,61326074
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11333756,3361450,8406078,9816341,14423692,19943242,40240155,70967306,61326074
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1582554/000114420415019575/0001144204-15-019575-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000114420416091635/0001144204-16-091635-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000114420417018184/0001144204-17-018184-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315218003518/0001493152-18-003518-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315219004560/0001493152-19-004560-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315220003558/0001493152-20-003558-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315221006979/0001493152-21-006979-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315222006231/0001493152-22-006231-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-3713127,-10221045,-9135400,-7598737,-15486489,-14083073,-17372651,-22446838,- -
74,Depreciation and Amortization,1131,41581,43502,52644,100605,218308,780816,774587,- -
75,Deferred Income Tax,- -,- -,- -,- -,-356956,-506920,- -,- -,- -
76,Stock Based Compensation,325740,1974153,1592367,1518897,3597480,3833088,2985278,4564787,- -
77,Change in Working Capital,398419,-8379078,743711,690109,2618559,4506337,16580031,31161602,-11342646
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,336440,-125613,-73726,-22240,107265,-287215,383657,-329369,- -
81,Other Working Capital,10065953,1686875,2430586,3120695,5739254,10245591,26825622,57987224,46644578
82,Other Non-Cash Items,- -,8623193,-1058583,-781636,-1932636,-4288949,-17065540,-31421974,11342646
83,Cash Provided by Operating Activities,-2987837,-7961196,-7814403,-6118723,-11459437,-10321209,-14092066,-17367836,- -
84,CAPEX,-94188,-288519,-76179,- -,-942180,-535916,-405604,-5749,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-5605654,-72106359,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,31445156,- -
88,Other Investing Activites,- -,- -,70754,- -,- -,- -,- -,- -,16770000
89,Cash Used for Investing Activites,-94188,-288519,-5425,- -,-942180,-535916,-6011258,-40666952,16770000
90,Debt Repayment,-24100,- -,-58392,-160221,-347974,-429261,-281557,-54673,- -
91,Common Stock Issued,15375000,- -,8514504,- -,1122274,9240038,30103306,46704210,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,682800,- -
94,Other Financing Activites,-1852811,- -,- -,7157398,14828373,7056249,30175,714494,6964000
95,Cash Used/Provided by Financing Activities,13498089,- -,8456112,6997177,15602673,15867026,29851924,48046831,6964000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10416064,-8249715,636284,878454,3201056,5009901,9748600,-9987957,8511000
98,Cash at the End of Period,10840428,2590713,3226997,4105451,7306507,13007838,22756438,12768481,- -
99,Cash at the Beginning of Period,424364,10840428,2590713,3226997,4105451,7997937,13007838,22756438,12768481
100,Free Cash Flow,-3082025,-8249715,-7890582,-6118723,-12401617,-10857125,-14497670,-17373585,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1582554/000114420415019575/0001144204-15-019575-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000114420416091635/0001144204-16-091635-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000114420417018184/0001144204-17-018184-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315218003518/0001493152-18-003518-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315219004560/0001493152-19-004560-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315220003558/0001493152-20-003558-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315221006979/0001493152-21-006979-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315222006231/0001493152-22-006231-index.htm
102,false,,,,,,,,,
