,https://roic.ai/company/CIO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-9123742,-17109811,-75105500,-94580000,-175471000,-216776000,-244784000,-197309000,-81922000,-27803000,-17381000
90,Debt Repayment,- -,-15606216,-1117508,-177337000,-1082000,-20199000,-272772000,-241820000,-216336000,-61330000,-202442000
91,Common Stock Issued,- -,- -,- -,122142000,- -,86785000,136941000,42902000,198874000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-6056000,- -,- -,- -,- -,- -,-100365000,- -
93,Dividends Paid,-219481,-13770577,-1499417,-6131000,-14404000,-20841000,-36256000,-42158000,-48163000,-41178000,-33506000
94,Other Financing Activites,7652833,44234799,80283791,181909000,150070000,157449000,378916000,394329000,152426000,129181000,176422000
95,Cash Used/Provided by Financing Activities,7433352,14858006,77666866,114527000,134584000,203194000,206829000,153253000,86801000,-73692000,-59526000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-543519,1639212,4021148,27734000,-26724000,5565000,-1402000,-1869000,54378000,-41572000,-3685000
98,Cash at the End of Period,1467404,3106616,7127764,34862000,8138000,13703000,12301000,33145000,87523000,45951000,42266000
99,Cash at the Beginning of Period,2010923,1467404,3106616,7128000,34862000,8138000,13703000,35014000,33145000,87523000,45951000
100,Free Cash Flow,1146871,3891017,1459782,7787000,14163000,19147000,36553000,42187000,49499000,59923000,73222000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1593222/000119312515102141/d877330d10k.htm,https://www.sec.gov/Archives/edgar/data/1593222/000119312516492056/0001193125-16-492056-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312517068549/0001193125-17-068549-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312518065516/0001193125-18-065516-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312519052955/0001193125-19-052955-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312520049035/0001193125-20-049035-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312521055665/0001193125-21-055665-index.htm,https://www.sec.gov/Archives/edgar/data/1593222/000119312522053348/0001193125-22-053348-index.htm
102,false,,,,,,,,,,,
