,https://roic.ai/company/BKYI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-25.7340,-5.5881,-15.4748,-21.7026,-3130453.0000,-Infinity,-25.8687,-7.3003,-1.3021,0.0252,-0.7293,-0.1058,0.0093,1.9911,-0.0871,-0.5408,0.0009,-1.3002,-0.4702,-0.3530,-1.4079,-0.6783,-1.6983,-6.4337,-3.4102,-0.9905
25,EPS,-31.68,-71.04,-151.68,-86.40,-69.12,-49.92,-61.44,-44.16,-42.24,1.53,-46.08,-9.60,-5.76,-7.68,-1.92,-3.84,0.01,-5.76,-2.88,-2.88,-7.12,-6.08,-5.84,-8.24,-2.08,-1.08
26,EPS Diluted,-31.68,-71.04,-151.68,-86.40,-69.12,-49.92,-61.44,-44.16,-42.24,-32.64,-46.08,-9.60,-5.76,-7.68,-1.92,-4.66,0.01,-5.76,-2.88,-2.88,-7.12,-6.08,-5.84,-8.24,-2.08,-1.08
27,Weighted Average Shares Outstanding,26357,36512,39236,43271,49944,56918,68262,91372,180874,233268,261628,305691,334162,377881,405733,407057,407057,478079,615073,687836,698393,829797,1450991,1777960,4700787,4700787
28,Weighted Average Shares Outstanding Diluted,26357,36512,39236,43271,49944,56918,68262,91372,180874,271073,261628,305691,334162,377881,405733,407057,407057,478079,615073,687836,698393,829797,1450991,1777960,4700787,4700787
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1019034/000104746905010230/a2155728z10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/1019034/000110465907023728/a07-5824_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1019034/000110465908019988/a08-2731_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1019034/000110465909016293/0001104659-09-016293-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000110465910016785/0001104659-10-016785-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000110465911016024/a11-2157_110k.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774912003901/biokey_10k-123111.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774913003783/0001437749-13-003783-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774914005560/bkyi20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774915006383/bkyi20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774916028706/0001437749-16-028706-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774917005802/0001437749-17-005802-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774918006054/0001437749-18-006054-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774919006258/0001437749-19-006258-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774920010796/bkyi20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774921007486/0001437749-21-007486-index.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774922007930/0001437749-22-007930-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,89133,3351753,1063616,101152,48830,514970,16748,1012790,956230,1422827,627167,964774,1712912,792426,1010096,43437,83989,2023349,843632,4321078,1061307,288721,323943,79013,16993096,7754046
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,512821,512821,- -
33,Cash and Short-Term Investments,89133,3351753,1063616,101152,48830,514970,16748,1012790,1956230,1422827,627167,964774,1712912,792426,1010096,43437,83989,2023349,843632,4321078,1061307,288721,323943,591834,17505917,7754046
34,Net Receivables,- -,56770,44702,13331,9118,- -,67998,409803,2008667,6158705,4370965,2363602,865573,2181215,2518093,587346,794688,286474,701998,3428826,1616884,2985811,1630714,236941,903502,970626
35,Inventory,106229,464927,410287,32500,- -,- -,- -,65857,29599,8760,17122,4879,13159,14935,9775,8238,4186,9376,11825,348645,465428,946847,998829,429119,330947,4940660
36,Other Current Assets,10487,110760,121875,43120,21745,206634,50897,165928,6543423,137000,148002,272162,96109,164411,188916,58920,25088,73482,236429,5097203,1766677,2792654,1275811,108397,201507,347541
37,Total Current Assets,205849,3984210,1640480,190103,79693,721604,135643,1654378,10537919,7727292,5163256,3605417,2687753,3152987,3726880,697941,907951,2392681,1793884,13195752,4910296,7014033,4229297,1366291,18941873,14012873
38,PP&E,41936,163966,135469,79257,31942,- -,- -,60157,644101,548267,428726,177282,92238,39243,28128,52870,24267,125062,103509,63877,67814,181165,148608,661988,569118,254100
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,11389654,11389654,7836986,7836986,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1262526,1262526
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,16244527,4864161,2510746,1324269,582701,230259,218450,207180,195911,174950,161344,7147738,10732543,8114912,6986516,228188,1573028,1298077
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,16244527,16253815,13900400,9161255,8419687,230259,218450,207180,195911,174950,161344,7147738,10732543,8114912,6986516,228188,2835554,2560603
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7812,8712,8712,8712,8712,8712,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,157478,17518,383695,91364,50595,41706,121991,150207,3418134,1828560,972159,487815,40500,2666000,1333000,- -,- -,- -,8712,8712,1578712,768712,327911,240231,174027,941465
45,Total Non-Current Assets,199414,181484,519164,170621,82537,41706,121991,210364,20306762,18630642,15301285,9826352,8560237,2944214,1588290,268762,228890,308724,273565,7220327,12379069,9064789,7463035,1130407,3578699,3756168
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,405263,4165694,2159644,360724,162230,763310,257634,1864742,30844681,26357934,20464541,13431769,11247990,6097201,5315170,966703,1136841,2701405,2067449,20416079,17289365,16078822,11692332,2496698,22520572,17769041
48,Accounts Payable,219254,288688,280879,341035,328398,238496,354694,351742,1325282,865993,1293772,1162690,280994,340241,180413,687441,931276,540912,347311,1158555,466842,499230,481269,919294,244158,427772
49,Short-Term Debt,330000,- -,- -,150000,1998455,- -,6507286,- -,3255182,1201207,2389792,- -,1516651,471483,2098139,346428,321428,- -,- -,- -,- -,- -,- -,2426014,466309,630009
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54382,55436,48255,26988,5614,9436,17248,17544,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,10000,3166356,3264283,4941428,4468749,3684476,200996,281393,527092,508520,528160,429233,376405,633062,507866,196609,359212,657349,565355
52,Other Current Liabilities,12180,235323,2435379,441797,1121689,90575,572701,207766,5806855,5964118,5186741,3769734,1308430,708765,1079117,675833,593599,338321,531844,731202,736573,1318431,548232,686885,508487,- -
53,Total Current Liabilities,561434,524011,2716258,932832,3448542,329071,7434681,569508,13553675,11295601,13811733,9401173,6790551,1721485,3639062,2236794,2354823,1407393,1308388,2266162,1836477,2325527,1226110,4391405,1876303,1623136
54,Long-Term Debt,- -,- -,- -,1111754,- -,- -,- -,10431223,5286951,3723017,- -,- -,- -,- -,1102492,- -,- -,- -,- -,- -,- -,- -,- -,- -,278512,86974
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19892,9391,4281,1000,- -,- -,- -,- -,- -,- -,- -,- -,44987,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,4331238,- -,- -,1382657,2031588,9396168,6797904,7519496,3258093,- -,- -,- -,243077,- -,- -,- -,- -,- -,390466,-14349,67300
58,Total Non-Current Liabilities,- -,- -,- -,1111754,- -,4331238,- -,10431223,6669608,5754605,9396168,6797904,7539388,3267484,1106773,1000,- -,243077,- -,- -,- -,- -,- -,390466,309150,154274
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,684724
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,561026,498472,- -
61,Total Liabilities,561434,524011,2716258,2044586,3448542,4660309,7434681,11000731,20223283,17050206,23207901,16199077,14329939,4988969,4745835,2237794,2354823,1650470,1308388,2266162,1836477,2325527,1226110,4781871,2185453,2153586
62,Preferred Stock,- -,- -,- -,- -,- -,- -,184,42,622,4,3,3,3,- -,- -,- -,- -,- -,- -,20,20,17,- -,- -,- -,- -
63,Common Stock,25088,74614,75109,91063,99667,125285,143774,212229,406807,4632,5516,6115,6788,7771,7815,7815,7815,11584,6600,6610,609,769,1398,1441,782,786
64,Retained Earnings,-969264,-3583666,-9534968,-13248325,-16519778,-19560523,-23605404,-27676252,-35111204,-42226240,-53842798,-54900021,-54780843,-50087293,-50394082,-52291688,-52288421,-54870572,-56754144,-58611450,-62801154,-67076492,-75134316,-89723016,-99509689,-104575470
65,Other Comprehensive Income/Loss,- -,- -,- -,-163656,-210971,- -,- -,-42936,-120848,-365298,-640751,-863604,-947315,-364503,-385518,-416980,-445583,-474202,-514388,-557384,-553126,-605835,-690452,-772304,- -,- -
66,Other Total Stockholders Equity,788005,7150735,8903245,11637056,13344770,15538239,16284399,18370928,45446021,51894630,51734670,52990199,52639418,51552257,51341120,51429762,51508207,56384125,58020993,77312121,78806539,81434836,86289592,88208706,119844026,120190139
67,Total Stockholders Equity,-156171,3641683,-556614,-1683862,-3286312,-3896999,-7177047,-9135989,10621398,9307728,-2743360,-2767308,-3081949,1108232,569335,-1271091,-1217982,1050935,759061,18149917,15452888,13753295,10466222,-2285173,20335119,15615455
68,Total Liabilities And Stockholders Equity,405263,4165694,2159644,360724,162230,763310,257634,1864742,30844681,26357934,20464541,13431769,11247990,6097201,5315170,966703,1136841,2701405,2067449,20416079,17289365,16078822,11692332,2496698,22520572,17769041
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,405263,4165694,2159644,360724,162230,763310,257634,1864742,30844681,26357934,20464541,13431769,11247990,6097201,5315170,966703,1136841,2701405,2067449,20416079,17289365,16078822,11692332,2496698,22520572,17769041
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1019034/000104746905010230/a2155728z10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/1019034/000110465907023728/a07-5824_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1019034/000110465908019988/a08-2731_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1019034/000110465909016293/0001104659-09-016293-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000110465910016785/0001104659-10-016785-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000110465911016024/a11-2157_110k.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774912003901/biokey_10k-123111.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774913003783/0001437749-13-003783-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774914005560/bkyi20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774915006383/bkyi20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774916028706/0001437749-16-028706-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774917005802/0001437749-17-005802-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774918006054/0001437749-18-006054-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774919006258/0001437749-19-006258-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774920010796/bkyi20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774921007486/0001437749-21-007486-index.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774922007930/0001437749-22-007930-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-823488,-2593814,-5951302,-3428357,-3130453,-2283774,-4019974,-3826073,-7237465,358065,-11080851,-1057224,119179,4693549,-306789,-1897606,3267,-2582151,-1883572,-1857306,-4189704,-4275338,-6868875,-14588700,-9673987,-5065781
74,Depreciation and Amortization,20393,103624,633262,485787,137303,31942,- -,6386,637124,5879089,4140498,1458052,854237,50767,32824,42732,39872,49579,53792,56602,84233,1576486,1613450,1004853,426906,270718
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415350,222097,46385,57180,49842,81642,207258,324115,260842,972764,980224,947720,792095,289179
77,Change in Working Capital,117661,3815784,-4535977,333049,-2626120,3761382,-7691571,8383908,-4100626,-552553,-5080168,2852721,1692958,5534300,-1343684,-1626671,91981,2432160,-499792,10444094,-7855771,1614687,-1685319,-6028301,20090684,-4675833
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1529402,-756765,496122,- -,- -,320759,-341316,-2721902,258159,-1058927,1341914,883671,-237257,-672577
79,Inventory,-100616,-358698,-545360,94272,- -,- -,- -,- -,36258,20839,-8362,6488,-8280,-1776,5160,1538,4051,-5190,-2449,-336820,-296783,-481419,-51982,569710,98172,-4609713
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33105,88028,-159828,507028,243835,-480364,-193601,811244,-691713,32388,-17961,438025,-600399,183614
81,Other Working Capital,-355585,3460199,-1075778,-742729,-3368849,392533,-7299038,1084870,-3015756,-3568309,-8648477,-5795756,-4102798,1431502,87818,-1538853,-1446872,985288,485496,10929590,3073819,4688506,3003187,-3025114,17065570,12389737
82,Other Non-Cash Items,1841,-3978895,5296991,409491,3895947,-3435275,9446608,-7421366,5056208,-10198098,8469066,-5414766,-2952551,-12155429,1258334,2901254,-119410,-2665141,-380613,-24527593,7253570,-2354061,4347045,16814081,-16585806,203289
83,Cash Provided by Operating Activities,-683593,-2653301,-4557026,-2200030,-1723323,-1925725,-2264937,-2857145,-5644759,-4513497,-3551455,-2161217,129173,-1654716,-312930,-523111,65552,-2683911,-2502927,-15560088,-4446830,-2465462,-1613475,-1850347,-4950108,-8978428
84,CAPEX,-43281,-163400,-31404,-2438,- -,- -,- -,-66543,-275193,-214402,-228355,-49211,-38156,-42778,-9900,-56204,- -,-129413,-18633,-3364,-52975,-226758,-82458,-30489,-35568,-42024
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-10930815,- -,- -,7000000,-65354,7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1899253,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-5887500,- -,- -,- -,- -,-900,- -,- -,- -,- -,- -,- -,- -,- -,- -,-512821,-512821,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,980000,- -,- -,711945,- -,40500,3350000,- -,- -,- -,- -,- -,- -,- -,- -,512821,- -
88,Other Investing Activites,-45931,-171501,-31404,180965,-12518,-2635,1615,-28215,1963803,1059471,1028207,209993,-27626,-58371,-9900,-56204,- -,-129413,-18633,-3364,-52975,-226758,-82458,-30489,-330568,-42024
89,Cash Used for Investing Activites,-45931,-171501,-31404,178527,-12518,-2635,1615,-94758,-15129705,1825069,799852,7160782,618965,6940729,30600,3293796,- -,-129413,-18633,-3364,-52975,-226758,-82458,-543310,-2229821,-42024
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3914922,- -,-3612135,-25000,-818735,- -,-250000,- -,- -,- -,-707000,-4947987,- -
91,Common Stock Issued,573497,6417422,113270,775039,183519,- -,- -,61665,11248803,558788,1508400,- -,- -,- -,- -,- -,- -,5649793,1595000,- -,1860000,2000000,1875100,- -,22174425,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4004370,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55868,- -,- -,-37207,- -,-125209,- -,- -,- -,- -,-535100,- -,- -,- -,- -,- -
94,Other Financing Activites,239939,-330000,2187023,284000,1500000,2394500,1765100,3886280,9469101,2596237,503411,-4661958,- -,1750000,500000,- -,- -,-78374,-253157,19290898,-84866,-80366,-143945,2855727,6867574,-218598
95,Cash Used/Provided by Financing Activities,813436,6087422,2300293,1059039,1683519,2394500,1765100,3947945,20717904,3155025,1955943,-4661958,- -,-6206499,500000,-3737344,-25000,4752684,1341843,19040898,1240034,1919634,1731155,2148727,24094012,-218598
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,83912,3262620,-2288137,-962464,-52322,466140,-498222,996042,-56560,466597,-795660,337607,748138,-920486,217670,-966659,40552,1939360,-1179717,3477446,-3259771,-772586,35222,-244930,16914083,-9239050
98,Cash at the End of Period,89133,3351753,1063616,101152,48830,514970,16748,1012790,956230,1422827,627167,964774,1712912,792426,1010096,43437,83989,2023349,843632,4321078,1061307,288721,323943,79013,16993096,7754046
99,Cash at the Beginning of Period,5221,89133,3351753,1063616,101152,48830,514970,16748,1012790,956230,1422827,627167,964774,1712912,792426,1010096,43437,83989,2023349,843632,4321078,1061307,288721,323943,79013,16993096
100,Free Cash Flow,-726874,-2816701,-4588430,-2202468,-1723323,-1925725,-2264937,-2923688,-5919952,-4727899,-3779810,-2210428,91017,-1697494,-322830,-579315,65552,-2813324,-2521560,-15563452,-4499805,-2692220,-1695933,-1880836,-4985676,-9020452
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1019034/000104746905010230/a2155728z10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/1019034/000110465907023728/a07-5824_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1019034/000110465908019988/a08-2731_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1019034/000110465909016293/0001104659-09-016293-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000110465910016785/0001104659-10-016785-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000110465911016024/a11-2157_110k.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774912003901/biokey_10k-123111.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774913003783/0001437749-13-003783-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774914005560/bkyi20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774915006383/bkyi20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774916028706/0001437749-16-028706-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774917005802/0001437749-17-005802-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774918006054/0001437749-18-006054-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774919006258/0001437749-19-006258-index.html,https://www.sec.gov/Archives/edgar/data/1019034/000143774920010796/bkyi20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774921007486/0001437749-21-007486-index.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774922007930/0001437749-22-007930-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
