,https://roic.ai/company/DASH,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,7000000,58000000,33000000,70000000
45,Total Non-Current Assets,- -,114000000,734000000,836000000,2244000000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,683000000,1732000000,6353000000,6809000000
48,Accounts Payable,- -,35000000,20000000,80000000,161000000
49,Short-Term Debt,- -,- -,17000000,379000000,26000000
50,Tax Payable,- -,16000000,51000000,149000000,- -
51,Deferred Revenue,- -,8000000,27000000,136000000,- -
52,Other Current Liabilities,- -,67000000,318000000,807000000,1573000000
53,Total Current Liabilities,- -,110000000,382000000,1402000000,1760000000
54,Long-Term Debt,- -,- -,- -,238000000,373000000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,24000000,168000000,13000000,9000000
58,Total Non-Current Liabilities,- -,24000000,168000000,251000000,382000000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,184000000,253000000,399000000
61,Total Liabilities,- -,134000000,550000000,1653000000,2142000000
62,Preferred Stock,- -,985000000,2264000000,- -,- -
63,Common Stock,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-485000000,-1152000000,-1613000000,-2081000000
65,Other Comprehensive Income/Loss,- -,-1000000,- -,- -,-4000000
66,Other Total Stockholders Equity,- -,1048000000,2373000000,6313000000,- -
67,Total Stockholders Equity,- -,549000000,1182000000,4700000000,4667000000
68,Total Liabilities And Stockholders Equity,- -,683000000,1732000000,6353000000,6809000000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,683000000,1732000000,6353000000,6809000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1792789/000162828022004350/0001628280-22-004350-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,-204000000,-667000000,-461000000,-468000000
74,Depreciation and Amortization,- -,9000000,32000000,120000000,156000000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,24000000,18000000,322000000,486000000
77,Change in Working Capital,- -,12000000,3499000000,- -,435000000
78,Accounts Receivable,- -,-17000000,-40000000,-248000000,-94000000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,25000000,-13000000,54000000,79000000
81,Other Working Capital,- -,616000000,4115000000,4115000000,-174000000
82,Other Non-Cash Items,- -,- -,-3349000000,271000000,83000000
83,Cash Provided by Operating Activities,- -,-159000000,-467000000,252000000,692000000
84,CAPEX,- -,-16000000,-92000000,-159000000,-237000000
85,Acquisitions Net,- -,- -,-315000000,-28000000,- -
86,Purchases of Investments,- -,-390000000,-762000000,-593000000,-2753000000
87,Sales/Maturities of Investments,- -,49000000,600000000,587000000,944000000
88,Other Investing Activites,- -,- -,-1000000,-52000000,-109000000
89,Cash Used for Investing Activites,- -,-357000000,-570000000,-192000000,-2047000000
90,Debt Repayment,- -,- -,- -,-26000000,-333000000
91,Common Stock Issued,- -,- -,- -,3289000000,- -
92,Common Stock Repurchased,- -,-60000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,726000000,1109000000,733000000,-150000000
95,Cash Used/Provided by Financing Activities,- -,666000000,1109000000,3996000000,-483000000
96,Effect of Forex Changes on Cash,- -,- -,- -,2000000,-1000000
97,Net Change In Cash,- -,150000000,72000000,4058000000,-1839000000
98,Cash at the End of Period,- -,215000000,287000000,4345000000,2506000000
99,Cash at the Beginning of Period,- -,65000000,215000000,287000000,4345000000
100,Free Cash Flow,- -,-175000000,-559000000,93000000,455000000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1792789/000162828022004350/0001628280-22-004350-index.htm
102,false,,,,,
