,https://roic.ai/company/INVU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-149526.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-58.9488,-7.3860,-12.6276,-4.5216,-2.8554,-2.9905,-5.3966,-4.4473,-13.1719,-6.7725,15.9111,-0.8208,-0.0941,-0.4012,0.2555
17,Operating Income,-73725,-59148,-68352,-51700,-178107,-914524,- -,-5503749,-5017300,-34072290,-5448242,-5039537,-4855565,-7333897,-3111095,-4909383,-1664813,-852371,-10676154,-3940856,-9093419,774389
18,Operating Income ratio,-73725.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-56.4238,-5.1644,-13.1688,-4.7721,-2.5047,-2.2302,-4.4173,-2.9673,-6.9221,-4.7038,-6.4836,-0.5959,-0.1329,-0.3760,0.0202
19,Total Other Income Expenses (Gains),-76033,-89568,-98289,-108042,56361,-85762,- -,-247275,-2357109,-1942082,-1650830,-4934739,-4253828,-1997413,-973308,-4745137,-439617,2606037,-4212273,-966471,-12184389,-59023
20,Income Before Tax,-149758,-148716,-166641,-159742,-121746,-1000286,- -,-5751024,-7374409,-36014372,-7099072,-9974276,-9109393,-9331310,-4084403,-9654520,-2104430,1753666,-14888427,-4907327,-21277808,715366
21,Income Before Tax Ratio,-149758.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-58.9589,-7.5906,-13.9194,-6.2181,-4.9574,-4.1840,-5.6204,-3.8957,-13.6127,-5.9460,13.3394,-0.8309,-0.1655,-0.8798,0.0187
22,Income Tax expense (Gain),100,100,100,100,100,- -,- -,- -,- -,- -,- -,- -,- -,- -,102891,- -,- -,- -,24589,-70768,7383,149573
23,Net Income,-149858,-148816,-166741,-159842,-121846,-1000286,- -,-5751024,-7374409,-36014372,-7099072,-9974276,-9109393,-9331310,-4152597,-9422352,-2104430,1753666,-14913016,-4978095,-21285191,565793
24,Net Income ratio,-149858.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-58.9589,-7.5906,-13.9194,-6.2181,-4.9574,-4.1840,-5.6204,-3.9607,-13.2853,-5.9460,13.3394,-0.8323,-0.1678,-0.8802,0.0148
25,EPS,-57.20,-57.20,-57.20,-57.20,-26.31,-7.15,- -,-10.00,-8.00,-28.00,-4.00,-4.00,-2.50,-1.86,-0.67,-0.80,-0.13,0.05,-0.01,-0.00,-0.01,0.00
26,EPS Diluted,-57.20,-57.20,-57.20,-57.20,-26.31,-7.15,- -,-10.00,-8.00,-28.00,-4.00,-4.00,-2.50,-1.86,-0.67,-0.80,-0.13,0.05,-0.01,-0.00,-0.01,0.00
27,Weighted Average Shares Outstanding,2121,2126,2126,2126,4630,140190,- -,609255,833614,1302667,1646958,2193770,3633547,5010733,6012439,11731141,14616664,38153419,1911786477,2234117482,2937880878,3138350394
28,Weighted Average Shares Outstanding Diluted,2121,2126,2126,2126,4630,140190,- -,609255,833614,1302667,1646958,2193770,3633547,5010733,6012439,11731141,14616664,38153419,1911786477,2234117482,2937880878,3138350394
29,SEC Link,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/862651/000114420408047521/0001144204-08-047521-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/862651/000114420412037094/0001144204-12-037094-index.html,https://www.sec.gov/Archives/edgar/data/862651/000114420413037454/0001144204-13-037454-index.html,https://www.sec.gov/Archives/edgar/data/862651/000114420414043078/0001144204-14-043078-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000114420415042415/0001144204-15-042415-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000114420416113022/0001144204-16-113022-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000114420417036649/0001144204-17-036649-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000165495418007172/0001654954-18-007172-index.html,https://www.sec.gov/Archives/edgar/data/862651/000149315219009896/0001493152-19-009896-index.html,https://www.sec.gov/Archives/edgar/data/862651/000149315220012139/0001493152-20-012139-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000149315221015566/0001493152-21-015566-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,283,209,697,10,- -,14611,179829,75259,48828,124031,179921,176282,195783,805737,7697,3550,1490686,133644,137177,5389654
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,283,209,697,10,- -,14611,179829,75259,48828,124031,179921,176282,195783,805737,7697,3550,1490686,133644,137177,5389654
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,99574,601102,- -,- -,- -,- -,9704,15000,57076,- -,150000,472557,- -,- -,1672310
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,553952,25355,22513,568809,129877,81838,11439,125629,1793,- -,530435,7563526,6461680,5264849
37,Total Current Assets,- -,- -,283,209,697,10,- -,114185,1334883,100614,71341,692840,309798,267824,222222,988442,9490,153550,2493678,7697170,6598857,12326813
38,PP&E,- -,- -,41461,41461,41461,- -,- -,1479,2778581,2007025,1235825,582514,371472,235355,- -,- -,- -,- -,18860,13528,2997611,5914915
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,27233173,- -,- -,- -,- -,123592,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131878,- -,- -,- -,- -,- -,- -,- -,2133620,1576685,692882,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,27233173,- -,131878,- -,- -,- -,- -,- -,- -,- -,2133620,1576685,692882,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,110078,110078,10000,- -,- -,- -,- -,452349,21600,259869,- -,130342,105000,105000,- -,- -,4500,1987720,110638,1310903
45,Total Non-Current Assets,- -,- -,151539,151539,51461,- -,- -,1479,30011754,2459374,1389303,842383,371472,365697,105000,105000,- -,- -,2156980,3577933,3801131,7225818
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,151822,151748,52158,10,- -,115664,31346637,2559988,1460644,1535223,681270,633521,327222,1093442,9490,153550,4650658,11275103,10399988,19552631
48,Accounts Payable,- -,- -,61337,62977,1222,3543,- -,385884,1693005,130701,989471,802740,733904,1387237,1486175,1025307,1142465,417025,5352073,3897013,3774536,2719028
49,Short-Term Debt,- -,- -,2377,2097,1068594,624699,- -,762556,1884508,582085,421970,1144518,200000,219858,1601501,240000,389168,205210,197125,2522519,3740616,3424771
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7085,663664,541692,615442,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,5500,804452,108048,79633,261260,222133,171336,64194,41585,13128,5807,863740,1876727,612500,3628501
52,Other Current Liabilities,- -,- -,1122920,1265963,678912,- -,- -,43561,158789,1470685,860648,1285546,105975,1627646,2291158,886515,1288278,501815,- -,1623901,12594830,548937
53,Total Current Liabilities,- -,- -,1186634,1331037,1748728,628242,- -,1197501,4540754,2291519,2351722,3494064,1262012,3406077,5443028,2193407,2833039,1129857,6412938,9920160,20722482,10321237
54,Long-Term Debt,- -,- -,393070,408435,- -,- -,- -,65830,- -,3350282,4190264,2632510,445156,166400,153600,1699396,1759012,127199,- -,- -,50268,12929177
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1120476,50957,- -,- -,- -,- -,- -,- -,- -,- -,3885464,- -
58,Total Non-Current Liabilities,- -,- -,393070,408435,- -,- -,- -,65830,- -,3350282,5310740,2683467,445156,166400,153600,1699396,1759012,127199,- -,- -,3935732,12929177
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3976000,- -,- -,- -,1465644,2706467,1242416,- -,- -,- -,- -,51485,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106798,59460
61,Total Liabilities,- -,- -,1579704,1739472,1748728,628242,- -,1263331,8516754,5641801,7662462,6177531,2282500,5946144,6531844,3892803,4592051,1129857,6412938,9971645,24658214,23250414
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153
63,Common Stock,- -,- -,1216099,1216099,261,5829,- -,141735,237603,312215,3847967,2242190,4508,5428,7010,14535,14967,125890,2169661,2640161,3214490,2982481
64,Retained Earnings,- -,- -,-2907999,-3067841,-3189687,-4189973,- -,-6296219,- -,-49685000,-56784072,-66758348,-75867741,-85199051,-89351648,-98517358,-100621788,-98868122,-20067403,-25096983,-46382174,-46038271
65,Other Comprehensive Income/Loss,- -,- -,-7360,-7360,- -,- -,- -,- -,4521000,-940754,-1711954,-2365265,- -,- -,- -,- -,- -,- -,-2483,1363,-20058,-19057
66,Other Total Stockholders Equity,- -,- -,271378,271378,1492856,3555912,- -,- -,18570122,47231726,48446241,62239115,74262003,79881000,83140016,95759627,96024260,97765925,16137945,23758917,28929516,39376911
67,Total Stockholders Equity,- -,- -,-1427882,-1587724,-1696570,-628232,- -,-1147667,23328725,-3081813,-6201818,-4642308,-1601230,-5312623,-6204622,-2743196,-4582561,-976307,-1762280,1303458,-14258226,-3697783
68,Total Liabilities And Stockholders Equity,- -,- -,151822,151748,52158,10,- -,115664,31845479,2559988,1460644,1535223,681270,633521,327222,1149607,9490,153550,4650658,11275103,10399988,19552631
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-498842,- -,- -,- -,- -,- -,- -,-56165,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,151822,151748,52158,10,- -,115664,31346637,2559988,1460644,1535223,681270,633521,327222,1093442,9490,153550,4650658,11275103,10399988,19552631
71,SEC Link,undefined,undefined,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/862651/000114420408047521/0001144204-08-047521-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/862651/000114420412037094/0001144204-12-037094-index.html,https://www.sec.gov/Archives/edgar/data/862651/000114420413037454/0001144204-13-037454-index.html,https://www.sec.gov/Archives/edgar/data/862651/000114420414043078/0001144204-14-043078-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000114420415042415/0001144204-15-042415-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000114420416113022/0001144204-16-113022-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000114420417036649/0001144204-17-036649-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000165495418007172/0001654954-18-007172-index.html,https://www.sec.gov/Archives/edgar/data/862651/000149315219009896/0001493152-19-009896-index.html,https://www.sec.gov/Archives/edgar/data/862651/000149315220012139/0001493152-20-012139-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000149315221015566/0001493152-21-015566-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-149858,-148816,-166741,-159842,-121846,-1000286,- -,-5751024,-7374409,-36014372,-7099072,-9974276,-9109393,-9331310,-4152597,-9422352,-2104430,1753666,-14913016,-4978095,-21285191,565793
74,Depreciation and Amortization,232,- -,- -,- -,- -,- -,- -,985,198725,1394752,937781,785362,210869,371472,-613037,80488,-292551,-310484,2639,395047,897805,2415087
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1507787,1105106,507703,92985,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-1186351,-144477,-417203,1119799,- -,294025,-2122555,1014966,-89476,-520843,1849010,-2186039,-2082553,4015841,-1618584,1847242,-2942953,1696270,-11900635,16129201
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,601102,- -,- -,- -,-9704,-5296,-42076,57076,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,918685,12785,190977,223158,265801,2924522,-1314971,974360,-416608
81,Other Working Capital,- -,- -,-1186351,-1330828,-1748031,-628232,- -,- -,-3205871,-2190905,-2280381,-2801224,-952214,-3138253,-5220806,-1204965,-2823549,-976307,-3919260,-2222990,-14123625,2005576
82,Other Non-Cash Items,123627,121306,1325962,289160,-120622,-131685,- -,4203552,7295810,31556034,5092803,8135797,5648723,8607324,4555832,2169538,2896632,-3483443,16807665,-96473,36912788,-12222797
83,Cash Provided by Operating Activities,-25999,-27510,-27130,-15159,-659671,-12172,- -,-1252462,-2002429,-2048620,-1157964,-1573960,-1400791,-1030766,-1187249,-2648782,-1025948,-193019,-1045665,-2983251,4624767,6887284
84,CAPEX,-25747,-3485,- -,- -,- -,- -,- -,- -,-17679,- -,- -,- -,- -,- -,- -,-64764,- -,- -,-11264,- -,-5245606,-2933899
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-50000,87663,- -,- -,- -,- -,1377,- -,1147500,- -,- -,- -,3740,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1911,- -,- -,- -,- -,-6750,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6750,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,10,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3550,- -,- -,- -
89,Cash Used for Investing Activites,-25747,-3485,- -,- -,- -,10,- -,-50000,68073,- -,- -,- -,- -,-5373,6750,1082736,- -,- -,-7714,3740,-5245606,-2933899
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30511,-99437,-112000,-259730,-30000,- -,- -,-147102,-126607,-1424578,-2936044,-5020795,-2876055
91,Common Stock Issued,15000,- -,- -,- -,- -,- -,- -,725000,476250,- -,- -,- -,- -,- -,1200000,2055000,- -,157500,3121776,- -,825000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8589,- -,- -,- -,- -,- -,- -,-91000,-102,-272
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25456
94,Other Financing Activites,36891,31320,26819,15085,660159,11475,- -,577936,1623324,1974561,1230970,1761163,1725000,1062500,- -,121000,375010,157979,841880,4654570,4820271,5472047
95,Cash Used/Provided by Financing Activities,51891,31320,26819,15085,660159,11475,- -,1302936,2099574,1944050,1131533,1649163,1456681,1032500,1200000,2176000,227908,188872,2539078,1627526,624374,2570264
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3371,-5057,-2,1001
97,Net Change In Cash,145,325,-311,-74,488,-687,- -,474,165218,-104570,-26431,75203,55890,-3639,19501,609954,-798040,-4147,1489070,-1357042,3533,6524650
98,Cash at the End of Period,269,594,283,209,697,10,- -,14611,179829,75259,48828,124031,179921,176282,195783,805737,7697,3550,1490686,133644,137177,6661827
99,Cash at the Beginning of Period,124,269,594,283,209,697,- -,14137,14611,179829,75259,48828,124031,179921,176282,195783,805737,7697,1616,1490686,133644,137177
100,Free Cash Flow,-51746,-30995,-27130,-15159,-659671,-12172,- -,-1252462,-2020108,-2048620,-1157964,-1573960,-1400791,-1030766,-1187249,-2713546,-1025948,-193019,-1056929,-2983251,-620839,3953385
101,SEC Link,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/862651/000114420408047521/0001144204-08-047521-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/862651/000114420412037094/0001144204-12-037094-index.html,https://www.sec.gov/Archives/edgar/data/862651/000114420413037454/0001144204-13-037454-index.html,https://www.sec.gov/Archives/edgar/data/862651/000114420414043078/0001144204-14-043078-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000114420415042415/0001144204-15-042415-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000114420416113022/0001144204-16-113022-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000114420417036649/0001144204-17-036649-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000165495418007172/0001654954-18-007172-index.html,https://www.sec.gov/Archives/edgar/data/862651/000149315219009896/0001493152-19-009896-index.html,https://www.sec.gov/Archives/edgar/data/862651/000149315220012139/0001493152-20-012139-index.htm,https://www.sec.gov/Archives/edgar/data/862651/000149315221015566/0001493152-21-015566-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
