,https://roic.ai/company/ACMR,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,4203000,4120000,4977000,7019000,19307000,80601000,99245000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,32151000,44467000,67891000,103047000,217703000,341257000,1052179000
48,Accounts Payable,2094000,5173000,7419000,16673000,13262000,35603000,101350000
49,Short-Term Debt,9691000,4772000,5106000,9447000,15108000,29238000,14314000
50,Tax Payable,44000,44000,44000,1193000,3129000,31000,254000
51,Deferred Revenue,4635000,215000,143000,8417000,9129000,19231000,56004000
52,Other Current Liabilities,4147000,6909000,9149000,11603000,16003000,18836000,34271000
53,Total Current Liabilities,20567000,17069000,21817000,46140000,53502000,102908000,205939000
54,Long-Term Debt,- -,- -,- -,- -,- -,17979000,24826000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,1286000,1302000
57,Other Non-Current Liabilities,16063000,24913000,6217000,4583000,66880000,10914000,8447000
58,Total Non-Current Liabilities,16063000,24913000,6217000,4583000,66880000,30179000,34575000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,3887000,4297000,4182000
61,Total Liabilities,36630000,41982000,28034000,50723000,120382000,133087000,240514000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,280000,2000,1000,1000,2000,2000,2000
64,Retained Earnings,-10675000,-9643000,-9961000,-3387000,15507000,34287000,72044000
65,Other Comprehensive Income/Loss,-84000,-413000,122000,-857000,-1675000,4857000,9109000
66,Other Total Stockholders Equity,2243000,7620000,49695000,56567000,83487000,102004000,- -
67,Total Stockholders Equity,-8236000,-2434000,39857000,52324000,97321000,141150000,676204000
68,Total Liabilities And Stockholders Equity,28394000,39548000,67891000,103047000,217703000,274237000,916718000
69,Minority Interest,3757000,4919000,- -,- -,- -,67020000,135461000
70,Total Liabilities & Equity,32151000,44467000,67891000,103047000,217703000,341257000,1052179000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1680062/000165495418002950/0001654954-18-002950-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000165495419002737/0001654954-19-002737-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000114036120006743/0001140361-20-006743-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000114036121006683/0001140361-21-006683-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000114036122007348/0001140361-22-007348-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,5380000,1031000,-318000,6574000,18894000,18780000,37757000
74,Depreciation and Amortization,160000,187000,271000,417000,788000,1055000,2353000
75,Deferred Income Tax,-2432000,436000,659000,-405000,-3719000,-4085000,-1840000
76,Stock Based Compensation,423000,383000,1622000,3363000,3572000,5628000,5117000
77,Change in Working Capital,-3364000,15897000,17819000,8791000,95006000,12854000,589247000
78,Accounts Receivable,-7429000,-4724000,-9757000,883000,-6961000,-22085000,-47624000
79,Inventory,-2097000,-3055000,-3073000,-24083000,-6658000,-40768000,-127656000
80,Accounts Payable,-2618000,3177000,1905000,9825000,-3058000,21275000,65211000
81,Other Working Capital,7381000,23278000,41097000,49888000,144894000,157748000,746995000
82,Other Non-Cash Items,2535000,-21636000,-28154000,-11831000,-105138000,-47779000,-672727000
83,Cash Provided by Operating Activities,2702000,-3702000,-8101000,6909000,9403000,-13547000,-40093000
84,CAPEX,-1371000,-817000,-766000,-2071000,-1125000,-55485000,-9153000
85,Acquisitions Net,- -,- -,-22008000,- -,-4406000,- -,- -
86,Purchases of Investments,- -,- -,-1200000,- -,- -,-15020000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-15000,139000,-241000,-154000,-9513000,-2127000
89,Cash Used for Investing Activites,-1371000,-810000,-23720000,-2071000,-5531000,-69950000,-11280000
90,Debt Repayment,-9605000,-7716000,-11110000,-13131000,-14005000,-22183000,-39809000
91,Common Stock Issued,- -,- -,33017000,- -,86113000,2745000,3430000
92,Common Stock Repurchased,- -,- -,-1537000,- -,-2827000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,555000,- -
94,Other Financing Activites,11879000,18270000,18350000,18254000,18164000,51717000,575145000
95,Cash Used/Provided by Financing Activities,2274000,10554000,38720000,5123000,87445000,32834000,538766000
96,Effect of Forex Changes on Cash,-378000,-324000,663000,-518000,-582000,4570000,3908000
97,Net Change In Cash,3227000,5718000,7562000,9443000,90735000,-46093000,491301000
98,Cash at the End of Period,4401000,10119000,17681000,27124000,117859000,71766000,563067000
99,Cash at the Beginning of Period,1174000,4401000,10119000,17681000,27124000,117859000,71766000
100,Free Cash Flow,1331000,-4519000,-8867000,4838000,8278000,-69032000,-49246000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1680062/000165495418002950/0001654954-18-002950-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000165495419002737/0001654954-19-002737-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000114036120006743/0001140361-20-006743-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000114036121006683/0001140361-21-006683-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000114036122007348/0001140361-22-007348-index.htm
102,false,,,,,,,
