,https://roic.ai/company/CODI-PC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,6130000,- -,- -,11736000,11544000,12643000,25055000,19415000,27068000,25924000,24651000,27623000,55577000,-63419000,44825000,57337000
14,Depreciation and Amortization,- -,10290000,25331000,36990000,32996000,42120000,49109000,49450000,46227000,55696000,55527000,85605000,110051000,120575000,87308000,102752000,117643000
15,EBITDA,-1000,2469000,76390000,121810000,-2819000,16042000,135834000,91632000,154435000,369863000,258263000,174410000,124986000,176998000,340496000,187251000,307869000
16,EBITDA ratio,-Infinity,0.0060,0.0832,0.0792,-0.0023,0.0097,0.1747,0.1036,0.1567,0.3765,0.3207,0.1783,0.0984,0.1046,0.2348,0.1200,0.1672
17,Operating Income,-1000,-7257000,32975000,27869000,-44658000,-21040000,240000,53817000,122906000,55658000,41214000,19061000,27204000,69318000,60196000,94833000,139503000
18,Operating Income ratio,-Infinity,-0.0177,0.0359,0.0181,-0.0358,-0.0127,0.0003,0.0608,0.1247,0.0567,0.0512,0.0195,0.0214,0.0410,0.0415,0.0608,0.0757
19,Total Other Income Expenses (Gains),- -,-13836000,-5810000,-17526000,-16268000,-12595000,-17091000,-26995000,-23361000,243761000,-25918000,44157000,-34611000,-65818000,-86227000,-50842000,-96307000
20,Income Before Tax,- -,-21093000,27165000,10343000,-60926000,-33635000,-16851000,26822000,99545000,299419000,15296000,63218000,-7407000,3500000,-26031000,43991000,43196000
21,Income Before Tax Ratio,- -,-0.0513,0.0296,0.0067,-0.0488,-0.0203,-0.0217,0.0303,0.1010,0.3048,0.0190,0.0646,-0.0058,0.0021,-0.0179,0.0282,0.0235
22,Income Tax expense (Gain),- -,5298000,10691000,6526000,-21281000,11135000,9123000,21069000,20729000,8264000,14974000,9469000,-40679000,6548000,14742000,16894000,18337000
23,Net Income,-1000,-19249000,40368000,78294000,-26270000,-48757000,64959000,-3942000,68064000,278835000,161838000,54685000,27991000,-5702000,301865000,22780000,114552000
24,Net Income ratio,-Infinity,-0.0468,0.0440,0.0509,-0.0210,-0.0294,0.0835,-0.0045,0.0691,0.2839,0.2009,0.0559,0.0220,-0.0034,0.2081,0.0146,0.0622
25,EPS,-0.00,-0.31,0.65,1.25,-0.42,-0.78,1.04,-0.06,1.09,4.46,2.59,0.87,0.45,-0.09,4.83,0.36,2.03
26,EPS Diluted,-0.00,-0.31,0.65,1.25,-0.42,-0.78,1.04,-0.06,1.09,4.46,2.59,0.87,0.45,-0.09,4.83,0.36,2.03
27,Weighted Average Shares Outstanding,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000
28,Weighted Average Shares Outstanding Diluted,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000,62556000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1345126/000134512620000007/0001345126-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1345126/000134512621000007/0001345126-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1345126/000134512622000014/0001345126-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,7006000,119358000,97473000,31495000,13536000,132370000,18241000,113229000,23703000,85869000,39772000,39885000,53326000,100314000,70744000,157125000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,7006000,119358000,97473000,31495000,13536000,132370000,18241000,113229000,23703000,85869000,39772000,39885000,53326000,100314000,70744000,157125000
34,Net Receivables,- -,74899000,125043000,164035000,165550000,208487000,99389000,100647000,111736000,157535000,114320000,181191000,215108000,272403000,191405000,232507000,268262000
35,Inventory,- -,4756000,38339000,50909000,51727000,77412000,101021000,127283000,152948000,111214000,68371000,212984000,246928000,318873000,317306000,363373000,562084000
36,Other Current Assets,3307535,53695000,16501000,22784000,26255000,33904000,27441000,21488000,21220000,28347000,22803000,18872000,24897000,36583000,35247000,41743000,155998000
37,Total Current Assets,3407535,140356000,299241000,335201000,275027000,333339000,360221000,267659000,399133000,320799000,291363000,452819000,526818000,681185000,644272000,708367000,1143469000
38,PP&E,- -,10858000,28743000,30763000,25502000,33484000,45235000,68488000,68059000,115871000,118050000,142370000,173081000,226817000,146428000,172669000,178393000
39,Goodwill,- -,159151000,267141000,339095000,288028000,325851000,245340000,257527000,246611000,359180000,398488000,491637000,531689000,653670000,438519000,766003000,815405000
40,Intangible Assets,- -,128890000,204298000,249489000,216365000,269672000,358104000,340666000,310359000,487220000,353404000,539211000,580517000,798654000,561946000,837165000,872677000
41,Intangible Assets,- -,288041000,471439000,588584000,504393000,595523000,603444000,598193000,556970000,846400000,751892000,1030848000,1112206000,1452324000,1000465000,1603168000,1688082000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,245214000,249747000,141767000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,86342000,28579000,29788000,26090000,21695000,21006000,20861000,20751000,19146000,14593000,9351000,8198000,12009000,100727000,114314000,134317000
45,Total Non-Current Assets,- -,385241000,528761000,649135000,555985000,650702000,669685000,687542000,645780000,1226631000,1134282000,1324336000,1293485000,1691150000,1247620000,1890151000,2000792000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3407535,525597000,828002000,984336000,831012000,984041000,1029906000,955201000,1044913000,1547430000,1425645000,1777155000,1820303000,2372335000,1891892000,2598518000,3144261000
48,Accounts Payable,- -,14314000,40410000,48699000,45089000,53197000,50626000,52207000,62539000,62099000,50403000,61512000,84538000,107563000,70089000,101671000,120405000
49,Short-Term Debt,- -,87604000,4814000,2000000,24626000,20170000,2250000,2550000,2850000,3250000,3250000,5685000,5685000,5000000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,10524000,10788000,- -,4631000,3624000,11539000,10314000,11944000,13568000,21222000,22635000
51,Deferred Revenue,- -,- -,10756000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12802000
52,Other Current Liabilities,3308535,60954000,50633000,88671000,60172000,78037000,65286000,59042000,64741000,75882000,62826000,135324000,121970000,146717000,139390000,193044000,248321000
53,Total Current Liabilities,3308535,162872000,106613000,139370000,129887000,151404000,118162000,113799000,130130000,141231000,116479000,202521000,212193000,259280000,209479000,294715000,381528000
54,Long-Term Debt,- -,- -,148000000,151000000,74000000,94000000,214000000,267008000,280389000,485547000,313242000,551652000,584347000,1098871000,394445000,899460000,1284826000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,41337000,69230000,86138000,60397000,74457000,62484000,63982000,60024000,97731000,103745000,110838000,81049000,74959000,33039000,83541000,84344000
57,Other Non-Current Liabilities,- -,38546000,43583000,63950000,58662000,88270000,38782000,54200000,5435000,14587000,18960000,17600000,16715000,19883000,89054000,100654000,109033000
58,Total Non-Current Liabilities,- -,79883000,260813000,301088000,193059000,256727000,315266000,385190000,345848000,597865000,435947000,680090000,682111000,1193713000,516538000,1083655000,1478203000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3308535,242755000,367426000,440458000,322946000,408131000,433428000,498989000,475978000,739096000,552426000,882611000,894304000,1452993000,726017000,1378370000,1859731000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96417000,192921000,303918000,303918000,303918000
63,Common Stock,100000,- -,- -,- -,- -,- -,- -,650043000,725453000,825321000,825321000,924680000,924680000,924680000,924680000,1008564000,1123193000
64,Retained Earnings,-1000,-19250000,-10855000,25984000,-46628000,-150550000,-160852000,-235283000,-252761000,-55348000,10567000,-58760000,-145316000,-249453000,-109338000,-211002000,-314267000
65,Other Comprehensive Income/Loss,- -,-1580000,-6734000,-5242000,-2001000,-143000,- -,-132000,693000,-2542000,-9804000,-9515000,-2573000,-8776000,-3933000,-1456000,-1028000
66,Other Total Stockholders Equity,- -,303672000,478165000,529686000,568053000,747760000,780355000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,99000,255711000,432850000,464447000,437161000,488070000,497509000,414628000,473385000,767431000,826084000,856405000,873208000,859372000,1115327000,1100024000,1111816000
68,Total Liabilities And Stockholders Equity,3407535,498466000,800276000,904905000,760107000,896201000,930937000,913617000,949363000,1506527000,1378510000,1739016000,1767512000,2312365000,1841344000,2478394000,2971547000
69,Minority Interest,- -,27131000,27726000,79431000,70905000,87840000,98969000,41584000,95550000,40903000,47135000,38139000,52791000,59970000,50548000,120124000,172714000
70,Total Liabilities & Equity,3407535,525597000,828002000,984336000,831012000,984041000,1029906000,955201000,1044913000,1547430000,1425645000,1777155000,1820303000,2372335000,1891892000,2598518000,3144261000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1345126/000134512620000007/0001345126-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1345126/000134512621000007/0001345126-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1345126/000134512622000014/0001345126-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-1000,-19249000,40368000,78294000,-26270000,-48757000,64959000,-3942000,68064000,278835000,161838000,54685000,27991000,-5702000,301865000,22780000,114552000
74,Depreciation and Amortization,- -,10290000,25331000,36990000,32996000,42120000,49109000,49450000,46227000,55696000,55527000,85605000,110051000,120575000,87308000,102752000,117643000
75,Deferred Income Tax,- -,-2281000,-1295000,-8911000,-24964000,-7146000,-17858000,-2060000,-5257000,-8601000,-4488000,-9868000,-59429000,-9472000,-546000,-781000,-9666000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,4683000,4744000,3173000,4382000,7028000,8975000,6054000,8995000,10941000
77,Change in Working Capital,1000,-22615000,215144000,3203000,-50691000,36795000,60124000,-88199000,115143000,-89435000,-4684000,75414000,64327000,107280000,12888000,-21141000,-80990000
78,Accounts Receivable,- -,- -,- -,- -,143000,-22500000,-7517000,-2137000,-10988000,-20853000,11814000,-15596000,-17581000,-875000,10805000,-28803000,-30542000
79,Inventory,- -,-6314000,-5772000,102000,-557000,-13030000,5056000,-13703000,-24454000,19588000,-3303000,2893000,-28247000,-20948000,-10446000,-28023000,-106396000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,99000,-22516000,192628000,195831000,145140000,181935000,242059000,153860000,269003000,179568000,174884000,250298000,314625000,421905000,434793000,413652000,- -
82,Other Non-Cash Items,- -,54418000,-237776000,-69027000,89142000,21829000,-64960000,97317000,-156486000,-170544000,-126818000,-98846000,-68197000,-107204000,-323007000,36020000,-18429000
83,Cash Provided by Operating Activities,- -,20563000,41772000,40549000,20213000,44841000,91374000,52566000,72374000,70695000,84548000,111372000,81771000,114452000,84562000,148625000,134051000
84,CAPEX,- -,-5822000,-8698000,-11576000,-3585000,-8668000,-21868000,-18546000,-20410000,-15262000,-16588000,-23969000,-44767000,-50315000,-34898000,-30764000,-39880000
85,Acquisitions Net,- -,-356464000,-105460000,-167546000,-1435000,-173732000,-60731000,-66771000,82556000,-407128000,255218000,-343931000,-28463000,-551968000,502703000,-667001000,-303279000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2008000,-2007000,-4303000,-3964000,-1783000,-5617000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,156580000,38000,8000,-4021000,891000,4140000,-355000,-2743000,9182000,-84000,-14000,1719000,-3069000,25663000
89,Cash Used for Investing Activites,- -,-362286000,-114158000,-22542000,-4982000,-182392000,-86620000,-84426000,66286000,-424753000,233880000,-363021000,-77278000,-604080000,463907000,-700834000,-317496000
90,Debt Repayment,- -,- -,- -,- -,-79500000,-183059000,-373000000,-135005000,-106275000,-426275000,-369975000,-423240000,-228585000,-1186222000,-832250000,-258000000,-1491688000
91,Common Stock Issued,100000,284969000,168744000,- -,42085000,152973000,19598000,- -,- -,99868000,- -,99359000,- -,- -,- -,83884000,114629000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-48022000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-7955000,-45960000,-41455000,-46342000,-55165000,-66916000,-69552000,-69552000,-69552000,-78192000,-78192000,-88713000,-98435000,-101381000,-113534000,-209185000
94,Other Financing Activites,- -,74059000,62098000,1643000,2548000,204843000,534398000,170347000,131705000,661446000,193810000,610799000,314710000,1784768000,154109000,809375000,1859450000
95,Cash Used/Provided by Financing Activities,100000,351073000,184882000,-39812000,-81209000,119592000,114080000,-82232000,-44122000,265487000,-254357000,208726000,-2588000,500111000,-779522000,521725000,273206000
96,Effect of Forex Changes on Cash,- -,260000,-144000,-80000,- -,- -,- -,-37000,450000,-955000,-1905000,-3174000,-1792000,2958000,-1178000,914000,228000
97,Net Change In Cash,- -,9610000,112352000,-21885000,-65978000,-17959000,118834000,-114129000,94988000,-89526000,62166000,-46097000,113000,13441000,46988000,-29570000,89989000
98,Cash at the End of Period,100000,9710000,119358000,97473000,31495000,13536000,132370000,18241000,113229000,23703000,85869000,39772000,39885000,53326000,100314000,70744000,160733000
99,Cash at the Beginning of Period,- -,100000,7006000,119358000,97473000,31495000,13536000,132370000,18241000,113229000,23703000,85869000,39772000,39885000,53326000,100314000,70744000
100,Free Cash Flow,- -,14741000,33074000,28973000,16628000,36173000,69506000,34020000,51964000,55433000,67960000,87403000,37004000,64137000,49664000,117861000,94171000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1345126/000134512620000007/0001345126-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1345126/000134512621000007/0001345126-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1345126/000134512622000014/0001345126-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,
