,https://roic.ai/company/DKNG,2017,2018,2019,2020,2021
37,Total Current Assets,- -,262173000,261148000,2194305000,2753330000
38,PP&E,- -,14102000,25945000,108904000,109850000
39,Goodwill,- -,4738000,4738000,569603000,615655000
40,Intangible Assets,- -,16876000,33939000,555930000,535017000
41,Intangible Assets,- -,21614000,38677000,1125533000,1150672000
42,Investments,- -,- -,2521000,2955000,9825000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1504000,2434000,7632000,45377000
45,Total Non-Current Assets,- -,37220000,69577000,1245024000,1315724000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,299393000,330725000,3439329000,4069054000
48,Accounts Payable,- -,11626000,16618000,28076000,52537000
49,Short-Term Debt,- -,3750000,6750000,12837000,12814000
50,Tax Payable,- -,2741000,5745000,19509000,50813000
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,180564000,231712000,513499000,864074000
53,Total Current Liabilities,- -,195940000,255080000,554412000,929425000
54,Long-Term Debt,- -,- -,68363000,68775000,1305793000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,288680000,315233000,119353000,155308000
58,Total Non-Current Liabilities,- -,288680000,383596000,188128000,1461101000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,81612000,70155000
61,Total Liabilities,- -,484620000,638676000,742540000,2390526000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,384000,390000,79000,80000
64,Retained Earnings,- -,-856050000,-998784000,-1843054000,-3753814000
65,Other Comprehensive Income/Loss,- -,-3377000,-7004000,83534000,36488000
66,Other Total Stockholders Equity,- -,673816000,697447000,4456230000,- -
67,Total Stockholders Equity,- -,-185227000,-307951000,2696789000,1678528000
68,Total Liabilities And Stockholders Equity,- -,299393000,330725000,3439329000,4069054000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,299393000,330725000,3439329000,4069054000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1772757/000110465920032113/0001104659-20-032113-index.htm,https://www.sec.gov/Archives/edgar/data/1772757/000110465921028617/0001104659-21-028617-index.htm,https://www.sec.gov/Archives/edgar/data/1772757/000177275722000007/0001772757-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-75556000,-76220000,-142734000,-844270000,-1523195000
74,Depreciation and Amortization,6301000,7499000,13636000,77410000,121138000
75,Deferred Income Tax,145000,19000,54000,-2279000,-15509000
76,Stock Based Compensation,4500000,7210000,17613000,325038000,683293000
77,Change in Working Capital,-28115000,83579000,-60165000,1633825000,356750000
78,Accounts Receivable,- -,-4203000,- -,-13802000,-1787000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,-17346000,66233000,6068000,1639893000,-1059000
82,Other Non-Cash Items,4288000,-67666000,92716000,-1527599000,-41985000
83,Cash Provided by Operating Activities,-88437000,-45579000,-78880000,-337875000,-419508000
84,CAPEX,-7715000,-26672000,-42271000,-47696000,-98276000
85,Acquisitions Net,- -,- -,- -,-179645000,-64970000
86,Purchases of Investments,- -,- -,- -,- -,-25000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-7116000,-12989000,-25568000,-35944000,-89127000
89,Cash Used for Investing Activites,-7715000,-26672000,-42271000,-227341000,-195022000
90,Debt Repayment,- -,-1250000,- -,-44500000,- -
91,Common Stock Issued,- -,- -,439000,2349892000,- -
92,Common Stock Repurchased,- -,- -,-722000,-288785000,-17830000
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,118531000,142142000,80059000,289692000,1156643000
95,Cash Used/Provided by Financing Activities,118531000,140892000,79776000,2306299000,1138813000
96,Effect of Forex Changes on Cash,- -,- -,- -,-358000,583000
97,Net Change In Cash,22379000,68641000,-41375000,1740725000,524866000
98,Cash at the End of Period,49267000,117908000,76533000,1817258000,2629842000
99,Cash at the Beginning of Period,26888000,49267000,117908000,76533000,2104976000
100,Free Cash Flow,-96152000,-72251000,-121151000,-385571000,-517784000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1772757/000110465920032113/0001104659-20-032113-index.htm,https://www.sec.gov/Archives/edgar/data/1772757/000110465921028617/0001104659-21-028617-index.htm,https://www.sec.gov/Archives/edgar/data/1772757/000177275722000007/0001772757-22-000007-index.htm
102,false,,,,,
