,https://roic.ai/company/EGRX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,8571877,- -,- -,- -,- -,4875000,6250000,5000000,8000000,25607000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,9499653,10019653,6585000,6000000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1366191,3129552,9671000,24405000,26249000,30446000,23519000,28361000,23817000,32338000
53,Total Current Liabilities,20881559,14341805,20315000,34262000,40965000,47302000,39686000,38823000,38085000,74376000
54,Long-Term Debt,- -,- -,- -,- -,- -,42905000,38155000,33557000,25135000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,654527,1706829,- -,- -,22129000,709000,- -,3000000,3959000,2903000
58,Total Non-Current Liabilities,654527,1706829,- -,- -,22129000,43614000,38155000,36557000,29094000,2903000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,3000000,3959000,- -
61,Total Liabilities,21536086,16048634,20315000,34262000,63094000,90916000,77841000,75380000,67179000,77279000
62,Preferred Stock,81335894,89983000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1653,3048,14000,15000,16000,16000,17000,17000,17000,17000
64,Retained Earnings,-95537403,-102136057,-104177000,-107112000,-25659000,26284000,58187000,72500000,84489000,75862000
65,Other Comprehensive Income/Loss,-1166534,-821524,-780000,- -,-1506000,-2438000,-3347000,-4319000,- -,-94000
66,Other Total Stockholders Equity,3268352,15025519,138039000,197440000,178375000,155282000,105905000,110976000,101505000,100668000
67,Total Stockholders Equity,-12098038,2053986,33096000,90343000,151226000,179144000,160762000,179174000,186011000,176453000
68,Total Liabilities And Stockholders Equity,9438048,18102620,53411000,124605000,214320000,270060000,238603000,254554000,253190000,253732000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9438048,18102620,53411000,124605000,214320000,270060000,238603000,254554000,253190000,253732000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/827871/000082787114000015/0000827871-14-000015-index.htm,- -,https://www.sec.gov/Archives/edgar/data/827871/000082787117000002/0000827871-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787118000003/0000827871-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787119000008/0000827871-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787120000007/0000827871-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787121000011/0000827871-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787122000008/0000827871-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-19383000,-6048473,-17977000,2571000,81453000,51943000,31903000,14313000,11989000,-469000
74,Depreciation and Amortization,240000,134994,104000,112000,1589000,3747000,3670000,4651000,4766000,3760000
75,Deferred Income Tax,- -,- -,- -,- -,-30116000,17289000,-2468000,152000,-1511000,-3618000
76,Stock Based Compensation,402000,317192,606000,4051000,9768000,15429000,19082000,21998000,24756000,19555000
77,Change in Working Capital,2815000,15157164,29566398,55288000,-19850000,73250000,-17237000,16468000,-12646000,-29750000
78,Accounts Receivable,-1320000,-3543337,-2172000,-14311000,-15919000,-11627000,-12665000,18481000,-3113000,9529000
79,Inventory,1052000,86881,-1294000,-13800000,12303000,-2379000,-5556000,1739000,-1509000,-13833000
80,Accounts Payable,-93000,-251238,2867000,356000,10668000,-8460000,-2064000,-4455000,806000,10162000
81,Other Working Capital,-12016562,3140602,32707000,87995000,68145000,141395000,124158000,140626000,127980000,98230000
82,Other Non-Cash Items,378000,-15440763,-26142398,-71740000,10363000,-102739000,17434000,-1596000,22143000,38741000
83,Cash Provided by Operating Activities,-15548000,-5879886,-13843000,-9718000,53207000,58919000,52384000,55986000,49497000,28219000
84,CAPEX,-33000,-40548,-46000,-1881000,-20690000,-5186000,-133000,-777000,-747000,-323000
85,Acquisitions Net,- -,- -,- -,- -,-26860000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-105999000,-62000000,- -,- -,- -,-17500000,- -
87,Sales/Maturities of Investments,- -,1500000,- -,105999000,62000000,- -,- -,- -,- -,- -
88,Other Investing Activites,3000000,- -,-19999000,- -,-17350000,-750000,- -,- -,- -,-5000000
89,Cash Used for Investing Activites,2967000,1459452,-20045000,-1881000,-45800000,-5186000,-133000,-777000,-18247000,-5323000
90,Debt Repayment,- -,- -,- -,- -,- -,-1250000,-3750000,-6000000,-115000000,-8000000
91,Common Stock Issued,- -,- -,46069000,54331000,- -,- -,- -,- -,3654000,2398000
92,Common Stock Repurchased,- -,- -,- -,- -,-37003000,-43792000,-73105000,-17961000,-34999000,-21213000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9548000,9809113,85000,1482000,3333000,53146000,-11262000,-264000,108475000,-1577000
95,Cash Used/Provided by Financing Activities,9548000,9809113,46154000,55813000,-33670000,8104000,-88117000,-24225000,-37870000,-28392000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3033000,5388679,12266000,44214000,-26263000,61837000,-35866000,30984000,-6620000,-5496000
98,Cash at the End of Period,5067000,10455565,22722000,79083000,52820000,114657000,78791000,109775000,103155000,97659000
99,Cash at the Beginning of Period,8100000,5066886,10456000,34869000,79083000,52820000,114657000,78791000,109775000,103155000
100,Free Cash Flow,-15581000,-5920434,-13889000,-11599000,32517000,53733000,52251000,55209000,48750000,27896000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/827871/000082787114000015/0000827871-14-000015-index.htm,- -,https://www.sec.gov/Archives/edgar/data/827871/000082787117000002/0000827871-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787118000003/0000827871-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787119000008/0000827871-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787120000007/0000827871-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787121000011/0000827871-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787122000008/0000827871-22-000008-index.htm
102,false,,,,,,,,,,
