,https://roic.ai/company/NTZ,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
34,Net Receivables,71427937,104705064,114880743,120841888,128272599,151006086,158012610,182070540,191064700,216930279,212287097,178596016,169735017,163955024,165766549,168968000,151583000,147524000,137809000,132602000,115861000,105562000,78584000,71376000,59776000,52460000,37992000,45022000
35,Inventory,23032597,41017638,40165365,47886812,58999941,59089338,53664660,73467060,87664980,84156781,97348078,112517593,115602081,100357556,107459368,92012000,81565000,87355000,93537000,82269000,78991000,90213000,79068000,78384000,80273000,84227000,69685000,63909000
36,Other Current Assets,34235222,31395210,42427104,44994320,4818177,12448836,3975160,4258960,2247820,5088860,9356850,10709638,9175961,14881032,3877909,10202000,2435000,2583000,3011000,14942000,14294000,10655000,10635000,10092000,7762000,8325000,9386000,14931000
37,Total Current Assets,144469052,194242572,218452791,281535888,315272412,373976676,376646410,354558420,487776940,402984330,382450902,389104070,384172870,407307625,364704514,318493000,301917000,298560000,328401000,307530000,270183000,239282000,220761000,224839000,202852000,207143000,156862000,172049000
38,PP&E,26707058,33841590,42349113,59697821,96908994,- -,- -,- -,- -,229098753,253748961,271804097,262593919,246322746,236221858,211781000,193834000,195951000,175801000,161461000,143579000,130782000,121100000,115924000,107917000,111086000,157241000,134319000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9136000,261000,81000,- -,- -,- -,1921000,3523000,3947000,4068000,1921000
40,Intangible Assets,- -,- -,- -,- -,15272712,16285806,12919270,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5059000,4782000,5558000,4408000,3405000,2312000,1991000,1945000,1953000,1836000
41,Intangible Assets,- -,- -,- -,- -,15272712,16285806,12919270,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9136000,5320000,4863000,5558000,4408000,3405000,4233000,5514000,5892000,6021000,3757000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1429000,1429000,1429000,- -,- -,63000,45000,40220000,41342000,40089000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,93391,165952,601209,1062986,2291255,212620,179000,- -,- -,- -,- -,- -,- -,- -,- -,- -,475000,513000,531000
44,Other Non-Current Assets,1344315,8562330,8033073,8516782,-9454536,94304196,93416260,152257820,223658090,42918910,54819831,11220113,16603356,18752070,17303128,13342000,12813000,209000,- -,771000,1159000,5621000,4113000,2171000,1436000,7892000,7415000,5255000
45,Total Non-Current Assets,28051373,42403920,50382186,68214603,102727170,110590002,106335530,152257820,223658090,272111054,308734745,283625419,280260261,267366070,253737607,225302000,206647000,205296000,182550000,168524000,151725000,140811000,128618000,122391000,114912000,165565000,212532000,183951000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,172520425,236646492,268834977,349750491,417999582,484566678,482981940,506816240,711435030,675095384,691185646,672729489,664433132,674673695,618442120,543795000,508564000,503856000,510951000,476054000,421908000,380093000,349379000,347230000,317764000,372708000,369394000,356000000
48,Accounts Payable,34504085,49906152,59429142,61626149,55818126,61050456,60621190,95826600,96656260,103301948,98598675,83675042,98226181,102585922,119247416,98320000,95765000,91934000,68386000,63328000,67393000,75233000,58913000,70457000,76035000,57325000,47402000,54815000
49,Short-Term Debt,18193063,23240610,6395262,3695962,2545452,3069576,993790,3194220,134869200,1600037,6050509,6138235,8146747,4118803,7905338,10215000,1884000,1914000,27892000,30451000,28362000,23849000,22378000,29784000,24520000,45730000,39805000,48392000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1798000,3708000,2952000,1335000,11290000,9455000,3194000,3070000,4440000,3874000,3259000,3342000,3231000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3618000,4356000,4776000,7458000,11032000,10096000,11938000,12165000,15083000,19719000
52,Other Current Liabilities,12098835,12476538,8033073,19122586,28363608,34106400,21863380,14906360,19106470,23925265,20313669,41575645,29734910,26285024,19146747,27804000,19142000,13920000,22960000,35022000,37707000,43208000,32808000,39843000,35175000,53166000,49667000,53735000
53,Total Current Liabilities,64795983,85623300,73857477,84444697,86727186,98226432,83478360,113927180,250631930,128827249,124962853,131388922,136107838,132989749,146299500,136339000,116791000,107768000,122856000,133157000,138238000,149748000,125131000,150180000,147668000,168386000,151957000,176661000
54,Long-Term Debt,10933762,5300490,4133523,3776309,2090907,1278990,993790,- -,3371730,3577449,4210741,4994094,3579030,2432943,2119338,3266000,5857000,13583000,10788000,7285000,4171000,6162000,15632000,6329000,20877000,10361000,60144000,52439000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12058000,11208000,10358000,9815000,9209000,8624000,8063000,7664000,7195000,6809000,22936000,22958000,20491000
56,Deferred Tax Liabilities,- -,- -,- -,- -,1272726,1023192,993790,- -,- -,371658,375576,433018,- -,- -,- -,- -,47000,- -,6906000,8293000,- -,7001000,6576000,11185000,14920000,42000,430000,1024000
57,Other Non-Current Liabilities,89621,8806968,11230704,13819684,15636348,19099584,18882010,24489020,31469480,45563402,46580182,47425447,51372042,59804472,57631598,46119000,47774000,46916000,47074000,34449000,59273000,35104000,33809000,19859000,19005000,32802000,29087000,30021000
58,Total Non-Current Liabilities,11023383,14107458,15364227,17595993,18999981,21401766,20869590,24489020,34841210,49512509,51166499,52852559,54951072,62237414,59750937,61443000,64886000,70857000,74583000,59236000,72068000,56330000,63681000,44568000,61611000,66141000,112619000,103975000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57367000,53593000
61,Total Liabilities,75819366,99730758,89221704,102040690,105727167,119628198,104347950,138416200,285473140,178339759,176129353,184241481,191058910,195227163,206050437,197782000,181677000,178625000,197439000,192393000,210306000,206078000,188812000,194748000,209279000,234527000,264576000,280636000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,3975160,3194220,57319410,57578447,57425838,54641433,54640366,54739314,54910066,54853000,54853000,54853000,54853000,54853000,54853000,54853000,54853000,54853000,54853000,54853000,54853000,54853000
64,Retained Earnings,84422982,117589332,159803559,230274502,271090638,317189520,333913440,299191940,289968780,357252253,368375132,382394132,367490149,373529047,306681284,239303000,261892000,217204000,204562000,175062000,102835000,66817000,98789000,82725000,40134000,64496000,31126000,6448000
65,Other Comprehensive Income/Loss,-16311022,-20141862,-24177210,-31094289,-36272691,-44082522,-48695710,-57495960,-67434600,73136636,80096188,42260950,42260248,42291983,42358645,-194366000,-211442000,42780000,42780000,42780000,42780000,40902000,3691000,11459000,11459000,17198000,17147000,13043000
66,Other Total Stockholders Equity,26707058,32047578,37045725,47404730,76727196,91064088,88447310,122445100,144984390,8288933,8266646,8276032,8275082,8281552,8295598,245428000,219724000,8282000,8282000,8442000,8442000,8442000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,94819018,129495048,172672074,246584943,311545143,364171086,377640200,367335300,424837980,496256269,514163804,487572547,472665846,478841895,412245593,345218000,325027000,323119000,310477000,281137000,208910000,171014000,157333000,149037000,106446000,136547000,103126000,74344000
68,Total Liabilities And Stockholders Equity,170638384,229225806,261893778,348625633,417272310,483799284,481988150,505751500,710311120,674596027,690293157,671814028,663724756,674069059,618296030,543000000,506704000,501744000,507916000,473530000,419216000,377092000,346145000,343785000,315725000,371074000,367702000,354980000
69,Minority Interest,1882041,7420686,6941199,1124858,727272,767394,993790,1064740,1123910,499356,892490,915461,708376,604637,146090,795000,1860000,2112000,3035000,2524000,2692000,3001000,3234000,3445000,2039000,1634000,1692000,1020000
70,Total Liabilities & Equity,172520425,236646492,268834977,349750491,417999582,484566678,482981940,506816240,711435030,675095384,691185646,672729489,664433132,674673695,618442120,543795000,508564000,503856000,510951000,476054000,421908000,380093000,349379000,347230000,317764000,372708000,369394000,356000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/900391/000095012305008016/y10406e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000095012306008461/y22510e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000136231007001204/c70715e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000136231008003471/c73762e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000095012309018340/c87236e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000095012310062014/c02894e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000095012311062959/c19374e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312512195800/d344599d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312513187562/d524847d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312514170846/d717770d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312515160988/d915046d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312516598629/d190845d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312517150051/d375230d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312518143394/d572080d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312519129401/d618843d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,33070149,38489712,47028573,62188578,53636310,77165730,82484570,78790760,75301970,91520380,37235243,18339462,-14613317,12338982,-62745445,-61938000,-17686000,-11078000,-19586000,-26104000,-68576000,-49357000,-16484000,-6089000,-31399000,33289000,-33370000,-24678000
74,Depreciation and Amortization,4122566,6686772,7721109,9963028,11272716,13216230,9937900,10647400,13486920,16881864,27173295,34043194,33016743,30281081,30378554,31086000,26565000,23419000,18999000,17033000,16561000,14240000,13728000,12972000,12823000,11064000,25113000,24165000
75,Deferred Income Tax,358484,-897006,545937,-241041,-2090907,-596862,-1987580,1064740,- -,401200,798000,-650634,-6295175,-2057886,8476667,-3107000,3743000,-313000,6205000,-5957000,141000,-161000,-23000,179000,-1241000,7429000,2335000,4341000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-19358136,-36451062,-4367496,3133533,-21363615,-6309684,-25838540,-15971100,-22478200,-15264673,-33634317,12683670,-1733368,25714483,-5838125,-14953000,18058000,-17072000,-10603000,6332000,20585000,10380000,12836000,19348000,25107000,16687000,17037000,16576000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-5198018,-17206206,701919,-4579779,-12727260,4519098,1987580,-20230060,-14610830,3817598,-7238377,-16624356,-1545087,15443995,-6943062,14916000,10842000,-5791000,-6183000,11268000,3278000,-11221000,11145000,3453000,-3213000,5999000,14542000,4805000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21372000,-4766000,2600000,-775000,-215000,4065000,7841000,-15782000,9837000,10643000,7365000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6882815,-3854369,-8923169,-5116000,-4842000,2600000,-1775000,-1028000,-880000,-3947000,-348000,-2918000,-581000,7557000,-2195000,-19000
82,Other Non-Cash Items,179242,3343386,1091874,4178044,4727268,3922236,6956530,2129480,8991280,4164479,6602359,3793888,12755835,-4096830,14311363,16913000,2787000,7404000,-14973000,477000,29063000,-12281000,-1503000,-415000,-10179000,-79817000,-6463000,-8136000
83,Cash Provided by Operating Activities,18372305,11171802,52019997,79222142,46181772,87397650,71552880,76661280,75301970,97703249,38174580,68209581,23130717,62179830,-15416986,-31999000,33467000,2360000,-19958000,-8219000,-2226000,-37179000,8554000,25995000,-4889000,-11348000,4652000,12268000
84,CAPEX,-7707406,-9540882,-11386686,-19202933,-41727231,-14495220,-9937900,-27683240,-68558510,-68714855,-53647049,-51921607,-20900894,-15562953,-21478705,-11884000,-4191000,-14006000,-19733000,-7823000,-8207000,-6587000,-3455000,-6617000,-6708000,-8161000,-4718000,-2875000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-39074756,-17206206,-26126985,-38004131,- -,-9464526,-36770230,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,21419419,17532390,14194362,38968295,- -,2813778,44720550,- -,- -,953,20645,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,358484,-5789766,-545937,-9480946,63272664,255798,- -,- -,1123910,10170096,3874072,14870891,-67545,-2148051,-4687236,-1661000,-4285000,-1924000,47841000,1351000,-33000,12419000,5155000,-4090000,-4992000,21850000,480000,4431000
89,Cash Used for Investing Activites,-25004259,-15004464,-23865246,-27719715,21545433,-20890170,-1987580,-27683240,-67434600,-58543806,-49752332,-37050716,-20968439,-17711004,-26165941,-13545000,-8476000,-15930000,28108000,-6472000,-8240000,5832000,1700000,-10707000,-11700000,14567000,-3325000,2348000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-691000,-9640000,-1124000,-1890000,-3753000,-3274000,-3346000,-3244000,-3364000,-4744000,-4774000,-17940000,-12582000
91,Common Stock Issued,- -,1957104,- -,2892492,- -,3495906,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-23424280,-14610830,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-2061283,-2038650,-3353613,-4740473,-8090901,-50477472,-47701920,-93697120,-15734740,-15719240,-18039568,-7710231,-3824724,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-453000,- -,- -
94,Other Financing Activites,8603616,5871312,-20511633,-4419085,-2727270,-682128,-1987580,2129480,134869200,-133691208,528824,1753465,66700,-5183357,3462272,4651000,3900000,8879000,25074000,2811000,-1932000,823000,11242000,1467000,14028000,7419000,-6229000,7005000
95,Cash Used/Provided by Financing Activities,6542333,5789766,-23865246,-6267066,-10818171,-47663694,-49689500,-114991920,104523630,-149410448,-17510744,-5956766,-3758024,-5183357,3462272,3960000,-5740000,7755000,23184000,-942000,-5206000,-2523000,7998000,-1897000,9284000,2192000,-24169000,-5577000
96,Effect of Forex Changes on Cash,179242,- -,-77991,-80347,363636,-85266,- -,- -,1123910,-1355123,-3983649,-1445115,3976700,-900136,-2593274,1432000,-228000,579000,1612000,-694000,-1008000,5685000,1370000,-879000,-2600000,-77000,298000,-788000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,19875800,-67078620,112391000,-111605176,-33072144,23757722,2380954,38386091,-40714615,-40152000,19023000,-5236000,32946000,-16327000,-16680000,-28185000,19621000,12512000,-9946000,5334000,-22544000,8251000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,160993980,94761860,206799440,96782680,63454113,87275658,89654746,128108710,87596573,47307000,66330000,61094000,94040000,77713000,61033000,32848000,52469000,64981000,55035000,60369000,37825000,46076000
99,Cash at the Beginning of Period,15683675,15167556,16690074,22657854,65818116,132673896,141118180,161840480,94408440,208387856,96526257,63517936,87273792,89722619,128311188,87459000,47307000,66330000,61094000,94040000,77713000,61033000,32848000,52469000,64981000,55035000,60369000,37825000
100,Free Cash Flow,10664899,1630920,40633311,60019209,4454541,72902430,61614980,48978040,6743460,28988394,-15472469,16287974,2229823,46616877,-36895691,-43883000,29276000,-11646000,-39691000,-16042000,-10433000,-43766000,5099000,19378000,-11597000,-19509000,-66000,9393000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/900391/000095012305008016/y10406e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000095012306008461/y22510e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000136231007001204/c70715e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000136231008003471/c73762e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000095012309018340/c87236e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000095012310062014/c02894e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000095012311062959/c19374e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312512195800/d344599d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312513187562/d524847d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312514170846/d717770d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312515160988/d915046d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312516598629/d190845d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312517150051/d375230d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312518143394/d572080d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312519129401/d618843d20f.htm,- -,- -
