,https://roic.ai/company/WAVD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,28819,178619,47579,183282,386395,467102,470813,688914,570948,787290,191406,534992,759982,603340,663556,368626,393533,500163,142770
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,950340,2118667,2425196,2729395,3074236,3252504,3141857,3107624,3317277,4964542,3554876,4338567,4184505,4069297,3718945,3717569,3010328,2208317,3443161
38,PP&E,- -,- -,- -,- -,- -,- -,- -,42810,31191,34551,56825,67317,79145,55653,36434,35705,40440,39226,52887,53675,42039,27198,11133,7147,159443,113571
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,288306,42915,10447,8782,8782,8782,6281,6281,17236,10568,10166,14946,11383,6281,6281,6281,6281,6281,216969
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,331116,74106,44998,65607,76099,87927,61934,42715,52941,51008,49392,67833,65058,48320,33479,17414,13428,165724,330540
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,1281456,2192773,2470194,2795002,3150335,3340431,3203791,3150339,3370218,5015550,3604268,4406400,4249563,4117617,3752424,3734983,3023756,2374041,3773701
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,474101,1150947,1566788,1174677,643838,720830,801782,89560,76509,998160,111585,611781,32327,64599,48974,47658,25294,216227,103646
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,403000,689017,344650,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103955,138604
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1971,- -,- -,2800,- -,- -,- -,- -,- -,6400,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,138117,136104,83844,213876,513522,393974,602713,779367,652591,939783,220424,503482,737994,581102,615035,387002,318552,464223,946884
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,343366,527465,341920,450757,318014,306734,247093,561828,761036,1037418,1124250,1185146,1388847,1294726,1455896,1406298,807319,381665,614193
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1358584,2503533,2337202,1839310,1475374,1421538,1651588,1430755,1490136,2975361,1456259,2300409,2159168,1940427,2119905,1840958,1151165,1166070,1803327
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45595,356991
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,125001,125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,125001,125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45595,356991
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149550,45595
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,1483585,2628533,2337202,1839310,1475374,1421538,1651588,1430755,1490136,2975361,1456259,2300409,2159168,1940427,2119905,1840958,1151165,1211665,2160318
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,117881,117881,117881,121276,128393,128393,128393,128393,128393,128393,128443,128443,128443,128443,128443,128443,128443,128543,129043
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-13581716,-13815347,-13243595,-12511436,-12008991,-11824656,-12196046,-12031984,-11885522,-11732121,-11631698,-11691937,-11721724,-11643394,-12197075,-11950613,-12001647,-12718893,-12305514
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-6000,-6000,-9000,-12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,13267706,13267706,13267706,13357852,13555559,13615156,13619856,13623175,13637211,13643917,13651264,13669485,13683676,13692141,13701151,13716195,13745795,13752726,13789854
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,-202129,-435760,132992,955692,1674961,1918893,1552203,1719584,1880082,2040189,2148009,2105991,2090395,2177190,1632519,1894025,1872591,1162376,1613383
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,1281456,2192773,2470194,2795002,3150335,3340431,3203791,3150339,3370218,5015550,3604268,4406400,4249563,4117617,3752424,3734983,3023756,2374041,3773701
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,1281456,2192773,2470194,2795002,3150335,3340431,3203791,3150339,3370218,5015550,3604268,4406400,4249563,4117617,3752424,3734983,3023756,2374041,3773701
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/803578/000143774921007829/0001437749-21-007829-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-74633,-159674,-1556951,-9023945,-4100000,-780740,96953,11789,-233631,571752,732159,502445,184335,-371390,164062,146462,153401,100423,-60239,-29787,78330,-553681,246462,-51034,-717246,413379
74,Depreciation and Amortization,173530,192035,332647,1736272,1400000,343032,273309,179820,102276,84742,21869,32481,34248,35880,32500,22908,19464,27464,25500,31376,29866,28258,16905,9757,5834,12062
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700,3319,14036,6706,7047,18221,14191,8465,9010,15044,29600,6031,27628
77,Change in Working Capital,892765,865103,411294,449520,900000,282787,-120372,27195,89965,-363612,-122916,-352196,151730,669791,-257431,328346,-901337,1226995,-199906,96526,-389614,252269,557656,-751825,-211855,-29804
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438321,181503,168392,-2170220,2150213,-700470,462757,-327515,133007,541673,-37125,-15963,-773519
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251257,83197,-410197,190933,-112581
81,Other Working Capital,-48343,-366321,615936,3757,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287192,-719359,283058,234512,-156892,33933,-228033,-68450,145671,482661
82,Other Non-Cash Items,-1113,132273,- -,2909038,2000000,- -,-316457,-9564,- -,-1465,8100,44474,90147,- -,- -,- -,52376,1401,760,4376,7970,7635,- -,- -,90,- -
83,Cash Provided by Operating Activities,990549,1029737,-813010,-3929115,200000,-154921,-66567,209240,-41390,291417,639212,227204,460460,338981,-57550,511752,-669390,1363330,-215664,116682,-264983,-256509,836067,-763502,-917146,423265
84,CAPEX,-79983,-278435,-5058159,-3457610,- -,- -,-5630,-42088,-7208,-25519,-44142,-42973,-46076,-12388,-13281,-22179,-24199,-26250,-39161,-32164,-18230,-13417,-840,-5771,-8368,-64547
85,Acquisitions Net,- -,-47422,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-29155,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,83997,-186964,-4259628,-3187904,-100000,-182447,9547,3710,- -,1465,- -,- -,- -,- -,- -,- -,- -,4660,-8664,5961,1135,-2630,911,1719,- -,- -
89,Cash Used for Investing Activites,-25141,-325857,-5058159,-3453940,- -,-182447,3917,-38378,-7208,-24054,-44142,-42973,-46076,-12388,-13281,-22179,-24199,-21590,-47825,-26203,-17095,-16047,71,-4052,-8368,-64547
90,Debt Repayment,-20986,-593837,-107438,-103732,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,296,210077,5418874,6102833,1100000,156626,- -,- -,- -,- -,5440,172350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-80913,-53250,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-842000,- -,599600,1196600,-1300000,90155,122409,-193000,286017,-469367,-264650,- -,- -,- -,- -,- -,6438,350,- -,- -,- -,- -,- -,- -,1000,460000
95,Cash Used/Provided by Financing Activities,-943603,-437010,5911036,7195701,-200000,246781,122409,-193000,286017,-469367,-259210,172350,- -,- -,- -,- -,6438,350,- -,- -,- -,- -,- -,- -,1000,460000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,21805,266870,39867,-187354,-100000,-90587,59759,-22138,237419,-202004,335860,356581,414384,326593,-70831,489573,-687151,1342090,-263489,90479,-282078,-272556,836138,-767554,-924514,818718
98,Cash at the End of Period,57016,323886,363753,176399,100000,42881,102640,80502,317921,115917,451777,808358,1222742,1549335,1478504,1968077,1280926,2623016,2359527,2450006,2167928,1895372,2731510,1963956,1039442,1858160
99,Cash at the Beginning of Period,35211,57016,323886,363753,200000,133468,42881,102640,80502,317921,115917,451777,808358,1222742,1549335,1478504,1968077,1280926,2623016,2359527,2450006,2167928,1895372,2731510,1963956,1039442
100,Free Cash Flow,910566,751302,-5871169,-7386725,200000,-154921,-72197,167152,-48598,265898,595070,184231,414384,326593,-70831,489573,-693589,1337080,-254825,84518,-283213,-269926,835227,-769273,-925514,358718
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/803578/000143774921007829/0001437749-21-007829-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
