,https://roic.ai/company/LANDM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,6951322,335248,-244957,15593777,-2963145,-1628410,-17663969,-13872000,4533000,1287000,-614743000,- -
82,Other Non-Cash Items,10174,8176037,559401,-15053183,20490033,-262937,18802730,-4482969,-20001000,10085000,619422000,3153000
83,Cash Provided by Operating Activities,665261,1898093,1137777,-460353,3543622,4753835,8402522,6515000,10408000,21370000,25002000,32377000
84,CAPEX,- -,- -,- -,-811605,-2619084,-3246646,-9797438,-5211000,-22605000,-12290000,-16510000,-6120000
85,Acquisitions Net,- -,-50000,-150000,-200000,-350000,-50000,-500000,- -,- -,-587000,-573000,-2054000
86,Purchases of Investments,- -,- -,-679717,-19994981,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,682000,- -,- -,- -,- -
88,Other Investing Activites,-8418019,-4703872,-7299644,-18533624,-70984240,-78425150,-95000975,-130327000,-93809000,-262063000,-272328000,-292947000
89,Cash Used for Investing Activites,-8418019,-4753872,-8129361,-38728605,-71334240,-78475150,-95500975,-129645000,-93809000,-262650000,-272901000,-295001000
90,Debt Repayment,-431116,-14673356,-5122120,-2828715,-23425404,-625680,-4827128,-72856000,-63255000,-54436000,-35713000,-23924000
91,Common Stock Issued,- -,- -,- -,56703960,15024003,23132910,360472,41907000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-2569000,-523000,-340000,-684000,-28998000
93,Dividends Paid,- -,-1017500,- -,-9730093,-2458802,-4059179,-4954262,-6369000,-8653000,-14106000,-21015000,-29170000
94,Other Financing Activites,8347601,18579469,10983324,10441614,64998881,55186444,96424870,163517000,167624000,309120000,300841000,352206000
95,Cash Used/Provided by Financing Activities,7916485,2888613,5861204,54586766,54138678,73634495,87003952,123630000,95193000,240238000,243429000,270114000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,163727,32834,-1130380,15397808,-13651940,-86820,-94501,500000,11792000,-1042000,-4470000,7490000
98,Cash at the End of Period,1971020,2003854,873474,16271282,2619342,2532522,2438021,2938000,14730000,13688000,9218000,16708000
99,Cash at the Beginning of Period,1807293,1971020,2003854,873474,16271282,2619342,2532522,2438000,2938000,14730000,13688000,9218000
100,Free Cash Flow,665261,1898093,1137777,-1271958,924538,1507189,-1394916,1304000,-12197000,9080000,8492000,26257000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1495240/000149524021000008/0001495240-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1495240/000149524022000004/0001495240-22-000004-index.htm
102,false,,,,,,,,,,,,
