,https://roic.ai/company/QRVO,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,23104000,83720000,83056000,86108000,118302000,93128000,161783000,167914000
58,Total Non-Current Liabilities,- -,23988000,393909000,1223346000,1206773000,1164676000,1012731000,1729014000,1910464000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,243961000,719219000,1597147000,1625601000,1605955000,1448345000,2268017000,2592045000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1284402000,6584247000,5442613000,5357394000,5237085000,4687455000,4290377000,4244740000
64,Retained Earnings,- -,-607266000,-410963000,-439808000,-456366000,-458769000,-321152000,- -,355036000
65,Other Comprehensive Income/Loss,- -,-552901000,-248000,-3000000,-4000000,-3000000,-6624000,2000000,30
66,Other Total Stockholders Equity,- -,552116000,124000,-133000,-306000,248000,- -,288000,29648970
67,Total Stockholders Equity,- -,676351000,6173160000,4999672000,4896722000,4775564000,4359679000,4292665000,4629425000
68,Total Liabilities And Stockholders Equity,- -,920312000,6892379000,6596819000,6522323000,6381519000,5808024000,6560682000,7221470000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,920312000,6892379000,6596819000,6522323000,6381519000,5808024000,6560682000,7221470000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1604778/000160477820000030/0001604778-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1604778/000160477821000032/0001604778-21-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-52999000,12642000,196303000,-28845000,-16558000,-40288000,133125000,334325000,733611000
74,Depreciation and Amortization,72464000,74336000,216988000,674951000,704577000,714215000,663097000,468931000,456104000
75,Deferred Income Tax,16796000,441000,-109970000,-12189000,-28027000,-32248000,-70169000,-11099000,-18136000
76,Stock Based Compensation,30819000,29901000,64941000,139516000,88845000,68158000,71580000,75978000,89322000
77,Change in Working Capital,-8672000,316485000,857350000,-39386000,-92632000,359749000,-153299000,-97728000,650724000
78,Accounts Receivable,-38400000,6160000,-30369000,36682000,-36873000,12906000,-32119000,21029000,-91275000
79,Inventory,-19071000,35266000,10423000,-84116000,-6442000,-41887000,-39590000,10252000,9390000
80,Accounts Payable,46821000,-43393000,-30107000,-461000,-1035000,38952000,15167000,15425000,34201000
81,Other Working Capital,960000,317445000,1174795000,1135409000,1042777000,1402526000,1249227000,1151499000,1802223000
82,Other Non-Cash Items,12844000,-302956000,-919988000,-46120000,120615000,-217066000,166030000,175239000,-609772000
83,Cash Provided by Operating Activities,71252000,130849000,305624000,687927000,776820000,852520000,810364000,945646000,1301853000
84,CAPEX,-54636000,-68080000,-170962000,-315624000,-552702000,-269835000,-220937000,-164104000,-186960000
85,Acquisitions Net,-47697000,- -,225824000,- -,-118133000,- -,- -,-946043000,-47069000
86,Purchases of Investments,-89959000,-125037000,-387734000,-365527000,-469000,- -,-132732000,- -,- -
87,Sales/Maturities of Investments,176975000,133585000,261482000,401584000,186793000,- -,133132000,1950000,- -
88,Other Investing Activites,840000,1172000,6348000,853000,-5976000,-7574000,-27017000,2455000,15371000
89,Cash Used for Investing Activites,-14477000,-57033000,-63942000,-278714000,-490487000,-277409000,-247554000,-1105742000,-218658000
90,Debt Repayment,-79432000,- -,-87503000,-175000000,- -,-107729000,-1050680000,- -,-1087994000
91,Common Stock Issued,3988000,17480000,46072000,51875000,59148000,57412000,41289000,50198000,42598000
92,Common Stock Repurchased,-6999000,-12780000,-50874000,-1300009000,-209357000,-219907000,-638074000,-515131000,-515084000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-7227000,-8945000,-20593000,1140282000,-15437000,73376000,870801000,630492000,1158557000
95,Cash Used/Provided by Financing Activities,-89670000,-4245000,-112898000,-282852000,-165646000,-196848000,-776664000,165559000,-401923000
96,Effect of Forex Changes on Cash,-967000,665000,-868000,-294000,-1105000,2360000,-1166000,-1233000,1425000
97,Net Change In Cash,-33862000,70236000,127916000,126067000,119582000,380623000,-215020000,4230000,682697000
98,Cash at the End of Period,101662000,171898000,299814000,425881000,545463000,926402000,711382000,715612000,1398309000
99,Cash at the Beginning of Period,135524000,101662000,171898000,299814000,425881000,545779000,926402000,711382000,715612000
100,Free Cash Flow,16616000,62769000,134662000,372303000,224118000,582685000,589427000,781542000,1114893000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1604778/000160477820000030/0001604778-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1604778/000160477821000032/0001604778-21-000032-index.htm
102,false,,,,,,,,,
