,https://roic.ai/company/INO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,15200000,14611949,- -,6124436,6713791,12677794,17642223,16814372,20706149,15756096,23077866,25364867,32020797,28763184,35011678,49952727,75855813,112604298,126862987,124573035,115220475,131493264,302992677
12,Interest Income ,- -,- -,556193,- -,32316,65497,247555,207675,867070,1272397,- -,- -,- -,- -,166113,132214,- -,305071,- -,1612974,- -,2605981,3311846,3363080
13,Interest Expense (Gain),- -,- -,24342,- -,5445,20480,- -,- -,- -,- -,- -,- -,- -,34285,- -,- -,- -,- -,- -,- -,- -,7948539,8702450,1936447
14,Depreciation and Amortization,- -,400000,566358,- -,619344,584413,573041,799317,911643,954641,993027,1676978,2108541,2011714,1994920,2099289,1569273,1918630,3085964,3469041,4996767,5516442,4627790,4730781
15,EBITDA,- -,-6200000,-9009242,- -,-5340038,-4060014,-10399890,-14497535,-11567481,-10249802,-11972595,-22734507,-15505255,-13206946,-17674035,-63929159,-34552440,-29366742,-70654375,-84736731,-89801252,-106151573,-153080917,-296991482
16,EBITDA ratio,- -,-0.7470,-1.7744,- -,-28.1765,-50.4168,-8.9109,-2.6517,-3.3353,-2.1319,-5.7077,-2.4928,-2.5234,-1.3483,-4.2912,-4.7470,-3.3043,-0.7238,-1.9977,-2.0070,-2.9461,-25.8155,-20.6553,-167.3420
17,Operating Income,- -,-6900000,-9534610,- -,-5934915,-6633262,-11510695,-15506970,-13346194,-15898420,-13658464,-13957755,-19220162,-21638540,-23493532,-19544332,-39495961,-34283702,-76235937,-83642901,-94091138,-111108545,-124082044,-301217919
18,Operating Income ratio,- -,-0.8313,-1.8779,- -,-31.3153,-82.3711,-9.8627,-2.8363,-3.8482,-3.3068,-6.5114,-1.5304,-3.1279,-2.2091,-5.7042,-1.4512,-3.7771,-0.8450,-2.1555,-1.9811,-3.0868,-27.0210,-16.7425,-169.7234
19,Total Other Income Expenses (Gains),- -,300000,-597183,- -,26871,- -,- -,-3329557,- -,3421580,49006,-10503462,1506902,9277658,3780552,-46539200,3355828,3083099,2495598,-4562871,-706881,-9700567,-38808260,-2006404
20,Income Before Tax,- -,- -,- -,- -,-5908044,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19712980,-66083532,-36140133,-31200603,-73740339,-88205772,-94798019,-120809112,-162890304,-303224323
21,Income Before Tax Ratio,- -,- -,- -,- -,-31.1736,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4.7863,-4.9069,-3.4561,-0.7690,-2.0849,-2.0892,-3.1100,-29.3801,-21.9789,-170.8539
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2097766,- -,- -,2169811,-257335,- -,- -
23,Net Income,- -,-6600000,-9599942,- -,-5964827,-4664907,-10972931,-15296852,-12479124,-11204443,-12965622,-24411485,-17613796,-15252945,-19668955,-66028448,-36121713,-29187606,-73740339,-88205772,-96967830,-119359219,-166411157,-303658710
24,Net Income ratio,- -,-0.7952,-1.8907,- -,-31.4732,-57.9283,-9.4019,-2.7979,-3.5982,-2.3305,-6.1811,-2.6767,-2.8665,-1.5572,-4.7756,-4.9029,-3.4544,-0.7194,-2.0849,-2.0892,-3.1812,-29.0275,-22.4539,-171.0987
25,EPS,- -,-5.28,-6.88,- -,-2.40,-6.88,-2.64,-5.56,-1.84,-1.08,-1.20,-1.32,-0.68,-0.48,-0.56,-1.44,-0.61,-0.43,-1.01,-1.08,-1.05,-1.21,-1.07,-1.45
26,EPS Diluted,- -,-5.28,-6.88,- -,-2.40,-6.88,-2.64,-5.56,-1.84,-1.08,-1.20,-1.32,-0.68,-0.48,-0.56,-1.44,-0.64,-0.44,-1.01,-1.09,-1.05,-1.21,-1.07,-1.45
27,Weighted Average Shares Outstanding,- -,1250000,1381699,1728053,2537051,3329155,4405889,4752297,7877920,10373353,10978501,18678534,25800470,31559834,34127311,46087772,59127349,68198142,73214766,81777493,92539997,98717999,155126857,208829801
28,Weighted Average Shares Outstanding Diluted,- -,1250000,1411489,1728053,2537051,3329155,4405889,4752297,7877920,10373353,10978501,18678534,25800470,31559834,34127311,46087772,59408252,68365265,73214766,81918022,92539997,98717999,155126857,208829801
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1055726/000110465903005390/0001104659-03-005390-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000110465904008867/0001104659-04-008867-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000104746905006550/0001047469-05-006550-index.html,https://www.sec.gov/Archives/edgar/data/1055726/000110465906017343/0001104659-06-017343-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000110465907020093/0001104659-07-020093-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000104746908002954/0001047469-08-002954-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000104746909003529/0001047469-09-003529-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000104746910002793/0001047469-10-002793-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000119312511068803/0001193125-11-068803-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000119312512117292/0001193125-12-117292-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000144530513000665/0001445305-13-000665-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572614000003/0001055726-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572615000003/0001055726-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572616000033/0001055726-16-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572617000013/0001055726-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572618000014/0001055726-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572619000012/0001055726-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572620000012/0001055726-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572621000018/0001055726-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572622000008/0001055726-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6200000,9742344,- -,875444,13460446,17889797,17166567,8321606,10250929,14115281,30296215,19998489,17350116,5646021,33719796,40543982,57632693,19136472,23786579,23693633,22196097,250728118,71143778
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,14700000,16999600,- -,13542686,1846271,12863420,8034001,18905608,53075974,105357277,85629412,103638844,57538852,67338017,160914935,330170940
33,Cash and Short-Term Investments,- -,6200000,9742344,- -,875444,13460446,17889797,17166567,23021606,27250529,14115281,43838901,21844760,30213536,13680022,52625404,93619956,162989970,104765884,127425423,81232485,89534114,411643053,401314718
34,Net Receivables,- -,800000,1120450,- -,75588,175000,424157,284171,326071,1139966,671187,318060,105036,506315,866667,3301563,2804207,7333059,16569866,6489824,4054944,2032117,19063749,8032044
35,Inventory,- -,700000,611642,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,-100000,139423,- -,1746880,116526,124723,870169,1124262,613656,477285,409845,927411,1187235,1421223,2756622,2522921,1527909,3261483,4446913,2527395,2634738,40463888,39098183
37,Total Current Assets,- -,7600000,11613859,- -,2697912,13751972,18438677,18320907,24471939,29004151,15263753,44566806,22877207,31907086,15967912,58683589,98947084,171850938,124597233,138362160,87814824,94200969,471170690,448444945
38,PP&E,- -,1200000,1014811,- -,295321,175902,155253,375613,390789,401727,353807,343457,276795,295785,363021,2886545,4583204,7306695,9025446,18320176,15949014,26556026,24089440,29024232
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,4290594,4290594,3900713,3900713,10113371,10113371,10113371,10113371,10113371,10113371,10113371,10513371,10513371,10513371,10513371,10513371,10513371
40,Intangible Assets,- -,1000000,1350174,- -,2425992,- -,- -,5991840,6664293,6186430,10132034,12968934,11180002,9310485,7489315,5718778,4776059,3905860,7628394,6009729,4760145,3693851,3146770,2626355
41,Intangible Assets,- -,1000000,1350174,- -,2425992,- -,- -,10282434,10954887,10087143,14032747,23082305,21293373,19423856,17602686,15832149,14889430,14019231,18141765,16523100,15273516,14207222,13660141,13139726
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9169471,12330802,11360888,9071513,10703332,9664587,12340811,19987192,19829575,11394480,9405913,6315356,4894753,3906796
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,33460,- -,- -,2301116,2357572,- -,132000,282000,167250,305547,259128,408321,501803,1220337,1024568,676803,2113147,2639354,2669998,2672024,25957448,1425794
45,Total Non-Current Assets,- -,2200000,2398445,- -,2721313,2477018,2512825,10658047,11477676,10770870,23723275,36062111,33190184,29199475,29170842,29603618,32838013,41989921,49109933,48877110,43298441,49750628,68601782,47496548
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,9800000,14012304,- -,5419225,16228990,20951502,28978954,35949615,39775021,38987028,80628917,56067391,61106561,45138754,88287207,131785097,213840859,173707166,187239270,131113265,143951597,539772472,495941493
48,Accounts Payable,- -,1400000,1784084,- -,- -,827655,677268,1864935,555323,1807305,377332,1568297,- -,1140296,852573,1865723,2003091,4292374,5920642,7564830,10043816,6919081,825516,24761705
49,Short-Term Debt,- -,- -,53098,- -,20642,331164,- -,- -,- -,- -,12109423,12114760,- -,- -,- -,- -,- -,- -,- -,- -,- -,2074842,2329394,2603956
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,202654,- -,1050584,1206443,583147,973427,608358,270326,795897,468044,741933,2012930,3582014,13954210,15170012,1349463,257152,124128,46628,21628
52,Other Current Liabilities,- -,- -,268665,- -,1434708,- -,3674140,1064497,2129979,573767,1614469,5396655,5640811,9434681,6782071,25087803,8438647,13219822,22732373,26491133,24998791,22871270,38504416,38354344
53,Total Current Liabilities,- -,1400000,2105847,- -,1658004,1158819,5401992,4135875,3268449,3354499,14709582,19350038,6436708,11043021,8376577,28966456,14023752,31466406,43823027,35405426,35299759,31989321,41705954,65741633
54,Long-Term Debt,- -,100000,65286,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77022917,18655822,30419206
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4269151,82594,2409474,2123019,1675303,3209027,1010473,780445,404502,215853,150793,101567,79214,64361
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,1076250,1013250,950250,887250,- -,53186,78859,164393,195778,504049,175642,174793,24766,24766,32046,32046,32046
57,Other Non-Current Liabilities,- -,- -,9972,- -,35851,22536,- -,296081,4625365,4435518,14898,11338,67112,- -,65076,3013263,4709229,5485313,5926424,9104416,8605540,29400888,18158678,14826
58,Total Non-Current Liabilities,- -,100000,75258,- -,35851,22536,- -,1372331,5638615,5385768,5171299,93932,2529772,2201878,1904772,6418068,6223751,6441400,6505719,9345035,8781099,106557418,36925760,30530439
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,20642,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22484764,20392909,18063515
61,Total Liabilities,- -,1500000,2181105,- -,1693855,1181355,5401992,5508206,8907064,8740267,19880881,19443970,8966480,13244899,10281349,35384524,20247503,37907806,50328746,44750461,44080858,138546739,78631714,96272072
62,Preferred Stock,- -,- -,- -,- -,- -,1,2,1562,1028,113,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,30491793,- -,50398,63682,18420,29469,35639,43815,44022,102746,105038,134968,144313,210305,60741,72218,74062,90358,97226,101361,186851,217382
64,Retained Earnings,- -,-20000000,-29598443,- -,-53326547,-76201984,-87907320,-114269942,-128754730,-139847326,-152812948,-177224433,-194838229,-210091174,-229760129,-295788577,-331910290,-361097896,-434838235,-523356317,-620426436,-739785655,-906196812,-1209855522
65,Other Comprehensive Income/Loss,- -,-700000,-1179626,- -,-102238,-1959849,-2012114,-30295,-48985,107531,6159,105796,2850,35393,73362,-76365,-251390,2708339,1327968,-117005,-528867,472608,-256150,-282236
66,Other Total Stockholders Equity,- -,29000000,12117475,- -,57103757,93145785,105450522,137739954,150459604,170730621,171868914,237577970,241233334,257235707,263897116,348109661,443327915,534004564,556718356,665775504,707794215,742646785,1367406869,1609589797
67,Total Stockholders Equity,- -,8300000,11831199,- -,3725370,15047635,15549510,23470748,21692556,31034754,19106147,60562079,46502993,47314894,34354662,52455024,111226976,175687225,123282151,142392540,86936138,3435099,461140758,399669421
68,Total Liabilities And Stockholders Equity,- -,9800000,14012304,- -,5419225,16228990,20951502,28978954,30599620,39775021,38987028,80006049,55469473,60559793,44636011,87839548,131474479,213595031,173610897,187143001,131016996,141981838,539772472,495941493
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,5349995,- -,- -,622868,597918,546768,502743,447659,310618,245828,96269,96269,96269,1969759,- -,- -
70,Total Liabilities & Equity,- -,9800000,14012304,- -,5419225,16228990,20951502,28978954,35949615,39775021,38987028,80628917,56067391,61106561,45138754,88287207,131785097,213840859,173707166,187239270,131113265,143951597,539772472,495941493
71,SEC Link,undefined,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1055726/000110465903005390/0001104659-03-005390-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000110465904008867/0001104659-04-008867-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000104746905006550/0001047469-05-006550-index.html,https://www.sec.gov/Archives/edgar/data/1055726/000110465906017343/0001104659-06-017343-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000110465907020093/0001104659-07-020093-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000104746908002954/0001047469-08-002954-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000104746909003529/0001047469-09-003529-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000104746910002793/0001047469-10-002793-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000119312511068803/0001193125-11-068803-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000119312512117292/0001193125-12-117292-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000144530513000665/0001445305-13-000665-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572614000003/0001055726-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572615000003/0001055726-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572616000033/0001055726-16-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572617000013/0001055726-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572618000014/0001055726-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572619000012/0001055726-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572620000012/0001055726-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572621000018/0001055726-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572622000008/0001055726-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-6600000,-9599942,-8640355,-5964827,-4664907,-10972931,-15296852,-12479124,-11204443,-12965622,-24411485,-17613796,-15252945,-19668955,-66028448,-36121713,-29187606,-73740339,-88205772,-96967830,-119359219,-166411157,-303658710
74,Depreciation and Amortization,- -,400000,566358,655497,619344,584413,573041,799317,911643,954641,993027,1676978,2108541,2011714,1994920,2099289,1569273,1918630,3085964,3469041,4996767,5516442,4627790,4730781
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22806,32274,27537,-2083600,-849,-150027,- -,-260818,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1137299,2157879,1174867,1654823,1345613,1868345,5428946,6186848,10479135,13070962,10654622,10901320,15647523,26336764
77,Change in Working Capital,- -,-200000,3308012,-336086,-962669,11553245,443532,1148347,7018458,4446162,-25095481,24662597,-8776269,4423566,-13272730,22125798,55206199,55461200,-59610326,22182528,-50441669,9696583,367253088,50351445
78,Accounts Receivable,- -,- -,- -,- -,88639,- -,- -,- -,- -,- -,464825,1392080,213024,33743,-360352,-2434896,497356,-4528852,-9236807,10080042,2434880,2022827,-17015471,11031705
79,Inventory,- -,-300000,-21356,-253423,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,428353,- -,- -,-623913,2499025,993224,6593221,7275497,2684171,601256,-4585892,3251478,26140970
81,Other Working Capital,- -,6200000,9508012,- -,1039908,12593153,13036685,14185032,21203490,25649652,554171,25216768,16440499,20864065,7591335,29717133,84923332,140384532,80774206,102956734,52515065,62211648,429464736,-2369247
82,Other Non-Cash Items,- -,100000,-3065164,-49557,1348534,-10221166,3155869,1010870,-2494125,-5710109,24804259,-18166161,11169129,-12592875,7271561,24521305,-55933886,-44734373,57231363,-13575653,58207954,-4344444,-399096290,6531195
83,Cash Provided by Operating Activities,- -,-6300000,-8790736,-8370501,-4959618,-2748415,-6800489,-12338318,-7043148,-11513749,-11126518,-14080192,-11937528,-19755717,-22306785,-15381437,-29823644,-12438901,-62555052,-63208921,-73550156,-97850136,-177979046,-215708525
84,CAPEX,- -,-500000,-289511,-263970,-408715,-59618,-102365,-286907,-1365175,-645730,-583798,-164935,-306629,-161187,-240986,-176925,-1379980,-2781544,-3938470,-10293902,-2085022,-987926,-1520665,-1231006
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-2341028,- -,- -,- -,1611280,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1399999,- -
86,Purchases of Investments,- -,- -,- -,-2804468,- -,- -,- -,- -,-24000000,-18602985,-4500000,- -,-8000000,-18294737,-9142220,-15399495,-47185945,-63526830,-57317671,-95700144,-88155046,-100950301,-156216677,-348953236
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,9300000,16400000,8000000,- -,19710000,7206000,14008771,4339577,12753719,10484267,76528030,77162902,132659976,92893232,103116441,174839758
88,Other Investing Activites,- -,-300000,-495581,-320587,-389154,-280499,-336752,-447764,- -,- -,-461852,-116567,-92480,350000,650000,2000000,- -,1000000,-200000,1000000,- -,-987926,-4295516,-1231006
89,Cash Used for Investing Activites,- -,-800000,-785092,-3389025,-389154,-340117,-439117,-3075699,-16065175,-2848715,2916202,1446345,11435871,-10899924,5275565,-9236843,-35812206,-54824107,16271889,-27831144,42419908,-9044995,-58795751,-175344484
90,Debt Repayment,- -,- -,- -,- -,-27475,- -,- -,- -,- -,- -,-111071,-160841,-12175912,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,6800000,2017042,5798169,698793,15694176,11945272,15304716,14325730,16290322,1088,28406356,2314124,27994601,5325141,32883705,59209182,81902363,6295761,94347922,29227776,9089010,454486400,209441410
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-276315,-613929,-132343,-23335,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,100000,11109756,-58334,3922886,-20642,- -,- -,- -,36030,12270494,358740,168665,15930,- -,19808232,13252543,2449356,1491181,1342250,1809526,96308585,10793213,2057393
95,Cash Used/Provided by Financing Activities,- -,6900000,13126798,5739835,4594204,15673534,11668957,14690787,14193387,16303017,12160511,28604255,-9693123,28010531,5325141,52691937,72461725,84351719,7786942,95690172,31037302,105397595,465279613,211498803
96,Effect of Forex Changes on Cash,- -,-100000,2090,-1327,- -,- -,- -,- -,69975,-11230,-85843,210526,-102946,-3263,1984,118,-1689,- -,- -,- -,- -,- -,27205,-30134
97,Net Change In Cash,- -,6900000,3553060,-6021018,-937656,12585002,4429351,-723230,-8844961,1929323,3864352,16180934,-10297726,-2648373,-11704095,28073775,6824186,17088711,-38496221,4650107,-92946,-1497536,228532021,-179584340
98,Cash at the End of Period,- -,- -,9742344,3721326,875444,13460446,17889797,17166567,8321606,10250929,14115281,30296215,19998489,17350116,5646021,33719796,40543982,57632693,19136472,23786579,23693633,22196097,250728118,71143778
99,Cash at the Beginning of Period,- -,6500000,6189284,9742344,1813100,875444,13460446,17889797,17166567,8321606,10250929,14115281,30296215,19998489,17350116,5646021,33719796,40543982,57632693,19136472,23786579,23693633,22196097,250728118
100,Free Cash Flow,- -,-6800000,-9080247,-8634471,-5368333,-2808033,-6902854,-12625225,-8408323,-12159479,-11710316,-14245127,-12244157,-19916904,-22547771,-15558362,-31203624,-15220445,-66493522,-73502823,-75635178,-98838062,-179499711,-216939531
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1055726/000110465903005390/0001104659-03-005390-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000110465904008867/0001104659-04-008867-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000104746905006550/0001047469-05-006550-index.html,https://www.sec.gov/Archives/edgar/data/1055726/000110465906017343/0001104659-06-017343-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000110465907020093/0001104659-07-020093-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000104746908002954/0001047469-08-002954-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000104746909003529/0001047469-09-003529-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000104746910002793/0001047469-10-002793-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000119312511068803/0001193125-11-068803-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000119312512117292/0001193125-12-117292-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000144530513000665/0001445305-13-000665-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572614000003/0001055726-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572615000003/0001055726-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572616000033/0001055726-16-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572617000013/0001055726-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572618000014/0001055726-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572619000012/0001055726-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572620000012/0001055726-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572621000018/0001055726-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1055726/000105572622000008/0001055726-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
