,https://roic.ai/company/SCPL,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,-12600000,-5700000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-31400000,-3500000,-8800000,-7100000,-9100000
89,Cash Used for Investing Activites,-31400000,-3500000,-8800000,-19700000,-14800000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,341800000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,-30200000,- -,-311700000,-12400000,-30000000
94,Other Financing Activites,- -,-79500000,-14200000,-3600000,-23600000
95,Cash Used/Provided by Financing Activities,-30200000,-79500000,15900000,-16000000,-53600000
96,Effect of Forex Changes on Cash,1000000,-700000,500000,600000,100000
97,Net Change In Cash,1600000,-6800000,100600000,158300000,95500000
98,Cash at the End of Period,16800000,10000000,110600000,268900000,364400000
99,Cash at the Beginning of Period,15200000,16800000,10000000,110600000,268900000
100,Free Cash Flow,56800000,73400000,84200000,186300000,154700000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1760717/000176071720000005/0001760717-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1760717/000176071721000008/0001760717-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1760717/000176071722000007/0001760717-22-000007-index.htm
102,false,,,,,
