,https://roic.ai/company/JELD,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,-449000,-583000,-73000,-68000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,68108000,5558000,-1386000,-4429000,-1459000,-21027000,-34275000,-18619000,-11924000
89,Cash Used for Investing Activites,13939000,-56738000,-158452000,-156782000,-189793000,-284141000,-184948000,-82003000,-92361000
90,Debt Repayment,-83376000,-658699000,-22822000,-17024000,-389870000,- -,- -,- -,-86051000
91,Common Stock Issued,- -,- -,2006000,205000,481335000,201000,1977000,2984000,10184000
92,Common Stock Repurchased,-16073000,-14766000,-44647000,- -,-2066000,-125030000,-19994000,-5000000,-323722000
93,Dividends Paid,- -,- -,-419216000,-404198000,- -,- -,- -,- -,- -
94,Other Financing Activites,134082000,779082000,483607000,369016000,-25309000,57354000,11606000,209925000,-1620000
95,Cash Used/Provided by Financing Activities,34633000,105617000,-1072000,-52001000,64090000,-67475000,-6411000,207909000,-401209000
96,Effect of Forex Changes on Cash,-3360000,-2791000,-4786000,-3670000,12692000,-6648000,903000,25157000,-21800000
97,Net Change In Cash,-4160000,67876000,8029000,-10870000,152782000,-138611000,112253000,506718000,-339704000
98,Cash at the End of Period,37666000,105542000,113571000,102701000,256234000,117623000,229876000,736594000,396890000
99,Cash at the Beginning of Period,41826000,37666000,105542000,113571000,103452000,256234000,117623000,229876000,736594000
100,Free Cash Flow,-135061000,-49058000,94652000,122086000,202744000,100953000,166517000,258759000,75973000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1674335/000167433517000009/0001674335-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1674335/000167433518000038/0001674335-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1674335/000167433519000023/0001674335-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1674335/000167433520000033/0001674335-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/1674335/000167433521000012/0001674335-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1674335/000167433522000028/0001674335-22-000028-index.htm
102,false,,,,,,,,,
