,https://roic.ai/company/PLNT,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,460538000,472143000,450600000,430843000,412638000,433843000,461742000,444896000,429506000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,18760000
43,Tax Assets,- -,- -,117358000,410407000,407782000,414841000,412293000,511200000,539264000
44,Other Non-Current Assets,10245000,12236000,2135000,7729000,11717000,1825000,1903000,1896000,2022000
45,Total Non-Current Assets,504549000,533958000,626232000,910217000,915464000,964876000,1177052000,1282921000,1353569000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,562096000,609276000,699177000,1001442000,1092465000,1353416000,1717190000,1849737000,2015983000
48,Accounts Payable,25517000,26738000,23950000,28507000,28648000,30428000,21267000,19388000,27892000
49,Short-Term Debt,- -,- -,5100000,7185000,7185000,12000000,17500000,17500000,17500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,488200000,20302000
51,Deferred Revenue,14091000,21224000,20304000,19950000,25581000,31396000,30604000,27486000,28351000
52,Other Current Liabilities,17139000,12923000,16898000,27631000,50616000,57579000,76107000,47521000,102867000
53,Total Current Liabilities,56747000,60885000,66252000,83273000,112030000,131403000,145478000,111895000,176610000
54,Long-Term Debt,173375000,383175000,479779000,702003000,696576000,1160127000,1687505000,1751426000,1937955000
55,Deferred Revenue,7193000,9330000,12016000,8351000,8440000,26374000,34458000,32587000,33428000
56,Deferred Tax Liabilities,593000,606000,- -,1238000,1629000,2303000,1116000,881000,- -
57,Other Non-Current Liabilities,2273000,3531000,142210000,421332000,410727000,415998000,556387000,658621000,510835000
58,Total Non-Current Liabilities,183434000,396642000,634005000,1132924000,1117372000,1604802000,2279466000,2443515000,2482218000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,1585000,421000,- -,- -,- -,- -,152920000,167910000,197682000
61,Total Liabilities,240181000,457527000,700257000,1216197000,1229402000,1736205000,2424944000,2555410000,2658828000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,10000,10000,10000,10000,9000,9000,9000
64,Retained Earnings,- -,- -,-14032000,-164062000,-130966000,-394410000,-736587000,-751578000,-708804000
65,Other Comprehensive Income/Loss,-6971000,-15728000,-2000000,-1000000,-1000000,-53086000,-73621000,27000,12000
66,Other Total Stockholders Equity,322686000,161248000,642000,34293000,12470000,72912000,103744000,45673000,- -
67,Total Stockholders Equity,315715000,145520000,-15380000,-130759000,-119486000,-374574000,-706455000,-705869000,-645355000
68,Total Liabilities And Stockholders Equity,555896000,603047000,684877000,1085438000,1109916000,1361631000,1718489000,1849541000,2013473000
69,Minority Interest,6200000,6229000,14300000,-83996000,-17451000,-8215000,-1299000,196000,2510000
70,Total Liabilities & Equity,562096000,609276000,699177000,1001442000,1092465000,1353416000,1717190000,1849737000,2015983000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1637207/000156459016014027/0001564590-16-014027-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000156459017003401/0001564590-17-003401-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000156459018004109/0001564590-18-004109-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720719000009/0001637207-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720720000008/0001637207-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720721000009/0001637207-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720722000011/0001637207-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,25438000,36808000,18518000,21500000,33146000,88021000,117695000,-14991000,42774000
74,Depreciation and Amortization,29054000,32842000,32636000,31894000,32095000,35635000,44583000,53889000,62800000
75,Deferred Income Tax,-1430000,-63000,3586000,15678000,55068000,28698000,27591000,1264000,13265000
76,Stock Based Compensation,- -,- -,4877000,1728000,2531000,5479000,4826000,4777000,8805000
77,Change in Working Capital,11933000,13633000,-7740000,1259000,57019000,192166000,137523000,60261000,35698000
78,Accounts Receivable,-3101000,-3632000,-414000,-7754000,-10481000,-1923000,-895000,23611000,-10804000
79,Inventory,-1750000,-769000,-1545000,2755000,-890000,-2430000,4244000,404000,-681000
80,Accounts Payable,13456000,5042000,263000,7428000,4210000,14506000,-6268000,-10938000,30928000
81,Other Working Capital,800000,14433000,6693000,7952000,64971000,257137000,394660000,454921000,6269000
82,Other Non-Cash Items,1948000,-3815000,29786000,36758000,-48838000,-165600000,-127907000,-74062000,25947000
83,Cash Provided by Operating Activities,66943000,79405000,81663000,108817000,131021000,184399000,204311000,31138000,189289000
84,CAPEX,-7287000,-55288000,-19488000,-15377000,-37722000,-86612000,-110803000,-52560000,-55962000
85,Acquisitions Net,- -,- -,- -,- -,- -,-46000000,-53000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,150000,-37712000,327000,683000,680000,444000,196000,282000,-36842000
89,Cash Used for Investing Activites,-7137000,-54362000,-19161000,-14694000,-37042000,-86416000,-110694000,-52278000,-90916000
90,Debt Repayment,-17360000,-186962000,-15176000,-5667000,-7207000,-712516000,-12093000,-17665000,-17682000
91,Common Stock Issued,- -,- -,156946000,136000,480000,1209000,2863000,2571000,8186000
92,Common Stock Repurchased,- -,- -,-156946000,-1583000,- -,-342383000,-458166000,- -,- -
93,Dividends Paid,- -,-205374000,- -,-169282000,-1974000,- -,-243000,-234000,- -
94,Other Financing Activites,-20634000,379384000,-59064000,91213000,-13002000,1163610000,531987000,73178000,-750000
95,Cash Used/Provided by Financing Activities,-37994000,-12952000,-74240000,-85183000,-21703000,109920000,64348000,57850000,-10246000
96,Effect of Forex Changes on Cash,- -,-67000,-123000,23000,411000,-844000,691000,295000,14000
97,Net Change In Cash,21812000,12024000,-11861000,8963000,72687000,207059000,158656000,37005000,88141000
98,Cash at the End of Period,31267000,43291000,31430000,40393000,113080000,320139000,478795000,515800000,603941000
99,Cash at the Beginning of Period,9455000,31267000,43291000,31430000,40393000,113080000,320139000,478795000,515800000
100,Free Cash Flow,59656000,24117000,62175000,93440000,93299000,97787000,93508000,-21422000,133327000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1637207/000156459016014027/0001564590-16-014027-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000156459017003401/0001564590-17-003401-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000156459018004109/0001564590-18-004109-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720719000009/0001637207-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720720000008/0001637207-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720721000009/0001637207-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720722000011/0001637207-22-000011-index.htm
102,false,,,,,,,,,
