,https://roic.ai/company/AMC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,454720000,455946000,580487000,657996000,636377000,712154000,1189190000,1409400000,1328100000,1933200000,1578500000,1787000000
54,Long-Term Debt,2265414000,2305608000,2087495000,2069672000,1775132000,1924366000,3745755000,4220100000,4707800000,4733400000,5695800000,4645000000
55,Deferred Revenue,367810000,463210000,469089000,- -,- -,- -,613000,76800000,102400000,- -,- -,- -
56,Deferred Tax Liabilities,7000000,7000000,7000000,- -,- -,- -,20962000,49600000,41600000,46000000,40500000,31000000
57,Other Non-Current Liabilities,240426000,358241000,338595000,811586000,838065000,933498000,1674587000,1936800000,1917900000,5749000000,5819800000,6148000000
58,Total Non-Current Liabilities,2880650000,3134059000,2902179000,2881258000,2613197000,2857864000,5441917000,6283300000,6769700000,10528400000,11556100000,10824000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,181350000,205646000,185185000,303491000,266606000,233713000,825940000,800200000,669800000,5599500000,5667600000,- -
61,Total Liabilities,3335370000,3590005000,3482666000,3539254000,3249574000,3570018000,6631107000,7692700000,8097800000,12461600000,13134600000,12611000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,14000,14000,14000,972000,2398000,2336000,2180000,2100000,1400000,1000000,2300000,5000000
64,Retained Earnings,-224537000,-398841000,-492939000,321730000,327081000,352389000,384401000,-207900000,-550900000,-706200000,-5335300000,-6624000000
65,Other Comprehensive Income/Loss,-3176000,-3991000,-20203000,24204000,12844000,2804000,-2551000,125600000,5500000,-26100000,38700000,-28000000
66,Other Total Stockholders Equity,667241000,668767000,670729000,1160564000,1171835000,1182538000,1626704000,2193400000,1942000000,1945500000,2409200000,4858000000
67,Total Stockholders Equity,439542000,265949000,157601000,1507470000,1514158000,1540067000,2010734000,2113200000,1398000000,1214200000,-2885100000,-1789000000
68,Total Liabilities And Stockholders Equity,3774912000,3855954000,3640267000,5046724000,4763732000,5110085000,8641841000,9805900000,9495800000,13675800000,10249500000,10822000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26900000,-1000000
70,Total Liabilities & Equity,3774912000,3855954000,3640267000,5046724000,4763732000,5110085000,8641841000,9805900000,9495800000,13675800000,10276400000,10821000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1411579/000104746914001769/0001047469-14-001769-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000104746915001918/0001047469-15-001918-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000104746916010880/0001047469-16-010880-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157917000021/0001411579-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157918000014/0001411579-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157919000013/0001411579-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157920000027/0001411579-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157921000006/0001411579-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000155837022002577/0001558370-22-002577-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,79911000,-174304000,-94098000,364400000,64080000,103856000,111667000,-487200000,110100000,-149100000,-4589400000,-1269100000
74,Depreciation and Amortization,188342000,212413000,214029000,197537000,216321000,232961000,268243000,538600000,537800000,450000000,498300000,101000000
75,Deferred Income Tax,-34000000,- -,- -,-266598000,32430000,51660000,34091000,157800000,-6400000,-33700000,64000000,-7000000
76,Stock Based Compensation,- -,- -,- -,12000000,11293000,10480000,4855000,5700000,14900000,4400000,25400000,24000000
77,Change in Working Capital,51184000,-181947000,-247983000,359455000,-312165000,-171149000,-207760000,-31453000,-9800000,-713300000,168600000,1174500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,13383000,-30487000,26747000,64215000,-13692000,41362000,21490000,34700000,-85600000,104800000,-176400000,63000000
81,Other Working Capital,256002000,74055000,-173928000,185527000,-126638000,-297787000,-505547000,-537000000,-546800000,-1260100000,-1091500000,83000000
82,Other Non-Cash Items,-86501000,127670000,265081000,-309452000,285343000,239749000,220559000,375253000,-123400000,1020700000,2703600000,-637400000
83,Cash Provided by Operating Activities,198936000,-16168000,137029000,357342000,297302000,467557000,431655000,558700000,523200000,579000000,-1129500000,-614000000
84,CAPEX,-6784000,- -,-139359000,-260823000,-270734000,-333423000,-421713000,-626800000,-576300000,-518100000,-173800000,-92000000
85,Acquisitions Net,4234000,-278766000,-26880000,-4393000,-1522000,-174768000,-946331000,-496400000,196900000,-21500000,-9300000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,102224000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-93787000,-73495000,-136834000,-264391000,-270169000,-334668000,-408319000,-468800000,-514100000,-494600000,-145300000,-68000000
89,Cash Used for Investing Activites,-96337000,-250037000,-163714000,-268784000,-271691000,-509436000,-1354650000,-965200000,-317200000,-516100000,-154600000,-68000000
90,Debt Repayment,-604958000,-341495000,-417359000,-774597000,-662035000,-664229000,-614220000,-748600000,-86200000,-1993600000,-26200000,- -
91,Common Stock Issued,- -,- -,- -,355580000,- -,- -,- -,616800000,- -,- -,264700000,- -
92,Common Stock Repurchased,- -,- -,- -,-588000,-373000,- -,- -,-34000000,-445400000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-58504000,-78608000,-79627000,-104600000,-258100000,-84100000,-6500000,- -
94,Other Financing Activites,575567000,414613000,303685000,744533000,367048000,778123000,1612110000,762700000,594900000,1964800000,1098300000,- -
95,Cash Used/Provided by Financing Activities,-29391000,73118000,-113674000,324928000,-353864000,35286000,918263000,492300000,-194800000,-112900000,1330300000,- -
96,Effect of Forex Changes on Cash,-1212000,-1098000,556000,-103000,5000,-363000,555000,17100000,-5500000,1500000,-300000,- -
97,Net Change In Cash,71996000,-194185000,-139803000,413383000,-328248000,-6956000,-4177000,102900000,5700000,-48500000,45900000,- -
98,Cash at the End of Period,611593000,417408000,277605000,546454000,218206000,211250000,207073000,310000000,324000000,275500000,321400000,- -
99,Cash at the Beginning of Period,539597000,611593000,417408000,133071000,546454000,218206000,211250000,207100000,318300000,324000000,275500000,- -
100,Free Cash Flow,192152000,-16168000,-2330000,96519000,26568000,134134000,9942000,-68100000,-53100000,60900000,-1303300000,-706000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1411579/000104746914001769/0001047469-14-001769-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000104746915001918/0001047469-15-001918-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000104746916010880/0001047469-16-010880-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157917000021/0001411579-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157918000014/0001411579-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157919000013/0001411579-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157920000027/0001411579-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157921000006/0001411579-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000155837022002577/0001558370-22-002577-index.htm
102,false,,,,,,,,,,,,
