,https://roic.ai/company/XPOF,2018,2019,2020,2021
79,Inventory,-804000,-296000,-1392000,-768000
80,Accounts Payable,6430000,6527000,1709000,-3013000
81,Other Working Capital,12807000,-24804000,-22214000,22889000
82,Other Non-Cash Items,16298000,67843000,920000,32000
83,Cash Provided by Operating Activities,836000,1548000,-728000,14451000
84,CAPEX,-8484000,-7507000,-2890000,-4858000
85,Acquisitions Net,-15948000,403000,-1092000,-44772000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-932000,-2956000,-1629000,-2225000
89,Cash Used for Investing Activites,-24431000,-9779000,-4601000,-50635000
90,Debt Repayment,-55894000,-4134000,-167330000,-310685000
91,Common Stock Issued,- -,- -,- -,122016000
92,Common Stock Repurchased,- -,- -,- -,-173978000
93,Dividends Paid,- -,- -,-73203000,-19592000
94,Other Financing Activites,87382000,10495000,247822000,428444000
95,Cash Used/Provided by Financing Activities,31488000,6361000,7289000,46205000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,7893000,-1870000,1960000,10021000
98,Cash at the End of Period,11209000,9339000,11299000,21320000
99,Cash at the Beginning of Period,3316000,11209000,9339000,11299000
100,Free Cash Flow,-7648000,-5959000,-3618000,9593000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1802156/000095017022002936/0000950170-22-002936-index.htm
102,false,,,,
