,https://roic.ai/company/AVID,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,8500000,26300000,51200000,107900000,86200000,79800000,89800000,76200000,90047000,78010000,65942000,69230000,97536000,140668000,138578000,138692000,103527000,79741000,101171000,104305000,67956000,56770000,54655000,58807000,43520000,40134000,84267000,93267000,97193000,77046000
35,Inventory,6400000,18300000,29200000,63400000,28400000,9800000,11100000,15000000,21102000,21690000,38047000,38292000,53946000,96845000,144238000,117324000,95755000,77243000,108357000,111833000,69143000,60122000,48001000,48073000,50701000,38421000,32956000,29166000,26568000,19922000
36,Other Current Assets,1800000,35200000,29100000,38900000,41300000,103200000,77800000,12400000,11750000,10857000,11919000,13181000,19407000,25734000,29016000,36788000,43969000,31075000,24886000,23641000,29596000,25793000,25146000,12667000,11836000,18549000,23270000,17213000,9832000,28736000
37,Total Current Assets,27000000,91000000,121300000,243000000,231700000,301100000,241600000,176400000,206105000,183518000,204942000,317012000,326308000,501677000,483939000,517264000,390945000,296936000,277196000,272634000,237085000,190888000,152858000,137449000,151005000,154327000,196596000,208731000,213492000,182522000
38,PP&E,6800000,14300000,25300000,49000000,49200000,38900000,35400000,32700000,26136000,27164000,25731000,23223000,29092000,38563000,40483000,46160000,38321000,37217000,62519000,53487000,41441000,35186000,32136000,35481000,30146000,21903000,21582000,49327000,46244000,40171000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360143000,360584000,225375000,227195000,246997000,246398000,- -,- -,- -,32643000,32643000,32643000,32643000,32643000,32643000,32643000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,181600000,- -,- -,3462000,1087000,5150000,212687000,515578000,102048000,71427000,38143000,29235000,29750000,18524000,9217000,4260000,2445000,33219000,22932000,13682000,4432000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,181600000,- -,- -,3462000,1087000,5150000,212687000,515578000,462191000,432011000,263518000,256430000,276747000,264922000,9217000,4260000,2445000,65862000,55575000,46325000,37075000,32643000,32643000,32643000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2734000,4184000,- -,- -,- -,- -,- -,- -,- -,2825000,2415000,1886000,2011000,1245000,1318000,1158000,7479000,6801000,5210000
44,Other Non-Current Assets,- -,100000,1900000,39600000,20100000,16800000,28100000,102900000,34241000,1662000,4043000,- -,3963000,6228000,10421000,10518000,10801000,20455000,10109000,11568000,3793000,2393000,2274000,7123000,11610000,10811000,9432000,6113000,5958000,13454000
45,Total Non-Current Assets,6800000,14400000,27200000,88600000,69300000,55700000,245100000,135600000,60377000,32288000,30861000,31107000,249926000,560369000,513095000,488689000,312640000,314102000,349375000,329977000,57276000,44254000,38741000,110477000,98576000,80357000,69247000,95562000,91646000,91478000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,33800000,105400000,148500000,331600000,301000000,356800000,486700000,312000000,266482000,215806000,235803000,348119000,576234000,1062046000,997034000,1005953000,703585000,611038000,626571000,602611000,294361000,235142000,191599000,247926000,249581000,234684000,265843000,304293000,305138000,274000000
48,Accounts Payable,3400000,4300000,15100000,29800000,25300000,22200000,24300000,24000000,28775000,19076000,24297000,15755000,26517000,43227000,34108000,34992000,29419000,30230000,47340000,42533000,35425000,33990000,32951000,45511000,26435000,30160000,39239000,39888000,21823000,26854000
49,Short-Term Debt,- -,1100000,1800000,1800000,1700000,800000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,5906000,1405000,37199000,10811000,9158000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3228000,4640000,3898000,7969000,6875000,5480000,1023000,1012000,1815000,1853000,1945000,1664000,868000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,28872000,35483000,44943000,48680000,66034000,73743000,79771000,68581000,39107000,40585000,45768000,230305000,211403000,206608000,189887000,146014000,121184000,85662000,83589000,87974000,87475000
52,Other Current Liabilities,8200000,17900000,31400000,49100000,59400000,91600000,98000000,82100000,80745000,50080000,51032000,59709000,74727000,103816000,88331000,93912000,101107000,84100000,86727000,69422000,67352000,78504000,70469000,64501000,60487000,58830000,61367000,51583000,67163000,73878000
53,Total Current Liabilities,11600000,23300000,48300000,80700000,86400000,114600000,122700000,106100000,109520000,98028000,110812000,120407000,149924000,213077000,196182000,208675000,199107000,153437000,174652000,157723000,333082000,323897000,310028000,304899000,237936000,216080000,187673000,212259000,187771000,197365000
54,Long-Term Debt,- -,500000,2400000,2900000,1200000,400000,13300000,14200000,13449000,13020000,1427000,607000,1689000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95950000,188795000,204498000,220590000,199034000,202759000,184185000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328180000,255429000,208232000,158495000,79670000,73429000,13939000,14312000,11284000,10607000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9372000,11116000,7430000,4002000,- -,- -,- -,713000,565000,136000,3443000,913000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,100000,- -,- -,- -,- -,60400000,23800000,5663000,- -,- -,- -,- -,- -,9355000,10065000,7821000,14483000,25309000,27885000,17978000,14586000,14273000,14711000,12178000,9247000,10302000,33773000,36248000,5917000
58,Total Non-Current Liabilities,100000,600000,2400000,2900000,1200000,400000,73700000,38000000,19112000,13020000,1427000,607000,1689000,9372000,20471000,17495000,11823000,14483000,25309000,27885000,346871000,270580000,222641000,272599000,281556000,287174000,244831000,247119000,250291000,200709000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34772000,34804000,- -
61,Total Liabilities,11700000,23900000,50700000,83600000,87600000,115000000,196400000,144100000,128632000,111048000,112239000,121014000,151613000,222449000,216653000,226170000,210930000,167920000,199961000,185608000,679953000,594477000,532669000,577498000,519492000,503254000,432504000,459378000,438062000,398074000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,300000,266000,266000,273000,311000,348000,421000,423000,423000,423000,423000,423000,423000,423000,423000,423000,423000,423000,423000,423000,430000,442000,455000
64,Retained Earnings,-4100000,-400000,12600000,39500000,1500000,27300000,14300000,-128100000,-197779000,-235926000,-235365000,-194476000,-122775000,-88795000,-134708000,-155722000,-365431000,-444661000,-495254000,-524530000,-1357679000,-1336526000,-1321798000,-1319318000,-1271148000,-1284703000,-1187010000,-1179409000,-1168347000,-1126959000
65,Other Comprehensive Income/Loss,-2700000,-7400000,-16300000,-31900000,-43000000,-60700000,-77300000,-91200000,-92584000,-105416000,-5825000,1289000,199000,-732000,5671000,12566000,1952000,7256000,7268000,4807000,7644000,5927000,-1613000,-8179000,-9896000,-2426000,-3767000,-3930000,-1677000,-4113000
66,Other Total Stockholders Equity,28900000,89300000,101500000,240400000,254900000,275200000,353300000,386900000,427947000,445834000,364481000,419981000,546849000,928703000,908995000,922516000,855711000,880100000,914173000,936303000,964020000,970841000,981918000,997502000,1010710000,1018136000,1023693000,1027824000,1036658000,1006543000
67,Total Stockholders Equity,22100000,81500000,97800000,248000000,213400000,241800000,290300000,167900000,137850000,104758000,123564000,227105000,424621000,839597000,780381000,779783000,492655000,443118000,426610000,417003000,-385592000,-359335000,-341070000,-329572000,-269911000,-268570000,-166661000,-155085000,-132924000,-124074000
68,Total Liabilities And Stockholders Equity,33800000,105400000,148500000,331600000,301000000,356800000,486700000,312000000,266482000,215806000,235803000,348119000,576234000,1062046000,997034000,1005953000,703585000,611038000,626571000,602611000,294361000,235142000,191599000,247926000,249581000,234684000,265843000,304293000,305138000,274000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,33800000,105400000,148500000,331600000,301000000,356800000,486700000,312000000,266482000,215806000,235803000,348119000,576234000,1062046000,997034000,1005953000,703585000,611038000,626571000,602611000,294361000,235142000,191599000,247926000,249581000,234684000,265843000,304293000,305138000,274000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896841/000089684107000016/0000896841-07-000016-index.htm,https://www.sec.gov/Archives/edgar/data/896841/000089684108000014/0000896841-08-000014-index.htm,https://www.sec.gov/Archives/edgar/data/896841/000089684109000006/0000896841-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684110000009/0000896841-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684111000022/0000896841-11-000022-index.htm,https://www.sec.gov/Archives/edgar/data/896841/000089684112000013/0000896841-12-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/896841/000089684114000057/0000896841-14-000057-index.htm,https://www.sec.gov/Archives/edgar/data/896841/000089684115000018/avid-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/896841/000089684116000147/0000896841-16-000147-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684117000052/0000896841-17-000052-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684118000036/0000896841-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684119000019/0000896841-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684120000022/0000896841-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684121000035/0000896841-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/896841/000089684122000020/0000896841-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2300000,3700000,13000000,15400000,-38000000,26400000,-3600000,-137500000,-56349000,-38147000,2999000,40889000,71701000,33980000,-42927000,-7979000,-198177000,-68355000,-36954000,-23791000,92891000,21153000,14728000,2480000,48219000,-13555000,-10674000,7601000,11062000,41388000
74,Depreciation and Amortization,1600000,4900000,10400000,19500000,29600000,25400000,55900000,103200000,84264000,47287000,12974000,12391000,16292000,37488000,57381000,53186000,42842000,32130000,33551000,31983000,27495000,22767000,17954000,20088000,25479000,22337000,21142000,13634000,8505000,8254000
75,Deferred Income Tax,-600000,-4300000,100000,-8200000,-18400000,-600000,-4400000,53000000,14000,-329000,- -,- -,- -,-226000,4499000,-2980000,-4173000,-1634000,-1160000,- -,-400000,730000,69000,-6693000,-1842000,-873000,113000,-6309000,827000,1591000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13394000,13921000,14619000,11432000,6917000,11513000,9514000,7916000,8311000,6258000,7958000,10664000,13737000
77,Change in Working Capital,-4900000,52300000,5300000,89300000,-17000000,41200000,-67600000,-48600000,26285000,-11095000,8640000,102475000,-20221000,112216000,-843000,20832000,-116751000,-48339000,-40955000,12367000,-210908000,-37012000,-24161000,-10280000,80519000,25178000,70676000,-12451000,29249000,-40564000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24771000,-17847000,-4904000,26765000,11030000,2258000,2442000,14321000,3800000,-6689000,-6227000,-6124000,875000
79,Inventory,-4400000,-11500000,-10600000,-31600000,14500000,22500000,-2800000,-4300000,-5712000,-498000,-16170000,-209000,620000,-22649000,-43612000,23899000,11539000,17766000,-27672000,-3475000,20844000,9021000,12122000,3056000,-2628000,12280000,-551000,3790000,2598000,6646000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,739000,15941000,-4769000,-7111000,-1416000,-947000,11232000,-18959000,3606000,9148000,626000,-18141000,5032000
81,Other Working Capital,15400000,67700000,73000000,162300000,145300000,186500000,118900000,70300000,96585000,85490000,94130000,196605000,176384000,288600000,287757000,308589000,191838000,143499000,102544000,114911000,-95997000,-133009000,-157170000,-167450000,-86931000,-61753000,8923000,-3528000,25721000,-14843000
82,Other Non-Cash Items,500000,-68800000,-19500000,-135300000,84700000,18800000,87900000,37500000,-42104000,10970000,785000,-97110000,13597000,-133633000,15610000,31027000,286410000,59333000,18926000,-34314000,114199000,-23700000,-30000000,-49135000,-209486000,-32462000,-71693000,9208000,-20752000,38083000
83,Cash Provided by Operating Activities,-1100000,-12200000,9300000,-19300000,40900000,111200000,68200000,7600000,12110000,8686000,25398000,58645000,81369000,49825000,33720000,94086000,10151000,-13471000,-12671000,864000,34709000,-9145000,-9897000,-34026000,-49195000,8936000,15822000,19641000,39555000,62489000
84,CAPEX,-6900000,-11900000,-22500000,-42400000,-28200000,-15700000,-94300000,-22600000,-7401000,-15522000,-9356000,-7951000,-15177000,-17766000,-20773000,-26129000,-15436000,-18689000,-28892000,-11870000,-9703000,-11625000,-13292000,-15330000,-11003000,-7877000,-9936000,-7185000,-5692000,-6819000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-1990000,-5439000,-425000,-2282000,-135515000,-6419000,-43128000,-529000,- -,-4413000,-27008000,- -,11440000,- -,1500000,-65967000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-56100000,-10400000,-68900000,-31700000,-148100000,-166600000,-38900000,-31861000,-38762000,-27600000,-86388000,-61407000,-94545000,-53454000,-10185000,-56907000,-55741000,-2250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,28400000,21500000,50200000,58800000,87600000,196300000,61100000,42001000,27803000,28152000,22911000,105644000,84437000,92971000,73790000,46855000,64318000,19605000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1500000,-3000000,-3200000,1500000,2200000,1300000,-9700000,-2480000,4001000,190000,-104000,-656000,23318000,-1117000,-1344000,24283000,-5430000,3979000,- -,-40000,89000,-8000,-499000,-4574000,1754000,19000,- -,- -,- -
89,Cash Used for Investing Activites,-6900000,-41100000,-14400000,-64300000,400000,-74000000,-63300000,-10100000,-1731000,-27919000,-9039000,-73814000,-107111000,-10975000,-25501000,35603000,-1205000,-19955000,-34566000,-11870000,1697000,-11536000,-11800000,-81796000,-15577000,-6123000,-9917000,-7185000,-5692000,-6819000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6132000,-21000000,-14000000,- -,-25500000,-65500000,-33750000,-6735000,-18451000,-1438000,-53117000,-210456000
91,Common Stock Issued,15300000,55000000,3000000,95400000,3600000,26700000,10900000,4400000,10532000,6224000,12689000,54718000,29376000,18114000,8235000,11059000,1133000,646000,736000,2026000,- -,- -,- -,- -,- -,- -,- -,- -,- -,808000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-28800000,-61800000,-19700000,-460000,-5054000,- -,- -,- -,- -,-50043000,-26639000,-93187000,- -,- -,- -,-668000,-273000,-688000,-9558000,-941000,-1329000,-998000,-3586000,-2365000,-24787000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-300000,-600000,2500000,-2200000,-2000000,-1700000,-600000,-700000,- -,- -,-13020000,-619000,-1813000,-85000,3973000,239000,-389000,-526000,5000000,21000000,15022000,177000,25752000,184616000,126143000,16439000,21985000,-2620000,30933000,156700000
95,Cash Used/Provided by Financing Activities,15000000,54400000,5500000,93200000,1600000,-3800000,-51500000,-16000000,10072000,1170000,-331000,54099000,27563000,18029000,-37835000,-15341000,-92443000,120000,-396000,2026000,354000,-96000,-436000,109558000,91452000,8375000,2536000,-7644000,-24549000,-77735000
96,Effect of Forex Changes on Cash,-100000,-100000,- -,- -,- -,-900000,1200000,1700000,-1648000,-1199000,533000,1545000,113000,-1983000,2822000,-2008000,-3330000,3031000,-1102000,-947000,775000,-1410000,-1014000,-890000,366000,1087000,-780000,-331000,1748000,-1016000
97,Net Change In Cash,15000000,54400000,5500000,93200000,1600000,-3800000,-51500000,-16800000,18803000,-19262000,16561000,40475000,1934000,54896000,-26794000,112340000,-86827000,-30275000,-48735000,-9927000,37535000,-22187000,-23147000,-7154000,27046000,12275000,7661000,4481000,11062000,-23081000
