,https://roic.ai/company/ACER,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,223451,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,604179,673044,- -,496269,- -,- -,- -,- -,- -,- -
36,Other Current Assets,275491,5292,- -,- -,- -,94337,182524,472881,355266,86705,187306,85525,124773,473367,449532,758943,498798,371562,881887,1075021,807356,679461,10377854
37,Total Current Assets,357444,363999,9683,- -,1235,946329,2743190,15444891,3000748,1329892,8368888,3898060,7233988,1669550,24767118,10665316,13578831,3816514,16526242,42746305,12884996,6441029,28088616
38,PP&E,26840,57802,39288,1483,- -,341984,479996,1361377,1370647,1166530,949910,815958,1029236,1265041,1295024,1098104,837867,50000,62984,130867,193974,130081,114112
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7647267,7647267,7647267,7647267,7647267
40,Intangible Assets,- -,1427,1391,- -,- -,26791073,26130441,24723203,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118600,118600,118600,- -,- -
41,Intangible Assets,- -,1427,1391,- -,- -,26791073,26130441,24723203,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7765867,7765867,7765867,7647267,7647267
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,388210,- -,- -,- -,- -,- -,- -,1211479,177666,38939,- -,- -,13648,20380,620674,395311,406956
45,Total Non-Current Assets,26840,59229,40679,1483,- -,27133057,26998647,26084580,1370647,1166530,949910,815958,1029236,2476520,1472690,1137043,837867,50000,7842499,7917114,8580515,8172659,8168335
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,384284,423228,50362,1483,1235,28079386,29741837,41529471,4371395,2496422,9318798,4714018,8263224,4146070,26239808,11802359,14416698,3866514,24368741,50663419,21465511,14613688,36256951
48,Accounts Payable,219110,335618,397123,355494,232068,1188617,689467,868862,992533,644552,625602,373837,491315,412096,696155,702494,739850,377956,95873,1033829,561090,1672109,1405734
49,Short-Term Debt,63500,413500,509095,596299,657175,3460717,1500000,1514080,60360,62423,67307,35607,- -,- -,- -,- -,148344,156642,- -,- -,263392,274172,184340
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1395348,1230746,2905165,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,39300,114129,97932,202633,302523,233831,240309,6904186,1022461,199272,141065,335861,576545,473879,1232990,1199184,1008077,625890,1937331,4546432,1944431,4199265,27519876
53,Total Current Liabilities,321910,863247,1004150,1154426,1191766,4883165,2429776,9287128,2075354,906247,833974,745305,1067860,885975,3324493,3132424,4801436,1160488,2033204,5580261,2768913,6145546,29109950
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,96242,162456,102778,1022876,- -,- -,376763,- -,- -,- -,- -,- -,- -,- -,- -,209497
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2338041,1230748,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86800,- -,- -,- -,- -,- -,- -,- -,- -,- -,326282,243808,8661109
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,96242,162456,102778,1109676,- -,- -,376763,2338041,1230748,- -,- -,- -,- -,326282,243808,8870606
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,589674,364311,393837
61,Total Liabilities,321910,863247,1004150,1154426,1191766,4883165,2429776,9383370,2237810,1009025,1943650,745305,1067860,1262738,5662534,4363172,4801436,1160488,2033204,5580261,3095195,6389354,37980556
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,7000,5767,6017,6017,33339,502992,1030977,3348351,3348351,6122888,154762,184670,230485,62494,275461,282348,69829,71411,74974,1009,1010,1324,1431
64,Retained Earnings,-190889,-1094043,-1669379,-1868534,-1956122,-4746667,-24160864,-34320430,-77712820,-89564972,-89243272,-94712339,-100680787,-109611620,-126267945,-141320208,-153339486,-161319600,-25551652,-46832543,-76250512,-99135961,-114509954
65,Other Comprehensive Income/Loss,- -,- -,- -,-1662,- -,- -,-256082,-395284,-614079,-847244,-1029241,-1109558,-1193601,-1494510,-1718477,-2099389,-2443600,-3194029,-4042,-31662,-72797,- -,- -
66,Other Total Stockholders Equity,246263,648257,709574,711236,- -,- -,50698030,63513464,77112133,85776725,97492899,99605940,108839267,113926968,148288235,150576436,165328519,167148244,47816257,91946354,94692615,107358971,112784918
67,Total Stockholders Equity,62374,-440019,-953788,-1152943,-1190531,23196221,27312061,32146101,2133585,1487397,7375148,3968713,7195364,2883332,20577274,7439187,9615262,2706026,22335537,45083158,18370316,8224334,-1723605
68,Total Liabilities And Stockholders Equity,384284,423228,50362,1483,1235,28079386,29741837,41529471,4371395,2496422,9318798,4714018,8263224,4146070,26239808,11802359,14416698,3866514,24368741,50663419,21465511,14613688,36256951
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,384284,423228,50362,1483,1235,28079386,29741837,41529471,4371395,2496422,9318798,4714018,8263224,4146070,26239808,11802359,14416698,3866514,24368741,50663419,21465511,14613688,36256951
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069308/000115752307011825/0001157523-07-011825-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752308002294/0001157523-08-002294-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000119312509079685/0001193125-09-079685-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000119312510048410/0001193125-10-048410-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752311001448/0001157523-11-001448-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752312001047/0001157523-12-001047-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752313001603/0001157523-13-001603-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752314000869/0001157523-14-000869-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752315000646/0001157523-15-000646-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000135448816006584/0001354488-16-006584-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000165495417002641/0001654954-17-002641-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459018004714/0001564590-18-004714-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459019006779/0001564590-19-006779-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459020011639/0001564590-20-011639-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459021009909/0001564590-21-009909-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459022008350/0001564590-22-008350-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-178248,-880748,-597742,-199155,-87588,-4620664,-19414197,-14056407,-14667367,-11852152,-1433922,-5469067,-5968448,-8930833,-16656325,-15052263,-12019278,-7980114,-14194431,-21280891,-29417969,-22885449,-15373993
74,Depreciation and Amortization,19127,19407,15400,12953,1483,1018631,7251847,1818795,232955,234325,214851,168843,210252,303677,335597,387779,351403,238127,3997,27744,58282,70814,70913
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,690726,1199539,- -,- -,- -,418093,1318153,2612855,2224146,2287007
77,Change in Working Capital,310997,-534782,-495219,-159959,-36105,-2746305,4250250,5844349,-5232369,-501749,7111269,-4382159,3013373,-5382553,20659050,-13909733,1244503,-6121369,11837012,22673006,-27049961,-9820600,13450073
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26245,26245,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000
79,Inventory,259990,41805,223451,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19360,-251765,-13028,-71410,147923,6339,37356,-361894,-287538,937956,-472739,1111019,-266375
81,Other Working Capital,35534,-499248,-994467,-1154426,-1190531,-3936836,313414,6157763,925394,423645,7534914,3152755,6166128,783575,21442625,7532892,8777395,2656026,14493038,37166044,10116083,295483,20487047
82,Other Non-Cash Items,-2699,837236,908212,308162,66666,4219302,1695189,-4667184,10435272,1552507,-5900631,5306370,-2244098,4395344,-11663130,14378732,-88321,4660336,-12159927,-19325815,24289844,13383674,-568909
83,Cash Provided by Operating Activities,149177,-558887,-169349,-37999,-55544,-2129036,-6216911,-11060447,-9231509,-10567069,-8433,-4376013,-4988921,-8923639,-6125269,-14195485,-10511693,-9203020,-14095256,-16587803,-29506949,-17027415,-134909
84,CAPEX,-7368,-52328,- -,- -,- -,-173004,-258903,-744147,-255417,-33040,- -,-35350,-296949,-550389,-259224,-190859,-92333,-1221,-62842,-95627,-178967,-10902,-54944
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1030123,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,5000,806,6415,4792,- -,-232742,- -,- -,- -,- -,- -,- -,- -,-1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2368,-51522,6415,4792,- -,-405746,-258903,-744147,-255417,-33040,- -,-35350,-296949,-1550389,740776,-190859,-92333,-1221,967281,-95627,-178967,-10902,-54944
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62269,- -,-35607,- -,-550000,- -,- -,-186706,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,239952,- -,- -,50000,9000,5346217,21153520,- -,9255429,4689165,- -,8618157,381309,28484878,648175,13282035,276912,21506842,42622700,- -,10159766,3139047
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5028,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-4569,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-134982,371401,148219,33057,6779,3377706,2838271,110322,112494,-57615,2319932,42316,- -,3575508,502153,- -,4410,-24777,5431470,87659,92272,562479,4000000
95,Cash Used/Provided by Financing Activities,-134982,606784,148219,33057,56779,3386706,8184488,21263842,112494,9197814,6946828,42316,8582550,3956817,28437031,648175,13281417,65429,26938312,42710359,92272,10722245,7139047
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-14715,- -,56779,851924,1708674,9459248,-9374432,-1402295,6938395,-4369047,3296680,-6517211,23052538,-13738169,2677391,-9138812,13810337,26026929,-29593644,-6316072,6949194
98,Cash at the End of Period,- -,- -,150,- -,1235,851992,2560666,12019914,2645482,1243187,8181582,3812535,7109215,592004,23644542,9906373,12583764,3444952,15644355,41671284,12077640,5761568,12710762
99,Cash at the Beginning of Period,- -,- -,14865,150,- -,68,851992,2560666,12019914,2645482,1243187,8181582,3812535,7109215,592004,23644542,9906373,12583764,1834018,15644355,41671284,12077640,5761568
100,Free Cash Flow,141809,-611215,-169349,-37999,-55544,-2302040,-6475814,-11804594,-9486926,-10600109,-8433,-4411363,-5285870,-9474028,-6384493,-14386344,-10604026,-9204241,-14158098,-16683430,-29685916,-17038317,-189853
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069308/000115752307011825/0001157523-07-011825-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752308002294/0001157523-08-002294-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000119312509079685/0001193125-09-079685-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000119312510048410/0001193125-10-048410-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752311001448/0001157523-11-001448-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752312001047/0001157523-12-001047-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752313001603/0001157523-13-001603-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752314000869/0001157523-14-000869-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752315000646/0001157523-15-000646-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000135448816006584/0001354488-16-006584-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000165495417002641/0001654954-17-002641-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459018004714/0001564590-18-004714-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459019006779/0001564590-19-006779-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459020011639/0001564590-20-011639-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459021009909/0001564590-21-009909-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459022008350/0001564590-22-008350-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
