,https://roic.ai/company/REPCF,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
68,Total Liabilities And Stockholders Equity,17591,3434962,3246437,307286,35882,57072,91144,981102,631419,505488,2052401,2141288,415920,1828187,846026,3227431,419109,420962
69,Minority Interest,- -,- -,-0,-0,- -,- -,- -,327640,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17591,3434962,3246437,307286,35882,57072,91144,1308742,631419,505488,2052401,2141288,415920,1828187,846026,3227431,419109,420962
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-105072,-984404,-427516,-290444,-601188,-170270,79656,-2404097,-3493960,-3363175,-28572,-5198411,-5044014,-4271294,-6014330,-2769080,-2953746,-1580285
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,6940,7591,6082,6125,7606,6975,5780,4155,2998,2168,1574
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,-447,- -,1176900,947272,1381589,395092,784395,131714,826307,115800,326367,26275,3397
77,Change in Working Capital,49067,-106016,133511,-3465,6871,-2628,-29919,379385,-376546,134238,-18235,-47139,547528,-104979,508633,2041505,444917,915971
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,3262,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2404972,- -,11273
82,Other Non-Cash Items,2203,768017,199430,-73416,380820,34355,-219678,- -,-199980,-1116445,140182,7695,-3633,- -,- -,12111,-301454,-105863
83,Cash Provided by Operating Activities,-53802,-322402,-94575,-367326,-213498,-138990,-169941,-840872,-3115623,-2957711,494592,-4445854,-4361430,-3544186,-5385742,-386099,-2781840,-765206
84,CAPEX,-7670,-554518,-52203,-174905,-78496,-2016,-1074,-20449,-12929,-9090,-7854,-10165,-2192,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,100823,- -,- -,- -,- -,- -,- -,- -,1450000,- -,- -,- -
88,Other Investing Activites,- -,268522,36067,10006,- -,-1097,100000,1109664,- -,- -,- -,- -,1500000,-1450000,- -,- -,-28750,11500
89,Cash Used for Investing Activites,-7670,-285996,-16135,-164900,-78496,-3113,199749,1089215,-12929,-9090,-7854,-1510165,1497808,-1450000,1450000,- -,-28750,11500
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,697301,- -,579019,184425,- -,- -,412500,2482170,2821591,1133651,3990125,2645259,4848524,4320497,2563919,- -,656840
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,50745,-6921,29950,70268,-8119,167790,30050,-53225,- -,-35647,-46670,543003,-140960,30623,51586,-256392,415998,107299
95,Cash Used/Provided by Financing Activities,50745,690381,29950,649287,176305,167790,30050,359275,2482170,2785944,1086981,4533128,2504299,4879147,4372083,2307527,415998,764139
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10726,81982,-80759,117060,-115690,25687,59858,607618,-646382,-180857,1573719,-1422891,-359323,-115039,436341,1921428,-2394592,10434
98,Cash at the End of Period,2748,84716,3689,120755,4653,30354,90212,1211525,565143,384286,1958005,535114,175791,60752,497093,2418521,23929,34363
99,Cash at the Beginning of Period,13473,2734,84448,3695,120343,4667,30354,603907,1211525,565143,384286,1958005,535114,175791,60752,497093,2418521,23929
100,Free Cash Flow,-61472,-876920,-146778,-542231,-291994,-141006,-171015,-861321,-3128552,-2966801,486738,-4456019,-4363622,-3544186,-5385742,-386099,-2781840,-765206
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851
