,https://roic.ai/company/LTRPA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1606745/000155837015000332/ltrp-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1606745/000155837016003284/0001558370-16-003284-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837017000667/0001558370-17-000667-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837018000867/0001558370-18-000867-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837019000922/0001558370-19-000922-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837020001006/0001558370-20-001006-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837021001294/0001558370-21-001294-index.htm,https://www.sec.gov/Archives/edgar/data/1606745/000155837022001476/0001558370-22-001476-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,369000000,354000000,509000000,644000000,654000000,695000000,672000000,341000000,423000000,760000000
32,Short-Term Investments,- -,119000000,131000000,131000000,47000000,118000000,35000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,488000000,485000000,640000000,691000000,772000000,730000000,672000000,341000000,423000000,760000000
34,Net Receivables,- -,109000000,122000000,153000000,181000000,191000000,230000000,212000000,183000000,133000000,190000000
35,Inventory,- -,27000000,12000000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,22000000,24000000,18000000,34000000,47000000,85000000,48000000,33000000,23000000,26000000
37,Total Current Assets,- -,646000000,643000000,811000000,906000000,1010000000,1045000000,932000000,557000000,579000000,976000000
38,PP&E,- -,21000000,39000000,138000000,180000000,176000000,165000000,154000000,229000000,132000000,118000000
39,Goodwill,- -,3429000000,3460000000,3691000000,3689000000,3694000000,2445000000,2443000000,2527000000,2240000000,2220000000
40,Intangible Assets,- -,2996000000,2740000000,2660000000,2428000000,2269000000,1654000000,1577000000,1257000000,934000000,863000000
41,Intangible Assets,- -,6425000000,6200000000,6351000000,6117000000,5963000000,4099000000,4020000000,3784000000,3174000000,3083000000
42,Investments,- -,99000000,188000000,31000000,37000000,16000000,27000000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,808000000,719000000,659000000,332000000,325000000,254000000,- -,- -
44,Other Non-Current Assets,- -,14000000,19000000,-773000000,-674000000,-542000000,-184000000,-207000000,-98000000,201000000,199000000
45,Total Non-Current Assets,- -,6559000000,6446000000,6555000000,6379000000,6272000000,4439000000,4292000000,4169000000,3507000000,3400000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,7205000000,7089000000,7366000000,7285000000,7282000000,5484000000,5224000000,4726000000,4086000000,4376000000
48,Accounts Payable,- -,28000000,42000000,118000000,121000000,146000000,164000000,179000000,170000000,- -,- -
49,Short-Term Debt,- -,79000000,99000000,78000000,1000000,80000000,7000000,220000000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,32000000,47000000,57000000,64000000,64000000,60000000,63000000,62000000,28000000,36000000
52,Other Current Liabilities,- -,71000000,123000000,142000000,134000000,145000000,141000000,151000000,205000000,214000000,320000000
53,Total Current Liabilities,- -,210000000,311000000,395000000,320000000,435000000,372000000,613000000,437000000,242000000,356000000
54,Long-Term Debt,- -,343000000,300000000,662000000,620000000,555000000,704000000,267000000,431000000,532000000,1102000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,972000000,853000000,821000000,719000000,659000000,332000000,325000000,- -,180000000,144000000
57,Other Non-Current Liabilities,- -,61000000,44000000,4591000000,4818000000,4830000000,3652000000,3683000000,3538000000,825000000,647000000
58,Total Non-Current Liabilities,- -,1376000000,1197000000,6074000000,6157000000,6044000000,4688000000,4275000000,3969000000,1537000000,1893000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1586000000,1508000000,6469000000,6477000000,6479000000,5060000000,4888000000,4406000000,1779000000,2249000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,989000000,982000000,612000000,572000000,593000000,196000000,133000000,111000000,-278000000,-469000000
65,Other Comprehensive Income/Loss,- -,1000000,- -,-12000000,-25000000,-36000000,-23000000,-29000000,-29000000,-23000000,-21000000
66,Other Total Stockholders Equity,- -,4636000000,4615000000,296000000,260000000,245000000,250000000,231000000,237000000,257000000,- -
67,Total Stockholders Equity,- -,1279000000,1208000000,897000000,808000000,803000000,424000000,336000000,320000000,-43000000,-201000000
68,Total Liabilities And Stockholders Equity,- -,2865000000,2716000000,7366000000,7285000000,7282000000,5484000000,5224000000,4726000000,1736000000,2048000000
69,Minority Interest,- -,4340000000,4373000000,- -,- -,- -,- -,- -,- -,2350000000,2328000000
70,Total Liabilities & Equity,- -,7205000000,7089000000,7366000000,7285000000,7282000000,5484000000,5224000000,4726000000,4086000000,4376000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1606745/000155837015000332/ltrp-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1606745/000155837016003284/0001558370-16-003284-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837017000667/0001558370-17-000667-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837018000867/0001558370-18-000867-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837019000922/0001558370-19-000922-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837020001006/0001558370-20-001006-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837021001294/0001558370-21-001294-index.htm,https://www.sec.gov/Archives/edgar/data/1606745/000155837022001476/0001558370-22-001476-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,12000000,983000000,-7000000,-22000000,-40000000,21000000,-397000000,-64000000,-22000000,-238000000,179000000
74,Depreciation and Amortization,3000000,16000000,315000000,298000000,268000000,222000000,213000000,160000000,169000000,168000000,150000000
75,Deferred Income Tax,-11000000,75000000,-117000000,-70000000,-85000000,-52000000,-329000000,-8000000,-79000000,-73000000,-49000000
76,Stock Based Compensation,- -,- -,60000000,74000000,82000000,91000000,103000000,123000000,131000000,112000000,125000000
77,Change in Working Capital,8000000,434000000,-104000000,84000000,170000000,-11000000,98000000,-354000000,-199000000,217000000,56000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,2000000,436000000,332000000,416000000,586000000,575000000,673000000,319000000,120000000,337000000,- -
82,Other Non-Cash Items,-1000000,-1527000000,189000000,1000000,-35000000,30000000,532000000,543000000,391000000,-401000000,-364000000
83,Cash Provided by Operating Activities,11000000,-19000000,336000000,365000000,360000000,301000000,220000000,400000000,391000000,-215000000,97000000
84,CAPEX,-6000000,-6000000,-60000000,-90000000,-112000000,-73000000,-65000000,-61000000,-83000000,-55000000,-54000000
85,Acquisitions Net,- -,111000000,-35000000,-331000000,-29000000,-43000000,- -,-24000000,-108000000,-4000000,- -
86,Purchases of Investments,- -,-18000000,-432000000,-251000000,-205000000,-166000000,-63000000,-16000000,-133000000,- -,- -
87,Sales/Maturities of Investments,- -,338000000,325000000,429000000,258000000,116000000,133000000,64000000,150000000,- -,- -
88,Other Investing Activites,- -,- -,-3000000,1000000,25000000,2000000,-2000000,-12000000,-2000000,3000000,-54000000
89,Cash Used for Investing Activites,-6000000,425000000,-205000000,-242000000,-63000000,-164000000,3000000,-49000000,-176000000,-56000000,-54000000
90,Debt Repayment,-13000000,-12000000,-66000000,-43000000,-431000000,-439000000,-369000000,-245000000,-359000000,-1052000000,- -
91,Common Stock Issued,- -,- -,27000000,3000000,12000000,7000000,3000000,6000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-145000000,- -,- -,-105000000,-250000000,-100000000,-60000000,-115000000,-281000000
93,Dividends Paid,- -,-38000000,- -,-348000000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7000000,12000000,37000000,428000000,267000000,427000000,417000000,-19000000,-123000000,1512000000,587000000
95,Cash Used/Provided by Financing Activities,-6000000,-38000000,-147000000,40000000,-152000000,-110000000,-199000000,-358000000,-542000000,345000000,306000000
96,Effect of Forex Changes on Cash,- -,- -,1000000,-8000000,-10000000,-17000000,17000000,-16000000,-4000000,8000000,-12000000
97,Net Change In Cash,-1000000,368000000,-15000000,155000000,135000000,10000000,41000000,-23000000,-331000000,82000000,337000000
98,Cash at the End of Period,1000000,369000000,354000000,509000000,644000000,654000000,695000000,672000000,341000000,423000000,760000000
99,Cash at the Beginning of Period,2000000,1000000,369000000,354000000,509000000,644000000,654000000,695000000,672000000,341000000,423000000
100,Free Cash Flow,5000000,-25000000,276000000,275000000,248000000,228000000,155000000,339000000,308000000,-270000000,43000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1606745/000155837015000332/ltrp-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1606745/000155837016003284/0001558370-16-003284-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837017000667/0001558370-17-000667-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837018000867/0001558370-18-000867-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837019000922/0001558370-19-000922-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837020001006/0001558370-20-001006-index.html,https://www.sec.gov/Archives/edgar/data/1606745/000155837021001294/0001558370-21-001294-index.htm,https://www.sec.gov/Archives/edgar/data/1606745/000155837022001476/0001558370-22-001476-index.htm
102,false,,,,,,,,,,,
