,https://roic.ai/company/FRHC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0435,-0.2853,0.0685,-1.7917,-2.2424,15.5000,-17.3000,-Infinity,-3.3918,-0.8909,0.1197,0.5184,0.2317,0.1299,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.3360,0.3739,0.1086,0.2350,0.4908
22,Income Tax expense (Gain),88085,-80000,- -,- -,- -,- -,- -,- -,- -,40000,850000,-400000,-1030000,-1550000,-1370000,- -,- -,- -,-54800,-240,-524000,289000,1368000,6002000,30098000
23,Net Income,-230153,-20000,-390000,-3600000,-2330000,380000,-1730000,-620000,-3290000,-5340000,1040000,31610000,17160000,8990000,4880000,-139220000,-3090000,-1570000,-18790,-492000,6287000,19233000,7147000,24837000,142293000
24,Net Income ratio,-0.0403,-0.0064,-0.2671,-2.5000,-7.0606,9.5000,-17.3000,-Infinity,-3.3918,-0.8960,0.0659,0.5251,0.2465,0.1570,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.3660,0.3648,0.0912,0.2075,0.4036
25,EPS,-0.00,-0.00,-0.01,-3020.00,-504.00,49.25,-104.50,-0.97,-2.90,-3.75,0.50,17.75,9.50,4.50,2.25,-62.50,-0.06,-0.03,-0.00,-0.00,-0.00,0.33,0.12,0.38,2.45
26,EPS Diluted,-0.00,-0.00,-0.01,-3020.00,-504.00,49.25,-104.50,-0.97,-2.90,-3.75,0.50,17.50,9.25,4.50,2.25,-62.50,-0.06,-0.03,-0.00,-0.00,-0.00,0.33,0.12,0.38,2.45
27,Weighted Average Shares Outstanding,58073157,58073157,58073157,1192,4615,7665,16542,623848,1077937,1394705,2078982,1780877,1796435,2000755,2131386,2231502,55787554,55787554,58073157,280339467,280339467,58033212,58037102,58163691,58388445
28,Weighted Average Shares Outstanding Diluted,58280178,58280178,58280178,1192,4615,7665,16542,623848,1077937,1394705,2078982,1806318,1871968,2000755,2131386,2231502,55787554,55787554,58280178,280339467,280339467,58033212,58237123,58251588,58442921
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924805/000103883808000268/0001038838-08-000268-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924805/000103883812000169/0001038838-12-000169-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000103883813000260/0001038838-13-000260-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000103883814000097/0001038838-14-000097-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000103883815000084/0001038838-15-000084-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000103883816000272/0001038838-16-000272-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495417006033/0001654954-17-006033-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495418007180/0001654954-18-007180-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495419007343/0001654954-19-007343-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495420007646/0001654954-20-007646-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495421006880/0001654954-21-006880-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2873731,285706,400000,- -,2500000,100000,2100000,9989632,18046123,12172940,17238837,6755545,6440394,426045,3370177,10463531,8587245,8624986,99678,50537,64531000,49960000,63208000,698828000
32,Short-Term Investments,- -,35169986,19885302,- -,- -,- -,- -,- -,788921,33095609,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212321000,167951000,162982000,736189000
33,Cash and Short-Term Investments,- -,38043717,20171008,400000,- -,2500000,100000,2100000,10778553,51141732,12172940,17238837,6755545,6440394,426045,3370177,10463531,8587245,8624986,99678,50537,276852000,217911000,226190000,1435017000
34,Net Receivables,- -,2224742,1761918,- -,- -,- -,- -,- -,132400,1675202,3994662,5865712,3081573,6423402,154725,220875,- -,- -,- -,- -,25,30326000,77012000,125309000,78303000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,3227411,3239947,10334696,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,56733,25772,- -,- -,- -,- -,- -,4172291,2615417,3469237,3415261,3054078,4083917,18344640,37619016,- -,- -,- -,8583941,8533991,16335000,41115000,73871000,447137000
37,Total Current Assets,- -,40325192,21958698,- -,- -,- -,- -,- -,18310655,58672298,29971535,26519810,12891196,16947713,18925410,41210068,10463531,8587245,8624986,8683619,8584553,323513000,336038000,425370000,1960457000
38,PP&E,- -,1425192,1199953,- -,- -,- -,- -,- -,43647818,67704248,110169754,193438622,255828152,269704849,162488,214280,98356,- -,- -,5431,2100,1776000,5563000,20927000,31647000
39,Goodwill,- -,2468210,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1798000,2936000,2607000,7868000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,5411,14435,49656,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,586000,4226000,3422000,9785000
41,Intangible Assets,- -,2468210,- -,- -,- -,- -,- -,5411,14435,49656,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2384000,7162000,6029000,17653000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1046000,1265000,570000,- -
44,Other Non-Current Assets,- -,4525138,6289535,9722529,3144335,3238372,98558,18502279,60973,156454,4654756,34879661,19626713,5227456,301446468,- -,- -,- -,- -,- -,- -,1367000,883000,627000,8888000
45,Total Non-Current Assets,- -,8418540,7489488,9722529,3144335,3238372,98558,18507690,43723226,67910358,114824510,228318283,275454865,274932305,301608956,214280,98356,- -,- -,5431,2100,6573000,14873000,28153000,58188000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,48743732,29448186,9722529,3144335,3238372,98558,18507690,62033881,126582656,144796045,254838093,288346061,291880018,320534366,41424348,10561887,8587245,8624986,8689050,8586653,330086000,350911000,453523000,2018645000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,5844639,3629338,8542052,21374723,21771137,3948851,767489,18712,373202,66177,125165,50229,205680,8998000,32907000,8751000,23878000
49,Short-Term Debt,- -,1703441,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161819000,73621000,48204000,426715000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22568,- -,- -,100,100,127000,881000,1445000,15016000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21855000,82032000,168432000,1163697000
52,Other Current Liabilities,- -,38785025,20908544,- -,- -,- -,- -,- -,1153032,994637,578247,1850737,2338764,5444028,29335163,20028053,22568,- -,- -,100,391,11313000,34734000,74740000,16639000
53,Total Current Liabilities,- -,40488466,20908544,- -,- -,- -,- -,- -,6997671,4623975,9120299,23225460,24109901,9392879,30102652,20046765,395770,66177,125165,50329,206071,203985000,223294000,300127000,1630929000
54,Long-Term Debt,- -,1485801,619992,633286,287193,- -,- -,- -,- -,- -,- -,60535455,61331521,66890464,61703728,- -,- -,- -,- -,- -,- -,- -,- -,- -,85065000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288000,- -,168432000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,343,6405285,7948297,7544716,6516444,4964382,3977385,- -,- -,- -,- -,- -,- -,387000,- -,- -,4385000
57,Other Non-Current Liabilities,- -,77033,- -,3848705,92529,46272,33056,6903464,282973,924592,2165829,3728531,4263994,369801,6137742,- -,8613665,8540365,8537905,8533566,8533566,10326000,10020000,-144073000,22595000
58,Total Non-Current Liabilities,- -,1562834,619992,4481991,379722,46272,33056,6903464,283316,7329877,10114126,71808702,72111959,72224647,71818855,- -,8613665,8540365,8537905,8533566,8533566,11001000,10020000,24359000,112045000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,369801,- -,- -,- -,- -,- -,- -,- -,- -,- -,14384000,13249000
61,Total Liabilities,- -,42051300,21528536,4481991,379722,46272,33056,6903464,7280987,11953852,19234425,95034162,96221860,81617526,101921507,20046765,9009435,8606542,8663070,8583895,8739637,214986000,233314000,324486000,1742974000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1654,2114,4243,18999,19165,49165,20429,30514,42224,44691,44784,47378,51865,55788,55788,55788,55788,55788,280340,280340,58000,58000,58000,58000
64,Retained Earnings,- -,-1573568,-1963750,-5563194,-7851680,-7474193,-12250791,-613782,-3738140,-9244427,-8204936,23405627,40563185,49556658,54438431,-84777790,-87866655,-89438404,-89457191,-630633,-1208772,35387000,41498000,66335000,208628000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-185009,-1685045,-4001712,-13801334,-24695179,-2457820,-339477,- -,- -,- -,- -,- -,-7000000,-7394000,-23052000,-37974000,-36046000
66,Other Total Stockholders Equity,- -,8264346,9881286,10799489,10597294,10647128,12267128,12115595,58645529,125516052,137723577,150154854,176208817,163111789,164458117,106099585,89363319,89363319,89363319,455448,7775448,87049000,99093000,102890000,104672000
67,Total Stockholders Equity,- -,6692432,7919650,5240538,2764613,3192100,65502,11522242,54752894,114628804,125561620,159803931,192124201,210262492,218612859,21377583,1552452,-19297,-38084,105155,-152984,115100000,117597000,131309000,277312000
68,Total Liabilities And Stockholders Equity,- -,48743732,29448186,9722529,3144335,3238372,98558,18425706,62033881,126582656,144796045,254838093,288346061,291880018,320534366,41424348,10561887,8587245,8624986,8689050,8586653,330086000,350911000,455795000,2020286000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,81984,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2272000,-1641000
70,Total Liabilities & Equity,- -,48743732,29448186,9722529,3144335,3238372,98558,18507690,62033881,126582656,144796045,254838093,288346061,291880018,320534366,41424348,10561887,8587245,8624986,8689050,8586653,330086000,350911000,453523000,2018645000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924805/000103883808000268/0001038838-08-000268-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924805/000103883812000169/0001038838-12-000169-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000103883813000260/0001038838-13-000260-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000103883814000097/0001038838-14-000097-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000103883815000084/0001038838-15-000084-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000103883816000272/0001038838-16-000272-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495417006033/0001654954-17-006033-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495418007180/0001654954-18-007180-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495419007343/0001654954-19-007343-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495420007646/0001654954-20-007646-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495421006880/0001654954-21-006880-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-230153,-20000,-390000,-3600000,-2330000,380000,-1730000,-620000,-3290000,-5340000,1040000,31610000,17160000,8990000,4880000,-139220000,-3090000,-1570000,-18790,-492000,6287000,19233000,7147000,24837000,142293000
74,Depreciation and Amortization,240912,240886,200171,1170000,10000,- -,- -,10000,133903,1300383,2177444,9658810,324028,613953,- -,101515,115924,98356,- -,3305,3330,233000,2034000,2658000,3825000
75,Deferred Income Tax,85000,-85000,- -,- -,- -,- -,- -,- -,343,35043,853280,- -,-1028272,-1552062,-1366631,- -,- -,- -,- -,-240,- -,347000,-580000,545000,2737000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7450211,3171633,1254025,- -,- -,- -,- -,- -,- -,1621000,3498000,3677000,1664000
77,Change in Working Capital,-1067746,847912,1213428,-1050154,- -,- -,- -,- -,11312984,42735339,-33197087,-17556886,-14513055,18773539,-18732076,32340545,-11095542,-1546693,-21247,133469,-254808,111149518,-6784000,12499000,204285000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2784139,-3341829,- -,- -,- -,- -,- -,- -,- -,-19669000,-52174000,-47089000,49303000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-3043527,-12536,-7094749,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,534901,-748777,-4645510,-307025,58988,3597,155452,8762000,23201000,-23933000,15060000
81,Other Working Capital,-1011186,-163274,1050154,- -,- -,- -,- -,- -,11312984,54048323,20851236,3294350,-11218705,7554834,-11177242,21163303,10067761,8521068,8499821,8633290,8378482,119528000,112744000,125243000,329528000
82,Other Non-Cash Items,117500,1396864,-3514414,3642522,2195729,-544641,1693881,-2876661,-9572234,-72661282,27249219,26269270,43990226,-15902083,49744031,122056019,8300028,1215351,80238,-183163,-6404663,-151774518,53160000,55000,210495000
83,Cash Provided by Operating Activities,-854487,2380662,-2490815,162368,-124271,-164641,-36119,-3486661,-1415004,-33930517,-1877144,49981194,53383138,14094980,35779349,15278079,-5769590,-1802986,40201,-538629,-369141,-19191000,58475000,44271000,565299000
84,CAPEX,-10866,-2032,-7438,-6190,- -,- -,- -,-6253186,-17948561,-18326072,-42771862,-88477290,-60950911,-11227795,-47317,-153307,- -,- -,- -,-199,- -,-1980000,-4987000,-4631000,-4163000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-269822,- -,- -,- -,- -,- -,- -,- -,159601000,- -,- -,- -,8589354,- -,432000,-2240000,- -,-62707000
86,Purchases of Investments,-66945,- -,-695130,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,-154725,-66150,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,15937432,- -,- -,2709463,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231000,- -,- -
88,Other Investing Activites,- -,-1785271,-16132736,- -,- -,200000,217598,- -,-53318,-95481,-78288,-12977440,34480,-182336,-34876907,-23126407,- -,- -,- -,- -,- -,679000,264000,-6223000,163910000
89,Cash Used for Investing Activites,-77811,-1787303,-897872,-6190,- -,2909463,217598,-6523008,-18001879,-18421553,-42850150,-101454730,-63916431,-11410131,-35078949,136255136,- -,- -,- -,8589155,- -,-869000,-6732000,-10854000,97040000
90,Debt Repayment,- -,- -,-103448,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-5200000,-65946796,- -,- -,- -,- -,- -,-3321000,-22801000,-13586000,-8350000
91,Common Stock Issued,727339,270000,133000,- -,- -,- -,- -,10136024,27280160,60408561,5758502,328670,50001,- -,- -,- -,- -,- -,- -,- -,- -,40444000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-2549145,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23139157,-73300,-2460,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-119462,1508712,771109,- -,60000,-287193,- -,2000000,- -,- -,- -,56210763,- -,- -,-169245,-43322903,- -,- -,- -,180000,320000,27654000,-19522000,46695000,356761000
95,Cash Used/Provided by Financing Activities,607877,1778712,800661,- -,60000,-287193,-2549145,12136024,27280160,60408561,5758502,56539433,50001,-3000000,-5369245,-109269699,-23139157,-73300,-2460,180000,320000,64777000,-42323000,33109000,348411000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1880000,-8693000,-25141000,-3769000
97,Net Change In Cash,-324421,2523993,-2588026,156178,-64271,2457629,-2367666,12136024,7863277,8056491,-38968792,5065897,-10483292,-315151,-2566347,42263516,-28908747,-1876286,37741,8230526,-49141,42837000,727000,41385000,1006981000
98,Cash at the End of Period,349738,2873731,285705,441884,7356,2464985,97319,2126355,9989632,18046123,12172940,17238837,6755545,6440394,426045,42689561,10463531,8587245,8624986,8633244,8584103,78202000,88420000,129805000,1136786000
99,Cash at the Beginning of Period,674159,349738,2873731,285706,71627,7356,2464985,- -,2126355,9989632,51141732,12172940,17238837,6755545,2992392,426045,39372278,10463531,8587245,402718,8633244,35365000,87693000,88420000,129805000
100,Free Cash Flow,-865353,2378630,-2498253,156178,-124271,-164641,-36119,-9739847,-19363565,-52256589,-44649006,-38496096,-7567773,2867185,35732032,15124772,-5769590,-1802986,40201,-538828,-369141,-21171000,53488000,39640000,561136000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924805/000103883808000268/0001038838-08-000268-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924805/000103883812000169/0001038838-12-000169-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000103883813000260/0001038838-13-000260-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000103883814000097/0001038838-14-000097-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000103883815000084/0001038838-15-000084-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000103883816000272/0001038838-16-000272-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495417006033/0001654954-17-006033-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495418007180/0001654954-18-007180-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495419007343/0001654954-19-007343-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495420007646/0001654954-20-007646-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495421006880/0001654954-21-006880-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
