,https://roic.ai/company/BOXS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,-29153,-249599,-386283,-76785,-149304,-502365,-632393,-773905,-525151,-1241110,-751637,-40394,-392445
84,CAPEX,- -,- -,-38200,- -,- -,-7550,-7115,-112140,-64487,-14084,350000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-42822,11132,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,2938,- -,- -,- -,- -,- -,- -,- -,23984,- -,18000,-100000
89,Cash Used for Investing Activites,- -,2938,-38200,- -,-42822,3582,-7115,-112140,-64487,9900,350000,18000,-100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-82950,-82718,-94449,-509877,-189936,-30520,-82000
91,Common Stock Issued,13001,82000,250000,10500,- -,71660,320000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,23929,178256,154804,66739,205484,485899,468739,891000,709840,1716498,528495,76500,559150
95,Cash Used/Provided by Financing Activities,36930,260256,404804,77239,205484,557559,705789,808282,615391,1206621,338559,45980,477150
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,13595,-19679,454,13358,58776,66281,-77763,25753,-24589,-63078,45980,-15295
98,Cash at the End of Period,7777,21372,1693,1262,14620,73396,139677,61914,87667,63078,- -,23586,8291
99,Cash at the Beginning of Period,- -,7777,21372,808,1262,14620,73396,139677,61914,87667,63078,- -,23586
100,Free Cash Flow,-29153,-249599,-424483,-76785,-149304,-509915,-639508,-886045,-589638,-1255194,-401637,-40394,-392445
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1487718/000143209312000199/0001432093-12-000199-index.html,- -,https://www.sec.gov/Archives/edgar/data/1487718/000158069514000186/0001580695-14-000186-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000158069515000137/0001580695-15-000137-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000158069516000370/0001580695-16-000370-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000158069517000230/0001580695-17-000230-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390018012036/0001213900-18-012036-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390019012471/0001213900-19-012471-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390021025789/0001213900-21-025789-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390021050052/0001213900-21-050052-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390022016728/0001213900-22-016728-index.htm
102,false,,,,,,,,,,,,,
