,https://roic.ai/company/WTRH,2014,2015,2016,2017,2018,2019,2020,2021
63,Common Stock,431,863,237590479,238460327,5000,8000,11000,15000
64,Retained Earnings,- -,-11905,-16423,853417,-70931000,-362237000,-363906000,-369135000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1675000,-3506000,- -,- -
66,Other Total Stockholders Equity,- -,10137,5015681,4145833,202092000,388643000,451991000,- -
67,Total Stockholders Equity,- -,-905,242589737,243459577,129491000,22908000,88096000,134489000
68,Total Liabilities And Stockholders Equity,- -,333595,251473784,252670423,226552000,178973000,232232000,259107000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,333595,251473784,252670423,226552000,178973000,232232000,259107000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1653247/000114420417017766/0001144204-17-017766-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000114420418014126/0001144204-18-014126-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000156459019007876/0001564590-19-007876-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000156459020011143/0001564590-20-011143-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000156459021011498/0001564590-21-011498-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000165324722000011/0001653247-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-11905,-4518,869840,-34311000,-289409000,15836000,-5229000
74,Depreciation and Amortization,- -,- -,- -,- -,1223000,15774000,8377000,12429000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,12939000,7238000,5166000,7974000
77,Change in Working Capital,- -,-323655,1406657,-928402,205694400,-196720000,55621000,-4508000
78,Accounts Receivable,- -,- -,- -,- -,-1563000,2143000,232000,1503000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,4350,117390,326799,1580000,1604000,-2000,1307000
81,Other Working Capital,- -,-323655,1083002,154600,205849000,9129000,64750000,-2151000
82,Other Non-Cash Items,- -,335405,-1699701,-433040,-201387400,389640000,-46555000,-13007000
83,Cash Provided by Operating Activities,- -,-155,-297562,-491602,-15842000,-73477000,38445000,-2341000
84,CAPEX,- -,- -,- -,- -,-3761000,-3441000,-5537000,-12525000
85,Acquisitions Net,- -,- -,- -,- -,- -,-193263000,-628000,-25435000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-250000000,- -,- -,-1677000,-3942000,-11737000
89,Cash Used for Investing Activites,- -,- -,-250000000,- -,-3761000,-196576000,-6125000,-37939000
90,Debt Repayment,- -,- -,-27750,- -,-9721000,-4931000,-28226000,-22910000
91,Common Stock Issued,- -,10000,250000000,- -,- -,50002000,48314000,30895000
92,Common Stock Repurchased,- -,- -,-5000000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1000,6377817,- -,234717000,44959000,2981000,7700000
95,Cash Used/Provided by Financing Activities,- -,11000,251350067,- -,224996000,90030000,23069000,15685000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,1052505,-491602,205393000,-180023000,55389000,-24595000
98,Cash at the End of Period,- -,10845,1063350,571748,209340000,29317000,84706000,60111000
99,Cash at the Beginning of Period,- -,- -,10845,1063350,3947000,209340000,29317000,84706000
100,Free Cash Flow,- -,-155,-297562,-491602,-19603000,-76918000,32908000,-14866000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1653247/000114420417017766/0001144204-17-017766-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000114420418014126/0001144204-18-014126-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000156459019007876/0001564590-19-007876-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000156459020011143/0001564590-20-011143-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000156459021011498/0001564590-21-011498-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000165324722000011/0001653247-22-000011-index.htm
102,false,,,,,,,,
