,https://roic.ai/company/LASR,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,13500000,36687000,149478000,117252000,102282000,146534000
34,Net Receivables,10691000,14644000,28017000,30037000,31820000,41574000
35,Inventory,18805000,29570000,35329000,46131000,54706000,73746000
36,Other Current Assets,3123000,3682000,5797000,5173000,11767000,15350000
37,Total Current Assets,46119000,84583000,218621000,198593000,200575000,277204000
38,PP&E,17323000,17968000,21462000,27747000,56782000,73149000
39,Goodwill,1387000,1387000,1387000,9872000,12484000,12420000
40,Intangible Assets,1485000,1836000,2686000,10006000,8345000,6698000
41,Intangible Assets,2872000,3223000,4073000,19878000,20829000,19118000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,1383000,1807000,3114000,72000,- -,- -
44,Other Non-Current Assets,3362000,2567000,2860000,3676000,5458000,4147000
45,Total Non-Current Assets,24940000,25565000,31509000,51373000,83069000,96414000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,71059000,110148000,250130000,249966000,283644000,373618000
48,Accounts Payable,9380000,12920000,12068000,12700000,21057000,26347000
49,Short-Term Debt,1287000,2363000,91000,51000,2457000,3066000
50,Tax Payable,8000,931000,258000,155000,401000,- -
51,Deferred Revenue,216000,961000,720000,679000,2528000,1629000
52,Other Current Liabilities,8347000,12650000,10708000,11605000,15321000,14730000
53,Total Current Liabilities,19230000,28894000,23587000,25035000,41363000,45772000
54,Long-Term Debt,18380000,15108000,18000,- -,215000,14612000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,3758000,4863000,8742000,8323000,22152000,11101000
58,Total Non-Current Liabilities,22138000,19971000,8760000,8323000,22367000,25713000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,12648000,17678000
61,Total Liabilities,41368000,48865000,32347000,33358000,63730000,71485000
62,Preferred Stock,10000,- -,- -,- -,- -,- -
63,Common Stock,1000,14000,15000,15000,15000,15000
64,Retained Earnings,-120506000,-118669000,-104731000,-117454000,-138386000,-168055000
65,Other Comprehensive Income/Loss,-3009000,-719000,-2157000,-2685000,-259000,-587000
66,Other Total Stockholders Equity,153195000,180657000,324656000,336732000,358544000,- -
67,Total Stockholders Equity,29691000,61283000,217783000,216608000,219914000,302133000
68,Total Liabilities And Stockholders Equity,71059000,110148000,250130000,249966000,283644000,373618000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,71059000,110148000,250130000,249966000,283644000,373618000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1124796/000112479619000032/0001124796-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1124796/000112479620000037/0001124796-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1124796/000112479621000048/0001124796-21-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1124796/000112479622000028/0001124796-22-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-14202000,1837000,13938000,-12884000,-20932000,-29669000
74,Depreciation and Amortization,8099000,7922000,8288000,9564000,13685000,15059000
75,Deferred Income Tax,226000,-424000,-1307000,3041000,-11000,37000
76,Stock Based Compensation,308000,369000,4805000,9730000,25464000,37720000
77,Change in Working Capital,11197000,28800000,139345000,-21476000,-14346000,-33789000
78,Accounts Receivable,569000,-3523000,-13734000,-395000,-4009000,-9509000
79,Inventory,8975000,-9875000,-6145000,-10670000,-6937000,-18994000
80,Accounts Payable,601000,2491000,172000,844000,7306000,3463000
81,Other Working Capital,26889000,55689000,195034000,173558000,159212000,-909000
82,Other Non-Cash Items,331000,-35093000,-161734000,7784000,9181000,3199000
83,Cash Provided by Operating Activities,5959000,3411000,3335000,-4241000,13041000,-7443000
84,CAPEX,-4063000,-5483000,-11714000,-13632000,-24349000,-21562000
85,Acquisitions Net,- -,- -,- -,-17400000,-190000,-291000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,36000,6000,35000,628000,-933000,-2245000
89,Cash Used for Investing Activites,-4027000,-5477000,-11679000,-30404000,-24539000,-21853000
90,Debt Repayment,-8331000,-15706000,-33417000,-55000,-15115000,-428000
91,Common Stock Issued,- -,- -,138303000,- -,- -,82354000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,11972000,40125000,16415000,2507000,11348000,-8184000
95,Cash Used/Provided by Financing Activities,3641000,24419000,121301000,2452000,-3767000,73742000
96,Effect of Forex Changes on Cash,1072000,834000,-166000,-33000,545000,-235000
97,Net Change In Cash,6645000,23187000,112791000,-32226000,-14720000,44211000
98,Cash at the End of Period,13500000,36687000,149478000,117252000,102573000,146784000
99,Cash at the Beginning of Period,6855000,13500000,36687000,149478000,117293000,102573000
100,Free Cash Flow,1896000,-2072000,-8379000,-17873000,-11308000,-29005000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1124796/000112479619000032/0001124796-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1124796/000112479620000037/0001124796-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1124796/000112479621000048/0001124796-21-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1124796/000112479622000028/0001124796-22-000028-index.htm
102,false,,,,,,
