,https://roic.ai/company/TTD,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.00,0.07,-0.15,0.13,0.21,0.24,0.52,0.30
26,EPS Diluted,0.00,0.06,-0.15,0.12,0.19,0.23,0.49,0.28
27,Weighted Average Shares Outstanding,472820000,324000000,182800000,402620000,424420000,445330000,462870000,462870000
28,Weighted Average Shares Outstanding Diluted,497920000,366460000,182800000,440560000,457930000,478060000,489880000,489880000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1671933/000119312517046742/0001193125-17-046742-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459018003611/0001564590-18-003611-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459019003906/0001564590-19-003906-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459020007498/0001564590-20-007498-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459021006726/0001564590-21-006726-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459022005385/0001564590-22-005385-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,17315000,4047000,133400000,155950000,207232000,130876000,437353000,754154000
32,Short-Term Investments,- -,- -,- -,- -,- -,124112000,186685000,204625000
33,Cash and Short-Term Investments,17315000,4047000,133400000,155950000,207232000,254988000,624038000,958779000
34,Net Receivables,78364000,191943000,377240000,599565000,834764000,1166376000,1584109000,2020720000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1412000,3812000,5763000,10298000,14527000,27857000,102170000,112150000
37,Total Current Assets,97091000,199802000,516403000,765813000,1056523000,1449221000,2310317000,3091649000
38,PP&E,2379000,6625000,14779000,17405000,33046000,237461000,364006000,369947000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,739000,1691000,2760000,4399000,8101000,9082000,11505000,14334000
41,Intangible Assets,739000,1691000,2760000,4399000,8101000,9082000,11505000,14334000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,1509000,1171000,1778000,3359000,8460000,18950000,50168000,68244000
44,Other Non-Current Assets,520000,942000,1876000,6188000,11742000,14047000,17649000,33166000
45,Total Non-Current Assets,5147000,10429000,21193000,31351000,61349000,279540000,443328000,485691000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,102238000,210231000,537596000,797164000,1117872000,1728761000,2753645000,3577340000
48,Accounts Payable,56498000,105085000,307018000,477716000,669147000,868618000,1348480000,1655684000
49,Short-Term Debt,- -,- -,- -,- -,- -,14577000,37868000,46149000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6333000,13815000,37118000,40816000,44844000,47178000,88335000,101472000
53,Total Current Liabilities,62831000,118900000,344136000,518532000,713991000,930373000,1474683000,1803305000
54,Long-Term Debt,14929000,44888000,25847000,27000000,- -,- -,254562000,238449000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2612000,8097000,3233000,6049000,9314000,185871000,11255000,8280000
58,Total Non-Current Liabilities,17541000,52985000,29080000,33049000,9314000,185871000,265817000,246729000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,189450000,292430000,284598000
61,Total Liabilities,80372000,171885000,373216000,551581000,723305000,1116244000,1740500000,2050034000
62,Preferred Stock,27997000,24204000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-6619000,13103000,-14818000,35980000,124120000,232438000,474367000,612129000
65,Other Comprehensive Income/Loss,-290000,-1265000,-3705000,-8903000,-15657000,-27341000,-42480000,- -
66,Other Total Stockholders Equity,28775000,26508000,182903000,218506000,286104000,407420000,581258000,- -
67,Total Stockholders Equity,21866000,38346000,164380000,245583000,394567000,612517000,1013145000,1527306000
68,Total Liabilities And Stockholders Equity,102238000,210231000,537596000,797164000,1117872000,1728761000,2753645000,3577340000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,102238000,210231000,537596000,797164000,1117872000,1728761000,2753645000,3577340000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1671933/000119312517046742/0001193125-17-046742-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459018003611/0001564590-18-003611-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459019003906/0001564590-19-003906-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459020007498/0001564590-20-007498-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459021006726/0001564590-21-006726-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459022005385/0001564590-22-005385-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,5000,15929000,20482000,50798000,88140000,108318000,242317000,137762000
74,Depreciation and Amortization,680000,1828000,3798000,7209000,11822000,21662000,28632000,42219000
75,Deferred Income Tax,-1509000,338000,-607000,-1581000,-5101000,-10490000,-31218000,-16777000
76,Stock Based Compensation,107000,374000,5056000,21317000,42210000,80758000,111775000,337413000
77,Change in Working Capital,-14975000,46642000,91365000,75014000,95251000,176316000,316786000,-169678000
78,Accounts Receivable,-53315000,-114170000,-187736000,-224636000,-239901000,-331369000,-418054000,-444342000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,35706000,50021000,209483000,171793000,177675000,191763000,481313000,309410000
81,Other Working Capital,34260000,80902000,172267000,247281000,342532000,518848000,835634000,- -
82,Other Non-Cash Items,847000,-101671000,-45063000,-121533000,-145719000,-316359000,-263223000,47574000
83,Cash Provided by Operating Activities,-14845000,-36560000,75031000,31224000,86603000,60205000,405069000,378513000
84,CAPEX,-1657000,-6927000,-9221000,-13064000,-25191000,-40604000,-80114000,-59973000
85,Acquisitions Net,- -,- -,- -,-3000000,- -,- -,- -,-13261000
86,Purchases of Investments,-551000,- -,- -,- -,- -,-212776000,-230759000,-278387000
87,Sales/Maturities of Investments,- -,551000,- -,- -,- -,89539000,167602000,257983000
88,Other Investing Activites,-825000,-1799000,- -,- -,- -,- -,-6053000,-5169000
89,Cash Used for Investing Activites,-2208000,-6376000,-9221000,-16064000,-25191000,-163841000,-143271000,-93638000
90,Debt Repayment,-7500000,-15000000,-95000000,- -,-27000000,- -,-143000000,- -
91,Common Stock Issued,- -,- -,78120000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-561000,-39000,-54284000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,36064000,44707000,134707000,7390000,16870000,27280000,187679000,31926000
95,Cash Used/Provided by Financing Activities,28003000,29668000,63543000,7390000,-10130000,27280000,44679000,31926000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10950000,-13268000,129353000,22550000,51282000,-76356000,306477000,316801000
98,Cash at the End of Period,17315000,4047000,133400000,155950000,207232000,130876000,437353000,754154000
99,Cash at the Beginning of Period,6365000,17315000,4047000,133400000,155950000,207232000,130876000,437353000
100,Free Cash Flow,-16502000,-43487000,65810000,18160000,61412000,19601000,324955000,318540000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1671933/000119312517046742/0001193125-17-046742-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459018003611/0001564590-18-003611-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459019003906/0001564590-19-003906-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459020007498/0001564590-20-007498-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459021006726/0001564590-21-006726-index.htm,https://www.sec.gov/Archives/edgar/data/1671933/000156459022005385/0001564590-22-005385-index.htm
102,false,,,,,,,,
