,https://roic.ai/company/CSBR,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,120000,120000,430000,80000,103306,-412566,-98893,-97575,-59268,-198125,-144117,-159012,205825,-2238000,-2891000,-3749000,-8558000,-6117000,-7176000,-12799000,-10198000,-6697000,-1083000,837000,-1020000,1621000
16,EBITDA ratio,0.0561,0.0556,0.1845,0.0364,0.0475,-0.1867,-0.0465,-0.0486,-0.0296,-0.1102,-Infinity,-Infinity,0.1470,-0.6032,-0.5908,-0.5448,-1.1971,-0.7350,-0.6213,-1.4441,-0.9120,-0.4346,-0.0535,0.0309,-0.0318,0.0395
17,Operating Income,50000,70000,70000,20000,15022,-468931,-147312,-145994,-107687,-246544,-144117,-170058,6586,-2330000,-2928000,-5235000,-9065000,-6221000,-6260000,-13238000,-10316000,-6809000,-1354000,270000,-1803000,366000
18,Operating Income ratio,0.0234,0.0324,0.0300,0.0091,0.0069,-0.2122,-0.0692,-0.0728,-0.0539,-0.1372,-Infinity,-Infinity,0.0047,-0.6280,-0.5984,-0.7607,-1.2680,-0.7474,-0.5420,-1.4936,-0.9226,-0.4418,-0.0669,0.0100,-0.0561,0.0089
19,Total Other Income Expenses (Gains),- -,- -,290000,- -,18465,- -,- -,- -,- -,- -,- -,- -,29112,88000,5000,1444000,402000,-99000,-1129000,225000,-38000,-56000,-89000,-39000,-42000,71000
20,Income Before Tax,50000,70000,360000,20000,- -,-468931,-147312,-145994,-107687,-246544,-144117,-170058,35698,-2242000,-2923000,-3791000,-8663000,-6320000,-7389000,-13013000,-10354000,-6865000,-1443000,231000,-1845000,437000
21,Income Before Tax Ratio,0.0234,0.0324,0.1545,0.0091,- -,-0.2122,-0.0692,-0.0728,-0.0539,-0.1372,-Infinity,-Infinity,0.0255,-0.6043,-0.5974,-0.5509,-1.2118,-0.7593,-0.6397,-1.4682,-0.9260,-0.4455,-0.0713,0.0085,-0.0574,0.0106
22,Income Tax expense (Gain),- -,-220000,10000,- -,- -,207952,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000,-2000,10000,17000,127000,92000,19000,33000,103000,130000,75000
23,Net Income,50000,290000,360000,20000,51512,-676883,-147312,-145994,-107687,-246544,-303718,-170058,35698,-2242000,-2923000,-3802000,-8661000,-6330000,-7406000,-13140000,-10446000,-6884000,-1476000,128000,-1975000,362000
24,Net Income ratio,0.0234,0.1343,0.1545,0.0091,0.0237,-0.3062,-0.0692,-0.0728,-0.0539,-0.1372,-Infinity,-Infinity,0.0255,-0.6043,-0.5974,-0.5525,-1.2115,-0.7605,-0.6412,-1.4826,-0.9342,-0.4467,-0.0729,0.0047,-0.0615,0.0088
25,EPS,0.07,0.39,0.49,0.03,0.01,-1.08,-0.24,-0.24,-0.12,-0.24,-0.24,-0.12,0.01,-0.84,-1.08,-1.20,-2.28,-2.17,-1.33,-1.51,-1.20,-0.63,-0.14,0.01,-0.17,0.03
26,EPS Diluted,0.07,0.39,0.49,0.03,0.01,-1.08,-0.24,-0.24,-0.12,-0.24,-0.24,-0.12,0.01,-0.84,-1.08,-1.20,-2.28,-2.17,-1.33,-1.51,-1.20,-0.63,-0.14,0.01,-0.17,0.02
27,Weighted Average Shares Outstanding,670000,740000,740000,710000,709275,709535,709535,709535,722460,1102507,1402049,1704970,2624491,2772155,2814488,3036737,3901234,2970292,5573789,8702057,8704846,10982159,11003228,11340184,11843463,13138995
28,Weighted Average Shares Outstanding Diluted,670000,740000,740000,710000,709275,709535,709535,709535,722460,1102507,1402049,1704970,2856616,2772155,2814488,3036737,3901234,2970292,5573789,8702057,8704846,10982159,11003228,14096117,11843463,14573562
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771856/000129707705000123/csports10kspfinal.htm,https://www.sec.gov/Archives/edgar/data/771856/000129707706000047/csi10ksb2006draft.htm,https://www.sec.gov/Archives/edgar/data/771856/000129707707000030/cbi10ksb2007-081207.htm,https://www.sec.gov/Archives/edgar/data/771856/000129707708000084/cbio0729.htm,https://www.sec.gov/Archives/edgar/data/771856/000095012309038702/c89311e10vk.htm,https://www.sec.gov/Archives/edgar/data/771856/000095012310069041/0000950123-10-069041-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420411040755/0001144204-11-040755-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420412040031/0001144204-12-040031-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420413041406/0001144204-13-041406-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420414045199/0001144204-14-045199-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420415044834/0001144204-15-044834-index.html,https://www.sec.gov/Archives/edgar/data/771856/000162828016017936/csbr10-k4302016.htm,https://www.sec.gov/Archives/edgar/data/771856/000162828017007429/0001628280-17-007429-index.html,https://www.sec.gov/Archives/edgar/data/771856/000162828018009773/0001628280-18-009773-index.html,https://www.sec.gov/Archives/edgar/data/771856/000162828019009139/0001628280-19-009139-index.html,https://www.sec.gov/Archives/edgar/data/771856/000162828020010734/0001628280-20-010734-index.htm,https://www.sec.gov/Archives/edgar/data/771856/000162828021014464/0001628280-21-014464-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,140000,250000,630000,730000,591208,451650,449282,195101,120116,84513,540,3758,3709136,1728000,2572000,10457000,4754000,9561000,5891000,9357000,2585000,3295000,856000,3237000,8342000,4687000
32,Short-Term Investments,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,170000,250000,630000,730000,591208,451650,449282,195101,120116,84513,540,3758,3709136,2745000,2572000,10457000,4754000,9561000,5891000,9357000,2585000,3295000,856000,3237000,8342000,4687000
34,Net Receivables,10000,20000,- -,- -,114063,1326,54,- -,22713,- -,- -,- -,- -,- -,46000,1102000,584000,500000,1325000,1060000,1312000,2274000,3917000,4377000,4770000,6986000
35,Inventory,50000,60000,70000,20000,24181,25056,25555,23750,30349,18459,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,20000,220000,210000,210000,233584,17411,14035,10836,6750,- -,- -,- -,52873,1125000,540000,276000,205000,315000,383000,346000,443000,300000,287000,308000,385000,957000
37,Total Current Assets,250000,550000,910000,960000,963036,495443,488926,229687,179928,102972,540,3758,3762009,3870000,3158000,11835000,5543000,10376000,7599000,10763000,4340000,5869000,5060000,7922000,13497000,12630000
38,PP&E,490000,440000,400000,380000,342382,319740,285711,246427,200939,152520,- -,- -,- -,81000,105000,146000,560000,414000,434000,452000,618000,1216000,2083000,2546000,6791000,14611000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,661909,669000,669000,669000,669000,669000,669000,669000,669000,669000,669000,669000,335000,335000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,227465,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,889374,669000,669000,669000,669000,669000,669000,669000,669000,669000,669000,669000,335000,335000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,10000,20000,10000,111052,61052,11052,11052,11052,11052,- -,- -,- -,- -,- -,- -,150000,192000,165000,163000,150000,257000,266000,128000,128000,15000
45,Total Non-Current Assets,490000,450000,420000,390000,453434,380792,296763,257479,211991,163572,- -,180000,889374,750000,774000,815000,1379000,1275000,1268000,1284000,1437000,2142000,3018000,3343000,7254000,14961000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,740000,1000000,1330000,1350000,1416470,876235,785689,487166,391919,266544,540,183758,4651383,4620000,3932000,12650000,6922000,11651000,8867000,12047000,5777000,8011000,8078000,11265000,20751000,27591000
48,Accounts Payable,50000,50000,40000,40000,48173,126240,88104,65246,92758,69470,33251,49736,147971,1414000,944000,1580000,1676000,1204000,981000,1414000,1896000,1852000,2154000,2807000,3140000,1894000
49,Short-Term Debt,- -,- -,- -,- -,12775,14646,1929,- -,- -,- -,- -,43693,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,628000,818000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,64625,124871,- -,- -,- -,- -,- -,504622,1223000,910000,1618000,1185000,1114000,2091000,2009000,3139000,4910000,4704000,4022000,5815000,6256000
52,Other Current Liabilities,210000,270000,320000,380000,435326,506171,568595,627794,391865,563869,637802,351394,361275,67000,236000,302000,625000,611000,587000,373000,271000,685000,595000,1180000,2502000,2231000
53,Total Current Liabilities,260000,320000,360000,420000,496274,711682,783499,693040,484623,633339,671053,444823,1013868,2704000,2090000,3500000,3486000,2929000,3659000,3796000,5306000,7447000,7453000,8025000,12085000,11199000
54,Long-Term Debt,10000,- -,- -,20000,28504,11556,7195,3875,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8783000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,40000,30000,30000,20000,- -,1940,- -,- -,- -,- -,- -,- -,- -,- -,265000,9131000,8714000,1046000,2011000,192000,233000,164000,622000,1002000,3348000,181000
58,Total Non-Current Liabilities,50000,30000,30000,40000,28504,13496,7195,3875,- -,- -,- -,- -,- -,- -,265000,9131000,8714000,1046000,2011000,192000,233000,164000,622000,1002000,3348000,8964000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,3798000,9601000
61,Total Liabilities,310000,350000,390000,460000,524778,725178,790694,696915,484623,633339,671053,444823,1013868,2704000,2355000,12631000,12200000,3975000,5670000,3988000,5539000,7611000,8075000,9027000,15433000,20163000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,531250,324500,324500,324500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,10000,10000,8514,8514,8514,8514,8825,16825,16825,27625,33248,34000,37000,37000,38000,39000,70000,108000,9000,11000,11000,12000,13000,13000
64,Retained Earnings,-5440000,-5230000,-4940000,-4990000,-4985673,-5726308,-5937370,-6147111,-6276378,-6630469,-6934187,-7104245,-7068547,-9757000,-12680000,-16482000,-25143000,-31473000,-38880000,-52020000,-62466000,-69350000,-70826000,-70698000,-72673000,-72530000
65,Other Comprehensive Income/Loss,-600000,-640000,-700000,-730000,-781214,-828013,-876432,-924851,-924851,-924851,- -,-33138,-1042368,-4000,-4000,-68000,-125000,-100000,- -,-798000,-954000,-1122000,-1468000,-2074000,-2772000,-3956000
66,Other Total Stockholders Equity,6470000,6510000,6570000,6600000,6650065,6696864,6800283,6322449,6775200,6847200,5922349,6848693,11715182,11643000,14224000,16532000,19952000,39210000,42007000,60769000,63649000,70861000,72286000,74998000,80750000,83901000
67,Total Stockholders Equity,440000,650000,940000,890000,891692,151057,-5005,-209749,-92704,-366795,-670513,-261065,3637515,1916000,1577000,19000,-5278000,7676000,3197000,8059000,238000,400000,3000,2238000,5318000,7428000
68,Total Liabilities And Stockholders Equity,750000,1000000,1330000,1350000,1416470,876235,785689,487166,391919,266544,540,183758,4651383,4620000,3932000,12650000,6922000,11651000,8867000,12047000,5777000,8011000,8078000,11265000,20751000,27591000
69,Minority Interest,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,740000,1000000,1330000,1350000,1416470,876235,785689,487166,391919,266544,540,183758,4651383,4620000,3932000,12650000,6922000,11651000,8867000,12047000,5777000,8011000,8078000,11265000,20751000,27591000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771856/000129707705000123/csports10kspfinal.htm,https://www.sec.gov/Archives/edgar/data/771856/000129707706000047/csi10ksb2006draft.htm,https://www.sec.gov/Archives/edgar/data/771856/000129707707000030/cbi10ksb2007-081207.htm,https://www.sec.gov/Archives/edgar/data/771856/000129707708000084/cbio0729.htm,https://www.sec.gov/Archives/edgar/data/771856/000095012309038702/c89311e10vk.htm,https://www.sec.gov/Archives/edgar/data/771856/000095012310069041/0000950123-10-069041-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420411040755/0001144204-11-040755-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420412040031/0001144204-12-040031-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420413041406/0001144204-13-041406-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420414045199/0001144204-14-045199-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420415044834/0001144204-15-044834-index.html,https://www.sec.gov/Archives/edgar/data/771856/000162828016017936/csbr10-k4302016.htm,https://www.sec.gov/Archives/edgar/data/771856/000162828017007429/0001628280-17-007429-index.html,https://www.sec.gov/Archives/edgar/data/771856/000162828018009773/0001628280-18-009773-index.html,https://www.sec.gov/Archives/edgar/data/771856/000162828019009139/0001628280-19-009139-index.html,https://www.sec.gov/Archives/edgar/data/771856/000162828020010734/0001628280-20-010734-index.htm,https://www.sec.gov/Archives/edgar/data/771856/000162828021014464/0001628280-21-014464-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,50000,290000,360000,20000,51512,-676883,-147312,-145994,-107687,-246544,-303718,-170058,35698,-2242000,-2923000,-3802000,-8661000,-6330000,-7406000,-13140000,-10446000,-6884000,-1476000,128000,-1975000,362000
74,Depreciation and Amortization,70000,50000,60000,60000,51794,56365,48419,48419,48419,48419,- -,11046,170127,4000,32000,42000,105000,203000,213000,214000,156000,168000,360000,606000,825000,1184000
75,Deferred Income Tax,- -,-220000,10000,- -,- -,207952,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000,10000,- -,100000,65000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464000,593000,3133000,3323000,2376000,2807000,3162000,2599000,2662000,1004000,636000,600000,598000
77,Change in Working Capital,80000,240000,320000,-10000,-73238,-683001,-78334,-168780,158658,-225672,-140146,229448,3189206,-1582141,-98000,7267000,-6278000,5390000,-3507000,3027000,-7933000,-612000,-815000,2290000,1515000,19000
78,Accounts Receivable,30000,-10000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46000,-493000,1000,84000,-825000,265000,-282000,-986000,-1600000,-531000,-670000,-2265000
79,Inventory,-10000,-10000,-10000,50000,-4005,-875,-499,1805,-6599,11890,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,70000,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,881000,-471000,636000,96000,-472000,-223000,433000,482000,-43000,301000,653000,333000,-1246000
81,Other Working Capital,-10000,230000,550000,540000,466762,-216239,-294573,-463353,-304695,-530367,-670513,-441065,2748141,1166000,1068000,8335000,2057000,7447000,3940000,6967000,-966000,-1578000,-2393000,-103000,1412000,1431000
82,Other Non-Cash Items,-230000,-250000,-330000,40000,-48418,1240245,144543,18238,-171444,388194,349891,-148911,-2602627,2468141,296000,-6694000,6286000,-5941000,4460000,-2993000,9107000,1826000,-299000,-1798000,1940000,-3844000
83,Cash Provided by Operating Activities,-30000,110000,420000,110000,-18350,144678,-32684,-248117,-72054,-35603,-93973,-78475,792404,-888000,-2100000,-54000,-5227000,-4292000,-3433000,-9630000,-6452000,-2840000,-1226000,1862000,2905000,-1681000
84,CAPEX,- -,-10000,-20000,-10000,-13495,-33723,-14390,-9135,-2931,- -,- -,- -,- -,-126000,-84000,-85000,-519000,-57000,-234000,-119000,-322000,-766000,-1229000,-834000,-2220000,-3281000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471377,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-1064975,- -,- -,- -,- -,- -,- -,- -,- -,-1017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,967682,- -,- -,- -,- -,- -,- -,- -,- -,- -,1017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-242101,- -,- -,- -,- -,10000,- -,-47465,-64000,8000,1000,- -,- -,- -,5000,- -,- -,3000,- -,- -,112000
89,Cash Used for Investing Activites,- -,-10000,-20000,-10000,-110788,-275824,-14390,-9135,-2931,- -,10000,- -,423912,-1150000,941000,-84000,-519000,-57000,-234000,-114000,-322000,-766000,-1226000,-834000,-2220000,-3169000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,-24000,-24000,-25000,-262000,-35000,-174000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,55000,- -,- -,- -,- -,38000,2532755,- -,2222000,9095000,- -,9141000,- -,11220000,44000,4340000,- -,- -,- -,- -
92,Common Stock Repurchased,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-218000,-1033000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-20000,-30000,-20000,-10000,-5895,-8412,-10294,3071,-1929,- -,- -,43693,-43693,57000,3000,21000,97000,- -,21000,2002000,-18000,- -,38000,1465000,4455000,1369000
95,Cash Used/Provided by Financing Activities,40000,-30000,-20000,-10000,-5895,-8412,44706,3071,-1929,- -,- -,81693,2489062,57000,2007000,8083000,97000,9141000,21000,13210000,2000,4316000,13000,1203000,4420000,1195000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000,-60000,-54000,15000,-24000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10000,80000,390000,100000,-135033,-139558,-2368,-254181,-76914,-35603,-83973,3218,3705378,-1981000,844000,7885000,-5703000,4807000,-3670000,3466000,-6772000,710000,-2439000,2231000,5105000,-3655000
98,Cash at the End of Period,140000,220000,640000,730000,591208,451650,449282,195101,120116,84513,540,3758,3709136,1728000,2572000,10457000,4754000,9561000,5891000,9357000,2585000,3295000,856000,3237000,8342000,4687000
99,Cash at the Beginning of Period,130000,140000,250000,630000,726241,591208,451650,449282,197030,120116,84513,540,3758,3709000,1728000,2572000,10457000,4754000,9561000,5891000,9357000,2585000,3295000,1006000,3237000,8342000
100,Free Cash Flow,-30000,100000,400000,100000,-31845,110955,-47074,-257252,-74985,-35603,-93973,-78475,792404,-1014000,-2184000,-139000,-5746000,-4349000,-3667000,-9749000,-6774000,-3606000,-2455000,1028000,685000,-4962000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771856/000129707705000123/csports10kspfinal.htm,https://www.sec.gov/Archives/edgar/data/771856/000129707706000047/csi10ksb2006draft.htm,https://www.sec.gov/Archives/edgar/data/771856/000129707707000030/cbi10ksb2007-081207.htm,https://www.sec.gov/Archives/edgar/data/771856/000129707708000084/cbio0729.htm,https://www.sec.gov/Archives/edgar/data/771856/000095012309038702/c89311e10vk.htm,https://www.sec.gov/Archives/edgar/data/771856/000095012310069041/0000950123-10-069041-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420411040755/0001144204-11-040755-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420412040031/0001144204-12-040031-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420413041406/0001144204-13-041406-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420414045199/0001144204-14-045199-index.html,https://www.sec.gov/Archives/edgar/data/771856/000114420415044834/0001144204-15-044834-index.html,https://www.sec.gov/Archives/edgar/data/771856/000162828016017936/csbr10-k4302016.htm,https://www.sec.gov/Archives/edgar/data/771856/000162828017007429/0001628280-17-007429-index.html,https://www.sec.gov/Archives/edgar/data/771856/000162828018009773/0001628280-18-009773-index.html,https://www.sec.gov/Archives/edgar/data/771856/000162828019009139/0001628280-19-009139-index.html,https://www.sec.gov/Archives/edgar/data/771856/000162828020010734/0001628280-20-010734-index.htm,https://www.sec.gov/Archives/edgar/data/771856/000162828021014464/0001628280-21-014464-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
