,https://roic.ai/company/VRTV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,474700000,470600000,1177100000,1098400000,1114500000,1238700000,1262600000,978400000,905100000,1082400000
35,Inventory,- -,315200000,314700000,673200000,720600000,707900000,722700000,688200000,552900000,465400000,484500000
36,Other Current Assets,- -,61700000,63100000,51200000,51800000,56600000,72400000,69200000,61300000,63900000,61500000
37,Total Current Assets,- -,882200000,870600000,1959100000,1925200000,1948600000,2114100000,2084300000,1630600000,1555000000,1677700000
38,PP&E,- -,80200000,76300000,377400000,363700000,371800000,340200000,206700000,646100000,546400000,538500000
39,Goodwill,- -,23400000,23400000,52400000,50200000,50200000,99600000,99600000,99600000,99600000,99600000
40,Intangible Assets,- -,24300000,20900000,36100000,30200000,21000000,64100000,57200000,52200000,47400000,42700000
41,Intangible Assets,- -,47700000,44300000,88500000,80400000,71200000,163700000,156800000,151800000,147000000,142300000
42,Investments,- -,- -,- -,5700000,5800000,6000000,6400000,6700000,7100000,7300000,7700000
43,Tax Assets,- -,8800000,210000000,105600000,73300000,61800000,59600000,56500000,57000000,60000000,47100000
44,Other Non-Current Assets,- -,20300000,14000000,38200000,28500000,24300000,24400000,18700000,18500000,19300000,25100000
45,Total Non-Current Assets,- -,157000000,344600000,615400000,551700000,535100000,594300000,445400000,880500000,780000000,760700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1039200000,1215200000,2574500000,2476900000,2483700000,2708400000,2529700000,2511100000,2335000000,2438400000
48,Accounts Payable,- -,279500000,233800000,589800000,565100000,654100000,680100000,641900000,476900000,471900000,561900000
49,Short-Term Debt,- -,11200000,12100000,17600000,17500000,17800000,10700000,7300000,103100000,96600000,96200000
50,Tax Payable,- -,- -,- -,15300000,13700000,9100000,12100000,9900000,9000000,18800000,17800000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000000,- -
52,Other Current Liabilities,- -,105900000,98500000,243700000,231600000,195900000,216600000,200500000,151500000,120900000,215500000
53,Total Current Liabilities,- -,396600000,344400000,851100000,814200000,867800000,907400000,849700000,731500000,749400000,873600000
54,Long-Term Debt,- -,315900000,325400000,855000000,800500000,749200000,908300000,963600000,742400000,520200000,829000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,313300000,293600000,355900000,332100000,324900000,343000000,173300000,501000000,482300000,100000000
58,Total Non-Current Liabilities,- -,629200000,619000000,1210900000,1132600000,1074100000,1251300000,1136900000,1243400000,1002500000,929000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,63900000,55300000,226200000,212500000,191000000,189400000,24200000,467100000,471600000,482300000
61,Total Liabilities,- -,1025800000,963400000,2062000000,1946800000,1941900000,2158700000,1986600000,1974900000,1751900000,1802600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,300000,300000,200000,200000,200000,200000,200000,200000,200000,200000
64,Retained Earnings,- -,-305800000,-63400000,-28000000,-1300000,19700000,6400000,-8500000,-35300000,-1400000,143200000
65,Other Comprehensive Income/Loss,- -,-10300000,4700000,-22100000,-35000000,-39000000,-33500000,-40700000,-33100000,-33500000,-24300000
66,Other Total Stockholders Equity,- -,329200000,310200000,562400000,566200000,560900000,576600000,592100000,604400000,617800000,516700000
67,Total Stockholders Equity,- -,13400000,251800000,512500000,530100000,541800000,549700000,543100000,536200000,583100000,635800000
68,Total Liabilities And Stockholders Equity,- -,1039200000,1215200000,2574500000,2476900000,2483700000,2708400000,2529700000,2511100000,2335000000,2438400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1039200000,1215200000,2574500000,2476900000,2483700000,2708400000,2529700000,2511100000,2335000000,2438400000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1599489/000162828015001897/vrtv-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1599489/000159948916000035/0001599489-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948917000005/0001599489-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948918000005/0001599489-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948919000003/0001599489-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948920000004/0001599489-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948921000003/0001599489-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1599489/000159948922000004/0001599489-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,21900000,4400000,200000,-19600000,26700000,21000000,-13300000,-15700000,-29500000,34200000,144600000
74,Depreciation and Amortization,24500000,15200000,25100000,37600000,56900000,54700000,54200000,53500000,53500000,57700000,55200000
75,Deferred Income Tax,-1300000,1400000,-230300000,-9700000,14900000,11100000,1900000,2000000,-2700000,-1800000,9200000
76,Stock Based Compensation,1300000,13100000,400000,4300000,3800000,8300000,15700000,18100000,14600000,17700000,7400000
77,Change in Working Capital,-12800000,40600000,581800000,3000000,-30200000,125900000,27900000,-335500000,-93500000,-36600000,-69000000
78,Accounts Receivable,-12500000,- -,-5900000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,8000000,12300000,-8600000,28200000,-62000000,13100000,30100000,26400000,139700000,89700000,-22100000
80,Accounts Payable,9300000,- -,-56200000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,485600000,526200000,1108000000,1111000000,1080800000,1206700000,1234600000,899100000,805600000,769000000,6400000
82,Other Non-Cash Items,7300000,-18700000,-378700000,-10600000,40900000,-80800000,-49800000,292600000,338600000,218000000,7300000
83,Cash Provided by Operating Activities,40900000,56000000,-1500000,5000000,113000000,140200000,36600000,15000000,281000000,289200000,154700000
84,CAPEX,-22300000,-13300000,-18000000,-17200000,-44400000,-41000000,-32500000,-45400000,-34100000,-23600000,-20400000
85,Acquisitions Net,- -,- -,- -,31800000,- -,- -,-144800000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,5800000,7700000,5300000,300000,6600000,51100000,23700000,500000,18300000,16100000
89,Cash Used for Investing Activites,-22300000,-7500000,-10300000,19900000,-44100000,-34400000,-126200000,-21700000,-33600000,-5300000,-4300000
90,Debt Repayment,-4023500000,- -,-3764600000,-2606400000,-4726500000,-4649000000,-4750600000,-5783300000,-7016100000,-5732200000,-5828300000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-13600000,- -,- -,- -,-3500000,-100000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4010200000,-46300000,3768200000,2629400000,4656100000,4572700000,4849800000,5774600000,6742200000,5533100000,5706900000
95,Cash Used/Provided by Financing Activities,-13300000,-46300000,3600000,23000000,-70400000,-89900000,99200000,-8700000,-273900000,-202600000,-221400000
96,Effect of Forex Changes on Cash,-300000,-1500000,-200000,4000000,-1700000,-700000,1100000,-600000,200000,1300000,-300000
97,Net Change In Cash,5000000,700000,-8400000,51900000,-3200000,15200000,10700000,-16000000,-26300000,82600000,-71300000
98,Cash at the End of Period,43900000,15400000,22200000,57600000,54400000,69600000,80300000,64300000,38000000,120600000,49300000
99,Cash at the Beginning of Period,38900000,14700000,30600000,5700000,57600000,54400000,69600000,80300000,64300000,38000000,120600000
100,Free Cash Flow,18600000,42700000,-19500000,-12200000,68600000,99200000,4100000,-30400000,246900000,265600000,134300000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1599489/000162828015001897/vrtv-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1599489/000159948916000035/0001599489-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948917000005/0001599489-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948918000005/0001599489-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948919000003/0001599489-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948920000004/0001599489-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948921000003/0001599489-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1599489/000159948922000004/0001599489-22-000004-index.htm
102,false,,,,,,,,,,,
