,https://roic.ai/company/BVH,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,4.7867,7.2384,1.1871,4.9008,0.2207,0.8547,1.0272,0.8699,0.4670,0.3603,0.1881,0.2162,0.2084,0.1552,0.3883,0.2321,0.0507,0.2066,0.5207,0.1986,0.1613,0.1365,0.1436,0.1618,0.1419,0.1139,-0.1119,0.1076
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),1164000,4857000,1833000,- -,-4512000,- -,-14655000,-18379000,-38294000,-51093000,-103994000,-91144000,-13404000,219603000,272711000,-67154000,- -,- -,37778000,2828000,2197000,-4248000,18569000,29399000,10194000,30967000,-1179000,26664000
20,Income Before Tax,2913000,4230000,8982000,12988000,-49000,11434000,8380000,29985000,14846000,50045000,98227000,80210000,-1225000,-104347000,-56742000,-151980000,-182047000,44636000,60462000,97508000,63856000,64683000,78036000,93374000,87432000,48761000,-46774000,98596000
21,Income Before Tax Ratio,0.3942,2.3077,0.7487,3.6493,-0.0043,0.7108,0.0362,0.1160,0.0367,0.0972,0.0895,0.0698,-0.0013,-0.1355,-0.1615,-0.4702,-0.3252,0.0767,0.1260,0.1750,0.0958,0.0912,0.1030,0.1148,0.0923,0.0515,-0.0900,0.1302
22,Income Tax expense (Gain),-2009000,- -,2924000,4222000,-368000,4183000,13362000,25396000,18296000,44166000,83997000,70256000,-528000,-70246000,15763000,-67218000,105000,20957000,16225000,26369000,36857000,-76596000,36379000,-7223000,31639000,16658000,-2368000,-26664000
23,Net Income,27666000,7932000,6911000,9818000,380000,7426000,3635000,5474000,5192000,7022000,14230000,12774000,-2221000,-30459000,-58899000,25721000,-103848000,-11270000,166015000,29063000,13850000,122474000,28362000,82195000,35102000,17691000,-80529000,72832000
24,Net Income ratio,3.7437,4.3273,0.5761,2.7586,0.0336,0.4616,0.0157,0.0212,0.0128,0.0136,0.0130,0.0111,-0.0024,-0.0396,-0.1676,0.0796,-0.1855,-0.0194,0.3460,0.0522,0.0208,0.1727,0.0374,0.1011,0.0370,0.0187,-0.1550,0.0962
25,EPS,7.98,2.12,1.78,2.19,0.09,1.66,0.82,1.23,1.16,1.54,2.85,2.10,-0.45,-4.05,-6.60,2.20,-6.95,-0.80,10.70,1.75,0.83,7.24,3.98,4.15,1.85,0.95,-4.32,3.90
26,EPS Diluted,7.98,2.10,1.77,1.99,0.07,1.50,0.77,1.10,1.07,1.25,2.35,1.90,-0.50,-4.05,-6.60,2.20,-6.95,-0.80,10.45,1.75,0.80,7.00,1.60,3.95,1.80,0.95,-4.32,3.90
27,Weighted Average Shares Outstanding,3463476,3743115,3877880,4457373,4466357,4468041,4468041,4468041,4490502,4563750,4836600,5725714,6649800,7755600,9019400,11447000,15075800,15158000,15428400,16640400,16695023,16911571,19605845,19749000,19059600,18525600,18661000,18661000
28,Weighted Average Shares Outstanding Diluted,3463476,3778491,3909887,4902661,5110424,4951513,4784741,4926245,4490502,5206250,5561200,6328421,6649800,7755600,9019400,11447000,15075800,15179600,15817400,16924800,17312500,17496286,19605845,20783200,19572000,18730800,18661000,18661000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315858/000031585821000018/0000315858-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/315858/000156276222000091/0001562762-22-000091-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,711000,1152000,1796000,604000,655000,1545000,87025000,124383000,202432000,143542000,208627000,302208000,195401000,326524000,247760000,315580000,634406000,858789000,232521000,217636000,279437000,198905000,299861000,362526000,366305000,356604000,221118000,140225000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,711000,1152000,1796000,604000,655000,1545000,87025000,124383000,202432000,143542000,208627000,302208000,195401000,326524000,247760000,315580000,634406000,858789000,232734000,217636000,279437000,198905000,299861000,362526000,366305000,356604000,221118000,140225000
34,Net Receivables,4904000,5168000,2180000,1859000,1740000,1325000,2855015000,33787000,34050000,27912000,35995000,41496000,47676000,46271000,41817000,373559000,606378000,536268000,783061000,527795000,451111000,449633000,456001000,451255000,439167000,449162000,409349000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196749000,247968000,251626000,267267000,301859000,359824000,398239000,429583000,347122000,334605000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,3882510000,4103964000,5268642000,5513593000,6084238000,5403194000,4737001000,4603461000,3782950000,- -,79083000,119131000,90043000,80719000,46456000,46721000,54792000,50266000,35986000,-140225000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4118992000,4275418000,5513264000,5857297000,6327315000,5775989000,5026578000,5292600000,5023734000,- -,1291627000,1112530000,1072217000,996524000,1104177000,1220326000,1258503000,1285615000,1013575000,334605000
38,PP&E,21081000,21283000,16880000,16174000,6172000,- -,59961000,61786000,92784000,93654000,160997000,198433000,320260000,276078000,334392000,289209000,218665000,191568000,59261000,78108000,90013000,90020000,95998000,112858000,139628000,239037000,124464000,121319000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12241000,12241000,12241000,- -,- -,7377000,7601000,6731000,39482000,37248000,37248000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,49882000,39859000,92332000,88659000,88251000,86376000,77324000,75886000,44986000,81686000,78918000,72804000,64370000,67706000,72353000,70188000,68455000,70449000,69710000,68186000,61431000,61348000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,49882000,39859000,92332000,88659000,88251000,86376000,77324000,75886000,44986000,93927000,91159000,85045000,64370000,67706000,79730000,77789000,75186000,109931000,106958000,105434000,61431000,61348000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,1111825000,677713000,1192335000,1241920000,880867000,986480000,989626000,371301000,479508000,- -,2414000,- -,16065000,42962000,43374000,47275000,64738000,57330000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95688000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129516000,183021000,153271000,142403000,117333000,116275000,135193000,103555000,50649000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1296941000,860026000,1441583000,1526729000,1278451000,1338444000,1369004000,754437000,789332000,- -,255561000,328835000,339079000,353174000,331891000,386339000,446517000,505356000,236544000,278355000
46,Other Assets,91291000,96896000,98841000,98871000,91257000,96745000,4654954000,4665359000,6712874000,5995470000,8396430000,8910755000,8884217000,8452877000,7764586000,6801474000,6602398000,4778155000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1154262000
47,Total Assets,91291000,96896000,98841000,98871000,91257000,96745000,4654954000,4665359000,5415933000,5135444000,6954847000,7384026000,7605766000,7114433000,6395582000,6047037000,5813066000,4778155000,1547188000,1441365000,1411296000,1349698000,1436068000,1606665000,1705020000,1790971000,1250119000,1210512000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25976000,28855000,31370000,29537000,25957000,10559000,14614000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1038801000,1106030000,1297170000,56250000,1544497000,1283532000,1517058000,108975000,238339000,240219000,570454000,- -,31630000,- -,- -,- -,- -,- -,93117000,- -,- -,98240000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13690000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93117000,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,1038801000,1106030000,1297170000,56250000,1544497000,1283532000,1517058000,108975000,238339000,240219000,570454000,- -,31630000,- -,- -,25976000,28855000,31370000,29537000,25957000,10559000,126544000
54,Long-Term Debt,33234000,31426000,28451000,24674000,17520000,18253000,238330000,220234000,389443000,1153321000,541871000,848444000,908942000,1992718000,1631367000,1124584000,871139000,585849000,621832000,693511000,670426000,684129000,701146000,700646000,796243000,872230000,781800000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11305000,29875000,- -,- -,- -,28847000,37015000,36311000,16522000,18074000,15745000,- -
56,Deferred Tax Liabilities,- -,1633000,5277000,11711000,13206000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31204000,28663000,24645000,57171000,77089000,92609000,8594000,44318000,43093000,86363000,87558000,85314000,95688000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360396000,248369000,201555000,119246000,129280000,141744000,138747000,147082000,93971000,684480000
58,Total Non-Current Liabilities,33234000,33059000,33728000,36385000,30726000,18253000,238330000,220234000,389443000,1153321000,541871000,848444000,908942000,1992718000,1631367000,1155788000,911107000,640369000,1039399000,1018969000,964590000,840816000,911759000,921794000,1037875000,1124944000,976830000,780168000
59,Other Liabilities,97993000,94197000,91107000,81114000,64352000,56033000,3587620000,3356971000,4065294000,5726882000,5214318000,6069336000,6121742000,8255189000,7413189000,6558695000,5932591000,5235507000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,555000,123430000,35904000,- -
61,Total Liabilities,64759000,61138000,57379000,44729000,33626000,37780000,4388091000,4242767000,4973021000,4629811000,6216944000,6504424000,6729858000,6371446000,6020161000,5643126000,5591938000,4595138000,1039399000,1018969000,964590000,866792000,940614000,953164000,1067412000,1150901000,987389000,906712000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11029000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,17000,17000,21000,79000,79000,79000,79000,79000,79000,149000,258000,319000,335000,451000,451000,754000,754000,772000,772000,786000,835000,845000,980000,997000,932000,915000,193000,- -
64,Retained Earnings,5677000,13609000,20520000,30280000,30660000,38086000,41721000,47195000,52387000,59342000,73089000,85113000,81889000,50801000,-8848000,16608000,-88853000,-100873000,66747000,95810000,109660000,232134000,259110000,341146000,385789000,394551000,10586000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,868000,1530000,942000,425000,1452000,1596000,-2298000,-237000,223000,-12863000,161000,240000,353000,616000,1167000,1708000,1215000,1554000,- -,- -
66,Other Total Stockholders Equity,20838000,22132000,20921000,23783000,26892000,20800000,225063000,375318000,24077000,24654000,50962000,97223000,93909000,131189000,123562000,227934000,230748000,221676000,231287000,142585000,142058000,143231000,193347000,229379000,161684000,152775000,177104000,303800000
67,Total Stockholders Equity,26532000,35758000,41462000,54142000,57631000,58965000,266863000,422592000,77411000,85675000,125251000,183080000,177585000,184037000,112867000,245059000,142872000,119741000,298967000,239421000,252906000,376826000,454604000,573230000,549620000,549795000,187883000,303800000
68,Total Liabilities And Stockholders Equity,91291000,96896000,98841000,98871000,91257000,96745000,4654954000,4665359000,5050432000,4715486000,6342195000,6687504000,6907443000,6555483000,6133028000,5888185000,5734810000,4714879000,1338366000,1258390000,1217496000,1243618000,1395218000,1526394000,1617032000,1700696000,1175272000,1210512000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,365501000,419958000,612652000,696522000,698323000,558950000,262554000,158852000,78256000,63276000,208822000,182975000,193800000,106080000,40850000,80271000,87988000,90275000,74847000,- -
70,Total Liabilities & Equity,91291000,96896000,98841000,98871000,91257000,96745000,4654954000,4665359000,5415933000,5135444000,6954847000,7384026000,7605766000,7114433000,6395582000,6047037000,5813066000,4778155000,1547188000,1441365000,1411296000,1349698000,1436068000,1606665000,1705020000,1790971000,1250119000,1210512000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315858/000031585821000018/0000315858-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/315858/000156276222000091/0001562762-22-000091-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,27666000,7932000,6911000,9818000,380000,7426000,3635000,5474000,5192000,7022000,14230000,12774000,-2221000,-30459000,-58899000,25721000,-103848000,-11270000,166015000,29063000,13850000,122474000,28362000,82195000,35102000,17691000,-80529000,72832000
74,Depreciation and Amortization,1441000,762000,772000,683000,575000,526000,9656000,5184000,12488000,20939000,19292000,20135000,31845000,23693000,28389000,24016000,7447000,16653000,7630000,4563000,9399000,10511000,8089000,21444000,25739000,27720000,24771000,- -
75,Deferred Income Tax,- -,- -,3033000,4222000,- -,4103000,-743000,3257000,-1954000,13073000,17894000,3511000,-20628000,-44024000,50260000,- -,-875000,- -,35430000,19624000,12707000,-84329000,35704000,-10201000,27444000,2072000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4724000,5082000,5643000,4078000,3920000,6227000,11034000,12449000,12259000,12901000,11445000,25417000,- -
77,Change in Working Capital,-443000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1291627000,-179097000,-40313000,-101669000,104774000,113634000,40010000,30692000,-256642000,-794955000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3578000,5624000,1269000,177000,25000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30107000,3494000,19026000,-15685000,-7794000,-45291000,-16139000,-22966000,1019000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2065000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1291627000,1112530000,1072217000,970548000,1075322000,1188956000,1228966000,1259658000,1003016000,208061000
82,Other Non-Cash Items,-27716000,-10657000,-16201000,-23260000,-2207000,-14304000,94434000,65276000,-19831000,54954000,-69865000,-115286000,-249951000,49844000,16748000,-48476000,361596000,209229000,-1347589000,196356000,106517000,38234000,-97607000,-153732000,-54557000,-11378000,316062000,799089000
83,Cash Provided by Operating Activities,948000,-1963000,-5485000,-8537000,-1252000,-2249000,106982000,79191000,-4105000,95988000,-18449000,-78866000,-240955000,-946000,36498000,5985000,269402000,220255000,157191000,74429000,108387000,-3745000,91771000,65599000,86639000,78242000,29079000,76966000
84,CAPEX,-10358000,-410000,-349000,-43000,- -,-152000,-11837000,-11441000,-23620000,-12599000,-75759000,-55684000,-115243000,-99812000,-2164000,-5121000,-797000,-5425000,-5869000,-6871000,-19289000,-12810000,-12939000,-22045000,-45550000,-35588000,-11779000,- -
85,Acquisitions Net,- -,-392000,- -,- -,- -,- -,- -,-340000,-52783000,- -,- -,- -,- -,- -,-6925000,19252000,- -,-251703000,-1215181000,-16767000,-18918000,-9697000,-16943000,-57288000,-16990000,6263000,-9378000,- -
86,Purchases of Investments,-5701000,-20566000,-47153000,-19225000,-83000,-8065000,-588930000,-757375000,-595947000,-484336000,-1034600000,-505688000,-390520000,-893633000,-666290000,-220293000,-495728000,-31813000,-496000,-3000,- -,-9687000,-20264000,-5310000,-29070000,- -,- -,- -
87,Sales/Maturities of Investments,20425000,21779000,48281000,28437000,-134000,- -,419593000,731267000,1011515000,861645000,528943000,519650000,380926000,934457000,910174000,724642000,409259000,405751000,55367000,496000,- -,- -,3321000,6440000,12080000,- -,- -,- -
88,Other Investing Activites,-15804000,1910000,7363000,1255000,10987000,5416000,-292007000,20335000,-82461000,-226528000,-995246000,33988000,-226386000,-139637000,-471000,400940000,494429000,565269000,414140000,163359000,85779000,-15919000,81430000,23438000,48467000,45644000,7188000,-13598000
89,Cash Used for Investing Activites,-11438000,2321000,8142000,10424000,10770000,-2649000,-461344000,-6113000,280324000,150781000,-1500903000,47950000,-235980000,-98813000,236488000,919420000,407163000,682079000,-752039000,140214000,47572000,-48113000,34605000,-54765000,-31063000,16319000,-13969000,-13598000
90,Debt Repayment,-648000,-430000,-2118000,-12314000,-9502000,-4159000,-1540637000,-107327000,-117488000,-983409000,-696944000,-1875188000,-2902200000,-3987213000,-729169000,-1202759000,-525976000,-379339000,-292853000,-169675000,-164074000,-253615000,-281177000,-244570000,-279737000,-258198000,-317952000,- -
91,Common Stock Issued,- -,- -,105000,91000,35000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45563000,5857000,- -,- -,- -,- -,- -,- -,95923000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000,- -,- -,-88123000,-131490000,-62279000,-19330000,-11471000,-27624000,-81147000,-30874000,-11741000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-2736000,-3814000,-5411000,-5839000,-7384000,-9002000,-8914000,-6826000,-1386000,-948000,-750000,-563000,-375000,- -,- -,- -,-856000,-2937000,-3812000,-4621000,-1144000,- -
94,Other Financing Activites,11500000,513000,- -,9144000,- -,8079000,1894416000,73993000,-25282000,633444000,2304858000,1995823000,3287020000,4227839000,404351000,269895000,122920000,-258145000,355091000,72133000,132195000,244271000,268084000,231304000,320970000,184905000,165961000,-137393000
95,Cash Used/Provided by Financing Activities,10852000,83000,-2013000,-3079000,-9467000,3920000,351043000,-37148000,-148181000,-355804000,1600530000,111633000,375906000,233800000,-326204000,-888262000,-397949000,-638047000,-26260000,-229032000,-94158000,-28674000,-25420000,52096000,-43726000,-108788000,-164876000,-137393000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,362000,441000,644000,-1192000,51000,-978000,-3319000,35930000,128038000,-109035000,81178000,80717000,-101029000,134041000,-53218000,37143000,272766000,264287000,-621108000,-14389000,61801000,-80532000,100956000,62930000,11850000,-14227000,-149766000,-74025000
98,Cash at the End of Period,711000,1152000,1796000,604000,655000,1545000,88609000,124539000,252577000,143542000,224720000,305437000,204408000,332155000,278937000,316080000,588846000,853133000,232025000,217636000,279437000,198905000,299861000,409247000,421097000,406870000,257104000,- -
99,Cash at the Beginning of Period,349000,711000,1152000,1796000,604000,2523000,91928000,88609000,124539000,252577000,143542000,224720000,305437000,198114000,332155000,278937000,316080000,588846000,853133000,232025000,217636000,279437000,198905000,346317000,409247000,421097000,406870000,- -
100,Free Cash Flow,-9410000,-2373000,-5834000,-8580000,-1252000,-2401000,95145000,67750000,-27725000,83389000,-94208000,-134550000,-356198000,-100758000,34334000,864000,268605000,214830000,151322000,67558000,89098000,-16555000,78832000,43554000,41089000,42654000,17300000,76966000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315858/000031585821000018/0000315858-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/315858/000156276222000091/0001562762-22-000091-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
