,https://roic.ai/company/VAPO,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1253176/000156459019009008/0001564590-19-009008-index.htm,https://www.sec.gov/Archives/edgar/data/1253176/000156459020008683/0001564590-20-008683-index.html,https://www.sec.gov/Archives/edgar/data/1253176/000156459021008100/0001564590-21-008100-index.htm,https://www.sec.gov/Archives/edgar/data/1253176/000156459022006714/0001564590-22-006714-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-23072000,-31005000,-42468000,-51059000,-51502000,-59800000
74,Depreciation and Amortization,1336000,1534000,2167000,3078000,4769000,5648000
75,Deferred Income Tax,- -,- -,- -,-147000,70000,-76000
76,Stock Based Compensation,298000,249000,502000,3836000,6430000,9766000
77,Change in Working Capital,-4415000,20086000,35074000,9231000,43197000,-11480000
78,Accounts Receivable,-841000,-682000,-425000,-833000,-14810000,12400000
79,Inventory,374000,-3254000,-2252000,5063000,-534000,-16759000
80,Accounts Payable,996000,285000,896000,98000,1461000,798000
81,Other Working Capital,12520000,32606000,67680000,76911000,120108000,-892000
82,Other Non-Cash Items,482000,-20110000,-35240000,-4601000,-42432000,571000
83,Cash Provided by Operating Activities,-25371000,-29246000,-39965000,-39662000,-39468000,-55371000
84,CAPEX,-4531000,-5947000,-5180000,-4747000,-9797000,-5895000
85,Acquisitions Net,- -,- -,- -,-1560000,-8372000,-1304000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-4531000,-5947000,-5180000,-6307000,-18169000,-7199000
90,Debt Repayment,-6000000,- -,-22328000,- -,-3765000,-3162000
91,Common Stock Issued,- -,- -,59892000,48669000,94155000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,27561000,55855000,39296000,10780000,9286000,7532000
95,Cash Used/Provided by Financing Activities,21561000,55855000,76860000,59449000,99676000,4370000
96,Effect of Forex Changes on Cash,- -,- -,- -,5000,-10000,-12000
97,Net Change In Cash,-8341000,20662000,31715000,13485000,42029000,-58212000
98,Cash at the End of Period,5846000,26508000,58223000,73507000,- -,57324000
99,Cash at the Beginning of Period,14187000,5846000,26508000,60022000,- -,115536000
100,Free Cash Flow,-29902000,-35193000,-45145000,-44409000,-49265000,-61266000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1253176/000156459019009008/0001564590-19-009008-index.htm,https://www.sec.gov/Archives/edgar/data/1253176/000156459020008683/0001564590-20-008683-index.html,https://www.sec.gov/Archives/edgar/data/1253176/000156459021008100/0001564590-21-008100-index.htm,https://www.sec.gov/Archives/edgar/data/1253176/000156459022006714/0001564590-22-006714-index.htm
102,false,,,,,,
