,https://roic.ai/company/EVA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1592057/000104746916010850/0001047469-16-010850-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000104746917001016/0001047469-17-001016-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000155837018000899/0001558370-18-000899-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000159205719000003/0001592057-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000159205720000003/0001592057-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000159205721000006/0001592057-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000159205722000005/0001592057-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,11699000,3558000,592000,2175000,466000,524000,2460000,9053000,10004000,16801000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11699000,3558000,592000,2175000,466000,524000,2460000,9053000,10004000,16801000
34,Net Receivables,10192000,26169000,21998000,38778000,85502000,84597000,61326000,72696000,126626000,97439000
35,Inventory,10592000,19083000,18064000,24245000,29764000,23536000,31490000,32998000,42364000,57717000
36,Other Current Assets,13544000,8189000,17426000,2123000,4983000,1006000,2235000,5342000,16457000,26773000
37,Total Current Assets,46027000,56999000,58080000,67321000,120715000,109663000,97511000,120089000,195451000,198730000
38,PP&E,213395000,330167000,316259000,405582000,516418000,562330000,557028000,784610000,1123253000,1607043000
39,Goodwill,4879000,4879000,4879000,85615000,85615000,85615000,85615000,85615000,99660000,103928000
40,Intangible Assets,1309000,1051000,722000,3399000,1371000,109000,- -,- -,- -,- -
41,Intangible Assets,6188000,5930000,5601000,89014000,86986000,85724000,85615000,85615000,99660000,103928000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8026000,6907000,4549000,12630000,2049000,2394000,8616000,4504000,11248000,14446000
45,Total Non-Current Assets,227609000,343004000,326409000,507226000,605453000,650448000,651259000,874729000,1234161000,1725417000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,273636000,400003000,384489000,574547000,726168000,760111000,748770000,994818000,1429612000,1924147000
48,Accounts Payable,6730000,8306000,4013000,9303000,9869000,7554000,15551000,18985000,15208000,29535000
49,Short-Term Debt,798000,5435000,10237000,6673000,4109000,6186000,2722000,6590000,13328000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,130000,602000,60000,485000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10179000,18511000,10586000,24072000,54346000,60790000,149059000,102797000,133618000,227471000
53,Total Current Liabilities,17837000,32854000,24896000,40533000,68324000,74530000,167332000,128372000,162154000,257006000
54,Long-Term Debt,39361000,95089000,83838000,206525000,346686000,468831000,429933000,596430000,962795000,1476945000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,13217000,36000
57,Other Non-Current Liabilities,480000,649000,1227000,1337000,1641000,6381000,4789000,37440000,15419000,-80504000
58,Total Non-Current Liabilities,39841000,95738000,85065000,207862000,348327000,475212000,434722000,633870000,991431000,1396477000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,33469000,50074000,- -
61,Total Liabilities,57678000,128592000,109961000,248395000,416651000,549742000,602054000,762242000,1153585000,1653483000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-10365000,-22330000,-40858000,-64738000,595000,-3040000,439000,23000,-18000,299000
66,Other Total Stockholders Equity,226323000,293741000,315386000,390890000,308517000,213369000,301683000,436271000,- -,270304000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,270664000
68,Total Liabilities And Stockholders Equity,273636000,400003000,384489000,574547000,726168000,760111000,748770000,994818000,1429612000,1924147000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,273636000,400003000,384489000,574547000,726168000,760111000,748770000,994818000,1429612000,1924147000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1592057/000104746916010850/0001047469-16-010850-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000104746917001016/0001047469-17-001016-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000155837018000899/0001558370-18-000899-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000159205719000003/0001592057-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000159205720000003/0001592057-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000159205721000006/0001592057-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000159205722000005/0001592057-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-34169000,-5439000,264000,20422000,19267000,17513000,6952000,-2943000,13624000,-106324000
74,Depreciation and Amortization,7731000,11887000,19009000,30738000,27722000,40361000,40745000,51581000,77471000,92919000
75,Deferred Income Tax,- -,- -,- -,2663000,- -,- -,- -,- -,- -,-21629000
76,Stock Based Compensation,509000,5000,2000,704000,4230000,5014000,6229000,5410000,12848000,55924000
77,Change in Working Capital,-5985000,-4045000,9039000,-6396000,25603000,-17258000,-104954000,61538000,41580000,-91573000
78,Accounts Receivable,6415000,-15977000,3880000,-3518000,-39218000,-1317000,19230000,-16330000,-60235000,24088000
79,Inventory,-6997000,-8090000,1168000,-22000,-8240000,5758000,-7843000,-1889000,825000,-15398000
80,Accounts Payable,-6998000,8301000,-1889000,5538000,18834000,-2331000,14916000,9287000,35189000,50797000
81,Other Working Capital,28190000,24145000,33184000,26788000,52391000,35133000,-69821000,-8283000,33297000,-58276000
82,Other Non-Cash Items,12466000,-9985000,1120000,18087000,-19429000,41465000,135081000,-61726000,-26188000,104073000
83,Cash Provided by Operating Activities,-19448000,-7577000,29434000,66218000,57393000,87095000,84053000,53860000,119335000,33390000
84,CAPEX,-90471000,-124732000,-14733000,-8475000,-70910000,-28744000,-27132000,-111269000,-100106000,-332322000
85,Acquisitions Net,- -,- -,- -,-3573000,- -,- -,- -,-74700000,-292930000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-7663000,8933000,69000,299000,1763000,143000,1130000,8486000,-3769000,- -
89,Cash Used for Investing Activites,-98134000,-115799000,-14664000,-11749000,-69147000,-28601000,-26002000,-177483000,-396805000,-332322000
90,Debt Repayment,-9537000,-7537000,-58136000,-199638000,-204208000,-82954000,-272716000,-884311000,-641071000,-13188000
91,Common Stock Issued,105189000,58335000,- -,227437000,9300000,11903000,241000,96822000,190529000,214501000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2341000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-314068000,-195982000,-120254000,-73518000,-95659000,-133217000,- -
94,Other Financing Activites,22402000,64437000,40400000,233383000,400982000,132869000,292219000,1013364000,862180000,48462000
95,Cash Used/Provided by Financing Activities,118054000,115235000,-17736000,-52886000,10092000,-58436000,-56115000,130216000,278421000,249775000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,472000,-8141000,-2966000,1583000,-1662000,58000,1936000,6593000,951000,-49157000
98,Cash at the End of Period,11699000,3558000,592000,2175000,466000,524000,2460000,9053000,10004000,18518000
99,Cash at the Beginning of Period,11227000,11699000,3558000,592000,2128000,466000,524000,2460000,9053000,67675000
100,Free Cash Flow,-109919000,-132309000,14701000,57743000,-13517000,58351000,56921000,-57409000,19229000,-298932000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1592057/000104746916010850/0001047469-16-010850-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000104746917001016/0001047469-17-001016-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000155837018000899/0001558370-18-000899-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000159205719000003/0001592057-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000159205720000003/0001592057-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000159205721000006/0001592057-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1592057/000159205722000005/0001592057-22-000005-index.htm
102,false,,,,,,,,,,
