,https://roic.ai/company/INLB,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,20801,5738,890,- -,- -,- -,- -,87476,- -,2678694
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119992
52,Other Current Liabilities,40000,10000,1022500,37779,105493,178550,135003,115467,230700,1289606,2787711,5240236
53,Total Current Liabilities,40000,10000,3390000,1981940,3097360,1891380,2162378,2338723,981210,7137870,10288548,14990034
54,Long-Term Debt,- -,- -,150000,298530,47500,3206000,- -,- -,1500000,- -,- -,15061805
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,655851
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,1099840,100,- -,- -,- -,- -,-123940,- -,- -
58,Total Non-Current Liabilities,- -,- -,150000,1398370,47600,3206000,- -,- -,1500000,-123940,- -,15717656
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2359972,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200816,160998
61,Total Liabilities,40000,10000,3540000,3380310,3144960,5097380,2162378,2338723,2481210,7013930,12648520,30707690
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,3810,6230,7250,14825,15038,5480,6370,6834,10707
64,Retained Earnings,-20000,-60000,-11690000,-15012690,-32094910,-36835600,-39961133,-40227704,-870240,-10694940,- -,-33874094
65,Other Comprehensive Income/Loss,- -,- -,-60000,-35060,- -,- -,-79036,-82540,-67100,-137480,- -,- -
66,Other Total Stockholders Equity,- -,55000,9465000,12106089,29452372,31843638,37952181,38065123,3549369,18286438,8008415,- -
67,Total Stockholders Equity,-22812,-5000,-2285000,-2937851,-2636308,-4984712,-2073163,-2230083,2617509,7460388,8015249,86101443
68,Total Liabilities And Stockholders Equity,17188,5000,1255000,442459,508652,112668,89215,108640,5098719,14474318,20663769,116809133
69,Minority Interest,2812,-5000,-115000,1,8,2,- -,- -,-55039,2,-1681209,- -
70,Total Liabilities & Equity,20000,- -,1140000,442460,508660,112670,89215,108640,5043680,14474320,18982560,116809133
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1500123/000110807812000095/0001108078-12-000095-index.html,https://www.sec.gov/Archives/edgar/data/1500123/000155479513000029/0001554795-13-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479514000012/0001554795-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479515000010/0001554795-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479516000564/0001554795-16-000564-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1500123/000155479520000013/0001554795-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479521000008/0001554795-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479522000016/0001554795-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-20000,-40000,-4100000,-3325070,-17082230,-4740680,-3125536,-266571,-688720,-9824700,-12299657,-10905772
74,Depreciation and Amortization,- -,- -,60954,62956,65751,64480,9928,3504,49786,676134,979158,1260665
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,233652,334631,1715424
77,Change in Working Capital,8190,10000,-2620000,765130,-1038950,1108650,-284522,-151029,4510061,-6454300,-3221298,3002873
78,Accounts Receivable,- -,- -,-611370,576351,31882,2607,-43822,44352,1500,-339644,3410,-1085400
79,Inventory,- -,- -,-8030,-39793,-20191,26157,39753,-1292,- -,- -,- -,-4244241
80,Accounts Payable,- -,- -,406091,212936,-228676,20323,51730,199,52660,351036,900661,676453
81,Other Working Capital,-20000,-10000,-2630000,-1864870,-2903820,-1795170,-2079692,-2230721,2279340,-4174960,-7396258,-4393385
82,Other Non-Cash Items,-3112,-10378,5692871,2143440,17316831,2826701,3060406,483002,-4846889,12975786,13065750,-1062771
83,Cash Provided by Operating Activities,-14922,-40378,-966175,-353544,-738598,-740849,-339724,68906,-975762,-2393428,-1141416,-5989581
84,CAPEX,- -,- -,-19786,-35534,-16000,-6710,- -,- -,-542631,-6457612,-406116,-2242217
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,87899,-1385000,-555738,-1680752
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-75089,- -,- -,- -,- -,- -,79300,-50848,-163964,5000
89,Cash Used for Investing Activites,- -,- -,-94875,-35534,-16000,-6710,- -,- -,-375432,-7842612,-886854,-3917969
90,Debt Repayment,- -,- -,-75000,-444322,-45500,-22678,-38712,-8788,- -,- -,-580996,-4583469
91,Common Stock Issued,300,55000,5000,433750,25000,271400,63400,- -,1511600,5885003,- -,13299808
92,Common Stock Repurchased,- -,- -,- -,- -,-601762,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,14922,-14922,940433,418192,1399500,498000,300000,- -,- -,3251714,2119000,2560994
95,Cash Used/Provided by Financing Activities,15222,40078,870433,407620,777238,746722,324688,-8788,1511600,9136717,1538004,11277333
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,15222,40078,-190617,18542,22640,-837,-15036,60118,160406,-1099323,-490266,1369783
98,Cash at the End of Period,300,- -,1400,19942,42582,41745,26709,86827,174266,574943,84677,1454460
99,Cash at the Beginning of Period,- -,300,192017,1400,19942,42582,41745,26709,13860,1674266,574943,84677
100,Free Cash Flow,-14922,-40378,-985961,-389078,-754598,-747559,-339724,68906,-1518393,-8851040,-1547532,-8231798
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1500123/000110807812000095/0001108078-12-000095-index.html,https://www.sec.gov/Archives/edgar/data/1500123/000155479513000029/0001554795-13-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479514000012/0001554795-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479515000010/0001554795-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479516000564/0001554795-16-000564-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1500123/000155479520000013/0001554795-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479521000008/0001554795-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479522000016/0001554795-22-000016-index.htm
102,false,,,,,,,,,,,,
