,https://roic.ai/company/IGXT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,308000,308000,1245000,- -,3634000,- -,- -,- -,166000,189000
52,Other Current Liabilities,3547,9165,21662,- -,- -,653069,704500,349000,666000,1058000,593000,466000,- -,- -,- -,- -,- -,- -,6546000
53,Total Current Liabilities,3547,11389,22012,154020,- -,1367571,704500,349000,666000,1366000,901000,1711000,1779000,5235000,2077000,2722000,8447000,4368000,7020000
54,Long-Term Debt,- -,- -,- -,168737,- -,82357,- -,- -,- -,- -,- -,- -,1546000,2565000,7191000,7260000,727000,7137000,3142000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,615000,308000,- -,- -,- -,- -,- -,- -,- -,79000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000,45000,50000,49000,- -,566000,3714000
58,Total Non-Current Liabilities,- -,- -,- -,168737,- -,82357,- -,- -,- -,615000,308000,- -,1573000,2610000,7241000,7309000,727000,7703000,7014000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3007000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,692000,732000,- -
61,Total Liabilities,3547,11389,22012,322757,- -,1449928,704500,349000,666000,1981000,1209000,1711000,3352000,7845000,9318000,10031000,10727000,12071000,14034000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,15,15,15,- -,- -,209,300,- -,- -,- -,1000,1000,1000,1000,1000,1000,1000,1000,1000
64,Retained Earnings,-4047,-11889,-23012,-817865,- -,-4725045,-6665400,-9761000,-12213000,-14463000,-16102000,-17848000,-16557000,-17737000,-20788000,-30896000,-41507000,-48551000,-57863000
65,Other Comprehensive Income/Loss,- -,- -,- -,-19619,58545,-184342,12600,150000,199000,299000,175000,-234000,-726000,-1019000,-637000,-1166000,-836000,-856000,-1371000
66,Other Total Stockholders Equity,485,485,985,1222138,211874,5080780,8809500,11526000,16436000,17003000,20934000,22654000,22846000,23700000,25253000,42048000,42635000,48453000,63104000
67,Total Stockholders Equity,-3547,-11389,-22012,328079,211874,171602,2157000,1476000,3904000,2178000,5008000,4573000,5564000,4945000,3829000,9987000,293000,-953000,3871000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,650836,235244,1621530,2861500,1825000,4570000,4159000,6217000,6284000,8916000,12790000,13147000,20018000,11020000,11118000,17905000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,650836,235244,1621530,2861500,1825000,4570000,4159000,6217000,6284000,8916000,12790000,13147000,20018000,11020000,11118000,17905000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1098880/000120445908000616/0001204459-08-000616-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1098880/000106299320001503/0001062993-20-001503-index.htm,https://www.sec.gov/Archives/edgar/data/1098880/000106299321002995/0001062993-21-002995-index.htm,https://www.sec.gov/Archives/edgar/data/1098880/000106299322008487/0001062993-22-008487-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-108,-7842,-11123,-781136,-1100793,-2806387,-1940400,-3096000,-2452000,-2250000,-1639000,-1746000,1291000,-1180000,-3051000,-10108000,-10660000,-7044000,-9312000
74,Depreciation and Amortization,- -,- -,- -,33912,42005,51772,44600,44000,37000,46000,72000,74000,171000,511000,735000,719000,718000,734000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-64080,-151581,-127400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,110661,66500,60000,38000,59000,114000,101000,130000,195000,315000,370000,333000,193000,- -
77,Change in Working Capital,108,-7842,-10623,356967,-334955,96803,1901797,-681600,2313000,-1340000,2359000,-1105000,-1151000,-1276000,2850000,6374000,-15568000,5164000,4480000
78,Accounts Receivable,- -,- -,- -,- -,- -,110413,-301100,227000,-38000,-1019000,1138000,-508000,-488000,96000,421000,-192000,426000,121000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-375000,- -,138000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1129000,-698000,408000,- -,- -,- -,- -
81,Other Working Capital,-3547,-11389,-22012,334955,- -,96803,1998600,1317000,3630000,2290000,4649000,3544000,2393000,1117000,3967000,10341000,-5227000,-63000,4417000
82,Other Non-Cash Items,- -,15684,21746,-99394,489118,961700,-1533297,1093600,-2252000,1847000,-2079000,1296000,105000,3479000,-5232000,-5885000,16978000,-4815000,4832000
83,Cash Provided by Operating Activities,- -,- -,- -,-489651,-968705,-1737032,-1588200,-2580000,-2316000,-1638000,-1173000,-1380000,546000,1729000,-4383000,-8530000,-8199000,-5768000,- -
84,CAPEX,- -,- -,- -,-97511,-82964,-7057,-22700,-37000,-159000,-270000,-266000,-403000,-3380000,-2326000,-973000,-1096000,-525000,-120000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5236000,-3952000,-4273000,-1535000,-4532000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1652000,4718000,3192000,5265000,4126000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-277220,277200,- -,-125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-97511,-82964,-284277,254500,-37000,-159000,-270000,-266000,-403000,-3380000,-5910000,-207000,-2177000,3205000,-526000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1064500,- -,- -,- -,- -,- -,-22000,-675000,-708000,-749000,-711000,-474000,- -
91,Common Stock Issued,- -,- -,- -,1341750,- -,2930365,3873500,2465000,5149000,- -,3500000,- -,- -,- -,- -,15409000,- -,5564000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-677900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-518207,1162862,-451581,- -,-356000,-369000,365000,979000,1619000,1814000,2599000,6216000,1744000,21000,1150000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,823543,1162862,2478784,2131100,2109000,4780000,365000,4479000,1619000,1792000,1924000,5508000,16404000,-690000,6240000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,-19741,-7798,-232443,171500,127000,56000,97000,-94000,-442000,-492000,4000,61000,-473000,201000,-73000,- -
97,Net Change In Cash,- -,- -,- -,216640,103395,225032,968900,-381000,2361000,-1446000,2946000,-606000,-1534000,-2253000,979000,5224000,-5483000,-127000,- -
98,Cash at the End of Period,- -,- -,- -,227578,330983,555999,1524900,1144000,3505000,2059000,5005000,4399000,2865000,612000,1591000,6815000,1332000,1205000,- -
99,Cash at the Beginning of Period,- -,- -,- -,10938,227588,330967,556000,1525000,1144000,3505000,2059000,5005000,4399000,2865000,612000,1591000,6815000,1332000,1205000
100,Free Cash Flow,- -,- -,- -,-587162,-1051669,-1744089,-1610900,-2617000,-2475000,-1908000,-1439000,-1783000,-2834000,-597000,-5356000,-9626000,-8724000,-5888000,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1098880/000120445908000616/0001204459-08-000616-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1098880/000106299320001503/0001062993-20-001503-index.htm,https://www.sec.gov/Archives/edgar/data/1098880/000106299321002995/0001062993-21-002995-index.htm,https://www.sec.gov/Archives/edgar/data/1098880/000106299322008487/0001062993-22-008487-index.htm
102,false,,,,,,,,,,,,,,,,,,,
