,https://roic.ai/company/AITX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,204423,144204,54939,88059,9446,3100,736583,591049,343642,1567353
48,Accounts Payable,- -,107200,402333,307842,11197,98214,487243,1486488,1144660,1373838
49,Short-Term Debt,288115,273462,313323,454244,557860,1684734,2451918,6646523,8658659,2128060
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1594,- -,10000,10000,10000,10500
52,Other Current Liabilities,38517,- -,13227,124379,476386,13396574,31835030,7600590,9863902,898312
53,Total Current Liabilities,326632,380662,728883,886465,1047037,15179522,34784191,15743601,19677221,4410710
54,Long-Term Debt,122263,381190,43529,208890,425899,41977,159392,403430,69515,8871857
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,29354,20200,105492,41093,55917,275736,1703311,2828473
58,Total Non-Current Liabilities,122263,381190,72883,229090,531391,83070,215309,679166,1772826,11700330
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,27725,11153,- -,- -,- -,- -,47753
61,Total Liabilities,448895,761852,801766,1115555,1578428,15262592,34999500,16422767,21450047,16111040
62,Preferred Stock,- -,- -,- -,1000,1000,2000,7800,7800,7800,7149
63,Common Stock,1850,1850,2310,75,4909,17657,125004,2003,4,32294
64,Retained Earnings,-4123472,-4496648,-5330380,-6379808,-7647763,26198135,-35504029,-20142492,-25622843,-31521754
65,Other Comprehensive Income/Loss,- -,-26871,-41745,-11874,-182,- -,-36632,-72485,- -,- -
66,Other Total Stockholders Equity,3877150,3904021,4622988,5363111,6073054,-41477284,1144940,4373456,4508634,16938624
67,Total Stockholders Equity,-244472,-617648,-746827,-1027496,-1568982,-15259492,-34262917,-15831718,-21106405,-14543687
68,Total Liabilities And Stockholders Equity,204423,144204,54939,88059,9446,3100,736583,591049,343642,1567353
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,204423,144204,54939,88059,9446,3100,736583,591049,343642,1567353
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1498148/000116169719000466/0001161697-19-000466-index.htm,https://www.sec.gov/Archives/edgar/data/1498148/000116169720000334/0001161697-20-000334-index.htm,https://www.sec.gov/Archives/edgar/data/1498148/000116169721000289/0001161697-21-000289-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-4088407,-373176,-766675,-1049428,-1267955,33845898,-24249001,15361537,-6213649,-5898911
74,Depreciation and Amortization,8165,9214,14874,11874,18583,767,130081,114612,102241,120846
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,3750000,- -,- -,- -,- -,- -,2840,746265,- -,362084
77,Change in Working Capital,25198,-51035,-355555,-186841,-162794,-14135092,-19115780,18915282,-4212088,16385331
78,Accounts Receivable,-3660,1908,3039,-5250,5250,- -,-20222,-11964,-10153,-73295
79,Inventory,-16685,-4875,18195,- -,- -,- -,-270014,42617,-6875,-177196
80,Accounts Payable,- -,- -,- -,- -,- -,112782,344297,1219703,157165,89229
81,Other Working Capital,- -,-336140,-691695,-878536,-1041330,-15176422,-34292202,-15376920,-19589008,-3203677
82,Other Non-Cash Items,- -,181349,628393,845346,856326,-19896404,39922630,-36941957,8566473,-14042675
83,Cash Provided by Operating Activities,-305044,-233648,-478963,-379049,-555840,-184831,-3309230,-1804261,-1757023,-3073325
84,CAPEX,-23290,- -,- -,-30000,- -,- -,-228371,-232858,-26825,-37764
85,Acquisitions Net,-7700,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-11119,30141,9500,-2859
89,Cash Used for Investing Activites,-30990,- -,- -,-30000,- -,- -,-239490,-202717,-17325,-40623
90,Debt Repayment,-58974,-22265,-22265,-4279,-6258,-4892,-61533,-349246,-534890,-1116930
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,284938,255941,526995,385824,561642,190600,3578119,2352643,2301353,5261989
95,Cash Used/Provided by Financing Activities,225964,233676,504730,381545,555384,185708,3516586,2003397,1766463,4145059
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-110070,28,13900,-27504,-456,877,-32134,-3581,-7885,1031111
98,Cash at the End of Period,18690,18718,32618,2679,2223,3100,24773,21192,13307,1044418
99,Cash at the Beginning of Period,128760,18690,18718,30183,2679,2223,56907,24773,21192,13307
100,Free Cash Flow,-328334,-233648,-478963,-409049,-555840,-184831,-3537601,-2037119,-1783848,-3111089
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1498148/000116169719000466/0001161697-19-000466-index.htm,https://www.sec.gov/Archives/edgar/data/1498148/000116169720000334/0001161697-20-000334-index.htm,https://www.sec.gov/Archives/edgar/data/1498148/000116169721000289/0001161697-21-000289-index.htm
102,false,,,,,,,,,,
