,https://roic.ai/company/TMDX,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1756262/000156459020011409/0001564590-20-011409-index.html,https://www.sec.gov/Archives/edgar/data/1756262/000156459021012527/0001564590-21-012527-index.htm,https://www.sec.gov/Archives/edgar/data/1756262/000156459022008045/0001564590-22-008045-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,11936000,20241000,20092000,24581000,25580000
32,Short-Term Investments,- -,12727000,- -,60596000,101061000,66872000
33,Cash and Short-Term Investments,- -,24663000,20241000,80688000,125642000,92452000
34,Net Receivables,- -,925000,3438000,6559000,6864000,5934000
35,Inventory,- -,7971000,9277000,11216000,11934000,14859000
36,Other Current Assets,- -,477000,1838000,1538000,2326000,5460000
37,Total Current Assets,- -,34036000,34794000,100001000,146766000,118705000
38,PP&E,- -,2459000,3474000,4792000,4754000,15688000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,506000,3889000,506000,506000,500000
45,Total Non-Current Assets,- -,2965000,7363000,5298000,5260000,16188000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,37001000,42157000,105299000,152026000,134893000
48,Accounts Payable,- -,3515000,4720000,7247000,1206000,6651000
49,Short-Term Debt,- -,1805000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,239000,306000,166000,263000,250000
52,Other Current Liabilities,- -,5340000,7527000,8702000,10410000,16337000
53,Total Current Liabilities,- -,10899000,12553000,16115000,11879000,23238000
54,Long-Term Debt,- -,6847000,33670000,34146000,34657000,8604000
55,Deferred Revenue,- -,- -,- -,389000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,187979000,759000,- -,1599000,35197000
58,Total Non-Current Liabilities,- -,194826000,34429000,34535000,36256000,43801000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,8604000
61,Total Liabilities,- -,205725000,46982000,50650000,48135000,67039000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,331212000,424134000,502217000,- -
64,Retained Earnings,- -,-312180000,-335936000,-369483000,-398231000,- -
65,Other Comprehensive Income/Loss,- -,-149000,-101000,-2000,-95000,-188000
66,Other Total Stockholders Equity,- -,143604000,- -,- -,- -,- -
67,Total Stockholders Equity,- -,-168724000,-4825000,54649000,103891000,67854000
68,Total Liabilities And Stockholders Equity,- -,37001000,42157000,105299000,152026000,134893000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,37001000,42157000,105299000,152026000,134893000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1756262/000156459020011409/0001564590-20-011409-index.html,https://www.sec.gov/Archives/edgar/data/1756262/000156459021012527/0001564590-21-012527-index.htm,https://www.sec.gov/Archives/edgar/data/1756262/000156459022008045/0001564590-22-008045-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-24065000,-20823000,-23756000,-33547000,-28748000,-44215000
74,Depreciation and Amortization,426000,630000,769000,1222000,1577000,1817000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,45000,70000,144000,854000,2414000,6878000
77,Change in Working Capital,-872000,23423000,-896000,61645000,51001000,-39420000
78,Accounts Receivable,-758000,454000,-2513000,-3166000,-218000,840000
79,Inventory,-1587000,-2497000,-2699000,-4121000,-1740000,-4894000
80,Accounts Payable,1062000,-735000,164000,3443000,-5802000,5090000
81,Other Working Capital,-286000,23137000,22241000,83886000,134887000,95467000
82,Other Non-Cash Items,357000,-26398000,-2245000,-62460000,-56509000,46076000
83,Cash Provided by Operating Activities,-24109000,-23098000,-25984000,-32286000,-30265000,-28864000
84,CAPEX,-1478000,-263000,-418000,-165000,-455000,-3519000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-46534000,-19187000,- -,-82371000,-121793000,-72024000
87,Sales/Maturities of Investments,8340000,44309000,12725000,22035000,80650000,104810000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-39672000,24859000,12307000,-60501000,-41598000,29267000
90,Debt Repayment,- -,- -,-9076000,- -,-2249000,- -
91,Common Stock Issued,- -,- -,- -,97367000,75670000,974000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,63544000,3000,31140000,-4644000,2128000,419000
95,Cash Used/Provided by Financing Activities,63544000,3000,22064000,92723000,75549000,1393000
96,Effect of Forex Changes on Cash,-6000,335000,-82000,-85000,803000,-797000
97,Net Change In Cash,-243000,2099000,8305000,-149000,4489000,999000
98,Cash at the End of Period,10337000,12436000,20741000,20592000,25081000,26080000
99,Cash at the Beginning of Period,10580000,10337000,12436000,20741000,20592000,25081000
100,Free Cash Flow,-25587000,-23361000,-26402000,-32451000,-30720000,-32383000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1756262/000156459020011409/0001564590-20-011409-index.html,https://www.sec.gov/Archives/edgar/data/1756262/000156459021012527/0001564590-21-012527-index.htm,https://www.sec.gov/Archives/edgar/data/1756262/000156459022008045/0001564590-22-008045-index.htm
102,false,,,,,,
