,https://roic.ai/company/MUSA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1573516/000157351614000005/musa-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1573516/000157351615000008/musa-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1573516/000157351616000051/0001573516-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351617000006/0001573516-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351618000010/0001573516-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351619000012/0001573516-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351620000007/0001573516-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351621000017/0001573516-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1573516/000157351622000006/0001573516-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,36887000,57373000,294741000,328105000,102335000,153813000,170028000,184500000,280300000,163600000,256400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,36887000,57373000,294741000,328105000,102335000,153813000,170028000,184500000,280300000,163600000,256400000
34,Net Receivables,- -,356684000,529023000,193181000,140091000,136253000,183519000,225268000,138800000,172900000,168800000,195700000
35,Inventory,- -,184105000,217394000,179055000,182914000,155906000,153351000,182477000,221500000,227600000,279100000,292300000
36,Other Current Assets,- -,10677000,18172000,15439000,14772000,41173000,24871000,36521000,25300000,30000000,13700000,23400000
37,Total Current Assets,- -,588353000,821962000,682416000,665882000,435667000,515554000,614294000,570100000,710800000,625200000,767800000
38,PP&E,- -,1196323000,1169960000,1190723000,1253124000,1369318000,1532655000,1679470000,1748200000,1807300000,1867600000,2797600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140700000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,468700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,307000,543000,8103000,15251000,81256000,40531000,37275000,42500000,169100000,192900000,14100000
45,Total Non-Current Assets,- -,1196630000,1170503000,1198826000,1268375000,1450574000,1573186000,1716745000,1790700000,1976400000,2060500000,3280400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1784983000,1992465000,1881242000,1934257000,1886241000,2088740000,2331039000,2360800000,2687200000,2685700000,4048200000
48,Accounts Payable,- -,375492000,612755000,311397000,230919000,226769000,309988000,339606000,274900000,280800000,261000000,392500000
49,Short-Term Debt,- -,- -,- -,14000000,- -,222000,40596000,19887000,21200000,38800000,51200000,15000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124600000,135000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,117060000,121154000,201120000,182161000,165301000,163976000,173858000,182000000,185400000,218900000,267800000
53,Total Current Liabilities,- -,492552000,733909000,526517000,413080000,392292000,514560000,533351000,478100000,505000000,531100000,675300000
54,Long-Term Debt,- -,1170000,1124000,547578000,492443000,490160000,629622000,860864000,842100000,999300000,951200000,2209000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,150375000,129825000,114932000,118609000,161236000,204656000,154245000,192200000,216700000,218400000,295900000
57,Other Non-Current Liabilities,- -,21939000,23156000,35879000,51420000,50263000,42826000,44177000,41100000,163200000,200900000,60800000
58,Total Non-Current Liabilities,- -,173484000,154105000,698389000,662472000,701659000,877104000,1059286000,1075400000,1379200000,1370500000,2565700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408900000
61,Total Liabilities,- -,666036000,888014000,1224906000,1075552000,1093951000,1391664000,1592637000,1553500000,1884200000,1901600000,3241000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,467000,468000,468000,468000,468000,500000,500000,500000,500000
64,Retained Earnings,- -,- -,- -,107576000,351439000,527779000,749271000,994535000,1208100000,1362900000,1743100000,2112400000
65,Other Comprehensive Income/Loss,- -,-449078000,-590568000,-655360000,-730202000,-724486000,-780426000,-874675000,-974200000,1000000,-1900000,-1200000
66,Other Total Stockholders Equity,- -,1568025000,1695019000,1203653000,1237000000,988529000,727763000,618074000,572900000,-561400000,-957600000,-1304500000
67,Total Stockholders Equity,- -,1118947000,1104451000,656336000,858705000,792290000,697076000,738402000,807300000,803000000,784100000,807200000
68,Total Liabilities And Stockholders Equity,- -,1784983000,1992465000,1881242000,1934257000,1886241000,2088740000,2331039000,2360800000,2687200000,2685700000,4048200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1784983000,1992465000,1881242000,1934257000,1886241000,2088740000,2331039000,2360800000,2687200000,2685700000,4048200000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1573516/000157351614000005/musa-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1573516/000157351615000008/musa-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1573516/000157351616000051/0001573516-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351617000006/0001573516-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351618000010/0001573516-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351619000012/0001573516-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351620000007/0001573516-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351621000017/0001573516-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1573516/000157351622000006/0001573516-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,157441000,324020000,83568000,235033000,243863000,176340000,221492000,245264000,213600000,154800000,386100000,396900000
74,Depreciation and Amortization,60698000,64879000,76622000,74130000,79234000,86568000,98610000,116966000,134000000,152200000,161000000,212600000
75,Deferred Income Tax,-4851000,22948000,-13604000,-7262000,-1032000,40556000,40407000,-50411000,37900000,23700000,2500000,19000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,53446000,124522000,-7748000,67846000,96903000,-209427000,-42381000,79949000,11057000,113800000,-111700000,82800000
78,Accounts Receivable,-183772000,244828000,-172340000,331679000,59171000,2857000,-47203000,-41673000,86600000,-33400000,4900000,-18900000
79,Inventory,-4731000,20181000,-33289000,20532000,-3858000,1121000,2143000,-16344000,-39000000,-6100000,-51700000,11100000
80,Accounts Payable,263206000,-452491000,235420000,-272371000,-50972000,1043000,83384000,26841000,-56700000,- -,8300000,102900000
81,Other Working Capital,-28721000,95801000,88053000,155899000,252802000,43375000,994000,80943000,92000000,205800000,94100000,- -
82,Other Non-Cash Items,89149000,-347996000,98589000,-13049000,-113386000,121801000,19312000,-108143000,2143000,-131200000,125800000,26100000
83,Cash Provided by Operating Activities,355883000,188373000,237427000,356698000,305582000,215838000,337440000,283625000,398700000,313300000,563700000,737400000
84,CAPEX,-221997000,-99819000,-112452000,-165262000,-140257000,-205225000,-262144000,-258257000,-204300000,-204800000,-230700000,-274700000
85,Acquisitions Net,- -,- -,- -,170000000,-4000000,86000000,2000000,- -,- -,- -,- -,-641100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-154963000,912699000,-495000,-164561000,-7624000,-156731000,122935000,-3850000,-4800000,1700000,6400000,1600000
89,Cash Used for Investing Activites,-376661000,812880000,-112088000,-159097000,-150512000,-275956000,-137209000,-262107000,-209100000,-203100000,-224300000,-914200000
90,Debt Repayment,-82037000,-42000,-42000,-81170000,-70000000,-146000,-20438000,-131412000,-21300000,-573400000,-38900000,-224300000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-51348000,-248695000,-323272000,-205992000,-144400000,-165800000,-399600000,-355000000
93,Dividends Paid,- -,-1021038000,-104811000,-685609000,- -,- -,- -,- -,- -,- -,-6900000,-27300000
94,Other Financing Activites,109377000,- -,- -,634557000,-1455000,-3133000,192602000,332101000,-9400000,724800000,-10700000,876200000
95,Cash Used/Provided by Financing Activities,27340000,-1021080000,-104853000,-132222000,-122803000,-251974000,-151108000,-5303000,-175100000,-14400000,-456100000,269600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6562000,-19827000,20486000,237368000,33364000,-225770000,51478000,16215000,14500000,95800000,-116700000,92800000
98,Cash at the End of Period,56714000,36887000,57373000,294741000,328105000,102335000,153813000,170028000,184500000,280300000,163600000,256400000
99,Cash at the Beginning of Period,50152000,56714000,36887000,57373000,294741000,328105000,102335000,153813000,170000000,184500000,280300000,163600000
100,Free Cash Flow,133886000,88554000,124975000,191436000,165325000,10613000,75296000,25368000,194400000,108500000,333000000,462700000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1573516/000157351614000005/musa-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1573516/000157351615000008/musa-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1573516/000157351616000051/0001573516-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351617000006/0001573516-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351618000010/0001573516-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351619000012/0001573516-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351620000007/0001573516-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1573516/000157351621000017/0001573516-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1573516/000157351622000006/0001573516-22-000006-index.htm
102,false,,,,,,,,,,,,
