,https://roic.ai/company/SACH,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,250497,343491,743681,1331858,2247256,2353325,3913037,3787753
35,Inventory,427298,1001054,- -,- -,- -,- -,- -,- -
36,Other Current Assets,14849019,27532867,33750610,63386668,78978342,-982327,- -,-102572558
37,Total Current Assets,21401735,30711494,36056154,65672749,81324908,36162737,- -,106360311
38,PP&E,- -,- -,397448,501819,1180107,1346396,1433388,2172185
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,1222454,- -,- -,15949802,37293703,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,53833,83992,693365,1319969,3509035,87752310,- -,- -
45,Total Non-Current Assets,53833,83992,2313267,1821788,4689142,105048508,- -,2172185
46,Other Assets,- -,- -,- -,- -,- -,- -,226670184,313773625
47,Total Assets,21455568,30795486,38369421,67494537,86014050,141211245,226670184,417961751
48,Accounts Payable,13281,37829,24350,431350,493032,253295,376006,- -
49,Short-Term Debt,- -,- -,310000,9841613,27219123,- -,- -,160529363
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,196708,297731,582331,1628164,1375730,2054008,3929870,4643490
52,Other Current Liabilities,5141504,6230409,8967125,1027129,-24770287,7807,- -,- -
53,Total Current Liabilities,5351493,6565969,9883806,12928256,4317598,2315110,- -,165172853
54,Long-Term Debt,- -,- -,310000,301101,290984,56335324,110720727,86193251
55,Deferred Revenue,- -,- -,- -,- -,1375730,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,27226923,-4,- -,- -
58,Total Non-Current Liabilities,- -,- -,310000,301101,28893637,56335320,110720727,86193251
59,Other Liabilities,- -,- -,- -,- -,- -,- -,256471371,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5351493,6565969,9883806,12928256,33211235,58650427,145750644,237879190
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,15416,15439,22117,22125,32730
64,Retained Earnings,- -,- -,- -,1235093,-405483,-1266729,-2890969,-4992450
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-476016
66,Other Total Stockholders Equity,16104075,24229517,28485615,53315772,53192859,83805430,83788384,185518297
67,Total Stockholders Equity,16104075,24229517,28485615,54566281,52802815,82560818,80919540,180082561
68,Total Liabilities And Stockholders Equity,21455568,30795486,38369421,67494537,86014050,141211245,226670184,417961751
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,21455568,30795486,38369421,67494537,86014050,141211245,226670184,417961751
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1682220/000114420417019485/0001144204-17-019485-index.htm,https://www.sec.gov/Archives/edgar/data/1682220/000114420418018601/0001144204-18-018601-index.html,https://www.sec.gov/Archives/edgar/data/1682220/000114420419017051/0001144204-19-017051-index.html,https://www.sec.gov/Archives/edgar/data/1682220/000110465920039904/0001104659-20-039904-index.html,https://www.sec.gov/Archives/edgar/data/1682220/000110465921044384/0001104659-21-044384-index.htm,https://www.sec.gov/Archives/edgar/data/1682220/000141057822000767/0001410578-22-000767-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,1469812,2306903,3050627,4860848,7771785,6196011,8993865,13318696
74,Depreciation and Amortization,- -,- -,- -,28358,32529,63566,61865,1215200
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,37589,43147,16429,191318
77,Change in Working Capital,-5299,8095283,2026823,26572145,24262817,-43159683,-33847627,-58812542
78,Accounts Receivable,-110454,-207098,-213438,-166565,-994900,-154196,-504578,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,13281,24548,-13479,16242,136027,-239738,122026,- -
81,Other Working Capital,16050242,24145525,26172348,52744493,77007310,33847627,- -,-58812542
82,Other Non-Cash Items,- -,-8025989,-1380265,-26616639,-25888671,44972916,34403280,72167129
83,Cash Provided by Operating Activities,1464513,2376197,3697185,4844712,6216049,8115957,9627812,28079801
84,CAPEX,- -,- -,-397448,-1780,1307033,-179945,-148857,-822322
85,Acquisitions Net,- -,- -,-1000000,-1000000,-1000000,-1000000,- -,- -
86,Purchases of Investments,- -,- -,-886009,-2000000,- -,-16000680,-97555422,-204064590
87,Sales/Maturities of Investments,- -,- -,1059629,2723478,- -,- -,77139664,-284769
88,Other Investing Activites,-5150641,-13178500,-5717943,-28520378,-15124439,-20575135,-62259195,38901574
89,Cash Used for Investing Activites,-5150641,-13178500,-6941771,-28929629,-16835254,-37817670,-82823810,-166270107
90,Debt Repayment,- -,-5000000,-5361057,-42458454,-60197136,-72458855,-2037324,- -
91,Common Stock Issued,- -,- -,- -,30250000,- -,30544945,- -,45462626
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-3339655,-6787795,-9681823,-7963128,-12267706
94,Other Financing Activites,8638519,11761464,8333424,39025386,76808772,99980524,83762541,127526255
95,Cash Used/Provided by Financing Activities,8638519,6761464,2972367,23477277,9823841,48384791,73762089,160721175
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4952391,-4040839,-272219,-607640,-795364,18683078,566091,22530869
98,Cash at the End of Period,5874921,1834082,1561863,954223,158859,18841937,19408028,41938897
99,Cash at the Beginning of Period,922530,5874921,1834082,1561863,954223,158859,18841937,19408028
100,Free Cash Flow,1464513,2376197,3299737,4711983,5505234,7874102,9478955,27257479
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1682220/000114420417019485/0001144204-17-019485-index.htm,https://www.sec.gov/Archives/edgar/data/1682220/000114420418018601/0001144204-18-018601-index.html,https://www.sec.gov/Archives/edgar/data/1682220/000114420419017051/0001144204-19-017051-index.html,https://www.sec.gov/Archives/edgar/data/1682220/000110465920039904/0001104659-20-039904-index.html,https://www.sec.gov/Archives/edgar/data/1682220/000110465921044384/0001104659-21-044384-index.htm,https://www.sec.gov/Archives/edgar/data/1682220/000141057822000767/0001410578-22-000767-index.htm
102,false,,,,,,,,
