,https://roic.ai/company/QIWI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
27,Weighted Average Shares Outstanding,52000000,52000000,52000000,52034056,53397173,57817811,60474212,60760976,61202186,61790281,62250070
28,Weighted Average Shares Outstanding Diluted,52000000,52000000,52000000,52471317,54180308,57966410,60652121,61154753,61729246,62268041,62417055
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1561566/000119312514094947/d688357d20f.htm,https://www.sec.gov/Archives/edgar/data/1561566/000119312515088634/d888283d20f.htm,https://www.sec.gov/Archives/edgar/data/1561566/000119312516504533/0001193125-16-504533-index.html,https://www.sec.gov/Archives/edgar/data/1561566/000119312517091421/0001193125-17-091421-index.html,https://www.sec.gov/Archives/edgar/data/1561566/000119312518098503/0001193125-18-098503-index.html,https://www.sec.gov/Archives/edgar/data/1561566/000119312519089637/0001193125-19-089637-index.html,https://www.sec.gov/Archives/edgar/data/1561566/000119312520083242/0001193125-20-083242-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,6891881000,8810441000,9943160000,11636913000,17079965000,19363204000,18997000000,18406000000,40966000000,42101000000,47382000000
32,Short-Term Investments,1161663000,303704000,1751119000,1635291000,2132887000,1338365000,1772000000,704000000,1432000000,1136000000,2888000000
33,Cash and Short-Term Investments,8053544000,9114145000,11694279000,13272204000,19212852000,20701569000,20769000000,19110000000,42398000000,43237000000,50270000000
34,Net Receivables,1418162000,1588820000,1750145000,870021000,942462000,2371190000,3262000000,7245000000,11710000000,14524000000,8369000000
35,Inventory,41539000,53243000,22761000,19004000,89665000,10111000,- -,- -,- -,- -,- -
36,Other Current Assets,896986000,1355859000,2139531000,2180981000,4916608000,3932286000,3199000000,4768000000,4353000000,4356000000,6305000000
37,Total Current Assets,10410231000,12112067000,15606716000,16342210000,25161587000,27015156000,27230000000,31123000000,58461000000,62117000000,64944000000
38,PP&E,157013000,167871000,105653000,307500000,379943000,365869000,593000000,724000000,1074000000,2346000000,1893000000
39,Goodwill,1639631000,1639246000,1636885000,1631406000,1631406000,6285235000,6285000000,6285000000,6378000000,7062000000,7084000000
40,Intangible Assets,432339000,389280000,339045000,774239000,736217000,5968753000,4737000000,4522000000,4468000000,4254000000,3729000000
41,Intangible Assets,2071970000,2028526000,1975930000,2405645000,2367623000,12253988000,11022000000,10807000000,10846000000,11316000000,10813000000
42,Investments,320741000,664983000,716909000,1376862000,1806295000,1562620000,399000000,1932000000,2145000000,5133000000,5130000000
43,Tax Assets,108480000,98437000,101805000,183333000,239571000,303876000,270000000,245000000,157000000,217000000,209000000
44,Other Non-Current Assets,447825000,233738000,201761000,49031000,95103000,75986000,160000000,228000000,340000000,348000000,326000000
45,Total Non-Current Assets,3106029000,3193555000,3102058000,4322371000,4888535000,14562339000,12444000000,13936000000,14562000000,19360000000,18371000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13516260000,15305622000,18708774000,20664581000,30050122000,41577495000,39674000000,45059000000,73023000000,81477000000,83315000000
48,Accounts Payable,64269000,62210000,92014000,351102000,491591000,352857000,338000000,1005000000,6571000000,27295000000,29528000000
49,Short-Term Debt,36414000,122203000,26105000,635000,1061000,- -,- -,- -,- -,340000000,1994000000
50,Tax Payable,125962000,154944000,148300000,106226000,139023000,453401000,170000000,230000000,438000000,184000000,147000000
51,Deferred Revenue,7225767000,7603709000,9915479000,12401658000,15295439000,9200918000,8010000000,8440000000,4891000000,6246000000,8944000000
52,Other Current Liabilities,3664195000,4989243000,6049901000,5000091000,5838541000,8447552000,10504000000,13621000000,34874000000,16359000000,4151000000
53,Total Current Liabilities,10990645000,12777365000,16083499000,17753486000,21626632000,18001327000,18852000000,23066000000,46336000000,50240000000,44617000000
54,Long-Term Debt,30508000,67810000,38762000,109351000,41981000,- -,- -,- -,- -,2562000000,5685000000
55,Deferred Revenue,29248000,30385000,43605000,31629000,8394000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,83967000,54402000,44065000,58630000,37758000,1138182000,851000000,826000000,743000000,749000000,1161000000
57,Other Non-Current Liabilities,33559000,20781000,- -,7625000,987000,2403000,2000000,10000000,238000000,489000000,80000000
58,Total Non-Current Liabilities,177282000,173378000,126432000,207235000,89120000,1140585000,853000000,836000000,981000000,3800000000,6926000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,1357000000,1116000000
61,Total Liabilities,11167927000,12950743000,16209931000,17960721000,21715752000,19141912000,19705000000,23902000000,47317000000,54040000000,51543000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,890000,890000,904000,907000,963000,1137000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,422623000,526079000,569317000,573604000,2683805000,7176540000,4808000000,5715000000,9091000000,10557000000,14602000000
65,Other Comprehensive Income/Loss,7466000,38826000,101829000,348011000,968580000,1300801000,1195000000,1460000000,2610000000,2865000000,3129000000
66,Other Total Stockholders Equity,1876104000,1876104000,1876104000,1876104000,4920407000,13944371000,13944000000,13944000000,13944000000,13944000000,13944000000
67,Total Stockholders Equity,2307083000,2441899000,2548154000,2798626000,8573755000,22422849000,19948000000,21120000000,25646000000,27367000000,31676000000
68,Total Liabilities And Stockholders Equity,13475010000,15392642000,18758085000,20759347000,30289507000,41564761000,39653000000,45022000000,72963000000,81407000000,83219000000
69,Minority Interest,41250000,-87020000,-49311000,-94766000,-239385000,12734000,21000000,37000000,60000000,70000000,96000000
70,Total Liabilities & Equity,13516260000,15305622000,18708774000,20664581000,30050122000,41577495000,39674000000,45059000000,73023000000,81477000000,83315000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1561566/000119312514094947/d688357d20f.htm,https://www.sec.gov/Archives/edgar/data/1561566/000119312515088634/d888283d20f.htm,https://www.sec.gov/Archives/edgar/data/1561566/000119312516504533/0001193125-16-504533-index.html,https://www.sec.gov/Archives/edgar/data/1561566/000119312517091421/0001193125-17-091421-index.html,https://www.sec.gov/Archives/edgar/data/1561566/000119312518098503/0001193125-18-098503-index.html,https://www.sec.gov/Archives/edgar/data/1561566/000119312519089637/0001193125-19-089637-index.html,https://www.sec.gov/Archives/edgar/data/1561566/000119312520083242/0001193125-20-083242-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,693399000,519993000,910138000,1873226000,5024140000,5187414000,2474000000,3114000000,3584000000,4832000000,8842000000
74,Depreciation and Amortization,191262000,156586000,137101000,113100000,353400000,688666000,796000000,796000000,864000000,1324000000,1266000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,65718000,230937000,421822000,87645000,224000000,398000000,635000000,464000000,43000000
77,Change in Working Capital,5703805000,1165669000,2190448000,2164407000,778950000,-6057404000,274000000,-1109000000,16719000000,640000000,-6137000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1256000000,-854000000
79,Inventory,-17229000,- -,-9589000,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,989369000,1575986000,4041454000,1593765000,3621895000,-8882698000,1020000000,3414000000,7347000000,976000000,1242000000
81,Other Working Capital,-28554000,-39518000,-324199000,257194000,-35184000,39901000,- -,-1888000000,-5827000000,- -,- -
82,Other Non-Cash Items,-69130000,206556000,195749000,344096000,-1823136000,-913129000,1775000000,361000000,843000000,1979000000,2088000000
83,Cash Provided by Operating Activities,6519336000,2048804000,3499154000,4725766000,4755176000,-1006808000,5543000000,3560000000,22645000000,9239000000,6102000000
84,CAPEX,-153748000,-138847000,-77816000,-375208000,-512562000,-309719000,-686000000,-1179000000,-1121000000,-1301000000,-436000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-1515263000,-635011000,-1649547000,-2862535000,-2553313000,-981847000,-549000000,-1376000000,-810000000,-5405000000,-4444000000
87,Sales/Maturities of Investments,200000000,1143750000,289500000,2111902000,1591485000,2053035000,1326000000,1775000000,672000000,2213000000,3230000000
88,Other Investing Activites,61052000,-78468000,-101984000,-267124000,-346170000,2572918000,-209000000,-1692000000,-451000000,-833000000,-5000000
89,Cash Used for Investing Activites,-1351502000,339365000,-1497618000,-1200580000,-1602400000,3556360000,180000000,-1653000000,-1325000000,-4883000000,-1479000000
90,Debt Repayment,-86907000,-24337000,-19692000,-2526000,-672000,-1251928000,-4000000,- -,- -,-387000000,-301000000
91,Common Stock Issued,- -,- -,- -,- -,3044357000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-370327000,-424720000,-865687000,-1881082000,-2940714000,-698912000,-4628000000,-2148000000,- -,-3392000000,-4804000000
94,Other Financing Activites,82221000,-22879000,14227000,37163000,76309000,57986000,-5000000,-12000000,-29000000,1502000000,4818000000
95,Cash Used/Provided by Financing Activities,-375013000,-471936000,-871152000,-1846445000,179280000,-1892854000,-4637000000,-2160000000,-29000000,-2277000000,-287000000
96,Effect of Forex Changes on Cash,-12907000,2327000,2335000,15012000,2110996000,1611721000,-1428000000,-333000000,1240000000,-944000000,945000000
97,Net Change In Cash,4779914000,1918560000,1132719000,1693753000,5443052000,2268419000,-342000000,-586000000,22531000000,1135000000,5281000000
98,Cash at the End of Period,6891881000,8810441000,9943160000,11636913000,17079965000,19363204000,19021000000,18435000000,40966000000,42101000000,47382000000
99,Cash at the Beginning of Period,2111967000,6891881000,8810441000,9943160000,11636913000,17094785000,19363000000,19021000000,18435000000,40966000000,42101000000
100,Free Cash Flow,6365588000,1909957000,3421338000,4350558000,4242614000,-1316527000,4857000000,2381000000,21524000000,7938000000,5666000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1561566/000119312514094947/d688357d20f.htm,https://www.sec.gov/Archives/edgar/data/1561566/000119312515088634/d888283d20f.htm,https://www.sec.gov/Archives/edgar/data/1561566/000119312516504533/0001193125-16-504533-index.html,https://www.sec.gov/Archives/edgar/data/1561566/000119312517091421/0001193125-17-091421-index.html,https://www.sec.gov/Archives/edgar/data/1561566/000119312518098503/0001193125-18-098503-index.html,https://www.sec.gov/Archives/edgar/data/1561566/000119312519089637/0001193125-19-089637-index.html,https://www.sec.gov/Archives/edgar/data/1561566/000119312520083242/0001193125-20-083242-index.html,- -
102,Forex Rate,0.0327,0.031,0.0327,0.0304,0.0172,0.0137,0.0163,0.01734,0.01434,0.01614,0.01347
