,https://roic.ai/company/FKWL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,-699000,- -,- -,- -,51199,56844,77679,67611,20692,333283,1020211,1056536,1611937,1548460,1460697,967725,614492,607822,515144,937061,912300
15,EBITDA,-11516000,- -,- -,- -,-601243,-219946,1412966,4573973,2437534,8065393,8919535,-286229,1955403,47408,2132433,2613629,1863039,-1671608,-1189725,7867980,23650630
16,EBITDA ratio,-9.2498,- -,- -,- -,-1.9904,-0.2193,0.1361,0.1317,0.1016,0.0792,0.1918,-0.0118,0.0597,0.0015,0.0460,0.0437,0.0384,-0.0556,-0.0326,0.1048,0.1285
17,Operating Income,6712000,- -,- -,- -,-647928,-293421,1312934,4394213,2316787,7666092,5653075,-2257412,-168836,-2913988,511658,2118959,874379,-2691870,-2107457,7078124,22818310
18,Operating Income ratio,5.3912,- -,- -,- -,-2.1450,-0.2926,0.1264,0.1265,0.0965,0.0752,0.1215,-0.0930,-0.0052,-0.0941,0.0110,0.0354,0.0180,-0.0895,-0.0578,0.0943,0.1239
19,Total Other Income Expenses (Gains),4492000,- -,- -,- -,-4514,16631,22353,112149,100055,-85024,2044097,123715,96257,1421244,453968,92168,271375,332322,204954,220764,617167
20,Income Before Tax,11204000,- -,- -,- -,-652442,-276790,1335287,4506362,2416842,7581068,7697172,-2133697,-72579,-1492744,965626,2211127,1145754,-2359548,-1902503,7298888,23435477
21,Income Before Tax Ratio,8.9992,- -,- -,- -,-2.1599,-0.2760,0.1286,0.1298,0.1007,0.0744,0.1655,-0.0879,-0.0022,-0.0482,0.0208,0.0370,0.0236,-0.0785,-0.0522,0.0972,0.1273
22,Income Tax expense (Gain),3000,- -,- -,- -,800,800,35190,589449,-1222324,2954326,3353795,-1213791,168808,-529016,-88272,34933,374587,-186973,-428745,1380301,5039295
23,Net Income,-10820000,- -,- -,- -,-653242,-277590,1300097,3916913,3639166,4777784,4545529,-128974,174658,-972036,760008,1610971,873960,-2092457,-1276124,5550618,17699035
24,Net Income ratio,-8.6908,- -,- -,- -,-2.1626,-0.2768,0.1252,0.1128,0.1516,0.0469,0.0977,-0.0053,0.0053,-0.0314,0.0164,0.0269,0.0180,-0.0696,-0.0350,0.0739,0.0961
25,EPS,-0.97,- -,- -,- -,-0.06,-0.02,0.10,0.30,0.28,0.35,0.37,-0.01,0.02,-0.09,0.07,0.15,0.08,-0.20,-0.12,0.52,1.56
26,EPS Diluted,-0.97,- -,- -,- -,-0.06,-0.02,0.10,0.30,0.27,0.35,0.36,-0.01,0.02,-0.09,0.07,0.15,0.08,-0.20,-0.12,0.52,1.53
27,Weighted Average Shares Outstanding,11118511,- -,- -,- -,11114858,11685382,12824643,13231491,13231491,13583551,12279927,11858813,10731586,10386881,10533869,10414755,10501730,10538610,10570203,10581499,11350946
28,Weighted Average Shares Outstanding Diluted,11279483,- -,- -,- -,11114858,11685382,12824643,13231491,13250417,13740582,12463585,11858813,10943878,10386881,10640733,10653897,10660900,10538610,10570203,10715979,11592901
29,SEC Link,- -,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722572/000101968709001221/0001019687-09-001221-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722572/000101968712003867/0001019687-12-003867-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000101968713003757/0001019687-13-003757-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000101968714003735/0001019687-14-003735-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000101968715003592/0001019687-15-003592-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316816000215/0001683168-16-000215-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316817002507/0001683168-17-002507-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316818002889/0001683168-18-002889-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316819003101/0001683168-19-003101-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316820003174/0001683168-20-003174-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316821004563/0001683168-21-004563-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,49000,- -,- -,- -,39542,568387,2477593,6172569,6253529,16107501,11357878,9419441,10431474,8240595,11822620,13156754,14285001,11975944,6447505,28161644,45796006
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5380226,5381918,5386034
33,Cash and Short-Term Investments,49000,- -,- -,- -,39542,568387,2477593,6172569,6253529,16107501,11357878,9419441,10431474,8240595,11822620,13156754,14285001,11975944,11827731,33543562,51182040
34,Net Receivables,22000,- -,- -,- -,- -,1750,44915,4534069,2812607,3118754,6916020,13253288,5535626,5729178,5607566,12383289,11072212,8032261,4179276,16034627,2592469
35,Inventory,325000,- -,- -,- -,- -,- -,10830,72162,2618344,197630,934636,1746877,262567,1967390,2281667,2285254,3379065,1615332,1052740,11783403,975519
36,Other Current Assets,15000,- -,- -,- -,- -,- -,6649,378823,192341,865677,374586,1628429,1366664,1353195,1385350,343708,174475,125970,79382,49426,85614
37,Total Current Assets,411000,- -,- -,- -,39542,570137,2539987,11157623,11876821,20289562,19583120,26048035,17596331,17290358,21097203,28169005,28910753,21749507,17139129,61411018,54835642
38,PP&E,589000,- -,- -,- -,14921,12715,26218,68012,89807,985303,440120,427988,631225,498465,314472,317764,219942,124072,131879,1360559,904873
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,273285,273285,273285,273285,273285,273285,273285,273285,273285,273285,273285,273285
40,Intangible Assets,391000,- -,- -,- -,97917,104195,130264,- -,- -,2858902,2275357,3515512,3073745,2125816,1042281,1126887,1109475,996708,1109911,1125152,1246750
41,Intangible Assets,391000,- -,- -,- -,97917,104195,130264,- -,- -,3132187,2548642,3788797,3347030,2399101,1315566,1400172,1382760,1269993,1383196,1398437,1520035
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1880081,1299746,1459119,1482926,1459756,1981325,1860347,1726114,1661906,1853429,2282975,938188,387548
44,Other Non-Current Assets,44000,- -,- -,- -,2107,4452,5161,15411,11016,188281,140258,123605,125225,107409,129879,136074,136652,139637,258097,283369,140539
45,Total Non-Current Assets,1024000,- -,- -,- -,114945,121362,161643,83423,1980904,5605517,4588139,5823316,5563236,4986300,3620264,3580124,3401260,3387131,4056147,3980553,2952995
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1435000,- -,- -,- -,154487,691499,2701630,11241046,13857725,25895079,24171259,31871351,23159567,22276658,24717467,31749129,32312013,25136638,21195276,65391571,57788637
48,Accounts Payable,1554000,- -,- -,- -,17926,585,68064,4047651,4511853,6417755,2781651,10076221,4214348,5534168,7362075,13276125,12862564,7609585,5672514,42083255,9718989
49,Short-Term Debt,-94000,- -,- -,- -,590000,540000,434000,334000,- -,241676,139134,139134,139134,148295,148295,- -,- -,- -,- -,400508,317519
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,929538,121362,- -,- -,5522,10823,380,3305,5082,1062,34713,333503
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,970,309000,15507,1061,75369,319888,693317,1901,51997,228598,- -,- -,- -
52,Other Current Liabilities,1623000,- -,- -,- -,150147,190968,533525,1265046,108827,2939022,2074583,2575687,2218253,691906,238619,247302,288342,263098,248312,500734,1119028
53,Total Current Liabilities,3083000,- -,- -,- -,758073,731553,1035589,5646697,4621650,9907453,5010875,12792103,6647104,6694257,8442306,13525328,13202903,8101281,5920826,42984497,11155536
54,Long-Term Debt,686000,- -,- -,- -,- -,- -,- -,- -,- -,163596,- -,- -,- -,- -,- -,- -,- -,- -,- -,1271533,467937
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,3878,- -,- -,- -,- -,154806,188104,185980,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,686000,- -,- -,- -,3878,- -,- -,- -,- -,318402,188104,185980,- -,- -,- -,- -,- -,- -,- -,1271533,467937
59,Other Liabilities,686000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1184741,785456
61,Total Liabilities,3769000,- -,- -,- -,761951,731553,1035589,5646697,4621650,10225855,5198979,12978083,6647104,6694257,8442306,13525328,13202903,8101281,5920826,44256030,11623473
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,35932000,- -,- -,- -,3784393,- -,- -,13232,13232,13711,13546,13616,13646,13806,13806,13844,13922,13972,13972,14007,14069
64,Retained Earnings,-38266000,- -,- -,- -,-4374462,-4652052,-3351957,564956,4204122,8981906,13527435,13398461,13573119,12601083,13361091,14972062,15846022,13753565,12477441,18028059,35727094
65,Other Comprehensive Income/Loss,-1746000,- -,- -,- -,-17395,-17395,-11395,-33709,-42039,-12598,-17182,20333,-21275,-243100,-664722,-648127,-613805,-581983,-634802,-650426,-472502
66,Other Total Stockholders Equity,1746000,- -,- -,- -,- -,4638636,5041189,5049870,5060760,5556525,4547607,4808313,2710473,2965804,3026288,2782101,2861843,2928793,2928793,2961886,9417341
67,Total Stockholders Equity,-2334000,- -,- -,- -,-607464,-40054,1666041,5594349,9236075,14539544,18071406,18240723,16275963,15337593,15736463,17119880,18107982,16114347,14785404,20353526,44686002
68,Total Liabilities And Stockholders Equity,1435000,- -,- -,- -,154487,691499,2701630,11241046,13857725,24765399,23270385,31218806,22923067,22031850,24178769,30645208,31310885,24215628,20706230,64609556,56309475
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1129680,900874,652545,236500,244808,538698,1103921,1001128,921010,489046,782015,1479162
70,Total Liabilities & Equity,1435000,- -,- -,- -,154487,691499,2701630,11241046,13857725,25895079,24171259,31871351,23159567,22276658,24717467,31749129,32312013,25136638,21195276,65391571,57788637
71,SEC Link,- -,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722572/000101968709001221/0001019687-09-001221-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722572/000101968712003867/0001019687-12-003867-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000101968713003757/0001019687-13-003757-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000101968714003735/0001019687-14-003735-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000101968715003592/0001019687-15-003592-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316816000215/0001683168-16-000215-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316817002507/0001683168-17-002507-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316818002889/0001683168-18-002889-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316819003101/0001683168-19-003101-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316820003174/0001683168-20-003174-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316821004563/0001683168-21-004563-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10820000,- -,- -,- -,-653242,-277590,1300097,3916913,3639166,4777784,4545529,-128974,174658,-972036,760008,1610971,873960,-2092457,-1276124,5550618,17699035
74,Depreciation and Amortization,-699000,- -,- -,- -,51199,56844,77679,67611,20692,333283,1020211,1056536,1611937,1548460,1460697,967725,614492,607822,515144,937061,912300
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-2049812,-103414,- -,141181,36512,-539147,-26645,48513,356830,-191523,-429546,1344787,550640
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,2560,59783,800762,224526,286104,168578,60484,-50000,-25000,- -,- -,- -,380758
77,Change in Working Capital,-5464000,- -,- -,- -,1953469,557115,1665814,4006528,1744245,3126938,4190136,-1316313,-2306705,-353126,2058796,1988780,1064173,-2059624,-2429923,7208218,25253585
78,Accounts Receivable,50000,- -,- -,- -,- -,- -,- -,- -,1718747,-166278,-3797266,-6456811,7515203,-303846,114484,-6775723,1311077,3039951,3852985,-11855351,13103973
79,Inventory,130000,- -,- -,- -,- -,- -,-10830,-61332,-2546182,2420714,-737006,-812241,1484310,-1704823,-314277,-94504,-1146304,1613733,304813,-10730663,10807884
80,Accounts Payable,1534000,- -,- -,- -,- -,- -,- -,- -,- -,1515944,-3636104,7294570,-5861873,1361070,1867779,5924272,-413561,-5250597,-1937071,36410741,-32364266
81,Other Working Capital,-2672000,- -,- -,- -,-718531,-161416,1504398,5510926,7255171,10382109,14572245,13255932,10949227,10596101,12654897,14643677,15707850,13648226,11218303,18426521,43680106
82,Other Non-Cash Items,13235000,- -,- -,- -,-1764942,-597108,-1297199,-4155159,-2913458,2915498,-13379577,-246912,5095541,-1560380,-128018,-1858403,-1396092,1727088,4395539,6963620,-32692119
83,Cash Provided by Operating Activities,-3748000,- -,- -,- -,-413516,-260739,1746391,3835893,443393,11109872,-2822939,-269956,4898047,-1707651,4185322,2707586,1488363,-2008694,775090,22004304,12104199
84,CAPEX,-63000,- -,- -,- -,-4000,-5416,-137185,-52312,-61833,-1249330,-277145,-2284849,-1373407,-467771,-193189,-1055603,-499258,-399185,-636154,-718277,-718404
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-234330,-75000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5380226,-1692,-4116
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-963748,284578,-719727,-1029040,-229583,-128643,-874403,-453823,-375282,-535386,-536531,-697361
89,Cash Used for Investing Activites,-63000,- -,- -,- -,-4000,-5416,-137185,-52312,-61833,-1125394,164879,-2284849,-1460492,-357477,-181675,-1047603,-499258,-399185,-6250710,-794969,-722520
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-300600,-291419,-405272,- -,- -,9161,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,218010,945000,400000,- -,- -,- -,- -,542603,- -,- -,- -,- -,- -,- -,- -,- -,6000008
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,-1873065,- -,-2406414,- -,- -,-234000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2585000,- -,- -,- -,30000,-50000,-100000,-88605,- -,173511,202354,36250,22500,86913,- -,-108444,104820,67000,- -,520428,74751
95,Cash Used/Provided by Financing Activities,2585000,- -,- -,- -,248010,795000,300000,-88605,-300600,-117908,-2075983,578853,-2383914,96074,- -,-342444,104820,67000,- -,520428,6074759
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15580,37515,-41608,-221825,-421622,16595,34322,31822,-52819,-15624,177924
97,Net Change In Cash,-1226000,- -,- -,- -,-169506,528845,1909206,3694976,80960,9853972,-4749623,-1938437,1012033,-2190879,3582025,1334134,1128247,-2309057,-5528439,21714139,17634362
98,Cash at the End of Period,49000,- -,- -,- -,39542,568387,2477593,6172569,6253529,16107501,11357878,9419441,10431474,8240595,11822620,13156754,14285001,11975944,6447505,28161644,45796006
99,Cash at the Beginning of Period,1275000,- -,- -,- -,209048,39542,568387,2477593,6172569,6253529,16107501,11357878,9419441,10431474,8240595,11822620,13156754,14285001,11975944,6447505,28161644
100,Free Cash Flow,-3811000,- -,- -,- -,-417516,-266155,1609206,3783581,381560,9860542,-3100084,-2554805,3524640,-2175422,3992133,1651983,989105,-2407879,138936,21286027,11385795
101,SEC Link,- -,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722572/000101968709001221/0001019687-09-001221-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722572/000101968712003867/0001019687-12-003867-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000101968713003757/0001019687-13-003757-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000101968714003735/0001019687-14-003735-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000101968715003592/0001019687-15-003592-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316816000215/0001683168-16-000215-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316817002507/0001683168-17-002507-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316818002889/0001683168-18-002889-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316819003101/0001683168-19-003101-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316820003174/0001683168-20-003174-index.htm,https://www.sec.gov/Archives/edgar/data/722572/000168316821004563/0001683168-21-004563-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
