,https://roic.ai/company/UMHL,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
23,Net Income,- -,-2225,-17250,-204937,-270426,-26654,-669200,-560000,-90000,-90000,-357259,-219800,-610770,-383860,53040,375714
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.1131,-0.1445,-0.5920,-0.9344,0.0440,0.1021
25,EPS,- -,-0.02,-0.17,-0.03,-0.01,-0.00,-0.02,-0.02,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,0.00,0.00
26,EPS Diluted,- -,-0.02,-0.17,-0.03,-0.01,-0.00,-0.02,-0.02,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,0.00,0.00
27,Weighted Average Shares Outstanding,- -,100000,100000,6973219,23534139,24570000,28515200,31515000,33570000,33570000,152216582,158757488,177548335,182444266,182444266,182444266
28,Weighted Average Shares Outstanding Diluted,- -,100000,100000,6973219,23534139,24570000,28515200,31515000,33570000,33570000,152216582,158757488,177548335,182444266,182444266,182444266
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1317839/000101376208000935/0001013762-08-000935-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1317839/000147793212000803/0001477932-12-000803-index.html,https://www.sec.gov/Archives/edgar/data/1317839/000147793213002064/0001477932-13-002064-index.html,https://www.sec.gov/Archives/edgar/data/1317839/000147793214001004/0001477932-14-001004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1317839/000147793217001772/0001477932-17-001772-index.htm,https://www.sec.gov/Archives/edgar/data/1317839/000147793218002338/0001477932-18-002338-index.htm,https://www.sec.gov/Archives/edgar/data/1317839/000147793219001800/0001477932-19-001800-index.htm,https://www.sec.gov/Archives/edgar/data/1317839/000147793220003164/0001477932-20-003164-index.htm,https://www.sec.gov/Archives/edgar/data/1317839/000147793221002347/0001477932-21-002347-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,3,10,68,- -,- -,- -,174113,133270,73090,36430,171680,50459
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,3,10,68,- -,- -,- -,174113,133270,73090,36430,171680,50459
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81039,128650,309560,359410,398580,561985
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88957,1470,21230,17970,27610,31303
36,Other Current Assets,- -,- -,- -,43163,- -,- -,- -,- -,- -,- -,9991,105980,89230,115490,23830,6666
37,Total Current Assets,- -,- -,- -,43163,3,10,68,- -,- -,- -,354100,369370,493110,529300,621700,650413
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1423002,1315660,1182080,867300,889290,860787
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45373,34540,22410,29410,19870,45552
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1468375,1350200,1204490,896710,909160,906339
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,43163,3,10,68,- -,- -,- -,1822475,1719570,1697600,1426010,1530860,1556752
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190550,- -,- -,- -,231812,431082
49,Short-Term Debt,- -,- -,- -,- -,39554,- -,- -,- -,- -,- -,17243,39791,20709,21090,33450,52354
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1441,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2125,4125,6625,13803,72099,98999,130000,150000,10000,680108,842029,1229691,1430400,1185608,559156
53,Total Current Liabilities,- -,2125,4125,6625,53357,72099,98999,130000,150000,10000,887901,881820,1250400,1451490,1450870,1042592
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,515489,476440,506570,472410,488940,404697
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,15250,- -,- -,- -,- -,- -,- -,- -,- -,92980,-21740,-88080,-47220,- -
58,Total Non-Current Liabilities,- -,- -,15250,- -,- -,- -,- -,- -,- -,- -,515489,569420,484830,384330,441720,404697
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63930,81585
61,Total Liabilities,- -,2125,19375,6625,53357,72099,98999,130000,150000,10000,1403390,1451240,1735230,1835820,1892590,1447289
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100,100,- -,24570,24570,28570,30000,30000,- -,1583,1680,1830,1830,1830,1825
64,Retained Earnings,- -,-2225,-19475,- -,-494838,-521492,-1190692,-1750000,-1850000,-1940000,-2207775,-2427580,-3038350,-3422210,-3369170,-2993454
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-133464,-148725,-137666,-125991,-130943,-115048
66,Other Total Stockholders Equity,- -,- -,- -,36538,416914,424833,1063191,1593449,1667806,1930000,2654298,2842954,3136560,3136561,3136557,3136561
67,Total Stockholders Equity,- -,-2125,-19375,36538,-53354,-72089,-98931,-126551,-152194,-173943,314642,268329,-37626,-409810,-361726,29884
68,Total Liabilities And Stockholders Equity,- -,- -,- -,43163,3,10,68,3449,-2194,-163943,1718032,1719569,1697604,1426010,1530864,1477173
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-3449,2194,163943,104443,1,-4,- -,-4,79579
70,Total Liabilities & Equity,- -,- -,- -,43163,3,10,68,- -,- -,- -,1822475,1719570,1697600,1426010,1530860,1556752
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1317839/000101376208000935/0001013762-08-000935-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1317839/000147793212000803/0001477932-12-000803-index.html,https://www.sec.gov/Archives/edgar/data/1317839/000147793213002064/0001477932-13-002064-index.html,https://www.sec.gov/Archives/edgar/data/1317839/000147793214001004/0001477932-14-001004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1317839/000147793217001772/0001477932-17-001772-index.htm,https://www.sec.gov/Archives/edgar/data/1317839/000147793218002338/0001477932-18-002338-index.htm,https://www.sec.gov/Archives/edgar/data/1317839/000147793219001800/0001477932-19-001800-index.htm,https://www.sec.gov/Archives/edgar/data/1317839/000147793220003164/0001477932-20-003164-index.htm,https://www.sec.gov/Archives/edgar/data/1317839/000147793221002347/0001477932-21-002347-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-2225,-17250,-204937,-270426,-26654,-669200,-560000,-90000,-90000,-357259,-219800,-610770,-383860,53040,375714
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47623,70060,67995,73409,78170,88276
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,100,15250,- -,180000,- -,640000,500000,63132,62892,283126,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,2125,-2000,40663,-89892,-18735,-26842,-31069,-20000,140000,-708267,-409320,-244840,-164900,93020,436991
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93382,- -,- -,- -,- -,-61582
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98010,72376,-18508,2760,-9172,-3330
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123018,-3979,48014,232893
81,Other Working Capital,- -,-2125,-4125,36538,-53354,-72089,-98931,-130000,-150000,-10000,2103,-512450,-757290,-922190,-829170,-392179
82,Other Non-Cash Items,- -,- -,4000,161837,97070,18898,29428,63449,15225,-112851,4789,376251,439222,23116,120502,-172073
83,Cash Provided by Operating Activities,- -,- -,- -,-2437,-83248,-26491,-26614,-27620,-31643,41,-729988,-182809,-348393,-452235,344732,728908
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1385944,-18335,-16523,- -,-82872,-53185
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,279965,-46956,-37457,-60502,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1105979,-65291,-53980,-60502,-82872,-53185
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,45500,- -,- -,- -,- -,- -,- -,244473,226635,293757,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,100,40088,26498,26672,30185,29060,- -,-497265,-14471,-67488,251356,-128932,-794222
95,Cash Used/Provided by Financing Activities,- -,- -,- -,45600,40088,26498,26672,30185,29060,- -,-252792,212164,226269,251356,-128932,-794222
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122203,-4908,115929,224719,2318,-2720
97,Net Change In Cash,- -,- -,- -,45600,-43160,7,58,2565,-2583,41,-1966556,-40844,-60176,-36662,135247,-121219
98,Cash at the End of Period,- -,- -,- -,43163,3,10,68,2633,50,91,174113,133269,73093,36431,171678,50459
99,Cash at the Beginning of Period,- -,- -,- -,- -,43163,3,10,68,2633,50,2140669,174113,133269,73093,36431,171678
100,Free Cash Flow,- -,- -,- -,-2437,-83248,-26491,-26614,-27620,-31643,41,-2115932,-201144,-364916,-452235,261860,675723
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1317839/000101376208000935/0001013762-08-000935-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1317839/000147793212000803/0001477932-12-000803-index.html,https://www.sec.gov/Archives/edgar/data/1317839/000147793213002064/0001477932-13-002064-index.html,https://www.sec.gov/Archives/edgar/data/1317839/000147793214001004/0001477932-14-001004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1317839/000147793217001772/0001477932-17-001772-index.htm,https://www.sec.gov/Archives/edgar/data/1317839/000147793218002338/0001477932-18-002338-index.htm,https://www.sec.gov/Archives/edgar/data/1317839/000147793219001800/0001477932-19-001800-index.htm,https://www.sec.gov/Archives/edgar/data/1317839/000147793220003164/0001477932-20-003164-index.htm,https://www.sec.gov/Archives/edgar/data/1317839/000147793221002347/0001477932-21-002347-index.htm
102,false,,,,,,,,,,,,,,,,
