,https://roic.ai/company/COMS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
41,Intangible Assets,427694,675778,1205748,938942,1280903,- -,70223,203408,1559799,1389466,1097466,805466,107664278,118085936
42,Investments,- -,- -,- -,- -,- -,579875,371402,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,18243,474167,157305,179576,218906,64227,- -,- -,- -,- -,- -,- -,- -,30413
45,Total Non-Current Assets,500362,1272277,1469693,1210412,1597769,646291,444276,230432,1696095,1508309,1253403,858696,111322066,123195969
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1365982,1555238,1666073,1479296,2399490,1898881,1221872,1720071,4613536,4498022,3073548,3556599,119987435,130877179
48,Accounts Payable,110189,150900,- -,- -,- -,84062,181172,64383,242257,340771,205359,485024,2245704,5582532
49,Short-Term Debt,312500,350638,54696,34176,269306,90000,135000,110000,110000,907844,2000000,2000000,9350424,20073070
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,649848,60683,70156,8523,31400,500000,- -,- -,7896,- -,- -,- -,149923,721220
52,Other Current Liabilities,- -,- -,214936,123022,631419,- -,- -,2181,6000,1832013,171981,- -,3396548,7885441
53,Total Current Liabilities,1072537,562221,339788,165721,932125,674062,316172,176564,366153,3080628,2377340,2485024,15142599,34262263
54,Long-Term Debt,233514,199841,1869995,1162500,2858661,816752,649136,- -,- -,- -,3000000,- -,- -,706293
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152892,143082
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1744569,2217869
58,Total Non-Current Liabilities,233514,199841,1869995,1162500,2858661,816752,649136,- -,- -,- -,3000000,- -,1897461,3067244
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2212548,2940233
61,Total Liabilities,1306051,762062,2209783,1328221,3790786,1490814,965308,176564,366153,3080628,5377340,2485024,17040060,37329507
62,Preferred Stock,250,- -,- -,- -,- -,- -,- -,4099,617,10,- -,- -,- -,- -
63,Common Stock,8500,256035,496112,986905,1223869,1798320,1907645,3708,513,868,918,2364,12833,14833
64,Retained Earnings,-5316594,-6366468,-8216182,-10139750,-12674194,-14450239,-21173815,-2163408,-11139270,-19672785,-29996777,-38472090,-27545255,-64626719
65,Other Comprehensive Income/Loss,-222878,-152060,-151683,-162194,-188016,-170125,-399936,-7040,-26995,-60784,-97507,-123725,-23383,- -
66,Other Total Stockholders Equity,5590653,7055669,7328043,9466114,10247045,13230111,19922670,3706148,15412518,21150085,27789574,39665026,130503180,158159558
67,Total Stockholders Equity,59931,793176,-543710,151075,-1391296,408067,256564,1543507,4247383,1417394,-2303792,1071575,102947375,93547672
68,Total Liabilities And Stockholders Equity,1365982,1555238,1666073,1479296,2399490,1898881,1221872,1720071,4613536,4498022,3073548,3556599,119987435,130877179
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1365982,1555238,1666073,1479296,2399490,1898881,1221872,1720071,4613536,4498022,3073548,3556599,119987435,130877179
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1178727/000101376212000474/0001013762-12-000474-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000101376213000331/0001013762-13-000331-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000101376214000308/0001013762-14-000308-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000101376215000274/0001013762-15-000274-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000101376216001358/0001013762-16-001358-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390017002536/0001213900-17-002536-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390018003379/0001213900-18-003379-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390019004682/0001213900-19-004682-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390020016652/0001213900-20-016652-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390021018749/0001213900-21-018749-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-669156,-1049874,-1849662,-1923543,-2534444,-1776045,-240684,-2123490,-8975862,-8533515,-10323992,-8475313,-27545255,-37081464
74,Depreciation and Amortization,66819,28160,214215,248522,243319,517507,3384,2477,57890,204122,328723,329984,7702726,12531452
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4137900,-2906400
76,Stock Based Compensation,- -,78603,42569,95351,95123,97084,230020,- -,5934988,5553026,6602806,4746605,258256,712774
77,Change in Working Capital,-134088,109934,109813,-90170,84543,342826,130901,51336,33036,-470674,-193702,435585,4908914,8366574
78,Accounts Receivable,- -,678709,30338,72326,-256666,226620,9998,104880,-53118,-310712,283935,92065,-26992,373611
79,Inventory,- -,- -,-1452,-10388,11840,- -,- -,70177,-97980,-341090,-531812,118366,-1136012,382728
80,Accounts Payable,- -,40711,- -,-91915,- -,-377924,121446,-132363,- -,213165,- -,279665,-1141823,3524988
81,Other Working Capital,646848,- -,- -,- -,167477,5571,- -,- -,7896,-7896,- -,- -,- -,561487
82,Other Non-Cash Items,25308,8000,119301,195300,746950,223500,3617,767398,84263,-346143,260143,575408,11960012,12356759
83,Cash Provided by Operating Activities,-711117,-825177,-1363764,-1474540,-1364509,-595128,127238,-1302279,-2865685,-3593184,-3326022,-2387731,-6853247,-6020305
84,CAPEX,-248616,-352511,-737120,-406427,-613338,-246538,-10277,-27863,-329227,-16336,-73817,-5279,-87038,-176697
85,Acquisitions Net,- -,- -,- -,- -,- -,250000,- -,-304639,- -,- -,- -,- -,2925273,-3146500
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,12546,168704,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-383332,-721061,26094,-579326,-233713,-8810,1692896,-200000,- -,- -,60000,- -,663
89,Cash Used for Investing Activites,-248616,-479728,-731978,10758,-613101,7707,2269,1529098,-329227,-16336,-73817,54721,2838235,-3322534
90,Debt Repayment,- -,-497535,-229274,-335740,-1126749,-762137,-82500,- -,- -,-35000,- -,-100000,-1808323,-3119317
91,Common Stock Issued,- -,196975,600000,- -,- -,250000,- -,653327,3484750,- -,- -,2000000,5000,331842
92,Common Stock Repurchased,-1280,- -,- -,- -,- -,- -,- -,-350000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-11333,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,282997,1681194,1674739,1935427,3190466,1485630,- -,839750,1000000,3000000,2000000,2100000,6654170,12024981
95,Cash Used/Provided by Financing Activities,270384,1380634,2045465,1599687,2063717,973493,-82500,1143077,4484750,2965000,2000000,4000000,4850847,9237506
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23383,23383
97,Net Change In Cash,-689349,75729,-50277,135905,86107,386072,47007,1143077,1289838,-644520,-1399839,1666990,4850847,-81950
98,Cash at the End of Period,25668,101397,51120,187025,273132,659204,706211,1369896,2659734,2015214,615375,2282365,812452,730502
99,Cash at the Beginning of Period,715017,25668,101397,51120,187025,273132,659204,- -,1369896,2659734,2015214,615375,- -,812452
100,Free Cash Flow,-959733,-1177688,-2100884,-1880967,-1977847,-841666,116961,-1330142,-3194912,-3609520,-3399839,-2393010,-6940285,-6197002
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1178727/000101376212000474/0001013762-12-000474-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000101376213000331/0001013762-13-000331-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000101376214000308/0001013762-14-000308-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000101376215000274/0001013762-15-000274-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000101376216001358/0001013762-16-001358-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390017002536/0001213900-17-002536-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390018003379/0001213900-18-003379-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390019004682/0001213900-19-004682-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390020016652/0001213900-20-016652-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390021018749/0001213900-21-018749-index.htm
102,false,,,,,,,,,,,,,,
