,https://roic.ai/company/CSTE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,3965000,6372000,7881000,- -,10880000
44,Other Non-Current Assets,- -,- -,-378000,5576000,4503000,11899000,11380000,15132000,11825000,9538000,77448000,8371000
45,Total Non-Current Assets,- -,136010000,137462000,152284000,225515000,280041000,274400000,275020000,266818000,329460000,435185000,459127000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,234367000,321049000,377556000,439000000,529742000,584700000,652987000,616922000,703866000,820921000,867653000
48,Accounts Payable,- -,30838000,36925000,50624000,59430000,46382000,48633000,64021000,55787000,53072000,55063000,81369000
49,Short-Term Debt,- -,30857000,10748000,5454000,2746000,6492000,11639000,7654000,10475000,13542000,34197000,14799000
50,Tax Payable,- -,4250000,2053000,2435000,1915000,2647000,3091000,4923000,6279000,6753000,6291000,- -
51,Deferred Revenue,- -,384000,492000,1405000,42000,574000,1022000,356000,666000,377000,31039000,- -
52,Other Current Liabilities,- -,34086000,17710000,22087000,26961000,27412000,32043000,55426000,44353000,59375000,36716000,87126000
53,Total Current Liabilities,- -,96165000,65875000,79570000,89179000,80860000,93337000,127457000,111281000,126366000,157015000,183294000
54,Long-Term Debt,- -,7225000,12188000,12342000,8993000,8472000,8070000,8336000,7089000,7915000,20706000,149564000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,8248000,6375000,6245000,4935000,14767000,14921000,657000,- -,- -,- -,4992000
57,Other Non-Current Liabilities,- -,6473000,12694000,13800000,14882000,25422000,30719000,46642000,32051000,91861000,- -,27639000
58,Total Non-Current Liabilities,- -,21946000,31257000,32387000,28810000,48661000,53710000,55635000,39140000,99776000,20706000,182195000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189561000,- -
60,Capital Lease Obligations,- -,71000,2000,- -,- -,- -,- -,- -,- -,75968000,131573000,143324000
61,Total Liabilities,- -,118111000,97132000,111957000,117989000,129521000,147047000,183092000,150421000,226142000,325870000,365489000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,278000,360000,364000,369000,370000,371000,371000,371000,371000,371000,371000
64,Retained Earnings,- -,40753000,79603000,122798000,181212000,258978000,331326000,356391000,360731000,368433000,370830000,377716000
65,Other Comprehensive Income/Loss,- -,13682000,8517000,3680000,-534000,-1892000,-1150000,683000,-3177000,-3288000,1083000,-704000
66,Other Total Stockholders Equity,- -,55338000,135437000,138757000,139964000,142765000,107106000,112450000,114163000,117795000,120653000,122499000
67,Total Stockholders Equity,- -,110051000,223917000,265599000,321011000,400221000,437653000,469895000,472088000,483311000,492937000,499882000
68,Total Liabilities And Stockholders Equity,- -,228162000,321049000,377556000,439000000,529742000,584700000,652987000,622509000,709453000,818807000,865371000
69,Minority Interest,- -,6205000,- -,- -,- -,- -,- -,- -,-5587000,-5587000,2114000,2282000
70,Total Liabilities & Equity,- -,234367000,321049000,377556000,439000000,529742000,584700000,652987000,616922000,703866000,820921000,867653000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1504379/000114420413017203/0001144204-13-017203-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891314001621/zk1414642.htm,https://www.sec.gov/Archives/edgar/data/1504379/000117891315000862/zk1516386.htm,https://www.sec.gov/Archives/edgar/data/1504379/000117891316004626/0001178913-16-004626-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891317000750/0001178913-17-000750-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891318000806/0001178913-18-000806-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891319000828/0001178913-19-000828-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891320000901/0001178913-20-000901-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,28658000,29052000,39632000,63344000,78439000,77766000,74596000,26202000,24405000,12862000,7218000,18966000
74,Depreciation and Amortization,10034000,14615000,14368000,14994000,17176000,22334000,28254000,29926000,28591000,28587000,29460000,35407000
75,Deferred Income Tax,- -,-3858000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,3660000,2514000,2642000,2293000,3068000,5277000,1684000,3632000,- -,1845000
77,Change in Working Capital,6902000,-14347000,-23402000,-6783000,-24027000,-23618000,-12302000,-27322000,-48736000,25529000,872000,-37982000
78,Accounts Receivable,-1506000,-10460000,-8561000,-8238000,-3913000,-2968000,-4184000,-7573000,-2637000,-5032000,6070000,815000
79,Inventory,-4803000,4090000,-3816000,-7317000,-22345000,-15267000,-5376000,-27833000,-30607000,35303000,- -,-54189000
80,Accounts Payable,-5281000,-942000,5201000,9351000,1811000,-8659000,1424000,13853000,-16223000,-6663000,-17938000,28277000
81,Other Working Capital,1304000,-126000,-3013000,1075000,-2584000,6604000,-863000,-6142000,-2697000,-1440000,-1266000,-4361000
82,Other Non-Cash Items,1055000,2762000,1012000,1601000,1794000,6886000,7903000,26934000,8748000,12439000,-37550000,2736000
83,Cash Provided by Operating Activities,46649000,28224000,35270000,75670000,76024000,85661000,101519000,61017000,14692000,83049000,- -,20972000
84,CAPEX,-5486000,-8785000,-13481000,-27372000,-86373000,-76495000,-22943000,-22675000,-20962000,-23590000,-19824000,-31477000
85,Acquisitions Net,-705000,-18743000,-150000,- -,-150000,- -,- -,- -,-20119000,- -,-28962000,-3746000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1343000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,271000,161000,-44549000,-26705000,58797000,10759000,-370000,-91000,19928000,3000,48439000,-99000
89,Cash Used for Investing Activites,-5920000,-27367000,-58180000,-54077000,-27726000,-65736000,-23313000,-22766000,-21153000,-23587000,-347000,-36665000
90,Debt Repayment,-15037000,-19819000,-13032000,-6521000,-1192000,-1092000,-1100000,-1172000,-1169000,-1196000,-1263000,-1320000
91,Common Stock Issued,- -,- -,76768000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-39430000,- -,- -,- -,- -,- -
93,Dividends Paid,-13972000,-6948000,-27182000,-20149000,-20025000,- -,-243000,- -,-20268000,-5160000,- -,-10681000
94,Other Financing Activites,8040000,-5066000,5926000,206000,-5454000,3241000,5157000,-5095000,-16926000,-7771000,-4821000,-11761000
95,Cash Used/Provided by Financing Activities,-20969000,-31833000,42480000,-26464000,-26671000,2149000,-35616000,-6267000,-38363000,-14127000,-6084000,-23762000
96,Effect of Forex Changes on Cash,3450000,-811000,-2487000,-1914000,-1595000,-1607000,933000,453000,-321000,475000,1647000,-478000
97,Net Change In Cash,23210000,-31787000,17083000,-6785000,20032000,20467000,43523000,32437000,-45145000,45810000,-25124000,-39933000
98,Cash at the End of Period,43737000,11950000,29033000,22248000,42280000,62747000,106270000,138707000,93562000,139372000,- -,74315000
99,Cash at the Beginning of Period,20527000,43737000,11950000,29033000,22248000,42280000,62747000,106270000,138707000,93562000,- -,114248000
100,Free Cash Flow,41163000,19439000,21789000,48298000,-10349000,9166000,78576000,38342000,-6270000,59459000,- -,-10505000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1504379/000114420413017203/0001144204-13-017203-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891314001621/zk1414642.htm,https://www.sec.gov/Archives/edgar/data/1504379/000117891315000862/zk1516386.htm,https://www.sec.gov/Archives/edgar/data/1504379/000117891316004626/0001178913-16-004626-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891317000750/0001178913-17-000750-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891318000806/0001178913-18-000806-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891319000828/0001178913-19-000828-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891320000901/0001178913-20-000901-index.html,- -,- -
102,false,,,,,,,,,,,,
