,https://roic.ai/company/RFL,2016,2017,2018,2019,2020,2021
80,Accounts Payable,9000,50000,-35000,533000,713000,164000
81,Other Working Capital,57000,11804000,43621000,11834000,4105000,-2539000
82,Other Non-Cash Items,95000,-14882000,-32540000,31588000,11599000,14121000
83,Cash Provided by Operating Activities,72000,-1623000,-1815000,-3132000,-4666000,-15601000
84,CAPEX,-1553000,-1820000,-710000,-399000,-534000,-206000
85,Acquisitions Net,- -,- -,- -,- -,-500000,-11123000
86,Purchases of Investments,-2100000,-9400000,-151000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,6670000,25031000,- -,7000000
88,Other Investing Activites,- -,- -,-1700000,-55870000,- -,-3842000
89,Cash Used for Investing Activites,-3653000,-11220000,4109000,-31238000,-1034000,-8171000
90,Debt Repayment,-6353000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,7777000,- -,13000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6618000,22260000,1750000,23112000,-96000,17298000
95,Cash Used/Provided by Financing Activities,265000,22260000,1750000,30889000,-96000,30298000
96,Effect of Forex Changes on Cash,3000,- -,3000,-298000,-22000,122000
97,Net Change In Cash,-3313000,9417000,4047000,-3779000,-5818000,6648000
98,Cash at the End of Period,2339000,11756000,15803000,12024000,6206000,12854000
99,Cash at the Beginning of Period,5652000,2339000,11756000,15803000,12024000,6206000
100,Free Cash Flow,-1481000,-3443000,-2525000,-3531000,-5200000,-15807000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1713863/000121390018013948/0001213900-18-013948-index.html,https://www.sec.gov/Archives/edgar/data/1713863/000121390019019707/0001213900-19-019707-index.html,https://www.sec.gov/Archives/edgar/data/1713863/000121390020033974/0001213900-20-033974-index.htm,https://www.sec.gov/Archives/edgar/data/1713863/000121390021053306/0001213900-21-053306-index.htm
102,false,,,,,,
