,https://roic.ai/company/HCI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,126932000,129539000,129429000,138863000,237835000,250095000,163635000,156468000,45504000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,4983000,4651000,4948000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,2740000,- -,- -,- -,1890000,1068000,4008000,11925000,- -
57,Other Non-Current Liabilities,100000,- -,- -,- -,- -,4956000,8813000,-2772000,-3653000,-4983000,-4651000,-6838000,-1013000,-4008000,-11882000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,4956000,8813000,126900000,125886000,129429000,138863000,237835000,250150000,163635000,156511000,45504000
59,Other Liabilities,100000,25655000,91033000,90076000,93735000,153576000,222000000,- -,255425000,- -,- -,- -,- -,- -,884763000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000,60000,4057000,- -
61,Total Liabilities,100000,25655000,94596000,92514000,94319000,150988000,217035000,365795000,419625000,399264000,426318000,648289000,651422000,617066000,740177000,762000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,13383000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,13000
64,Retained Earnings,-100000,955000,13610000,24520000,28065000,33986000,55758000,110441000,161454000,215634000,232964000,189409000,182894000,183365000,199592000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-306000,-42000,208000,1620000,1114000,666000,-1791000,2643000,4566000,-1453000,2178000,1544000,498000
66,Other Total Stockholders Equity,- -,- -,23783000,20858000,18564000,29844000,63495000,49080000,20131000,24088000,7782000,- -,- -,178000,-12000,323992000
67,Total Stockholders Equity,-100000,14338000,37393000,45378000,46629000,63830000,121253000,160521000,182585000,237722000,243746000,193975000,181441000,185543000,201136000,324503000
68,Total Liabilities And Stockholders Equity,- -,39993000,131989000,137892000,140948000,214818000,338288000,526316000,602210000,636986000,670064000,842264000,832863000,802609000,941313000,325265000
69,Minority Interest,- -,- -,-50662000,-94040000,-78344000,- -,-61185000,-454045000,-499251000,-520241000,-596453000,-653961000,-322576000,-590905000,- -,-324089000
70,Total Liabilities & Equity,- -,39993000,81327000,43852000,62604000,214818000,277103000,72271000,102959000,116745000,73611000,188303000,510287000,211704000,941313000,1176000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1400810/000119312509053827/0001193125-09-053827-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312510071463/0001193125-10-071463-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312511081369/0001193125-11-081369-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312512143523/0001193125-12-143523-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312513107280/0001193125-13-107280-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312514095565/0001193125-14-095565-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312515085302/0001193125-15-085302-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312516493381/0001193125-16-493381-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312517052232/0001193125-17-052232-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312518073515/0001193125-18-073515-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312519069081/0001193125-19-069081-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000156459020009164/0001564590-20-009164-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000156459021012867/0001564590-21-012867-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000095017022003351/0000950170-22-003351-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-100000,1017000,12655000,10910000,5422000,9964000,30157000,65562000,62664000,65861000,29021000,-6893000,17725000,26576000,27580000,7242000
74,Depreciation and Amortization,- -,- -,37000,74000,178000,576000,1591000,2103000,4958000,5251000,5408000,9591000,10996000,8942000,8747000,- -
75,Deferred Income Tax,- -,-653000,-2910000,1316000,1690000,-1984000,-2366000,557000,-4742000,-1101000,155000,-4913000,141000,1871000,8123000,- -
76,Stock Based Compensation,- -,- -,466000,483000,87000,27000,844000,5365000,8110000,5212000,4198000,4523000,4632000,6460000,8133000,- -
77,Change in Working Capital,100000,- -,77497000,-36482000,13250000,43722000,-101729000,-235103000,-51153000,20208000,-17577000,-123071000,9194000,-52133000,441529000,12140000
78,Accounts Receivable,- -,-3256000,-1765000,122000,-923000,-6400000,3267000,-4032000,-1150000,-3807000,2355000,-103635000,-19667000,-12355000,-680000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,1377000,3283000,-4442000,866000,2210000,-3279000,-1000,62000,11000,- -
81,Other Working Capital,- -,- -,77497000,41015000,54265000,97987000,-3742000,-238845000,-289998000,-269790000,-287367000,-410438000,-401244000,-453377000,-11848000,292000
82,Other Non-Cash Items,- -,19500000,-21103000,10225000,-4496000,3728000,177769000,216988000,68892000,-50161000,66770000,137189000,-14093000,62331000,-416801000,-19382000
83,Cash Provided by Operating Activities,- -,19864000,66642000,-13474000,16131000,56033000,106266000,55472000,88729000,45270000,87975000,16426000,28595000,54047000,77311000,- -
84,CAPEX,- -,-36000,-268000,-314000,-7534000,-3144000,-1196000,-3433000,-453000,-840000,-865000,-2977000,-2596000,-2887000,-6437000,-3318000
85,Acquisitions Net,- -,- -,- -,- -,- -,-5309000,-8157000,- -,-4500000,-435000,-11741000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-17055000,-10527000,-30066000,-37305000,-38000000,-5711000,-94780000,-130262000,-156015000,-112634000,-169422000,-374144000,-109651000,-107615000,-2674000
87,Sales/Maturities of Investments,- -,- -,- -,9349000,45152000,27896000,13853000,8172000,119778000,88750000,68273000,91938000,365681000,172357000,214201000,26684000
88,Other Investing Activites,- -,-36000,-450000,- -,-526000,1606000,- -,1000,-3215000,-11822000,7939000,-340000,-7028000,-9360000,43066000,16160000
89,Cash Used for Investing Activites,- -,-17091000,-11245000,-21031000,-213000,-16951000,-1211000,-90040000,-18652000,-80362000,-49028000,-80164000,-17678000,50459000,143215000,36852000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11802000,-41224000,-1127000,-91318000,-21507000,-8750000
91,Common Stock Issued,- -,12955000,9798000,- -,- -,- -,20082000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-3111000,-3596000,-1887000,- -,-30886000,-39031000,-2402000,-20490000,-45872000,-21166000,-20054000,-6708000,-1314000
93,Dividends Paid,- -,- -,- -,- -,-1877000,-3825000,-8561000,-10902000,-12355000,-12428000,-12438000,-13906000,-11318000,-13012000,-12694000,-14065000
94,Other Financing Activites,- -,- -,136000,9000,951000,12136000,13278000,139540000,2656000,3305000,18573000,140032000,6323000,9660000,24204000,88430000
95,Cash Used/Provided by Financing Activities,- -,12955000,9934000,-3102000,-4522000,6424000,24799000,97752000,-48730000,-11525000,-26157000,39030000,-27288000,-114724000,-16705000,64301000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,5000,- -,-29000,-61000,3000,61000,-164000,-22000,2000,-54000
97,Net Change In Cash,- -,15728000,65331000,-37607000,11396000,45506000,129859000,63184000,21318000,-46678000,12793000,-24647000,-16535000,-10240000,203823000,197602000
98,Cash at the End of Period,- -,15729000,81060000,43453000,54849000,100355000,230214000,293398000,314716000,267738000,280531000,255884000,240158000,229918000,433741000,631343000
99,Cash at the Beginning of Period,- -,1000,15729000,81060000,43453000,54849000,100355000,230214000,293398000,314416000,267738000,280531000,256693000,240158000,229918000,433741000
100,Free Cash Flow,- -,19828000,66374000,-13788000,8597000,52889000,105070000,52039000,88276000,44430000,87110000,13449000,25999000,51160000,70874000,-3318000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1400810/000119312509053827/0001193125-09-053827-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312510071463/0001193125-10-071463-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312511081369/0001193125-11-081369-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312512143523/0001193125-12-143523-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312513107280/0001193125-13-107280-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312514095565/0001193125-14-095565-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312515085302/0001193125-15-085302-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312516493381/0001193125-16-493381-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312517052232/0001193125-17-052232-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312518073515/0001193125-18-073515-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312519069081/0001193125-19-069081-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000156459020009164/0001564590-20-009164-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000156459021012867/0001564590-21-012867-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000095017022003351/0000950170-22-003351-index.htm
102,false,,,,,,,,,,,,,,,,
