,https://roic.ai/company/USPH,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146000,361000,332000,273000,260000,8000,586000,5445000,6000,7000,18000,81000,93000,88000,93000,46000,142000,199000
13,Interest Expense (Gain),- -,- -,200000,600000,700000,700000,- -,700000,- -,780000,266000,214000,189000,- -,- -,- -,301000,542000,352000,236000,496000,557000,538000,1088000,1031000,11478000,21060000,2042000,2079000,1634000,942000
14,Depreciation and Amortization,- -,200000,600000,1300000,1700000,1700000,1900000,2100000,2090000,2331000,2566000,2955000,3591000,4322000,4308000,4494000,4986000,5966000,5897000,5667000,5449000,5287000,5562000,6740000,7952000,8779000,9710000,9755000,10095000,10533000,11591000
15,EBITDA,-200000,-1000000,-1400000,-900000,3100000,4100000,4400000,5500000,6052000,9249000,14335000,16893000,15563000,15099000,18610000,15847000,19644000,23017000,25950000,30388000,38016000,34811000,31059000,42955000,45915000,52688000,59058000,58039000,65860000,60383000,68636000
16,EBITDA ratio,-0.3333,-0.4167,-0.1667,-0.0523,0.1245,0.1273,0.1134,0.1250,0.1212,0.1463,0.1771,0.1783,0.1474,0.1276,0.1409,0.1172,0.1295,0.1226,0.1288,0.1439,0.1604,0.1381,0.1176,0.1408,0.1386,0.1478,0.1426,0.1279,0.1366,0.1428,0.1387
17,Operating Income,-300000,-1200000,-1900000,-1800000,1600000,3600000,4800000,5500000,7266000,10384000,16948000,18874000,16997000,15993000,18883000,18596000,20035000,23876000,28252000,33190000,35931000,37803000,38770000,45768000,47294000,49533000,54728000,60314000,67425000,52413000,70649000
18,Operating Income ratio,-0.5000,-0.5000,-0.2262,-0.1047,0.0643,0.1118,0.1237,0.1250,0.1455,0.1642,0.2094,0.1992,0.1610,0.1352,0.1429,0.1376,0.1321,0.1272,0.1403,0.1571,0.1516,0.1500,0.1468,0.1500,0.1428,0.1389,0.1322,0.1329,0.1399,0.1239,0.1427
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,300000,-1900000,-2300000,-2800000,-3304000,-4246000,-5445000,-5150000,-5214000,-5216000,-4581000,-5346000,-5755000,-7367000,-344000,350000,4949000,-551000,-531000,-1070000,-950000,-11385000,-20972000,-103000,3481000,13100000,2547000
20,Income Before Tax,- -,- -,- -,- -,- -,1700000,2500000,2700000,3962000,6138000,11503000,13724000,11783000,10777000,14302000,13250000,14280000,16509000,27908000,33540000,40880000,37252000,38239000,44698000,46344000,38148000,33756000,60211000,70906000,65513000,73196000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.0528,0.0644,0.0614,0.0793,0.0971,0.1421,0.1449,0.1116,0.0911,0.1082,0.0980,0.0941,0.0880,0.1386,0.1588,0.1725,0.1478,0.1448,0.1465,0.1399,0.1070,0.0815,0.1326,0.1471,0.1549,0.1479
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,100000,100000,1100000,1568000,2403000,4432000,5236000,4452000,4099000,5511000,5057000,5465000,6505000,7934000,8840000,11097000,11034000,12236000,14274000,14653000,11880000,6032000,11369000,13647000,13022000,15272000
23,Net Income,-200000,-1200000,-2200000,-2800000,700000,1600000,2400000,1600000,2394000,3735000,7071000,8488000,7331000,6678000,8791000,6296000,8892000,10004000,11767000,15645000,20974000,17933000,12723000,20853000,22279000,20551000,22256000,34873000,40039000,35194000,40831000
24,Net Income ratio,-0.3333,-0.5000,-0.2619,-0.1628,0.0281,0.0497,0.0619,0.0364,0.0479,0.0591,0.0874,0.0896,0.0694,0.0564,0.0665,0.0466,0.0586,0.0533,0.0584,0.0741,0.0885,0.0711,0.0482,0.0684,0.0672,0.0576,0.0538,0.0768,0.0831,0.0832,0.0825
25,EPS,-0.02,-0.05,-0.07,-0.09,0.02,0.05,0.22,0.15,0.23,0.20,0.70,0.77,0.66,0.56,0.74,0.54,0.75,0.84,1.01,1.34,1.78,1.52,1.05,1.62,1.77,1.64,1.76,1.31,2.45,2.48,3.18
26,EPS Diluted,-0.02,-0.05,-0.07,-0.09,0.02,0.05,0.22,0.14,0.23,0.17,0.55,0.67,0.61,0.54,0.73,0.54,0.75,0.83,1.00,1.32,1.75,1.51,1.05,1.62,1.77,1.64,1.76,1.31,2.45,2.48,3.18
27,Weighted Average Shares Outstanding,8177729,10014993,10014993,10530735,10554723,10554723,10746269,10909091,10260000,9557143,10101429,11023377,11107576,11916000,11923000,11690000,11643000,11907000,11703000,11638000,11814000,11804000,12063000,12217000,12392000,12500000,12570000,12666000,12756000,12835000,12835000
28,Weighted Average Shares Outstanding Diluted,8177729,10014993,10014993,10530735,10554723,10554723,11076923,11162791,10561765,10704000,12856364,12668657,12018033,12431000,12075000,11690000,11718000,12055000,11807000,11870000,11977000,11904000,12082000,12221000,12392000,12500000,12570000,12666000,12756000,12835000,12835000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885978/000095012907001414/0000950129-07-001414-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000095012908001642/0000950129-08-001642-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000095013409005185/0000950134-09-005185-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000095012310024040/0000950123-10-024040-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000095012311024176/0000950123-11-024176-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000119312512106052/0001193125-12-106052-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000119312513102877/0001193125-13-102877-index.htm,- -,https://www.sec.gov/Archives/edgar/data/885978/000114036115011450/0001140361-15-011450-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000156761916001931/0001567619-16-001931-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036117024382/0001140361-17-024382-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036118013378/0001140361-18-013378-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036119005059/0001140361-19-005059-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036120004374/0001140361-20-004374-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036121006642/0001140361-21-006642-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036122007247/0001140361-22-007247-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1900000,5700000,2900000,2100000,2600000,4900000,5600000,6300000,4030000,2071000,8121000,7610000,16822000,20553000,15002000,10952000,7976000,10113000,6429000,9179000,9983000,11671000,12898000,14271000,15778000,20047000,21933000,23368000,23548000,32918000,28567000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1900000,5700000,2900000,2100000,2600000,4900000,5600000,6300000,4030000,2071000,8121000,7610000,16822000,20553000,15002000,11452000,7976000,10113000,6429000,9179000,9983000,11671000,12898000,14271000,15778000,20047000,21933000,23368000,23548000,32918000,28567000
34,Net Receivables,100000,700000,2700000,4700000,6000000,6500000,7900000,8700000,9989000,11153000,13647000,13678000,14401000,18218000,20422000,22278000,26724000,26751000,23631000,26369000,29947000,27676000,32664000,34394000,38619000,41489000,50362000,51493000,56051000,50945000,62416000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,300000,300000,400000,400000,400000,500000,600000,630000,519000,646000,1795000,1802000,1835000,1428000,2251000,1333000,1857000,2959000,3736000,5737000,5975000,4098000,6186000,5785000,4428000,4786000,4353000,5787000,3773000,4183000
37,Total Current Assets,2100000,6700000,5900000,7200000,9000000,11800000,14000000,15600000,14649000,13743000,22414000,23083000,33025000,40606000,36852000,35981000,36033000,38721000,33019000,39284000,45667000,45322000,49660000,54851000,60182000,65964000,77081000,79214000,85386000,87636000,95166000
38,PP&E,300000,1400000,3300000,6000000,5900000,6000000,6000000,6400000,6485000,6991000,7805000,10413000,11808000,13650000,13741000,13371000,16792000,15841000,14339000,13923000,13189000,13016000,14960000,15764000,16654000,19173000,20385000,20169000,103676000,103260000,119406000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20997000,37650000,55886000,57247000,79424000,92750000,100188000,143955000,147914000,171547000,226806000,271338000,293525000,317676000,345646000,434679000
40,Intangible Assets,- -,200000,200000,600000,500000,800000,1200000,1000000,948000,897000,4519000,5590000,5685000,6127000,14339000,- -,3930000,6452000,5955000,7308000,9603000,12146000,14479000,24907000,30296000,38060000,48954000,48828000,52588000,56280000,86382000
41,Intangible Assets,- -,200000,200000,600000,500000,800000,1200000,1000000,948000,897000,4519000,5590000,5685000,6127000,14339000,20997000,41580000,62338000,63202000,86732000,102353000,112334000,158434000,172821000,201843000,264866000,320292000,342353000,370264000,401926000,521061000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12215000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,600000,900000,700000,500000,900000,1300000,1100000,1264000,1339000,1446000,1947000,1955000,1225000,1587000,1108000,1847000,1347000,869000,922000,2043000,1042000,1081000,1115000,1234000,1228000,1224000,1430000,1519000,1539000,1578000
45,Total Non-Current Assets,300000,2200000,4400000,7300000,6900000,7700000,8500000,8500000,8697000,9227000,13770000,17950000,19448000,21002000,29667000,35476000,60219000,79526000,78410000,101577000,117585000,126392000,174475000,189700000,219731000,285267000,341901000,363952000,475459000,506725000,654260000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2400000,8900000,10300000,14500000,15900000,19500000,22500000,24100000,23346000,22970000,36184000,41033000,52473000,61608000,66519000,71457000,96252000,118247000,111429000,140861000,163252000,171714000,224135000,244551000,279913000,351231000,418982000,443166000,560845000,594361000,749426000
48,Accounts Payable,100000,100000,200000,300000,300000,300000,300000,600000,349000,434000,539000,624000,498000,1181000,1721000,1601000,1555000,1481000,1292000,1237000,1809000,1732000,1722000,1782000,1636000,1634000,2165000,2019000,2494000,1335000,6471000
49,Short-Term Debt,- -,- -,- -,- -,- -,100000,100000,- -,39000,912000,701000,4000,2372000,70000,244000,562000,812000,1380000,1013000,250000,433000,459000,825000,883000,775000,1227000,4044000,1434000,27214000,32411000,31305000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2833000,- -,- -,5715000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,100000,200000,600000,1200000,1600000,2200000,2400000,2000000,1768000,1977000,2008000,2221000,2549000,4367000,5150000,7007000,9071000,11752000,12459000,12744000,14082000,14116000,20625000,22839000,16596000,21756000,33342000,38493000,30855000,59746000,45705000
53,Total Current Liabilities,200000,300000,800000,1500000,1900000,2600000,2800000,2600000,2156000,3323000,3248000,2849000,5419000,5618000,7115000,9170000,11438000,14613000,14764000,14231000,16324000,16307000,23172000,25504000,19007000,24617000,39551000,41946000,60563000,93492000,83481000
54,Long-Term Debt,- -,400000,3400000,8300000,8200000,8300000,8200000,8100000,8087000,7226000,3021000,2350000,83000,- -,483000,797000,7959000,12412000,400000,5750000,23784000,17575000,40650000,34734000,48335000,50596000,56728000,38402000,50361000,16596000,191772000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1027000,966000,941000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9223000,15736000,10875000,9012000,10071000,7779000,14385000
57,Other Non-Current Liabilities,- -,- -,- -,- -,-100000,- -,-100000,100000,- -,- -,- -,273000,346000,2500000,2422000,2102000,1800000,3400000,3013000,3531000,623000,3173000,9296000,17099000,10238000,71594000,105758000,136931000,198149000,198864000,162607000
58,Total Non-Current Liabilities,- -,400000,3400000,8300000,8100000,8300000,8100000,8200000,8087000,7226000,3021000,2623000,429000,2500000,2905000,2899000,9759000,15812000,4440000,10247000,25348000,20748000,49946000,51833000,67796000,137926000,173361000,184345000,258581000,223239000,368764000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86744000,89497000,104660000
61,Total Liabilities,200000,700000,4200000,9800000,10000000,10900000,10900000,10800000,10243000,10549000,6269000,5472000,5848000,8118000,10020000,12069000,21197000,30425000,19204000,24478000,41672000,37055000,73118000,77337000,86803000,162543000,212912000,226291000,319144000,316731000,452245000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,36000,57000,107000,118000,122000,134000,136000,137000,141000,142000,138000,139000,139000,141000,143000,145000,146000,147000,148000,149000,150000,151000,151000
64,Retained Earnings,-400000,-1600000,-3700000,-6500000,-5700000,-4100000,-1700000,-100000,2314000,6049000,13120000,21608000,28939000,35617000,44408000,50704000,59442000,69446000,75632000,89876000,102405000,111321000,119206000,134186000,149016000,150342000,162406000,167396000,184352000,212015000,223573000
65,Other Comprehensive Income/Loss,- -,-200000,-600000,-1600000,-2900000,-4300000,-6000000,-7600000,-3446000,-11463000,-13798000,-16693000,-19550000,-23043000,-23825000,-25573000,-29342000,-33167000,-36646000,-39230000,-42299000,-44158000,- -,-49045000,-53255000,-56018000,-60475000,-64154000,-66099000,- -,- -
66,Other Total Stockholders Equity,2500000,9900000,10200000,12500000,13800000,16000000,17700000,19300000,11816000,14920000,27237000,27504000,33836000,37471000,32756000,30249000,39166000,45187000,48228000,53172000,46804000,50019000,8941000,60994000,66878000,93077000,102787000,112554000,121854000,63994000,71882000
67,Total Stockholders Equity,2100000,8100000,5900000,4400000,5200000,7600000,10000000,11600000,10720000,9563000,26666000,32537000,43347000,50179000,53475000,55517000,69407000,81608000,87352000,103957000,107049000,117323000,128290000,146280000,162785000,187548000,204866000,215945000,240257000,276160000,295606000
68,Total Liabilities And Stockholders Equity,2300000,8800000,10100000,14200000,15200000,18500000,20900000,22400000,20963000,20112000,32935000,38009000,49195000,58297000,63495000,67586000,90604000,112033000,106556000,128435000,148721000,154378000,201408000,223617000,249588000,350091000,417778000,442236000,559401000,592891000,747851000
69,Minority Interest,100000,100000,200000,300000,700000,1000000,1600000,1700000,2383000,2858000,3249000,3024000,3278000,3311000,3024000,3871000,5648000,6214000,4873000,12426000,14531000,17336000,22727000,20934000,30325000,1140000,1204000,930000,1444000,1470000,1575000
70,Total Liabilities & Equity,2400000,8900000,10300000,14500000,15900000,19500000,22500000,24100000,23346000,22970000,36184000,41033000,52473000,61608000,66519000,71457000,96252000,118247000,111429000,140861000,163252000,171714000,224135000,244551000,279913000,351231000,418982000,443166000,560845000,594361000,749426000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885978/000095012907001414/0000950129-07-001414-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000095012908001642/0000950129-08-001642-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000095013409005185/0000950134-09-005185-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000095012310024040/0000950123-10-024040-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000095012311024176/0000950123-11-024176-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000119312512106052/0001193125-12-106052-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000119312513102877/0001193125-13-102877-index.htm,- -,https://www.sec.gov/Archives/edgar/data/885978/000114036115011450/0001140361-15-011450-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000156761916001931/0001567619-16-001931-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036117024382/0001140361-17-024382-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036118013378/0001140361-18-013378-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036119005059/0001140361-19-005059-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036120004374/0001140361-20-004374-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036121006642/0001140361-21-006642-index.htm,https://www.sec.gov/Archives/edgar/data/885978/000114036122007247/0001140361-22-007247-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-200000,-1200000,-2200000,-2800000,700000,1600000,2400000,1600000,2394000,3735000,7071000,8488000,7331000,6678000,8791000,6296000,8892000,10004000,11767000,15645000,20974000,17933000,12723000,20853000,22279000,20551000,22256000,34873000,40039000,35194000,40831000
74,Depreciation and Amortization,- -,200000,600000,1300000,1700000,1700000,1900000,2100000,2090000,2331000,2566000,2955000,3591000,4322000,4308000,4494000,4986000,5966000,5897000,5667000,5449000,5287000,5562000,6740000,7952000,8779000,9710000,9755000,10095000,10533000,11591000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,-351000,-319000,474000,146000,44000,-373000,313000,1922000,714000,452000,3833000,3738000,2369000,6275000,7001000,2979000,-4864000,4813000,4651000,-258000,5688000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1573000,1292000,2032000,2102000,2743000,3363000,4491000,4962000,5032000,5939000,6985000,7917000,7867000
77,Change in Working Capital,- -,4500000,-1300000,600000,1400000,2100000,2000000,1800000,-507000,-2073000,8746000,1068000,7372000,7382000,-5251000,-2926000,-2216000,-487000,-5853000,6798000,4290000,-328000,-2527000,2859000,11828000,172000,-3817000,-262000,-12445000,-30679000,-11723000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-303000,-4466000,-6137000,-1663000,-5394000,-5388000,-5519000,-3275000,-3447000,-3434000,-6376000,899000,-10955000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1900000,6400000,5100000,5700000,7100000,9200000,11200000,13000000,12493000,10420000,19166000,20234000,27606000,34988000,29737000,26811000,24595000,24108000,18255000,25053000,29343000,29015000,26488000,29347000,41175000,41347000,37530000,37268000,24823000,-5856000,- -
82,Other Non-Cash Items,- -,-5200000,-500000,-1900000,-1400000,-700000,-2500000,-800000,1073000,4868000,-2860000,7332000,-1236000,-644000,10360000,10981000,7072000,12767000,16846000,667000,-3923000,10517000,23925000,5104000,-12308000,13607000,28209000,17887000,13123000,77288000,22152000
83,Cash Provided by Operating Activities,-200000,-1700000,-3400000,-2800000,2400000,4700000,3800000,5000000,5050000,8861000,15172000,19524000,17532000,17884000,18252000,18472000,19047000,30172000,30944000,30521000,32655000,39249000,44795000,45194000,41243000,51050000,56526000,73005000,62448000,99995000,76406000
84,CAPEX,-200000,-1200000,-2400000,-3900000,-1500000,-2000000,-1800000,-2400000,-2097000,-2827000,-3344000,-5565000,-5133000,-4970000,-10848000,-4655000,-4034000,-4299000,-3876000,-3673000,-3222000,-4234000,-4637000,-5167000,-6263000,-8260000,-7095000,-7193000,-10189000,-7639000,-8201000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1513000,-5206000,-20023000,-20685000,-1178000,-17278000,-9445000,-10173000,-48504000,-17760000,-26048000,-24293000,-36682000,-16367000,-28075000,-43564000,-116087000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,-2040000,- -,-2329000,-682000,- -,- -,-1876000,-5490000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2850000,2540000,- -,- -,- -,- -,- -,233000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,-300000,- -,- -,- -,- -,-300000,-100000,1000,25000,-32000,-1069000,105000,11000,178000,-1135000,21000,108000,57000,- -,-18939000,303000,2335000,5537000,71000,61000,202000,-349000,271000,- -,152000
89,Cash Used for Investing Activites,-300000,-1500000,-2400000,-3900000,-1500000,-2000000,-2100000,-2500000,-2096000,-2802000,-3376000,-6634000,-5028000,-4959000,-12183000,-8846000,-23536000,-24876000,-7326000,-21633000,-31606000,-14104000,-52449000,-22880000,-32240000,-32492000,-43575000,-23909000,-37993000,-51203000,-124136000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36829000,-42213000,-101150000,-86434000,-128659000,-140625000,-94384000,-166800000,-86227000,-123044000,-138433000,-245037000,-222899000
91,Common Stock Issued,- -,7000000,- -,1200000,- -,- -,- -,- -,135000,394000,2279000,3006000,1462000,1771000,1800000,125000,568000,495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-3414000,-6275000,-1943000,-10512000,-20000,-5584000,-8000000,-5522000,- -,- -,-5586000,-1401000,-4656000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9438000,-9580000,-3789000,-9017000,-4838000,-5873000,-7449000,-8510000,-10066000,-11664000,-14555000,-4110000,-18765000
94,Other Financing Activites,2300000,100000,3000000,4700000,-400000,-500000,-1100000,-1700000,-1973000,-2137000,-6082000,-5895000,-4734000,-5381000,-5420000,-5629000,945000,-3654000,24551000,47056000,109350000,71994000,142378000,125557000,94337000,161021000,85228000,87047000,128713000,209725000,285043000
95,Cash Used/Provided by Financing Activities,2300000,7100000,3000000,5900000,-400000,-500000,-1100000,-1700000,-5252000,-8018000,-5746000,-13401000,-3292000,-9194000,-11620000,-11026000,1513000,-3159000,-27302000,-6138000,-245000,-23457000,8881000,-20941000,-7496000,-14289000,-11065000,-47661000,-24275000,-39422000,43379000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,800000,-2298000,-1959000,6050000,-511000,9212000,3731000,-5551000,-1400000,-2976000,2137000,-3684000,2750000,804000,1688000,1227000,1373000,1507000,4269000,1886000,1435000,180000,9370000,-4351000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,6400000,4030000,2071000,8121000,7610000,16822000,20553000,15002000,10952000,7976000,10113000,6429000,9179000,9983000,11671000,12898000,14271000,15778000,20047000,21933000,23368000,23548000,32918000,28567000
