,https://roic.ai/company/SHRG,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1644488/000147793216011664/0001477932-16-011664-index.htm,https://www.sec.gov/Archives/edgar/data/1644488/000146970917000212/0001469709-17-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1644488/000146970918000123/0001469709-18-000123-index.html,https://www.sec.gov/Archives/edgar/data/1644488/000149315219010468/0001493152-19-010468-index.html,https://www.sec.gov/Archives/edgar/data/1644488/000149315220012834/0001493152-20-012834-index.htm,https://www.sec.gov/Archives/edgar/data/1644488/000149315221014056/0001493152-21-014056-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,-25407,-75728,-35785258,21423337,2788605,-1235021
74,Depreciation and Amortization,- -,- -,133,10853,83035,714350,163248
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1649018,-536862
76,Stock Based Compensation,- -,- -,- -,1502650,3554451,6949178,3578707
77,Change in Working Capital,- -,2203,-30749,-31869614,30043643,2688658,2654505
78,Accounts Receivable,- -,- -,- -,-1556472,-2850232,329853,2562491
79,Inventory,- -,- -,- -,-236335,-2704423,-1919033,1235523
80,Accounts Payable,- -,- -,- -,518896,582710,-336736,524124
81,Other Working Capital,- -,-3665,-34414,-31904028,-1860385,828273,3482778
82,Other Non-Cash Items,- -,- -,33820,65135097,-49065447,-174849,-6191547
83,Cash Provided by Operating Activities,- -,-23204,-72524,-1006272,6039019,11316924,-1566970
84,CAPEX,- -,- -,-3995,-125457,-296353,-160857,-1104487
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-45000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-224895,-4572300,-68289,-281303
89,Cash Used for Investing Activites,- -,- -,-3995,-395352,-4868653,-229146,-1195639
90,Debt Repayment,- -,- -,- -,-16500,-3131346,-3257985,- -
91,Common Stock Issued,- -,13880,35000,327650,165847,1300,3023390
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-500,-899500
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,4000,41140,1858742,4939000,- -,1040400
95,Cash Used/Provided by Financing Activities,- -,17880,76140,2169892,1973501,-3257185,3164290
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-5324,-379,- -,3143867,7830593,401681
98,Cash at the End of Period,- -,2449,2070,768268,3912135,11742728,12144409
99,Cash at the Beginning of Period,- -,7773,2449,- -,768268,3912135,11742728
100,Free Cash Flow,- -,-23204,-76519,-1131729,5742666,11156067,-2671457
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1644488/000147793216011664/0001477932-16-011664-index.htm,https://www.sec.gov/Archives/edgar/data/1644488/000146970917000212/0001469709-17-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1644488/000146970918000123/0001469709-18-000123-index.html,https://www.sec.gov/Archives/edgar/data/1644488/000149315219010468/0001493152-19-010468-index.html,https://www.sec.gov/Archives/edgar/data/1644488/000149315220012834/0001493152-20-012834-index.htm,https://www.sec.gov/Archives/edgar/data/1644488/000149315221014056/0001493152-21-014056-index.htm
102,false,,,,,,,
